,Concept_ID,be,os
0,Auge::N,вока,цӕст
1,Ohr::N,вуха,хъус
2,Nase::N,нос,фындз
3,Mund::N,рот,дзых
4,Zahn::N,зуб,дӕндаг
5,Zunge::N,язык,ӕвзаг
6,Lippe::N,губа,был
7,Wange::N,шчака,рус
8,Wange::N,шчака,уадул
9,Wange::N,шчака,ӕхсӕрфарс
10,Gesicht::N,твар,цӕсгом
11,Stirn::N,лоб,ных
12,Haar::N,волас,хил
13,Haar::N,валасы,хил
14,Schnurrbart::N,вус,рихи
15,Schnurrbart::N,вусы,рихи
16,Bart::N,барада,зачъе
17,Kinn::N,падбародак,роцъо
18,Kiefer[Anatomie]::N,сківіца,ӕфсӕр
19,Kehle::N,горла,хъуыр
20,Hals::N,шыя,къубал
21,Genick::N,патыліца,къӕбут
22,Kopf::N,галава,сӕр
23,Rücken::N,спіна,фӕсонтӕ
24,Bauch::N,жывот,гуыбын
25,Nabel::N,пупок,бикъ
26,Busen::N,грудзі,дзидзи
27,Brust::N,грудзі,риу
28,Schulter::N,плячо,уӕхск
29,Arm::N,рука,цонг
30,Ellenbogen::N,локаць,рæмбын
31,Hand::N,кісць,къух
32,Handfläche::N,далонь,армытъӕпӕн
33,Finger::N,палец,ӕнруылдз
34,Fingernagel::N,ногаць,ных
35,Nagel[Anatomie]::N,ногаць,ных
36,Zeh::N,палец,къух
37,Fuß::N,нага,фад
38,Ferse::N,пята,зӕвӕт
39,Ferse::N,пятка,зӕвӕт
40,Knie::N,калена,уӕраг
41,Oberschenkel::N,бядро,агъд
42,Oberschenkel::N,сцягно,агъд
43,Bein::N,нага,зӕнг
44,Körper::N,цела,буар
45,Haut::N,скура,царм
46,Blut::N,кроў,туг
47,Ader::N,вена,дадзин
48,Ader::N,вена,тугдадзин
49,Ader::N,сасуд,дадзин
50,Ader::N,сасуд,тугдадзин
51,Sehne::N,жыла,хъиутæ
52,Sehne::N,жыла,нуар
53,Sehne::N,цеціва,хъиутæ
54,Sehne::N,цеціва,нуар
55,Sehne::N,сухажылле,хъиутæ
56,Sehne::N,сухажылле,нуар
57,Knochen::N,косць,стӕг
58,Gehirn::N,мозг,магъз
59,Herz::N,сэрца,зӕрдӕ
60,Magen::N,страўнік,ахсӕн
61,Leber::N,печань,игæр
62,Atem::N,дыханне,улӕфт
63,Hunger::N,голад,стонг
64,Träne::N,сляза,цæссыг
65,Geschmack::N,смак,ад
66,Geruch::N,пах,смаг
67,Schlaf::N,сон,хуыссӕг
68,Traum::N,сон,фын
69,Himmel::N,неба,арв
70,Himmel::N,неба,уӕларв
71,Sonne::N,сонца,хур
72,Mond::N,месяц,мӕй
73,Stern::N,зорка,стъалы
74,Luft::N,паветра,уӕлдӕф
75,Wind::N,вецер,дымгӕ
76,Welle::N,хваля,уылӕн
77,Wasser::N,вада,дон
78,Stein::N,камень,дур
79,Boden::N,глеба,зӕхх
80,Erde::N,зямля,сыджыт
81,Staub::N,пыл,рыг
82,Rauch::N,дым,фӕздӕг
83,Funke::N,іскра,цӕхӕр
84,Feuer::N,агонь,зынг
85,Licht::N,святло,рухс
86,Schatten::N,цень,аууон
87,Wetter::N,пагода,боныхъӕд
88,Wetter::N,надворʼе,боныхъӕд
89,Nebel::N,туман,мигъ
90,Wolke::N,воблака,ӕврагъ
91,Regen::N,дождж,уарын
92,Schnee::N,снег,мит
93,Eis::N,лёд,их
94,Frost::N,мароз,ихæн
95,Kälte::N,холад,уазал
96,Hitze::N,спёка,ӕнтӕф
97,Raureif::N,іней,халас
98,Regenbogen::N,вясёлка,арвырон
99,Regenbogen::N,вясёлка,арвырдын
100,Donner::N,гром,æрвнæрын
101,Strömung::N,цячэнне,цыд
102,Tropfen::N,кропля,æртах
103,Schaum::N,пена,фынк
104,Schmutz::N,гразь,цъыф
105,See::N,возера,цад
106,Sumpf::N,багна,цъыфдзаст
107,Moor::N,балота,цъыфдзаст
108,Wiese::N,луг,уыгӕрдӕн
109,Wald::N,лес,хъӕд
110,Hügel::N,узгорак,обау
111,Hügel::N,узгорак,къуыбыр
112,Anhöhe::N,узвышша,уæлвæз
113,Anhöhe::N,узвышша,уæлхох
114,Berg::N,гара,хох
115,Gipfel::N,вяршыня,цъупп
116,Höhle::N,пячора,лӕгӕт
117,Abhang::N,схіл,къул
118,Quelle::N,крыніца,суадон
119,Bach::N,ручай,мӕсчъыдон
120,Fluss::N,рака,дон
121,Fluss::N,рака,цӕугӕдон
122,Ufer::N,бераг,был
123,Küste::N,узбярэжжа,донбыл
124,Festland::N,суша,сурзæхх
125,Meer::N,мора,денджыз
126,Bucht::N,бухта,донбакæлæн
127,Insel::N,востраў,сакъадах
128,Blume::N,кветка,дидинӕг
129,Gras::N,трава,кӕрдӕг
130,Wurzel::N,корань,уидаг
131,Baum::N,дрэва,бӕлас
132,Stamm::N,ствол,хӕтӕл
133,Rinde::N,кара,цъар
134,Ast::N,сук,арх
135,Zweig::N,галіна,къалиу
136,Blatt::N,ліст,сыф
137,Birke::N,бяроза,бæрз
138,Kiefer[Baum]::N,хвоя,нӕзы
139,Kiefer[Baum]::N,сасна,нӕзы
140,Weide[Baum]::N,вярба,хӕрис
141,Tanne::N,яліна,наз
142,Horn::N,рог,сыкъа
143,Feder::N,пяро,сис
144,Fell::N,шкура,царм
145,Flügel::N,крыло,базыр
146,Klaue::N,кіпцюр,ных
147,Kralle::N,лапа,дзӕмбы
148,Schwanz::N,хвост,къӕдзил
149,Ei::N,яйка,айк
150,Nest::N,гняздо,ахстон
151,Bau::N,нара,хуынкъ
152,Tier::N,жывёла,сырд
153,Tier::N,жывёла,цӕрӕгой
154,Herde::N,статак,дзуг
155,Herde::N,статак,рӕгъау
156,Kuh::N,карова,хъуг
157,Bulle::N,бык,гал
158,Pferd::N,конь,бӕх
159,Schaf::N,авечка,фыс
160,Schwein::N,свіння,хуы
161,Hund::N,сабака,куыдз
162,Katze::N,кошка,гӕды
163,Bär::N,мядзведзь,арс
164,Eichhörnchen::N,вавёрка,æхсæрæг
165,Elch::N,лось,цæгатаг саг
166,Fuchs::N,ліса,рувас
167,Hase::N,заяц,тæрхъус
168,Maus::N,мыш,мыст
169,Wolf::N,воўк,бирӕгъ
170,Vogel::N,птах,цъиу
171,Vogel::N,птах,маргъ
172,Vogel::N,птушка,цъиу
173,Vogel::N,птушка,маргъ
174,Schwarm::N,чарада,бал
175,Huhn::N,курыца,карк
176,Hahn::N,певень,уасӕг
177,Gans::N,гусь,хъаз
178,Adler::N,арол,цӕргӕс
179,Ente::N,качка,ацц
180,Eule::N,сава, уыг
181,Eule::N,сава,сидахъ
182,Kranich::N,жораў,зырнæг
183,Kranich::N,жораў,хърихъупп
184,Kranich::N,журавель,зырнæг
185,Kranich::N,журавель,хърихъупп
186,Krähe::N,варона,халон
187,Kuckuck::N,зязюля,гаккук
188,Schwan::N,лебедзь,доныхъаз
189,Fisch::N,рыба,кӕсаг
190,Barsch::N,акунь,окунь
191,Hecht::N,шчупак,хихор кӕсаг
192,Schlange[Tier]::N,змяя,калм
