,Concept_ID,ku,ca
0,Auge::N,çav,ull
1,Ohr::N,guh,orella
2,Nase::N,bêvil,nas
3,Mund::N,dev,boca
4,Zahn::N,didan,dent
5,Zunge::N,ziman,llēngua
6,Lippe::N,lêv,llavi
7,Wange::N,dêm,galta
8,Wange::N,hinarik,galta
9,Gesicht::N,rû,cara
10,Stirn::N,enî,front
11,Haar::N,por,cabēll
12,Schnurrbart::N,simbêl,bigoti
13,Bart::N,rih,barba
14,Kinn::N,zenî,mentó
15,Kinn::N,zenî,barbeta
16,Kiefer[Anatomie]::N,arguşk,queix
17,Kiefer[Anatomie]::N,arguşk,mandíbula
18,Kehle::N,qirik,gola
19,Kehle::N,qirik,gorja
20,Hals::N,stû,coll
21,Hals::N,qirik,coll
22,Genick::N,stû,nuca
23,Kopf::N,serî,cap
24,Rücken::N,pişt,esquena
25,Bauch::N,ûr,panxa
26,Bauch::N,zik,panxa
27,Nabel::N,navik,llombrígol
28,Busen::N,sîng,pit
29,Busen::N,sîng,mama
30,Brust::N,sîng,pit
31,Schulter::N,mil,espatlla
32,Arm::N,çepil,braç
33,Ellenbogen::N,enîşk,colze
34,Hand::N,dest,mà
35,Handfläche::N,kefadest,palma
36,Finger::N,tilî,dit
37,Fingernagel::N,neynuk,ungla
38,Nagel[Anatomie]::N,bizmar,ungla
39,Zeh::N,tilî linga,dit del peu
40,Fuß::N,ling,peu
41,Ferse::N,pahnî,taló
42,Knie::N,kabok,genoll
43,Oberschenkel::N,rahn,cuixa
44,Bein::N,çip,cama
45,Körper::N,laş,cos
46,Körper::N,gowde,cos
47,Haut::N,çerm,pell
48,Blut::N,xwîn,sang
49,Ader::N,reh,vena
50,Sehne::N,reh,tendó
51,Knochen::N,hestî,os
52,Gehirn::N,mêjî,cervell
53,Herz::N,dil,cor
54,Magen::N,navêş,estómac
55,Leber::N,kezeb,fetge
56,Atem::N,hilm,alè
57,Atem::N,hilm,hàlit
58,Hunger::N,birçîtî,fam
59,Hunger::N,birçîtî,gana
60,Träne::N,hêstir,llàgrima
61,Geschmack::N,tam,gust
62,Geschmack::N,tam,sabor
63,Geruch::N,bêhn,olor
64,Schlaf::N,xew,son
