,Concept_ID,az,ps
0,Auge::N,göz,سترګه
1,Ohr::N,qulaq,غوږ
2,Nase::N,burun,پوزه
3,Mund::N,ağız,خوله
4,Zahn::N,diş,غاښ
5,Zunge::N,dil,جبه
6,Lippe::N,dodaq,شونډه
7,Wange::N,yanaq,باړخو
8,Gesicht::N,üz,مخ
9,Stirn::N,alın,تندی
10,Stirn::N,alın,وچولی
11,Haar::N,saç,وېښته
12,Schnurrbart::N,bığ,برېت
13,Bart::N,saqqal,ږیره
14,Kinn::N,çənə,زنه
15,Kiefer[Anatomie]::N,çənə,جامه
16,Kehle::N,boğaz,غاړه
17,Hals::N,boyun,غاړه
18,Genick::N,ənsə,ورمېږ
19,Kopf::N,baş,سر
20,Rücken::N,bel,شا
21,Bauch::N,qarın,نس
22,Bauch::N,qarın,ګېډه
23,Nabel::N,göbək,نوم
24,Busen::N,məmə,تی
25,Brust::N,döş,سینه
26,Schulter::N,çiyin,اوږه
27,Arm::N,qol,لاس
28,Ellenbogen::N,dirsək,څنګل
29,Hand::N,əl,لاس
30,Handfläche::N,ovuc,ورغوی
31,Finger::N,barmaq,ګوته
32,Fingernagel::N,barmaq dırnağı,نوک
33,Nagel[Anatomie]::N,dırnak,نوک
34,Zeh::N,ayaq barmağı,ګوته
35,Fuß::N,ayaq,پښه
36,Ferse::N,daban,پونده
37,Knie::N,diz,زنګون
38,Oberschenkel::N,bud,پتون
39,Bein::N,qıç,پښه
40,Körper::N,əndam,ځان
41,Haut::N,dəri,پوټکی
42,Blut::N,qan,وینه
43,Ader::N,damar,رګ
44,Sehne::N,vətər,پله
45,Knochen::N,sümük,هډوکی
46,Gehirn::N,beyin,ماغزه
47,Herz::N,ürək,زړه
48,Magen::N,mədə,معده
49,Leber::N,qara ciyər,ينه
50,Leber::N,qara ciyər,ځیګر
51,Atem::N,nəfəs,نفس
52,Hunger::N,aclıq,ولږه
53,Träne::N,göz yaşı,اوښکه
54,Geschmack::N,tam,مزه
55,Geschmack::N,tam,خوند
56,Geschmack::N,ləzzət,مزه
57,Geschmack::N,ləzzət,خوند
58,Geruch::N,qoxu,بوی
59,Schlaf::N,yuxu,خوب
60,Traum::N,röya,خوب
61,Himmel::N,göy,اسمان
62,Himmel::N,səma,اسمان
63,Sonne::N,günəş,لمر
64,Mond::N,ay,سپوږمۍ
65,Stern::N,ulduz,ستوری
66,Luft::N,hava,هوا
67,Wind::N,yel,ورښ
68,Wind::N,külək,ورښ
69,Welle::N,dalğa,موج
70,Wasser::N,su,اوبه
71,Stein::N,daş,ډبره
72,Boden::N,yer,مځکه
73,Boden::N,zəmin,مځکه
74,Erde::N,yer torpaq,خاوره
75,Staub::N,toz,ګرد
76,Staub::N,toz,خاوره
77,Rauch::N,tüstü,دود
78,Rauch::N,tüstü,لوګی
79,Funke::N,qığılcım,سپرغۍ
80,Feuer::N,od,اور
81,Licht::N,işıq,رڼا
82,Schatten::N,kölgə,سیوری
83,Wetter::N,hava,هوا
84,Nebel::N,duman,لړه
85,Wolke::N,bulud,ورېځ
86,Regen::N,yağış,وریا
87,Regen::N,yağış,باران
88,Regen::N,yağmur,وریا
89,Regen::N,yağmur,باران
90,Schnee::N,qar,واوره
91,Eis::N,buz,یخ
92,Eis::N,buz,کنګل
93,Frost::N,ayaz,یخ
94,Kälte::N,soyuq,ساړه
95,Hitze::N,coşğunluq,تودوخي
96,Raureif::N,qırov,سپینه پرخه
97,Regenbogen::N,göy qurşağı,بوډۍ ټال
98,Regenbogen::N,göy qurşağı,سره زرغونه
99,Donner::N,göy gurultusu,تالنده
100,Strömung::N,axın,بهېدنه
101,Tropfen::N,damcı,قطره
102,Tropfen::N,damcı,څاڅکی
103,Schaum::N,köpük,ځګ
104,Schmutz::N,çamır,ناپاکي
105,See::N,göl,جهیل
106,Sumpf::N,bataqlıq,جبه
107,Moor::N,bataqlıq,جبه
108,Wiese::N,çəmən,چمن
109,Wiese::N,çəmən,شنېلی
110,Wald::N,meşə,ځنګل
111,Hügel::N,təpə,تپه
112,Anhöhe::N,təpə,غونډۍ
113,Berg::N,dağ,غ‍‍‍‍‍ر
114,Gipfel::N,zirvə,څوکه
115,Höhle::N,mağara,کاز
116,Abhang::N,yamac,لمن
117,Quelle::N,bulaq,چینه
118,Bach::N,kiçik çay,واله
119,Fluss::N,çay,سیند
120,Ufer::N,kənar,غاړه
121,Küste::N,sahil,ساحل
122,Festland::N,materik,وچه
123,Meer::N,dəniz,بحر
124,Meer::N,dəniz,سمندر
125,Bucht::N,körfəz,کارۍ
126,Insel::N,ada,ټاپو
127,Insel::N,ada,جزيره
128,Blume::N,çiçək,ګل
129,Gras::N,ot,واښه
130,Wurzel::N,kök,ریښه
131,Baum::N,ağac,ونه
132,Stamm::N,gövdə,ډډ
133,Rinde::N,qabıq,پوستکی
134,Ast::N,şax,ښاخ
135,Zweig::N,budaq,څانګه
136,Blatt::N,yarpaq,پاڼه
137,Birke::N,tozağacı,توس
138,Kiefer[Baum]::N,şam,نښتر
139,Weide[Baum]::N,söyüd,وله
140,Tanne::N,küknar,ناجو
141,Horn::N,buynuz,ښکر
142,Feder::N,tük,بڼکه
143,Feder::N,lələk,بڼکه
144,Fell::N,xəz,پوستکی
145,Flügel::N,qanad,وزر
146,Klaue::N,pəncə,پنجه
147,Klaue::N,pəncə,منګول
148,Kralle::N,dırnaq,پنجه
149,Kralle::N,dırnaq,منګول
150,Schwanz::N,quyruq,لکۍ
151,Ei::N,yumurta,وۍ
152,Ei::N,yumurta,هګۍ
153,Nest::N,yuva,جاله
154,Bau::N,yuva,کاز
155,Tier::N,heyvan,ژوی
156,Tier::N,heyvan,حیوان
157,Herde::N,sürü,رمه
158,Herde::N,sürü,غېله
159,Kuh::N,inək,غوا
160,Bulle::N,öküz,غوئی
161,Pferd::N,at,آس
162,Schaf::N,qoyun,پسه
163,Schwein::N,donuz,سرکوزی
164,Hund::N,it,سپی
165,Hund::N,köpək,سپی
166,Katze::N,pişik,پشه
167,Bär::N,ayı,خرس
168,Eichhörnchen::N,dələ,خړ لمی
169,Elch::N,sığın,ګوزن
170,Fuchs::N,tülkü,سپلم
171,Hase::N,dovşan,سوی
172,Maus::N,siçan,مږک
173,Wolf::N,qurd,لېوه
174,Vogel::N,quş,مرغه
175,Schwarm::N,sürü,سېل
176,Huhn::N,toyuq,چرګه
177,Hahn::N,xoruz,چرګ
178,Gans::N,qaz,بته
179,Adler::N,qartal,عقاب
180,Adler::N,qaraquş,عقاب
181,Ente::N,ördək,ایلۍ
182,Eule::N,bayquş,ګونګی
183,Kranich::N,durna,کلنګ
184,Krähe::N,qarğa,کارغه
185,Kuckuck::N,ququ,فاخته
