,Concept_ID,it,ml
0,Auge::N,occhio,കണ്ണ്
1,Ohr::N,orecchio,ചെവി
2,Nase::N,naso,മൂക്ക്
3,Mund::N,bocca,വായ
4,Zahn::N,dente,പല്ല്
5,Zunge::N,lingua,നാക്ക്
6,Lippe::N,labbro,ചുണ്ട്
7,Wange::N,guancia,കവിൾത്തടം
8,Gesicht::N,viso,മുഖം
9,Gesicht::N,faccia,മുഖം
10,Stirn::N,fronte,നെറ്റി
11,Haar::N,capello,തലമുടി
12,Schnurrbart::N,baffi,മീശ
13,Schnurrbart::N,mustacchi,മീശ
14,Bart::N,barba,താടിരോമം
15,Kinn::N,mento,താടി
16,Kiefer[Anatomie]::N,mascella,താടിയെല്ല്
17,Kehle::N,gola,കണ്ഠനാളം
18,Hals::N,collo,കഴുത്ത്
19,Genick::N,nuca,പിടലി
20,Kopf::N,capo,തല
21,Kopf::N,testa,തല
22,Rücken::N,dorso,മുതുക്
23,Rücken::N,schiena,മുതുക്
24,Bauch::N,ventre,നയറ്
25,Nabel::N,ombelico,നാഭി
26,Busen::N,seno,സ്തനം
27,Brust::N,petto,സ്തനം
28,Schulter::N,spalla,തോൾ
29,Arm::N,braccio,കൈ
30,Ellenbogen::N,gomito,കൈമുട്ട്
31,Hand::N,mano,കൈ
32,Handfläche::N,palma,ഉള്ളം കൈ
33,Finger::N,dito,വിരൽ
34,Fingernagel::N,unghia,നഖം
35,Nagel[Anatomie]::N,unghia,നഖം
36,Zeh::N,dito del piede,കാൽവിരൽ
37,Fuß::N,piede,കാൽപ്പാദം
38,Ferse::N,tallone,ഉപ്പൂറ്റി
39,Ferse::N,calcagno,ഉപ്പൂറ്റി
40,Knie::N,ginocchio,കാൽമുട്ട്
41,Oberschenkel::N,fèmore,തുട
42,Bein::N,gamba,കാൽ
43,Körper::N,corpo,ശരീരം
44,Haut::N,pelle,ചർമ്മം
45,Blut::N,sangue,രക്തം
46,Ader::N,vena,ഞരമ്പ്
47,Sehne::N,tèndine,സ്നായു
48,Knochen::N,osso,അസ്ഥി
49,Gehirn::N,cervello,തലച്ചോറ്
50,Herz::N,cuore,ഹൃദയം
51,Magen::N,stòmaco,വയർ
52,Leber::N,fegato,കരൾ
53,Atem::N,fiato,ശ്വാസം
54,Atem::N,respiro,ശ്വാസം
55,Hunger::N,fame,വിശപ്പ്
56,Träne::N,làcrima,കണ്ണീർ
57,Geschmack::N,gusto,രുചി
58,Geschmack::N,sapore,രുചി
59,Geruch::N,odore,ഗന്ധം
60,Schlaf::N,sonno,ഉറകും
61,Traum::N,sogno,സ്വപ്നം
62,Himmel::N,cielo,ആകാശം
63,Sonne::N,sole,സൂര്യൻ
64,Mond::N,luna,ചന്ദ്രൻ
65,Stern::N,stella,നക്ഷത്രം
66,Luft::N,aria,കാറ്റ്
67,Wind::N,vento,കാറ്റ്
68,Welle::N,onda,തിരമാല
69,Wasser::N,acqua,വെള്ളം
70,Stein::N,sasso,ശില
71,Stein::N,sasso,കല്ല്
72,Stein::N,pietra,ശില
73,Stein::N,pietra,കല്ല്
74,Boden::N,suolo,തറ
75,Boden::N,suolo,നിലം
76,Boden::N,terreno,തറ
77,Boden::N,terreno,നിലം
78,Erde::N,terra,മണ്ണ്
79,Staub::N,polvere,പൊടി
80,Rauch::N,fumo,പുക
81,Funke::N,scintilla,തീപ്പൊരി
82,Feuer::N,fuoco,തീ
83,Licht::N,luce,വിളക്ക്
84,Licht::N,luce,സൂര്യപ്രകാശം
85,Schatten::N,ombra,തണൽ
86,Wetter::N,tempo,കാലാവസ്ഥ
87,Nebel::N,nebbia,മൂടൽമഞ്ഞ്
88,Wolke::N,nube,മേഘം
89,Wolke::N,nùvola,മേഘം
