,Concept_ID,nl,ab
0,Auge::N,oog,ала
1,Ohr::N,oor,алымҳа
2,Nase::N,neus,аҧынҵа
3,Mund::N,mond,аҧышə
4,Zahn::N,tand,ахаҧыц
5,Zunge::N,tong,абз
6,Lippe::N,lip,ақьышə
7,Wange::N,wang,аӡамҩа
8,Gesicht::N,gelaat,аҿы
9,Gesicht::N,gezicht,аҿы
10,Stirn::N,voorhoofd,алахь
11,Haar::N,haar,ахəыц
12,Schnurrbart::N,snor,аҧаҵа
13,Bart::N,baard,ажакьа
14,Kinn::N,kin,ацламкəыгə
15,Kiefer[Anatomie]::N,kaak,ацламҳəа
16,Kehle::N,keel,ахəда
17,Kehle::N,strot,ахəда
18,Hals::N,hals,ахəда
19,Genick::N,nek,ахəдаџьал
20,Kopf::N,hoofd,ахы
21,Rücken::N,rug,азқəа
22,Bauch::N,buik,амгəа
23,Nabel::N,navel,аҷапан
24,Busen::N,boezem,агəыҧҳəы
25,Brust::N,borst,агəышҧы
26,Schulter::N,schouder,ажəҩахыр
27,Arm::N,arm,амахəар
28,Ellenbogen::N,elleboog,амашьхəылҵ
29,Hand::N,hand,анапы
30,Handfläche::N,handpalm,анапсаргəыҵа
31,Finger::N,vinger,анацəа
32,Fingernagel::N,nagel,анапхыц
33,Nagel[Anatomie]::N,nagel,ашьапхыц
34,Zeh::N,teen,ашьацəа
35,Fuß::N,voet,ашьапсыргəыҵа
36,Ferse::N,hak,ашьхəа
37,Ferse::N,hiel,ашьхəа
38,Knie::N,knie,ашьамхы
39,Oberschenkel::N,dij,ауаҭəа
40,Bein::N,been,ашьапы
41,Körper::N,lichaam,ацəеижь
42,Haut::N,huid,ацəа
43,Blut::N,bloed,ашьа
44,Ader::N,ader,ада
45,Sehne::N,pees,адаш
46,Knochen::N,bot,абаҩ
47,Knochen::N,been,абаҩ
48,Knochen::N,knook,абаҩ
49,Gehirn::N,hersenen,ахшлыбаҩ
50,Gehirn::N,hersenen,ахшыбаҩ
51,Herz::N,hart,агəы
52,Magen::N,maag,аца
53,Magen::N,maag,ацар
54,Leber::N,lever,агəаҵəа
55,Atem::N,adem,аҧсыҧлагаҩгара
56,Hunger::N,honger,амла
57,Träne::N,traan,алабжыш
58,Geschmack::N,smaak,агьама
59,Geruch::N,geur,афҩы
60,Schlaf::N,slaap,ацəа
61,Traum::N,droom,аҧхыӡ
62,Himmel::N,hemel,ажəҩан
63,Sonne::N,zon,амра
64,Mond::N,maan,амза
65,Stern::N,ster,аеҵəа
66,Luft::N,lucht,аҳаир
67,Wind::N,wind,аҧша
68,Welle::N,golf,ацəқəырҧа
69,Wasser::N,water,аӡы
70,Stein::N,steen,ахаҳə
71,Boden::N,grond,адгьыл
72,Erde::N,aarde,адгьыл
73,Staub::N,stof,асаба
74,Rauch::N,rook,алҩа
75,Funke::N,vonk,акəиц
76,Funke::N,vonk,ацҧхь
77,Feuer::N,vuur,амца
78,Licht::N,licht,алашара
79,Schatten::N,schaduw,ашəшьыра
80,Wetter::N,weer,амш
81,Nebel::N,mist,анаҟəа
82,Nebel::N,nevel,анаҟəа
83,Wolke::N,wolk,аҧсҭҳəа
84,Regen::N,regen,ақəа
85,Schnee::N,sneeuw,асы
86,Eis::N,ijs,аҵаа
87,Frost::N,vorst,аҵаа
88,Kälte::N,kou,ахьҭа
89,Kälte::N,koude,ахьҭа
90,Hitze::N,hitte,ашоура
91,Raureif::N,rijp,аҵааҧшқа
92,Regenbogen::N,regenboog,ацəаҟəа
93,Donner::N,donder,адыд
94,Strömung::N,stroming,аиасра
95,Strömung::N,stroming,амҩасра
96,Tropfen::N,druppel,ацəыкəбар
97,Schaum::N,schuim,ашəах
98,Schmutz::N,vuil,алымт
99,See::N,meer,аӡиа
100,Sumpf::N,moeras,аӡмах
101,Moor::N,veen,
102,Wiese::N,wei,адəы
103,Wiese::N,weide,адəы
104,Wald::N,bos,абна
105,Hügel::N,heuvel,ахəы
106,Anhöhe::N,hoogte,аҳаракыра
107,Berg::N,berg,ашьха
108,Gipfel::N,top,ацəқəа
109,Höhle::N,hol,аҳаҧы
110,Abhang::N,helling,анаара
111,Quelle::N,bron,аҵҵырҭа
112,Bach::N,beek,акəараҷҷа
113,Fluss::N,stroom,аӡиас
114,Ufer::N,wal,ахықə
115,Ufer::N,oever,ахықə
116,Küste::N,kust,ахықə
117,Festland::N,vasteland,абарра
118,Meer::N,zee,амшын
119,Bucht::N,baai,аӡбжьахала
120,Bucht::N,inham,аӡбжьахала
121,Insel::N,eiland,адгьылбжьаха
122,Blume::N,bloem,ашəҭ
123,Gras::N,gras,аҳасакьын
124,Wurzel::N,wortel,адац
125,Baum::N,boom,аҵла
