,Concept_ID,sv,os
0,Auge::N,öga,цӕст
1,Ohr::N,öra,хъус
2,Nase::N,näsa,фындз
3,Mund::N,mun,дзых
4,Zahn::N,tand,дӕндаг
5,Zunge::N,tunga,ӕвзаг
6,Lippe::N,läpp,был
7,Wange::N,kind,рус
8,Wange::N,kind,уадул
9,Wange::N,kind,ӕхсӕрфарс
10,Gesicht::N,syn,цӕсгом
11,Gesicht::N,ansikte,цӕсгом
12,Stirn::N,panna,ных
13,Haar::N,hår,хил
14,Schnurrbart::N,mustasch,рихи
15,Bart::N,skägg,зачъе
16,Kinn::N,haka,роцъо
17,Kiefer[Anatomie]::N,käke,ӕфсӕр
18,Kehle::N,strupe,хъуыр
19,Hals::N,hals,къубал
20,Genick::N,nacke,къӕбут
21,Kopf::N,huvud,сӕр
22,Rücken::N,rygg,фӕсонтӕ
23,Bauch::N,buk,гуыбын
24,Bauch::N,mage,гуыбын
25,Nabel::N,navel,бикъ
26,Busen::N,barm,дзидзи
27,Brust::N,bröst,риу
28,Schulter::N,skuldra,уӕхск
29,Arm::N,arm,цонг
30,Ellenbogen::N,armbåge,рæмбын
31,Hand::N,hand,къух
32,Handfläche::N,handflata,армытъӕпӕн
33,Finger::N,finger,ӕнруылдз
34,Fingernagel::N,fingernagel,ных
35,Nagel[Anatomie]::N,nagel,ных
36,Zeh::N,tå,къух
37,Fuß::N,fot,фад
38,Ferse::N,häl,зӕвӕт
39,Knie::N,knä,уӕраг
40,Oberschenkel::N,lår,агъд
41,Bein::N,ben,зӕнг
42,Körper::N,kropp,буар
43,Haut::N,hud,царм
44,Haut::N,skinn,царм
45,Blut::N,blod,туг
46,Ader::N,åder,дадзин
47,Ader::N,åder,тугдадзин
48,Sehne::N,sena,хъиутæ
49,Sehne::N,sena,нуар
50,Knochen::N,ben,стӕг
51,Gehirn::N,hjärna,магъз
52,Herz::N,hjärta,зӕрдӕ
53,Magen::N,mage,ахсӕн
54,Leber::N,lever,игæр
55,Atem::N,anda,улӕфт
56,Atem::N,andedräkt,улӕфт
57,Hunger::N,svält,стонг
58,Hunger::N,hunger,стонг
59,Träne::N,tår,цæссыг
60,Geschmack::N,smak,ад
61,Geruch::N,lukt,смаг
62,Schlaf::N,sömn,хуыссӕг
63,Traum::N,dröm,фын
64,Himmel::N,himmel,арв
65,Himmel::N,himmel,уӕларв
66,Sonne::N,sol,хур
67,Mond::N,måne,мӕй
68,Stern::N,stjärna,стъалы
69,Luft::N,luft,уӕлдӕф
70,Wind::N,vind,дымгӕ
71,Welle::N,våg,уылӕн
72,Welle::N,bölja,уылӕн
73,Wasser::N,vatten,дон
74,Stein::N,sten,дур
75,Boden::N,mark,зӕхх
76,Erde::N,jord,сыджыт
77,Staub::N,damm,рыг
78,Rauch::N,rök,фӕздӕг
79,Funke::N,gnista,цӕхӕр
80,Feuer::N,eld,зынг
81,Licht::N,ljus,рухс
82,Schatten::N,skugga,аууон
83,Wetter::N,väder,боныхъӕд
84,Nebel::N,dimma,мигъ
85,Nebel::N,töcken,мигъ
86,Wolke::N,sky,ӕврагъ
87,Wolke::N,moln,ӕврагъ
88,Regen::N,regn,уарын
89,Schnee::N,snö,мит
90,Eis::N,is,их
91,Frost::N,frost,ихæн
92,Kälte::N,köld,уазал
93,Hitze::N,hetta,ӕнтӕф
94,Raureif::N,rimfrost,халас
95,Regenbogen::N,regnbåge,арвырон
96,Regenbogen::N,regnbåge,арвырдын
97,Donner::N,åska,æрвнæрын
98,Donner::N,dunder,æрвнæрын
99,Strömung::N,strömning,цыд
100,Tropfen::N,dropper,æртах
101,Schaum::N,skum,фынк
102,Schmutz::N,lort,цъыф
103,Schmutz::N,smuts,цъыф
104,See::N,sjö,цад
105,Sumpf::N,träsk,цъыфдзаст
106,Moor::N,myr,цъыфдзаст
107,Moor::N,mosse,цъыфдзаст
108,Wiese::N,äng,уыгӕрдӕн
109,Wald::N,skog,хъӕд
110,Hügel::N,höjd,обау
111,Hügel::N,höjd,къуыбыр
112,Hügel::N,kulle,обау
113,Hügel::N,kulle,къуыбыр
114,Anhöhe::N,höjd,уæлвæз
115,Anhöhe::N,höjd,уæлхох
116,Anhöhe::N,backe,уæлвæз
117,Anhöhe::N,backe,уæлхох
118,Berg::N,berg,хох
119,Berg::N,fjäll,хох
120,Gipfel::N,topp,цъупп
121,Höhle::N,håla,лӕгӕт
122,Höhle::N,grotta,лӕгӕт
123,Abhang::N,slänt,къул
124,Abhang::N,sluttning,къул
125,Quelle::N,källa,суадон
126,Bach::N,bäck,мӕсчъыдон
127,Fluss::N,älv,дон
128,Fluss::N,älv,цӕугӕдон
129,Fluss::N,flod,дон
130,Fluss::N,flod,цӕугӕдон
131,Ufer::N,strand,был
132,Küste::N,kust,донбыл
133,Festland::N,fastland,сурзæхх
134,Meer::N,hav,денджыз
135,Bucht::N,vik,донбакæлæн
136,Bucht::N,bukt,донбакæлæн
137,Insel::N,ö,сакъадах
138,Blume::N,blomma,дидинӕг
139,Blume::N,blomster,дидинӕг
140,Gras::N,gräs,кӕрдӕг
141,Wurzel::N,rot,уидаг
142,Baum::N,träd,бӕлас
143,Stamm::N,stam,хӕтӕл
144,Rinde::N,bark,цъар
145,Ast::N,gren,арх
146,Zweig::N,kvist,къалиу
147,Blatt::N,löv,сыф
148,Blatt::N,blad,сыф
149,Birke::N,björk,бæрз
150,Kiefer[Baum]::N,tall,нӕзы
151,Weide[Baum]::N,pil,хӕрис
152,Weide[Baum]::N,vide,хӕрис
153,Tanne::N,gran,наз
154,Horn::N,horn,сыкъа
155,Feder::N,fjäder,сис
