,Concept_ID,az,az
0,Auge::N,göz,göz
1,Ohr::N,qulaq,qulaq
2,Nase::N,burun,burun
3,Mund::N,ağız,ağız
4,Zahn::N,diş,diş
5,Zunge::N,dil,dil
6,Lippe::N,dodaq,dodaq
7,Wange::N,yanaq,yanaq
8,Gesicht::N,üz,üz
9,Stirn::N,alın,alın
10,Haar::N,saç,saç
11,Schnurrbart::N,bığ,bığ
12,Bart::N,saqqal,saqqal
13,Kinn::N,çənə,çənə
14,Kiefer[Anatomie]::N,çənə,çənə
15,Kehle::N,boğaz,boğaz
16,Hals::N,boyun,boyun
17,Genick::N,ənsə,ənsə
18,Kopf::N,baş,baş
19,Rücken::N,bel,bel
20,Bauch::N,qarın,qarın
21,Nabel::N,göbək,göbək
22,Busen::N,məmə,məmə
23,Brust::N,döş,döş
24,Schulter::N,çiyin,çiyin
25,Arm::N,qol,qol
26,Ellenbogen::N,dirsək,dirsək
27,Hand::N,əl,əl
28,Handfläche::N,ovuc,ovuc
29,Finger::N,barmaq,barmaq
30,Fingernagel::N,barmaq dırnağı,barmaq dırnağı
31,Nagel[Anatomie]::N,dırnak,dırnak
32,Zeh::N,ayaq barmağı,ayaq barmağı
33,Fuß::N,ayaq,ayaq
34,Ferse::N,daban,daban
35,Knie::N,diz,diz
36,Oberschenkel::N,bud,bud
37,Bein::N,qıç,qıç
38,Körper::N,əndam,əndam
39,Haut::N,dəri,dəri
40,Blut::N,qan,qan
41,Ader::N,damar,damar
42,Sehne::N,vətər,vətər
43,Knochen::N,sümük,sümük
44,Gehirn::N,beyin,beyin
45,Herz::N,ürək,ürək
46,Magen::N,mədə,mədə
47,Leber::N,qara ciyər,qara ciyər
48,Atem::N,nəfəs,nəfəs
49,Hunger::N,aclıq,aclıq
50,Träne::N,göz yaşı,göz yaşı
51,Geschmack::N,tam,tam
52,Geschmack::N,tam,ləzzət
53,Geschmack::N,ləzzət,tam
54,Geschmack::N,ləzzət,ləzzət
55,Geruch::N,qoxu,qoxu
56,Schlaf::N,yuxu,yuxu
57,Traum::N,röya,röya
58,Himmel::N,göy,göy
59,Himmel::N,göy,səma
60,Himmel::N,səma,göy
61,Himmel::N,səma,səma
62,Sonne::N,günəş,günəş
63,Mond::N,ay,ay
64,Stern::N,ulduz,ulduz
65,Luft::N,hava,hava
66,Wind::N,yel,yel
67,Wind::N,yel,külək
68,Wind::N,külək,yel
69,Wind::N,külək,külək
70,Welle::N,dalğa,dalğa
71,Wasser::N,su,su
72,Stein::N,daş,daş
73,Boden::N,yer,yer
74,Boden::N,yer,zəmin
75,Boden::N,zəmin,yer
76,Boden::N,zəmin,zəmin
77,Erde::N,yer torpaq,yer torpaq
78,Staub::N,toz,toz
79,Rauch::N,tüstü,tüstü
80,Funke::N,qığılcım,qığılcım
81,Feuer::N,od,od
82,Licht::N,işıq,işıq
83,Schatten::N,kölgə,kölgə
84,Wetter::N,hava,hava
85,Nebel::N,duman,duman
86,Wolke::N,bulud,bulud
87,Regen::N,yağış,yağış
88,Regen::N,yağış,yağmur
89,Regen::N,yağmur,yağış
90,Regen::N,yağmur,yağmur
91,Schnee::N,qar,qar
92,Eis::N,buz,buz
93,Frost::N,ayaz,ayaz
94,Kälte::N,soyuq,soyuq
95,Hitze::N,coşğunluq,coşğunluq
96,Raureif::N,qırov,qırov
97,Regenbogen::N,göy qurşağı,göy qurşağı
98,Donner::N,göy gurultusu,göy gurultusu
99,Strömung::N,axın,axın
100,Tropfen::N,damcı,damcı
101,Schaum::N,köpük,köpük
102,Schmutz::N,çamır,çamır
103,See::N,göl,göl
104,Sumpf::N,bataqlıq,bataqlıq
105,Moor::N,bataqlıq,bataqlıq
106,Wiese::N,çəmən,çəmən
107,Wald::N,meşə,meşə
108,Hügel::N,təpə,təpə
109,Anhöhe::N,təpə,təpə
110,Berg::N,dağ,dağ
111,Gipfel::N,zirvə,zirvə
112,Höhle::N,mağara,mağara
113,Abhang::N,yamac,yamac
114,Quelle::N,bulaq,bulaq
115,Bach::N,kiçik çay,kiçik çay
116,Fluss::N,çay,çay
117,Ufer::N,kənar,kənar
118,Küste::N,sahil,sahil
119,Festland::N,materik,materik
120,Meer::N,dəniz,dəniz
121,Bucht::N,körfəz,körfəz
122,Insel::N,ada,ada
123,Blume::N,çiçək,çiçək
124,Gras::N,ot,ot
125,Wurzel::N,kök,kök
126,Baum::N,ağac,ağac
127,Stamm::N,gövdə,gövdə
128,Rinde::N,qabıq,qabıq
129,Ast::N,şax,şax
130,Zweig::N,budaq,budaq
131,Blatt::N,yarpaq,yarpaq
132,Birke::N,tozağacı,tozağacı
133,Kiefer[Baum]::N,şam,şam
134,Weide[Baum]::N,söyüd,söyüd
135,Tanne::N,küknar,küknar
136,Horn::N,buynuz,buynuz
137,Feder::N,tük,tük
138,Feder::N,tük,lələk
139,Feder::N,lələk,tük
140,Feder::N,lələk,lələk
141,Fell::N,xəz,xəz
142,Flügel::N,qanad,qanad
143,Klaue::N,pəncə,pəncə
144,Kralle::N,dırnaq,dırnaq
145,Schwanz::N,quyruq,quyruq
146,Ei::N,yumurta,yumurta
147,Nest::N,yuva,yuva
148,Bau::N,yuva,yuva
149,Tier::N,heyvan,heyvan
150,Herde::N,sürü,sürü
151,Kuh::N,inək,inək
152,Bulle::N,öküz,öküz
153,Pferd::N,at,at
154,Schaf::N,qoyun,qoyun
155,Schwein::N,donuz,donuz
156,Hund::N,it,it
157,Hund::N,it,köpək
158,Hund::N,köpək,it
159,Hund::N,köpək,köpək
160,Katze::N,pişik,pişik
161,Bär::N,ayı,ayı
162,Eichhörnchen::N,dələ,dələ
163,Elch::N,sığın,sığın
164,Fuchs::N,tülkü,tülkü
165,Hase::N,dovşan,dovşan
166,Maus::N,siçan,siçan
167,Wolf::N,qurd,qurd
168,Vogel::N,quş,quş
169,Schwarm::N,sürü,sürü
170,Huhn::N,toyuq,toyuq
171,Hahn::N,xoruz,xoruz
172,Gans::N,qaz,qaz
173,Adler::N,qartal,qartal
174,Adler::N,qartal,qaraquş
175,Adler::N,qaraquş,qartal
176,Adler::N,qaraquş,qaraquş
177,Ente::N,ördək,ördək
178,Eule::N,bayquş,bayquş
179,Kranich::N,durna,durna
180,Krähe::N,qarğa,qarğa
181,Kuckuck::N,ququ,ququ
182,Schwan::N,qu quşu,qu quşu
183,Fisch::N,balıq,balıq
184,Barsch::N,tar,tar
185,Hecht::N,durnabalığı,durnabalığı
186,Schlange[Tier]::N,ilan,ilan
187,Wurm::N,qurd,qurd
188,Spinne::N,hörümçək,hörümçək
189,Ameise::N,qarışqa,qarışqa
190,Laus::N,bit,bit
191,Mücke::N,ağcaqanad,ağcaqanad
192,Fliege::N,milçək,milçək
193,Schmetterling::N,kəpənək,kəpənək
194,Beere::N,gilə,gilə
195,Apfel::N,alma,alma
196,Pilz::N,göbələk,göbələk
197,Zwiebel::N,soğan,soğan
198,Saat::N,əkin,əkin
199,Korn::N,taxıl,taxıl
200,Heu::N,quru ot,quru ot
201,Schale::N,qabıq,qabıq
202,Grube::N,çuxur,çuxur
203,Falle::N,tələ,tələ
204,Falle::N,tələ,duzaq
205,Falle::N,duzaq,tələ
206,Falle::N,duzaq,duzaq
207,Schlinge::N,ilmək,ilmək
208,Spur::N,iz,iz
209,Asche::N,kül,kül
210,Dreck::N,kir,kir
211,Eisen::N,dəmir,dəmir
212,Gold::N,altun,altun
213,Silber::N,gümüş,gümüş
214,Kohle::N,kömür,kömür
215,Glas::N,şüşə,şüşə
216,Lehm::N,gil,gil
217,Lehm::N,gil,palçıq
218,Lehm::N,palçıq,gil
219,Lehm::N,palçıq,palçıq
220,Sand::N,qum,qum
221,Mensch::N,adam,adam
222,Mensch::N,adam,insan
223,Mensch::N,insan,adam
224,Mensch::N,insan,insan
225,Mann::N,kişi,kişi
226,Frau::N,qadın,qadın
227,Kind::N,uşaq,uşaq
228,Junge::N,oğlan,oğlan
229,Mädchen::N,qız,qız
230,Familie::N,ailə,ailə
231,Großvater::N,baba,baba
232,Großmutter::N,nənə,nənə
233,Eltern::N,valideyn,valideyn
234,Vater::N,ata,ata
235,Mutter::N,ana,ana
236,Sohn::N,oğul,oğul
237,Tochter::N,qız,qız
238,Bruder::N,qardaş,qardaş
239,Schwester::N,bacı,bacı
240,Onkel::N,əmi,əmi
241,Onkel::N,əmi,dayı
242,Onkel::N,dayı,əmi
243,Onkel::N,dayı,dayı
244,Tante::N,bibi,bibi
245,Ehemann::N,ər,ər
246,Ehefrau::N,arvad,arvad
247,Freude::N,nəşə,nəşə
248,Freude::N,nəşə,sevinc
249,Freude::N,sevinc,nəşə
250,Freude::N,sevinc,sevinc
251,Gelächter::N,gülüş,gülüş
252,Gelächter::N,gülüş,qəhqəhə
253,Gelächter::N,qəhqəhə,gülüş
254,Gelächter::N,qəhqəhə,qəhqəhə
255,Glück::N,səadət,səadət
256,Glück::N,səadət,xoşbəxtlik
257,Glück::N,xoşbəxtlik,səadət
258,Glück::N,xoşbəxtlik,xoşbəxtlik
259,Kummer::N,qəm,qəm
260,Kummer::N,qəm,kədər
261,Kummer::N,kədər,qəm
262,Kummer::N,kədər,kədər
263,Wunsch::N,arzu,arzu
264,Lust::N,həvəs,həvəs
265,Geist::N,ruh,ruh
266,Gedanke::N,fikir,fikir
267,Gedanke::N,fikir,düşüncə
268,Gedanke::N,düşüncə,fikir
269,Gedanke::N,düşüncə,düşüncə
270,Gedächtnis::N,xatir,xatir
271,Gedächtnis::N,xatir,hafizə
272,Gedächtnis::N,hafizə,xatir
273,Gedächtnis::N,hafizə,hafizə
274,Verstand::N,ağıl,ağıl
275,Sinn::N,məna,məna
276,Grund::N,səbəb,səbəb
277,Wahrheit::N,haqq,haqq
278,Wahrheit::N,haqq,doğruluq
279,Wahrheit::N,doğruluq,haqq
280,Wahrheit::N,doğruluq,doğruluq
281,Gespräch::N,söhbət,söhbət
282,Gespräch::N,söhbət,qonuşma
283,Gespräch::N,qonuşma,söhbət
284,Gespräch::N,qonuşma,qonuşma
285,Märchen::N,nağıl,nağıl
286,Erzählung::N,hekayə,hekayə
287,Nachricht::N,xəbər,xəbər
288,Neuigkeit::N,xəbər,xəbər
289,Neuigkeit::N,xəbər,yenilik
290,Neuigkeit::N,yenilik,xəbər
291,Neuigkeit::N,yenilik,yenilik
292,Name::N,ad,ad
293,Rätsel::N,tapmaca,tapmaca
294,Rede::N,nitq,nitq
295,Sprache::N,dil,dil
296,Stimme::N,səs,səs
297,Wort::N,söz,söz
298,Wort::N,söz,kəlmə
299,Wort::N,kəlmə,söz
300,Wort::N,kəlmə,kəlmə
301,Zeichen::N,nişan,nişan
302,Ruf::N,çığırtı,çığırtı
303,Lärm::N,gurultu,gurultu
304,Laut::N,səs,səs
305,Ton::N,ton,ton
306,Lied::N,mahnı,mahnı
307,Ruhe::N,sakitlik,sakitlik
308,Leute::N,xalq,xalq
309,Volk::N,millət,millət
310,Arbeit::N,iş,iş
311,Arbeit::N,iş,əmək
312,Arbeit::N,əmək,iş
313,Arbeit::N,əmək,əmək
314,Gast::N,qonaq,qonaq
315,Gast::N,qonaq,müsafir
316,Gast::N,müsafir,qonaq
317,Gast::N,müsafir,müsafir
318,Geschenk::N,hədiyyə,hədiyyə
319,Spiel::N,oyun,oyun
320,Spiel::N,oyun,tamaşa
321,Spiel::N,tamaşa,oyun
322,Spiel::N,tamaşa,tamaşa
323,Gesellschaft::N,cəmiyyet,cəmiyyet
324,Hilfe::N,kömək,kömək
325,Hilfe::N,kömək,yardım
326,Hilfe::N,yardım,kömək
327,Hilfe::N,yardım,yardım
328,Freund::N,dost,dost
329,Kamerad::N,yoldaş,yoldaş
330,Angelegenheit::N,iş,iş
331,Anzahl::N,say,say
332,Art::N,çeşid,çeşid
333,Stück::N,dənə,dənə
334,Stück::N,dənə,parça
335,Stück::N,parça,dənə
336,Stück::N,parça,parça
337,Teil::N,qisim,qisim
338,Hälfte::N,yarım,yarım
339,Kreis::N,dairə,dairə
340,Kreuz::N,xaç,xaç
341,Linie::N,xətt,xətt
342,Strich::N,cızıq,cızıq
343,Abstand::N,məsafə,məsafə
344,Entfernung::N,məsafə,məsafə
345,Entfernung::N,məsafə,uzaqlıq
346,Entfernung::N,uzaqlıq,məsafə
347,Entfernung::N,uzaqlıq,uzaqlıq
348,Gegend::N,bölgə,bölgə
349,Platz::N,yer,yer
350,Ort::N,yer,yer
351,Seite::N,yan,yan
352,Seite::N,yan,tərəf
353,Seite::N,tərəf,yan
354,Seite::N,tərəf,tərəf
355,Mitte::N,orta,orta
356,Gegenstand::N,şey,şey
357,Sache::N,şey,şey
358,Rand::N,kənar,kənar
359,Kante::N,tiyə,tiyə
360,Kante::N,tiyə,kənar
361,Kante::N,kənar,tiyə
362,Kante::N,kənar,kənar
363,Ecke::N,bucaq,bucaq
364,Spitze::N,uc,uc
365,Ende::N,son,son
366,Ende::N,son,axır
367,Ende::N,axır,son
368,Ende::N,axır,axır
369,Loch::N,deşik,deşik
