,Concept_ID,lv,nl
0,Auge::N,син,oog
1,Auge::N,acs,oog
2,Ohr::N,пель,oor
3,Ohr::N,auss,oor
4,Nase::N,ныр,neus
5,Nase::N,deguns,neus
6,Mund::N,вом,mond
7,Mund::N,mute,mond
8,Zahn::N,пинь,tand
9,Zahn::N,zobs,tand
10,Zunge::N,кыв,tong
11,Zunge::N,mēle,tong
12,Lippe::N,вом дор,lip
13,Lippe::N,lūpa,lip
14,Wange::N,бан,wang
15,Wange::N,vaigs,wang
16,Gesicht::N,чужӧм,gelaat
17,Gesicht::N,чужӧм,gezicht
18,Gesicht::N,seja,gelaat
19,Gesicht::N,seja,gezicht
20,Gesicht::N,ģīmis,gelaat
21,Gesicht::N,ģīmis,gezicht
22,Stirn::N,плеш,voorhoofd
23,Stirn::N,кымӧс,voorhoofd
24,Stirn::N,piere,voorhoofd
25,Haar::N,си,haar
26,Haar::N,юрси,haar
27,Haar::N,mats,haar
28,Schnurrbart::N,ус,snor
29,Schnurrbart::N,пыртсим,snor
30,Schnurrbart::N,ūsas,snor
31,Bart::N,тош,baard
32,Bart::N,bārda,baard
33,Kinn::N,тшӧка,kin
34,Kinn::N,zods,kin
35,Kinn::N,smakrs,kin
36,Kiefer[Anatomie]::N,черлы,kaak
37,Kiefer[Anatomie]::N,алака лы,kaak
38,Kiefer[Anatomie]::N,вомкӧтш лы,kaak
39,Kiefer[Anatomie]::N,žoklis,kaak
40,Kehle::N,голя,keel
41,Kehle::N,голя,strot
42,Kehle::N,rīkle,keel
43,Kehle::N,rīkle,strot
44,Hals::N,сьылі,hals
45,Hals::N,kakls,hals
46,Genick::N,юрбӧр,nek
47,Genick::N,балябӧж,nek
48,Genick::N,sprands,nek
49,Kopf::N,юр,hoofd
50,Kopf::N,galva,hoofd
51,Rücken::N,мыш,rug
52,Rücken::N,mugura,rug
53,Bauch::N,рушку,buik
54,Bauch::N,vēders,buik
55,Nabel::N,гӧг,navel
56,Nabel::N,naba,navel
57,Busen::N,морӧс,boezem
58,Busen::N,krūts,boezem
59,Brust::N,морӧс,borst
60,Brust::N,krūts,borst
61,Schulter::N,пельпом,schouder
62,Schulter::N,plecs,schouder
63,Arm::N,ки,arm
64,Arm::N,roka,arm
65,Arm::N,delms,arm
66,Ellenbogen::N,гырддза,elleboog
67,Ellenbogen::N,elkonis,elleboog
68,Hand::N,ки,hand
69,Hand::N,roka,hand
70,Hand::N,plauksta,hand
71,Handfläche::N,ки пыдӧс,handpalm
72,Handfläche::N,delna,handpalm
73,Handfläche::N,plauksta,handpalm
74,Finger::N,чунь,vinger
75,Finger::N,pirksts,vinger
76,Fingernagel::N,гыж,nagel
77,Fingernagel::N,nags,nagel
78,Nagel[Anatomie]::N,гыж,nagel
79,Nagel[Anatomie]::N,nags,nagel
80,Zeh::N,кок чунь,teen
81,Zeh::N,pirksts,teen
82,Fuß::N,кок,voet
83,Fuß::N,kāja,voet
84,Ferse::N,кокбӧр,hak
85,Ferse::N,кокбӧр,hiel
86,Ferse::N,papēdis,hak
87,Ferse::N,papēdis,hiel
88,Knie::N,пидзӧс,knie
89,Knie::N,celis,knie
90,Oberschenkel::N,лядьвей,dij
91,Oberschenkel::N,бек,dij
92,Oberschenkel::N,ciska,dij
93,Oberschenkel::N,augšstilbs,dij
94,Bein::N,кок,been
95,Bein::N,kāja,been
96,Körper::N,туша,lichaam
97,Körper::N,вывтыр,lichaam
98,Körper::N,miesa,lichaam
99,Körper::N,ķermenis,lichaam
100,Haut::N,ку,huid
101,Haut::N,āda,huid
102,Blut::N,вир,bloed
103,Blut::N,asins,bloed
104,Ader::N,сӧн,ader
105,Ader::N,asinsvads,ader
106,Sehne::N,вез,pees
107,Sehne::N,dzīsla,pees
108,Knochen::N,лы,bot
109,Knochen::N,лы,been
110,Knochen::N,лы,knook
111,Knochen::N,kauls,bot
112,Knochen::N,kauls,been
113,Knochen::N,kauls,knook
114,Gehirn::N,вем,hersenen
115,Gehirn::N,smadzenes,hersenen
116,Herz::N,сьӧлӧм,hart
117,Herz::N,sirds,hart
118,Magen::N,кынӧм,maag
119,Magen::N,kuņģis,maag
120,Leber::N,мус,lever
121,Leber::N,aknas,lever
122,Atem::N,лов,adem
123,Atem::N,elpa,adem
124,Hunger::N,тшыг,honger
125,Hunger::N,bads,honger
126,Hunger::N,izsalkums,honger
127,Träne::N,синва,traan
128,Träne::N,asara,traan
129,Geschmack::N,кӧр,smaak
130,Geschmack::N,чӧсмӧс,smaak
131,Geschmack::N,garša,smaak
132,Geruch::N,зын,geur
133,Geruch::N,дук,geur
134,Geruch::N,smaka,geur
135,Schlaf::N,узьӧм,slaap
136,Schlaf::N,miegs,slaap
137,Traum::N,вӧт,droom
138,Traum::N,вӧтасьӧм,droom
139,Traum::N,sapnis,droom
140,Himmel::N,енэж,hemel
141,Himmel::N,debess,hemel
142,Sonne::N,шонді,zon
143,Sonne::N,saule,zon
144,Mond::N,тӧлысь,maan
145,Mond::N,mēness,maan
146,Stern::N,кодзув,ster
147,Stern::N,zvaigzne,ster
148,Luft::N,сынӧд,lucht
149,Luft::N,gaiss,lucht
150,Wind::N,тӧв,wind
151,Wind::N,vējš,wind
152,Welle::N,гы,golf
153,Welle::N,vilnis,golf
154,Wasser::N,ва,water
155,Wasser::N,ūdens,water
156,Stein::N,из,steen
157,Stein::N,akmens,steen
158,Boden::N,му,grond
159,Boden::N,augsne,grond
160,Erde::N,му,aarde
161,Erde::N,му-ва,aarde
162,Erde::N,zeme,aarde
163,Staub::N,бус,stof
164,Staub::N,putekļi,stof
165,Rauch::N,тшын,rook
166,Rauch::N,dūmi,rook
167,Funke::N,кинь,vonk
168,Funke::N,би кинь,vonk
169,Funke::N,dzirkstele,vonk
170,Feuer::N,би,vuur
171,Feuer::N,uguns,vuur
172,Licht::N,югӧр,licht
173,Licht::N,gaisma,licht
174,Schatten::N,вуджӧр,schaduw
175,Schatten::N,ēna,schaduw
176,Wetter::N,поводдя,weer
177,Wetter::N,laiks,weer
178,Nebel::N,ру,mist
179,Nebel::N,ру,nevel
180,Nebel::N,онь,mist
181,Nebel::N,онь,nevel
182,Nebel::N,migla,mist
183,Nebel::N,migla,nevel
184,Wolke::N,кымӧр,wolk
185,Wolke::N,mākonis,wolk
186,Regen::N,зэр,regen
187,Regen::N,lietus,regen
188,Schnee::N,лым,sneeuw
189,Schnee::N,sniegs,sneeuw
190,Eis::N,йи,ijs
191,Eis::N,ledus,ijs
192,Frost::N,кӧдзыд,vorst
193,Frost::N,sals,vorst
194,Kälte::N,кӧдзыд,kou
195,Kälte::N,кӧдзыд,koude
196,Kälte::N,saltums,kou
197,Kälte::N,saltums,koude
198,Kälte::N,aukstums,kou
199,Kälte::N,aukstums,koude
200,Hitze::N,пӧсь,hitte
201,Hitze::N,гожӧд,hitte
202,Hitze::N,karstums,hitte
203,Raureif::N,пуж,rijp
204,Raureif::N,гыӧр,rijp
205,Raureif::N,sarma,rijp
206,Regenbogen::N,ӧшкамӧшка,regenboog
207,Regenbogen::N,varavīksne,regenboog
208,Donner::N,гым,donder
209,Donner::N,pērkons,donder
210,Strömung::N,ва ныр,stroming
211,Strömung::N,визувтӧм,stroming
212,Strömung::N,straume,stroming
213,Strömung::N,strāvojums,stroming
214,Tropfen::N,войт,druppel
215,Tropfen::N,lāse,druppel
216,Schaum::N,быг,schuim
217,Schaum::N,быгзьӧм,schuim
218,Schaum::N,putas,schuim
219,Schmutz::N,няйт,vuil
220,Schmutz::N,dubļi,vuil
221,See::N,ты,meer
222,See::N,ezers,meer
223,Sumpf::N,гыбад,moeras
224,Sumpf::N,кад,moeras
225,Sumpf::N,dumbrājs,moeras
226,Sumpf::N,staignājs,moeras
227,Moor::N,нюр,veen
228,Moor::N,purvs,veen
229,Moor::N,muklājs,veen
230,Wiese::N,видз,wei
231,Wiese::N,видз,weide
232,Wiese::N,pļava,wei
233,Wiese::N,pļava,weide
234,Wald::N,вӧр,bos
235,Wald::N,mežs,bos
236,Hügel::N,дзиб,heuvel
237,Hügel::N,мыльк,heuvel
238,Hügel::N,нӧрыс,heuvel
239,Hügel::N,paugurs,heuvel
240,Anhöhe::N,мыльк,hoogte
241,Anhöhe::N,нӧрыс,hoogte
242,Anhöhe::N,paugurs,hoogte
243,Berg::N,чой,berg
244,Berg::N,керӧс,berg
245,Berg::N,kalns,berg
246,Gipfel::N,чук,top
247,Gipfel::N,virsotne,top
248,Höhle::N,рудӧг,hol
249,Höhle::N,ala,hol
250,Abhang::N,ньывк,helling
251,Abhang::N,бокша,helling
252,Abhang::N,nogāze,helling
253,Quelle::N,ӧшмӧс,bron
254,Quelle::N,avots,bron
255,Bach::N,шор,beek
256,Bach::N,urga,beek
257,Bach::N,strauts,beek
258,Fluss::N,ю,stroom
259,Fluss::N,upe,stroom
260,Ufer::N,вадор,wal
261,Ufer::N,вадор,oever
262,Ufer::N,krasts,wal
263,Ufer::N,krasts,oever
264,Küste::N,вадор,kust
265,Küste::N,piekraste,kust
266,Festland::N,му,vasteland
267,Festland::N,sauszeme,vasteland
268,Meer::N,саридз,zee
269,Meer::N,jūra,zee
270,Bucht::N,куръя,baai
271,Bucht::N,куръя,inham
272,Bucht::N,līcis,baai
273,Bucht::N,līcis,inham
274,Insel::N,ді,eiland
275,Insel::N,sala,eiland
276,Blume::N,дзоридз,bloem
277,Blume::N,puķe,bloem
278,Blume::N,zieds,bloem
279,Gras::N,турун,gras
280,Gras::N,zāle,gras
281,Wurzel::N,вуж,wortel
282,Wurzel::N,sakne,wortel
283,Baum::N,пу,boom
284,Baum::N,koks,boom
285,Stamm::N,пучер,stam
286,Stamm::N,stumbrs,stam
287,Rinde::N,кырсь,schors
288,Rinde::N,miza,schors
289,Ast::N,ув,tak
290,Ast::N,zars,tak
291,Zweig::N,вож,twijg
292,Zweig::N,nozare,twijg
293,Blatt::N,кор,blad
294,Blatt::N,lapa,blad
295,Birke::N,кыдз,berk
296,Birke::N,bērzs,berk
297,Kiefer[Baum]::N,пожӧм,den
298,Kiefer[Baum]::N,priede,den
299,Weide[Baum]::N,бадь,wilg
300,Weide[Baum]::N,kārkls,wilg
301,Tanne::N,коз,spar
302,Tanne::N,egle,spar
303,Horn::N,сюр,hoorn
304,Horn::N,rags,hoorn
305,Feder::N,гӧн,veer
306,Feder::N,гӧн,pluim
307,Feder::N,тывборд,veer
308,Feder::N,тывборд,pluim
309,Feder::N,spalva,veer
310,Feder::N,spalva,pluim
311,Fell::N,ку,vel
312,Fell::N,āda,vel
313,Flügel::N,борд,vleugel
314,Flügel::N,spārns,vleugel
315,Klaue::N,гыж,klauw
316,Klaue::N,nags,klauw
317,Kralle::N,гыж,klauw
318,Kralle::N,nags,klauw
319,Schwanz::N,бӧж,staart
320,Schwanz::N,ļipa,staart
321,Ei::N,кольк,ei
322,Ei::N,ola,ei
323,Nest::N,поз,nest
324,Nest::N,ligzda,nest
325,Bau::N,горс,hol
326,Bau::N,пырмӧс,hol
327,Bau::N,гу,hol
328,Bau::N,ala,hol
329,Tier::N,пемӧс,dier
330,Tier::N,dzīvnieks,dier
331,Herde::N,стада,kudde
332,Herde::N,кельӧб,kudde
333,Herde::N,ganāmpulks,kudde
334,Kuh::N,мӧс,koe
335,Kuh::N,govs,koe
336,Bulle::N,ӧш,stier
337,Bulle::N,bullis,stier
338,Pferd::N,вӧв,paard
339,Pferd::N,zirgs,paard
340,Schaf::N,ыж,schaap
341,Schaf::N,aita,schaap
342,Schwein::N,порсь,varken
343,Schwein::N,cūka,varken
344,Hund::N,пон,hond
345,Hund::N,suns,hond
346,Katze::N,кань,kat
347,Katze::N,kaķis,kat
348,Bär::N,ош,beer
349,Bär::N,lācis,beer
350,Eichhörnchen::N,ур,eekhoorntje
351,Eichhörnchen::N,vāvere,eekhoorntje
352,Elch::N,йӧра,eland
353,Elch::N,alnis,eland
354,Fuchs::N,руч,vos
355,Fuchs::N,lapsa,vos
356,Hase::N,кӧч,haas
357,Hase::N,zaķis,haas
358,Maus::N,шыр,muis
359,Maus::N,pele,muis
360,Wolf::N,кӧин,wolf
361,Wolf::N,vilks,wolf
362,Vogel::N,кай,vogel
363,Vogel::N,лэбач,vogel
364,Vogel::N,putns,vogel
365,Schwarm::N,чукӧр,zwerm
366,Schwarm::N,spiets,zwerm
367,Huhn::N,курӧг,kip
368,Huhn::N,курӧг,hoen
369,Huhn::N,vista,kip
370,Huhn::N,vista,hoen
371,Hahn::N,петук,haan
372,Hahn::N,gailis,haan
373,Gans::N,дзодзӧг,gans
374,Gans::N,zoss,gans
375,Adler::N,кутш,arend
376,Adler::N,ērglis,arend
377,Ente::N,утка,eend
378,Ente::N,pīle,eend
379,Eule::N,сюзь,uil
380,Eule::N,pūce,uil
381,Kranich::N,тури,kraanvogel
382,Kranich::N,dzērve,kraanvogel
383,Krähe::N,рака,kraai
384,Krähe::N,vārna,kraai
385,Kuckuck::N,кӧк,koekoek
386,Kuckuck::N,dzeguze,koekoek
387,Schwan::N,юсь,zwaan
388,Schwan::N,gulbis,zwaan
389,Fisch::N,чери,vis
390,Fisch::N,zivs,vis
391,Barsch::N,ёкыш,baars
392,Barsch::N,asaris,baars
393,Hecht::N,сир,snoek
394,Hecht::N,līdaka,snoek
395,Schlange[Tier]::N,кый,slang
396,Schlange[Tier]::N,čūska,slang
397,Wurm::N,номыр,worm
398,Wurm::N,tārps,worm
399,Spinne::N,черань,spin
400,Spinne::N,zirneklis,spin
401,Ameise::N,кодзувкот,mier
402,Ameise::N,skudra,mier
403,Laus::N,той,luis
404,Laus::N,uts,luis
405,Mücke::N,ном,mug
406,Mücke::N,ods,mug
407,Fliege::N,гут,vlieg
408,Fliege::N,muša,vlieg
409,Schmetterling::N,бобув,vlinder
410,Schmetterling::N,tauriņš,vlinder
411,Beere::N,тусь,bes
412,Beere::N,вотӧс,bes
413,Beere::N,oga,bes
414,Apfel::N,яблӧг,appel
415,Apfel::N,ābols,appel
416,Pilz::N,тшак,paddestoel
417,Pilz::N,sēne,paddestoel
418,Zwiebel::N,луккок,ui
419,Zwiebel::N,йӧнгыль,ui
420,Zwiebel::N,sīpols,ui
421,Saat::N,тусь,zaad
422,Saat::N,кӧйдыс,zaad
423,Saat::N,sēkla,zaad
424,Korn::N,тусь,graan
425,Korn::N,тусь,korrel
426,Korn::N,grauds,graan
427,Korn::N,grauds,korrel
428,Heu::N,турун,hooi
429,Heu::N,siens,hooi
430,Schale::N,кор,schil
431,Schale::N,čaula,schil
432,Schale::N,čaumala,schil
433,Grube::N,гу,kuil
434,Grube::N,bedre,kuil
435,Falle::N,лэч,val
436,Falle::N,slazds,val
437,Falle::N,lamatas,val
438,Schlinge::N,лэч,strop
439,Schlinge::N,cilpa,strop
440,Spur::N,туй,spoor
441,Spur::N,pēda,spoor
442,Asche::N,пӧм,as
443,Asche::N,pelni,as
444,Dreck::N,няйт,drek
445,Dreck::N,dubļi,drek
446,Eisen::N,кӧрт,ijzer
447,Eisen::N,dzelzs,ijzer
448,Gold::N,зарни,goud
449,Gold::N,zelts,goud
450,Silber::N,эзысь,zilver
451,Silber::N,sudrabs,zilver
452,Kohle::N,шом,kool
453,Kohle::N,ogle,kool
454,Glas::N,стеклӧ,glas
455,Glas::N,stikls,glas
456,Lehm::N,сёй,klei
457,Lehm::N,māls,klei
458,Sand::N,лыа,zand
459,Sand::N,smiltis,zand
460,Mensch::N,морт,mens
461,Mensch::N,cilvēks,mens
462,Mann::N,аймӧрт,man
463,Mann::N,мужичӧй,man
464,Mann::N,vīrietis,man
465,Frau::N,ань,vrouw
466,Frau::N,нывбаба,vrouw
467,Frau::N,sieviete,vrouw
468,Kind::N,кага,kind
469,Kind::N,bērns,kind
470,Junge::N,пи,jongen
471,Junge::N,zēns,jongen
472,Junge::N,puika,jongen
473,Junge::N,puisis,jongen
474,Mädchen::N,ныв,meisje
475,Mädchen::N,meiča,meisje
476,Mädchen::N,skuķis,meisje
477,Mädchen::N,meitene,meisje
478,Familie::N,семья,gezin
479,Familie::N,семья,familie
480,Familie::N,ģimene,gezin
481,Familie::N,ģimene,familie
482,Großvater::N,пӧль,grootvader
483,Großvater::N,vecaistēvs,grootvader
484,Großmutter::N,баб,grootmoeder
485,Großmutter::N,vecāmāte,grootmoeder
486,Eltern::N,ай-мам,ouders
487,Eltern::N,бать-мам,ouders
488,Eltern::N,vecāki,ouders
489,Vater::N,бать,vader
490,Vater::N,ай,vader
491,Vater::N,tēvs,vader
492,Mutter::N,мам,moeder
493,Mutter::N,māte,moeder
494,Sohn::N,пи,zoon
495,Sohn::N,dēls,zoon
496,Tochter::N,ныв,dochter
497,Tochter::N,meita,dochter
498,Bruder::N,вок,broer
499,Bruder::N,вок,broeder
500,Bruder::N,brālis,broer
501,Bruder::N,brālis,broeder
502,Schwester::N,чой,zus
503,Schwester::N,чой,zuster
504,Schwester::N,māsa,zus
505,Schwester::N,māsa,zuster
506,Onkel::N,дядь,oom
507,Onkel::N,tēvocis,oom
508,Tante::N,тьӧт,tante
509,Tante::N,tante,tante
510,Ehemann::N,верӧс,echtgenoot
511,Ehemann::N,vīrs,echtgenoot
512,Ehefrau::N,гӧтыр,echtgenote
513,Ehefrau::N,sieva,echtgenote
514,Freude::N,радлун,vreugde
