,Concept_ID,da,tr
0,Auge::N,øje,göz
1,Ohr::N,øre,kulak
2,Nase::N,næse,burun
3,Mund::N,mund,ağız
4,Zahn::N,tand,diş
5,Zunge::N,tunge,dil
6,Lippe::N,læbe,dudak
7,Wange::N,kind,yanak
8,Gesicht::N,ansigt,yüz
9,Stirn::N,pande,alın
10,Haar::N,hår,saç
11,Schnurrbart::N,overskæg,bıyık
12,Bart::N,skæg,sakal
13,Kinn::N,hage,çene
14,Kiefer[Anatomie]::N,kæbe,çene
15,Kehle::N,strube,boğaz
16,Hals::N,hals,boyun
17,Hals::N,hals,gerdan
18,Genick::N,nakke,ense
19,Kopf::N,hoved,baş
20,Kopf::N,hoved,kafa
21,Rücken::N,ryg,arka
22,Bauch::N,mave,karın
23,Nabel::N,navle,göbek
24,Busen::N,barm,koyun
25,Brust::N,bryst,göğüs
26,Schulter::N,skulder,omuz
27,Arm::N,arm,kol
28,Ellenbogen::N,albue,dirsek
29,Hand::N,hånd,el
30,Handfläche::N,håndflade,avuç
31,Handfläche::N,håndflade,el ayası
32,Finger::N,finger,parmak
33,Fingernagel::N,fingernegl,el tırnağı
34,Nagel[Anatomie]::N,negl,tırnak
35,Zeh::N,tå,ayak parmağı
36,Fuß::N,fod,ayak
37,Ferse::N,hæl,topuk
38,Knie::N,knæ,diz
39,Oberschenkel::N,lår,uyluk
40,Bein::N,ben,bacak
41,Körper::N,krop,vücut
42,Körper::N,legeme,vücut
43,Haut::N,hud,cilt
44,Blut::N,blod,kan
45,Ader::N,åre,damar
46,Sehne::N,sene,kiriş
47,Knochen::N,ben,kemik
48,Gehirn::N,hjerne,beyin
49,Herz::N,hjerte,kalp
50,Herz::N,hjerte,yürek
51,Magen::N,mave,mide
52,Leber::N,lever,karaciğer
53,Atem::N,ånde,nefes
54,Hunger::N,sult,açlık
55,Träne::N,tåre,gözyaşı
56,Geschmack::N,smag,tat
57,Geschmack::N,smag,lezzet
58,Geruch::N,lugt,koku
59,Schlaf::N,søvn,uyku
60,Traum::N,drøm,düş
61,Traum::N,drøm,rüya
62,Himmel::N,himmel,gök
63,Sonne::N,sol,güneş
64,Mond::N,måne,ay
65,Stern::N,stjerne,yıldız
66,Luft::N,luft,hava
67,Wind::N,vind,yel
68,Wind::N,vind,rüzgâr
69,Welle::N,bølge,dalga
70,Wasser::N,vand,su
71,Stein::N,sten,taş
72,Boden::N,jord,yer
73,Boden::N,jord,zemin
74,Erde::N,jord,toprak
75,Staub::N,støv,toz
76,Rauch::N,røg,duman
77,Funke::N,gnist,kıvılcım
78,Feuer::N,ild,ateş
79,Licht::N,lys,ışık
80,Schatten::N,skygge,gölge
81,Wetter::N,vejr,hava
82,Nebel::N,tåge,pus
83,Wolke::N,sky,bulut
84,Regen::N,regn,yağmur
85,Schnee::N,sne,kar
86,Eis::N,is,buz
87,Frost::N,frost,don
88,Kälte::N,kulde,soğukluk
89,Hitze::N,hede,sıcaklık
90,Raureif::N,rimfrost,kırç
91,Regenbogen::N,regnbue,gökkuşağı
92,Donner::N,torden,gök gürlemesi
93,Strömung::N,strømning,akıntı
94,Strömung::N,strømning,cereyan
95,Tropfen::N,dråbe,damla
96,Schaum::N,skum,köpük
97,Schmutz::N,snavs,çamur
