,Concept_ID,pt,kn
0,Auge::N,olho,ಕಣ್ಣು
1,Ohr::N,orelha,ಕಿವಿ
2,Nase::N,nariz,ಮೂಗು
3,Mund::N,boca,ಬಾಯಿ
4,Zahn::N,dente,ಹಲ್ಲು
5,Zunge::N,língua,ನಾಲಿಗೆ
6,Lippe::N,lábio,ತುಟಿ
7,Wange::N,face,ಗಲ್ಲ
8,Gesicht::N,cara,ಮುಖ
9,Gesicht::N,rosto,ಮುಖ
10,Stirn::N,testa,ಹಣೆ
11,Haar::N,cabelo,ಕೂದಲು
12,Schnurrbart::N,bigode,ಮೀಸೆ
13,Bart::N,barba,ಗಡ್ಡ
14,Kinn::N,queixo,ಗದ್ದ
15,Kiefer[Anatomie]::N,maxila,ದವಡೆ
16,Kiefer[Anatomie]::N,mandíbula,ದವಡೆ
17,Kehle::N,garganta,ಗಂಟಲು
18,Hals::N,colo,ಕೊರಳು
19,Hals::N,pescoço,ಕೊರಳು
20,Genick::N,nuca,ಹಿಂಗತ್ತು
21,Kopf::N,cabeça,ತಲೆ
22,Rücken::N,dorso,ಬೆನ್ನು
23,Rücken::N,costas,ಬೆನ್ನು
24,Bauch::N,ventre,ಹೊಟ್ಟೆ
25,Bauch::N,barriga,ಹೊಟ್ಟೆ
26,Nabel::N,umbigo,ಹೊಕ್ಕುಳು
27,Busen::N,seio,ಸ್ತನ
28,Brust::N,peito,ಎದೆ
29,Schulter::N,ombro,ಭುಜ
30,Arm::N,braço,ತೋಳು
31,Ellenbogen::N,cotovelo,ಮೊಣಕೈ
32,Hand::N,mão,ಕೈ
33,Handfläche::N,palma,ಅಂಗೈ
34,Handfläche::N,palma da mão,ಅಂಗೈ
35,Finger::N,dedo,ಕೈಬೆರಳು
36,Fingernagel::N,unha,ಉಗುರು
37,Nagel[Anatomie]::N,unha,ಉಗುರು
38,Zeh::N,dedo do pé,ಕಾಲ್ಬೆರಳು
39,Fuß::N,pé,ಪಾದ
40,Ferse::N,calcanhar,ಹಿಮ್ಮಡಿ
41,Knie::N,joelho,ಮಂಡಿ
42,Oberschenkel::N,coxa,ತೊಡೆ
43,Bein::N,perna,ಕಾಲು
44,Körper::N,corpo,ದೇಹ
45,Haut::N,pele,ಚರ್ಮ
46,Blut::N,sangue,ರಕ್ತ
47,Ader::N,veia,ನರ
48,Sehne::N,tendão,ನರ
49,Knochen::N,osso,ಮೂಳೆ
50,Gehirn::N,cérebro,ಮಿದುಳು
51,Herz::N,coração,ಹೃದಯ
52,Magen::N,estômago,ಉದರ
53,Leber::N,fígado,ಯಕೃತ್ತು
54,Atem::N,fôlego,ಉಸಿರು
55,Hunger::N,fome,ಹಸಿವು
56,Träne::N,lágrima,ಕಣ್ಣೀರು
57,Geschmack::N,gosto,ರುಚಿ
58,Geruch::N,odor,ವಾಸನೆ
59,Geruch::N,cheiro,ವಾಸನೆ
60,Schlaf::N,sono,ನಿದ್ರೆ
61,Traum::N,sonho,ಕನಸು
62,Himmel::N,céu,ಬಾನು
63,Sonne::N,sol,ಸೂರ್ಯ
64,Mond::N,lua,ಚಂದ್ರ
65,Stern::N,estrela,ಚುಕ್ಕಿ
66,Luft::N,ar,ವಾಯು
67,Wind::N,vento,ಗಾಳಿ
68,Welle::N,onda,ಅಲೆ
69,Wasser::N,água,ನೀರು
70,Stein::N,pedra,ಕಲ್ಲು
71,Boden::N,solo,ನೆಲ
72,Erde::N,terra,ಭೂಮಿ
