,Concept_ID,et,sq
0,Auge::N,silm,sy
1,Ohr::N,kõrv,vesh
2,Nase::N,nina,hundë
3,Mund::N,suu,gojë
4,Zahn::N,hammas,dhëmb
5,Zunge::N,keel,gjuhë
6,Lippe::N,huul,buzë
7,Wange::N,põsk,faqe
8,Wange::N,põsk,mollëz
9,Gesicht::N,nägu,fytyrë
10,Stirn::N,otsmik,ballë
11,Haar::N,juus,flokë
12,Schnurrbart::N,vurrud,mustaqe
13,Schnurrbart::N,vuntsid,mustaqe
14,Bart::N,habe,mjekër
15,Kinn::N,lõug,mjekër
16,Kiefer[Anatomie]::N,lõualuu,nofull
17,Kehle::N,kõri,fyt
18,Kehle::N,kõri,grykë
19,Hals::N,kael,qafë
20,Genick::N,kukal,arrëz
21,Kopf::N,pea,kokë
22,Rücken::N,selg,kurriz
23,Bauch::N,kõht,bark
24,Nabel::N,naba,kërthizë
25,Busen::N,rind,gji
26,Brust::N,rind,gjoks
27,Brust::N,rind,kraharor
28,Schulter::N,õlg,sup
29,Schulter::N,õlg,krah
30,Arm::N,käsivars,krah
31,Ellenbogen::N,küünarnukk,bërryl
32,Hand::N,käsi,dorë
33,Handfläche::N,pihk,pëllëmbë
34,Finger::N,sõrm,gisht
35,Fingernagel::N,küüs,thua
36,Nagel[Anatomie]::N,küüs,thua
37,Zeh::N,varvas,gisht i këmbës
38,Fuß::N,jalg,këmbë
39,Ferse::N,kand,thembër
40,Knie::N,põlv,gju
41,Oberschenkel::N,reis,kofshë
42,Bein::N,jalg,këmbë
43,Körper::N,ihu,trup
44,Körper::N,keha,trup
45,Haut::N,nahk,lëkurë
46,Blut::N,veri,gjak
47,Ader::N,veen,venë
48,Sehne::N,kõõlus,dell
49,Knochen::N,luu,asht
50,Knochen::N,luu,kockë
51,Gehirn::N,aju,tru
52,Herz::N,süda,zemër
53,Magen::N,magu,stomak
54,Leber::N,maks,mëlçi
55,Atem::N,hingeõhk,frymë
56,Atem::N,hingamine,frymë
57,Hunger::N,nälg,uri
58,Träne::N,pisar,lot
59,Geschmack::N,maitse,shije
60,Geruch::N,lõhn,erë
61,Schlaf::N,uni,gjumë
62,Traum::N,unenägu,ëndërr
63,Himmel::N,taevas,qiell
64,Sonne::N,päike,diell
65,Mond::N,kuu,hënë
66,Stern::N,täht,yll
67,Luft::N,õhk,ajër
68,Wind::N,tuul,erë
69,Welle::N,laine,valë
70,Welle::N,laine,dallgë
71,Wasser::N,vesi,ujë
72,Stein::N,kivi,gur
73,Boden::N,maa,tokë
74,Boden::N,maa,truall
75,Boden::N,pinnas,tokë
76,Boden::N,pinnas,truall
77,Erde::N,maa,dhe
78,Erde::N,maa,baltë
79,Staub::N,põrm,pluhur
80,Rauch::N,suits,tym
81,Funke::N,säde,xixë
82,Funke::N,säde,shkëndijë
83,Feuer::N,tuli,zjarr
84,Licht::N,valgus,dritë
85,Schatten::N,vari,hije
86,Wetter::N,ilm,mot
87,Nebel::N,udu,mjegull
88,Wolke::N,pilv,re
89,Regen::N,sadu,shi
90,Schnee::N,lumi,borë
91,Eis::N,jää,akull
92,Frost::N,pakane,ngricë
93,Kälte::N,külm,të ftohtë
94,Kälte::N,külmus,të ftohtë
95,Hitze::N,kuumus,vapë
96,Hitze::N,kuumus,nxehtësi
97,Hitze::N,palavus,vapë
98,Hitze::N,palavus,nxehtësi
99,Raureif::N,härmatis,cikmë
100,Regenbogen::N,vikerkaar,ylber
101,Donner::N,kõu,gjëmim
102,Donner::N,kõu,bubullimë
103,Donner::N,müristamine,gjëmim
104,Donner::N,müristamine,bubullimë
105,Strömung::N,voolus,rrymë
106,Strömung::N,jõevool,rrymë
107,Tropfen::N,tilk,pikë
108,Schaum::N,vaht,shkumë
109,Schmutz::N,pori,baltë
110,Schmutz::N,mustus,baltë
111,See::N,järv,liqen
112,Sumpf::N,soo,batak
113,Moor::N,raba,kënetë
114,Wiese::N,aas,livadh
115,Wiese::N,nurm,livadh
116,Wald::N,mets,pyll
117,Hügel::N,küngas,kodër
