,Concept_ID,cv,ro
0,Auge::N,куҫ,ochi
1,Ohr::N,хӑлха,ureche
2,Nase::N,сӑмса,nas
3,Mund::N,ҫӑвар,gură
4,Zahn::N,шӑл,dinte
5,Zunge::N,чӗлхе,limbă
6,Lippe::N,тута,buză
7,Wange::N,пит ҫӑмарти,bucă
8,Wange::N,пит ҫӑмарти,obraz
9,Gesicht::N,пит,față
10,Gesicht::N,пит,figură
11,Gesicht::N,пит-куҫ,față
12,Gesicht::N,пит-куҫ,figură
13,Stirn::N,ҫамка,frunte
14,Haar::N,ҫӳҫ,păr
15,Schnurrbart::N,усси,mustață
16,Bart::N,сухал,barbă
17,Kinn::N,янах,bărbie
18,Kiefer[Anatomie]::N,янах,falcă
19,Kehle::N,пыр,beregată
20,Kehle::N,карланкӑ,beregată
21,Hals::N,пыр,gât
22,Genick::N,ӗнсе,ceafă
23,Kopf::N,пуҫ,cap
24,Rücken::N,ҫурӑм,dos
25,Rücken::N,ҫурӑм,spate
26,Rücken::N,ҫурӑм,spinare
27,Nabel::N,кӑвапа,buric
28,Busen::N,кӑкӑр,sân
29,Brust::N,умӗ,piept
30,Schulter::N,хул пуҫҫи,umăr
31,Schulter::N,хул пуҫҫи,spate
32,Arm::N,алӑ,braț
33,Ellenbogen::N,чавса,cot
34,Hand::N,алӑ сыппи,mână
35,Handfläche::N,ал лаппи,palmă
36,Finger::N,пӳрне,deget
37,Fingernagel::N,чӗрне,unghie
38,Nagel[Anatomie]::N,чӗрне,unghie
39,Zeh::N,пӳрне,deget de la picior
40,Fuß::N,ура лаппи,picior
41,Ferse::N,кӗле,călcâi
42,Knie::N,чӗркуҫҫи,genunchi
43,Oberschenkel::N,пӗҫӗ,coapsă
44,Bein::N,ура,picior
45,Körper::N,ӳт,corp
46,Körper::N,ӳт-пӳ,corp
47,Haut::N,тир,piele
48,Blut::N,юн,sânge
49,Ader::N,вена,vână
50,Ader::N,вена,arteră
51,Sehne::N,шӑнӑр,tendon
52,Knochen::N,шӑмӑ,os
53,Gehirn::N,миме,creier
54,Herz::N,чӗре,inimă
55,Magen::N,хырӑмлӑх,stomac
56,Leber::N,пӗвер,ficat
57,Atem::N,сывлав,răsuflare
58,Atem::N,сывлав,respirație
59,Hunger::N,выҫлӑх,foame
60,Träne::N,куҫҫуль,lacrimă
61,Geschmack::N,техӗм,gust
62,Geruch::N,шӑршӑ,miros
63,Schlaf::N,ыйхӑ,somn
64,Traum::N,тӗлӗк,vis
65,Himmel::N,пӗлӗт,cer
66,Sonne::N,хӗвел,soare
67,Mond::N,уйӑх,lună
68,Stern::N,ҫӑлтӑр,stea
69,Luft::N,сывлӑш,aer
70,Wind::N,ҫил,vânt
71,Welle::N,хум,val
72,Welle::N,хум,undă
73,Wasser::N,шыв,apă
74,Wasser::N,шыв-шур,apă
75,Stein::N,чул,piatră
76,Boden::N,тӑпра,sol
77,Boden::N,тӑпра,pământ
78,Erde::N,ҫӗр,pământ
79,Staub::N,тусан,praf
80,Rauch::N,тӗтӗм,fum
81,Funke::N,хӗм,scânteie
82,Feuer::N,вут,foc
83,Feuer::N,ҫулӑм,foc
84,Licht::N,ҫутӑ,lumină
