,Concept_ID,ja,ku
0,Auge::N,目,çav
1,Ohr::N,耳,guh
2,Nase::N,鼻,bêvil
3,Mund::N,口,dev
4,Zahn::N,歯,didan
5,Zunge::N,舌,ziman
6,Lippe::N,唇,lêv
7,Wange::N,頬,dêm
8,Wange::N,頬,hinarik
9,Gesicht::N,顔,rû
10,Stirn::N,額,enî
11,Haar::N,髪,por
12,Schnurrbart::N,口髭,simbêl
13,Bart::N,髭,rih
14,Kinn::N,顎,zenî
15,Kiefer[Anatomie]::N,顎,arguşk
16,Kehle::N,喉,qirik
17,Hals::N,首,stû
18,Hals::N,首,qirik
19,Genick::N,首,stû
20,Kopf::N,頭,serî
21,Rücken::N,背中,pişt
22,Bauch::N,腹,ûr
23,Bauch::N,腹,zik
24,Bauch::N,お腹,ûr
25,Bauch::N,お腹,zik
26,Nabel::N,へそ,navik
27,Busen::N,乳房,sîng
28,Brust::N,胸,sîng
29,Schulter::N,肩,mil
30,Arm::N,腕,çepil
31,Ellenbogen::N,肘,enîşk
32,Hand::N,手,dest
33,Handfläche::N,手のひら,kefadest
34,Finger::N,指,tilî
35,Fingernagel::N,爪,neynuk
36,Nagel[Anatomie]::N,爪,bizmar
37,Zeh::N,足の指,tilî linga
38,Fuß::N,足,ling
39,Ferse::N,かかと,pahnî
40,Knie::N,膝,kabok
41,Oberschenkel::N,上腿,rahn
42,Bein::N,足,çip
43,Körper::N,体,laş
44,Körper::N,体,gowde
45,Haut::N,皮膚,çerm
46,Blut::N,血,xwîn
47,Ader::N,血管,reh
48,Sehne::N,腱,reh
49,Knochen::N,骨,hestî
50,Gehirn::N,脳,mêjî
51,Herz::N,心,dil
52,Herz::N,心臓,dil
53,Magen::N,胃,navêş
54,Leber::N,肝臓,kezeb
55,Atem::N,息,hilm
56,Atem::N,呼吸,hilm
57,Hunger::N,空腹,birçîtî
58,Träne::N,涙,hêstir
59,Geschmack::N,味,tam
60,Geruch::N,匂い,bêhn
61,Schlaf::N,睡眠,xew
62,Traum::N,夢,xewn
63,Himmel::N,空,ezman
64,Sonne::N,太陽,roj
65,Mond::N,月,heyv
66,Stern::N,星,stêrk
67,Luft::N,空気,ba
68,Wind::N,風,ba
69,Welle::N,波,şewl
70,Wasser::N,水,av
71,Stein::N,石,kevir
72,Boden::N,土地,herd
73,Erde::N,土,ax
74,Staub::N,埃,toz
75,Rauch::N,煙,dû
76,Funke::N,火花,çirûşk
77,Feuer::N,火,agir
78,Licht::N,光,ronahî
79,Schatten::N,陰,sî
80,Wetter::N,天気,hewa
81,Nebel::N,霧,mij
82,Wolke::N,雲,ewr
83,Regen::N,雨,baran
84,Schnee::N,雪,berf
85,Eis::N,氷,qeşa
86,Frost::N,霜,xûsik
87,Kälte::N,寒さ,serma
88,Hitze::N,暑さ,germayî
89,Raureif::N,霧氷,şext
90,Regenbogen::N,虹,heftreng
91,Donner::N,雷,gire-gir
92,Strömung::N,流れ,şewl
93,Tropfen::N,滴,dilop
94,Schaum::N,泡,kef
95,Schmutz::N,汚れ,gemar
96,See::N,湖,gol
97,Sumpf::N,沼,hezek
98,Moor::N,湿原,mafêl
99,Wiese::N,草原,sûrik
100,Wald::N,森,çiya
101,Wald::N,森,daristan
