,Concept_ID,kl,kn
0,Auge::N,isi,ಕಣ್ಣು
1,Ohr::N,siut,ಕಿವಿ
2,Mund::N,paaq,ಬಾಯಿ
3,Mund::N,qaneq,ಬಾಯಿ
4,Zahn::N,kigut,ಹಲ್ಲು
5,Zunge::N,oqaq,ನಾಲಿಗೆ
6,Lippe::N,qarloq,ತುಟಿ
7,Wange::N,ersaq,ಗಲ್ಲ
8,Gesicht::N,kiinaq,ಮುಖ
9,Stirn::N,qaaq,ಹಣೆ
10,Haar::N,meqqoq,ಕೂದಲು
11,Bart::N,umik,ಗಡ್ಡ
12,Kinn::N,talloq,ಗದ್ದ
13,Kiefer[Anatomie]::N,alleroq,ದವಡೆ
14,Kehle::N,malaq,ಗಂಟಲು
15,Hals::N,qungaseq,ಕೊರಳು
16,Genick::N,pukusuk,ಹಿಂಗತ್ತು
17,Kopf::N,niaqoq,ತಲೆ
18,Rücken::N,qimerlut,ಬೆನ್ನು
19,Bauch::N,naaq,ಹೊಟ್ಟೆ
20,Nabel::N,qalaseq,ಹೊಕ್ಕುಳು
21,Busen::N,iviangeq,ಸ್ತನ
22,Brust::N,iviangeq,ಎದೆ
23,Schulter::N,ersik,ಭುಜ
24,Schulter::N,assaqqoq,ಭುಜ
25,Arm::N,taleq,ತೋಳು
26,Ellenbogen::N,ikusik,ಮೊಣಕೈ
27,Hand::N,assak,ಕೈ
28,Handfläche::N,itumak,ಅಂಗೈ
29,Finger::N,inuak,ಕೈಬೆರಳು
30,Fingernagel::N,kikiak,ಉಗುರು
31,Nagel[Anatomie]::N,kukik,ಉಗುರು
32,Zeh::N,isigak,ಕಾಲ್ಬೆರಳು
33,Ferse::N,kimmik,ಹಿಮ್ಮಡಿ
34,Knie::N,seeqqoq,ಮಂಡಿ
35,Oberschenkel::N,uppat,ತೊಡೆ
36,Oberschenkel::N,quttoraq,ತೊಡೆ
37,Bein::N,isigak,ಕಾಲು
38,Körper::N,timi,ದೇಹ
39,Haut::N,mattak,ಚರ್ಮ
40,Blut::N,aak,ರಕ್ತ
41,Ader::N,taqaq,ನರ
42,Sehne::N,ujalu,ನರ
43,Sehne::N,ujaloq,ನರ
44,Knochen::N,saanikut,ಮೂಳೆ
45,Gehirn::N,qarasaq,ಮಿದುಳು
46,Herz::N,uummat,ಹೃದಯ
47,Magen::N,aqajaroq,ಉದರ
