,Concept_ID,ce,bn
0,Auge::N,бӏаьрг,চক্ষু
1,Ohr::N,лерг,কর্ণ
2,Nase::N,мара,নাক
3,Mund::N,бага,মুখ
4,Zahn::N,церг,দাঁত
5,Zunge::N,мотт,জিহবা
6,Lippe::N,балда,অধর
7,Wange::N,бесни,গণ্ড
8,Gesicht::N,юьхь,মুখমণ্ডল
9,Stirn::N,хьаж,কপাল
10,Haar::N,мас,চুল
11,Schnurrbart::N,мекх,গোঁফ
12,Bart::N,маж,শ্মশ্রু
13,Kinn::N,чӏениг,চিবুক
14,Kiefer[Anatomie]::N,мочхал,চোয়াল
15,Kehle::N,къамкъарг,কণ্ঠ
16,Hals::N,ворта,গল
17,Genick::N,кӏесаркӏаг,ঘাড়
18,Kopf::N,корта,মাথা
19,Rücken::N,букъ,পৃষ্ঠ
20,Bauch::N,кийра,উদর
21,Nabel::N,цӏонга,নাভি
22,Busen::N,зударийн накха,স্তন
23,Brust::N,накха,বুক
24,Schulter::N,белш,স্কন্ধ
25,Arm::N,пхьарс,বাহু
26,Ellenbogen::N,пхьаьрсан гола,কনুই
27,Hand::N,куьг,হাত
28,Handfläche::N,кераюкъ,করতল
29,Finger::N,пӏелг,আঙ্গুল
30,Fingernagel::N,мӏара,হাতের নখ
31,Nagel[Anatomie]::N,мӏара,নখ
32,Zeh::N,кога пӏелг,আঙ্গুল
33,Fuß::N,ког,পা
34,Ferse::N,кӏажа,গোড়ালি
35,Knie::N,гола,হাঁটু
36,Oberschenkel::N,варе,ঊরু
37,Bein::N,ког,পা
38,Körper::N,хӏума,দেহ
39,Haut::N,чкъор,ত্বক
40,Blut::N,цӏий,রক্ত
41,Ader::N,пха,শিরা
42,Sehne::N,хьорзам,কণ্ডরা
43,Knochen::N,даьӏахк,অস্থি
44,Gehirn::N,хье,মস্তিষ্ক
45,Herz::N,дог,হৃৎপিণ্ড
46,Magen::N,зорх,পাকস্থলী
47,Leber::N,доӏах,যকৃৎ
48,Atem::N,садеӏар,শ্বাস
49,Hunger::N,мацалла,ক্ষুধা
50,Träne::N,бӏаьрхи,অশ্রু
51,Geschmack::N,чам,স্বাদ
52,Geruch::N,хьожа,গন্ধ
53,Schlaf::N,наб,ঘুম
54,Traum::N,гӏан,স্বপ্ন
55,Himmel::N,стигал,আকাশ
56,Sonne::N,малх,সূর্য
57,Mond::N,бутт,চন্দ্র
58,Stern::N,седа,নক্ষত্র
59,Luft::N,xӏаваъ,বায়ু
60,Wind::N,мох,বাতাস
61,Welle::N,тулгӏе,ঢেউ
62,Welle::N,тулгӏе,তরঙ্গ
63,Wasser::N,хи,জল
64,Stein::N,тӏулг,ঢিল
65,Stein::N,тӏулг,প্রস্তর
66,Boden::N,цӏенкъа,ভূতল
67,Erde::N,латта,ভূমি
68,Staub::N,чан,ধুলা
69,Rauch::N,кӏур,ধোঁয়া
70,Funke::N,суй,স্ফুলিঙ্গ
71,Feuer::N,цӏе,অগ্নি
72,Licht::N,серло,আলো
73,Schatten::N,ӏиндагӏ,ছায়া
74,Wetter::N,хенан хӏоттам,আবহাওয়া
75,Nebel::N,дохк,কুহেলিকা
76,Wolke::N,марха,মেঘ
77,Regen::N,догӏа,বৃষ্টি
78,Schnee::N,ло,তুষার
79,Eis::N,ша,বরফ
80,Frost::N,шело,তুষার
81,Kälte::N,шело,শৈত্য
82,Hitze::N,йовхо,তাপ
83,Raureif::N,йис,তুহিন
84,Regenbogen::N,стелаӏад,রামধনু
85,Donner::N,ткъес,বজ্রধ্বনি
86,Strömung::N,дӏаэхар,স্রোত
87,Strömung::N,дӏасалелар,স্রোত
88,Tropfen::N,тӏадам,ফোঁটা
89,Schaum::N,чопа,ফেনা
90,Schmutz::N,хатт,ধুলা
91,See::N,ӏам,হ্রদ
92,Sumpf::N,уьшал,জলা
93,Moor::N,уьшал,মাঠ
94,Wiese::N,бай,তৃণভূমি
95,Wald::N,хьун,বন
96,Hügel::N,гу,পাহাড়
97,Hügel::N,шу,পাহাড়
98,Hügel::N,барз,পাহাড়
99,Anhöhe::N,акъари,টিলা
100,Berg::N,лам,পর্বত
101,Gipfel::N,бохь,শীর্ষ
102,Höhle::N,хьех,গুহা
103,Abhang::N,басе,ঢাল
104,Quelle::N,шовда,উৎস
105,Bach::N,татол,ক্ষুদ্র নদী
106,Fluss::N,хи,নদী
107,Ufer::N,хийист,উপকূল
108,Küste::N,йист,তীর
109,Festland::N,латта,ভূমি
110,Meer::N,xӏорд,সমুদ্র
111,Bucht::N,чож,উপসাগর
112,Insel::N,гӏайре,দ্বীপ
113,Blume::N,зезаг,ফুল
114,Gras::N,буц,ঘাস
115,Wurzel::N,орам,শিকড়
116,Baum::N,дитт,গাছ
117,Stamm::N,гӏад,স্কন্ধ
118,Stamm::N,тайпа,স্কন্ধ
119,Rinde::N,кевстиг,বল্কল
120,Ast::N,га,শাখা
121,Zweig::N,га,ডাল
122,Blatt::N,гӏа,পর্ণ
123,Birke::N,дакх,ভুর্জ
124,Kiefer[Baum]::N,бага,পাইন গাছ
125,Weide[Baum]::N,дак,উইলো
126,Tanne::N,база,দেবদারূ গাছ
127,Horn::N,маӏа,শিং
128,Feder::N,пелаг,পালক
129,Fell::N,цӏока,রোম
130,Flügel::N,тӏам,ডানা
131,Klaue::N,мӏара,নখর
132,Kralle::N,тlод,নখর
133,Schwanz::N,цӏога,লেজ
134,Ei::N,xӏoa,ডিম
135,Nest::N,бен,কুলায়
136,Bau::N,lуьрг,ডেরা
137,Tier::N,дийнат,জন্তু
138,Herde::N,жа,ঝাঁক
139,Kuh::N,етт,গোরু
140,Bulle::N,сту,বৃষ
141,Pferd::N,говр,ঘোড়া
142,Schaf::N,жий,ভেড়া
143,Schaf::N,уьстагӏ,ভেড়া
144,Schwein::N,хьакха,শূকর
145,Hund::N,жӏаьла,কুকুর
146,Katze::N,цициг,বেড়াল
147,Bär::N,ча,ভল্লুক
148,Eichhörnchen::N,тарсал,কাঠবিড়াল
149,Elch::N,сай,হরিণবিশেষ
150,Fuchs::N,цхьогал,পাঁতিশিয়াল
151,Hase::N,пхьагал,শশক
152,Maus::N,дахка,নেংটি ইঁদুর
153,Wolf::N,борз,নেকড়ে
154,Vogel::N,олхазар,পক্ষী
155,Huhn::N,котам,মোরগ
156,Hahn::N,нӏаьна,কুক্কুট
157,Hahn::N,боргӏал,কুক্কুট
158,Gans::N,гӏаз,হংসী
159,Adler::N,aьрзу,ইগল
160,Ente::N,бад,হংসী
161,Eule::N,бухӏа,পেচক
162,Kranich::N,гӏаргӏули,সারস
163,Krähe::N,къиг,কাক
164,Kuckuck::N,aттйокх,কোকিল
165,Schwan::N,гӏургӏаз,মরাল
166,Fisch::N,чӏара,মাছ
167,Barsch::N,окунь,মৎন্যবিশেষ
168,Hecht::N,гӏазкхийн чӏара,বানমাছ
169,Schlange[Tier]::N,лаьхьа,সর্প
170,Wurm::N,нӏаьна,কীট
171,Spinne::N,гезг,মাকড়সা
172,Ameise::N,зингат,পিপীলিকা
173,Laus::N,меза,উকুন
174,Laus::N,гӏениг,উকুন
175,Mücke::N,чуьрк,মশা
176,Fliege::N,моза,মাছি
177,Schmetterling::N,полла,প্রজাপতি
178,Beere::N,цӏазам,বেরি
179,Apfel::N,ӏаж,আপেল
180,Pilz::N,жӏаьлин нускал,ছত্রক
181,Zwiebel::N,xох,পিয়াজ
182,Saat::N,чlу,বীজ
183,Korn::N,буьртиг,শস্য
184,Heu::N,йол,খড়
185,Schale::N,пардо,খোসা
186,Grube::N,ор,গর্ত
187,Falle::N,кӏело,ফাঁদ
188,Spur::N,лар,চিহ্ন
189,Asche::N,чим,ভস্ম
190,Dreck::N,мода,ময়লা
191,Eisen::N,эчиг,লোহা
192,Gold::N,деши,স্বর্ণ
193,Silber::N,дети,রৌপ্য
194,Kohle::N,кӏора,অঙ্গার
195,Glas::N,aнгали,কাচ
196,Lehm::N,поппар,মৃত্তিকা
197,Sand::N,гӏум,বালি
198,Mensch::N,адам,নর
199,Mensch::N,адам,মানুষ
200,Mann::N,майра,মানুষ
201,Frau::N,зуда,নারী
202,Kind::N,бер,বাচ্চা
203,Junge::N,жимха,ছেলে
204,Mädchen::N,жима йоӏ,মেয়ে
205,Familie::N,доьзал,পরিবার
206,Großvater::N,ненада,মাতামহ
207,Großmutter::N,денана,মাতামহী
208,Eltern::N,да-нана,মাতাপিতা
209,Vater::N,да,পিতা
210,Mutter::N,нана,মাতা
211,Sohn::N,кӏант,ছেলে
212,Tochter::N,йоӏ,মেয়ে
213,Bruder::N,ваша,দাদা
214,Schwester::N,йиша,বোন
215,Schwester::N,йиша,দিদি
216,Onkel::N,деваша,মামা
217,Tante::N,дейиша,মাসী
218,Ehemann::N,майра,স্বামী
219,Ehefrau::N,зуда,পত্নী
220,Freude::N,самукъа,উল্লাস
221,Freude::N,хазахетар,উল্লাস
222,Gelächter::N,белам,হাসি
223,Glück::N,ирс,সুখ
224,Kummer::N,бала,দুঃখ
225,Wunsch::N,лаам,আকাঙ্ক্ষা
226,Lust::N,лаам,বাসনা
227,Geist::N,са,আত্না
228,Gedanke::N,ойла,চিন্তা
229,Gedächtnis::N,диццадалар,স্মরণশক্তি
230,Verstand::N,хьекъал,মন
231,Sinn::N,маьӏна,পদার্থ
232,Grund::N,бахьана,কারণ
233,Wahrheit::N,бакъдерг,সত্য
234,Gespräch::N,къамел,কথাবার্তা
235,Märchen::N,туьйра,রূপকথা
236,Erzählung::N,дийцар,গল্প
237,Nachricht::N,хаам,তথ্য
238,Neuigkeit::N,керланиг,খবরাখবর
239,Name::N,цӏе,নাম
240,Rätsel::N,хӏетал-метал,ধাঁধা
241,Rede::N,къамел,বক্তৃতা
242,Sprache::N,мотт,ভাষা
243,Stimme::N,aз,স্বর
244,Wort::N,дош,শব্দ
245,Zeichen::N,билгало,প্রতীক
246,Ruf::N,кхайкхар,ডাক
247,Lärm::N,гӏовгӏа,হৈচৈ
248,Laut::N,аз,ধ্বনি
249,Ton::N,aз,স্বর
250,Lied::N,илли,গান
251,Ruhe::N,тийналла,শান্তি
252,Leute::N,нах,প্রজাপুঞ্জ
253,Volk::N,халкъ,জাতি
254,Arbeit::N,болх,চাকরি
255,Gast::N,хьаша,অতিথি
256,Geschenk::N,совгӏат,উপহার
257,Spiel::N,ловзар,খেলা
258,Gesellschaft::N,юкъаралла,সঙ্গিগণ
259,Hilfe::N,гӏо,সাহায্য
260,Freund::N,доттагl,বন্ধু
261,Kamerad::N,накъост,সঙ্গী
262,Angelegenheit::N,гӏуллакх,বিষয়
263,Anzahl::N,терахь,পরিমাণ
264,Stück::N,юьхк,টুকরো
265,Teil::N,дакъа,অংশ
266,Hälfte::N,ах,অর্ধেক
267,Kreis::N,го,বৃত্ত
268,Kreuz::N,жӏара,ক্রুশ
269,Linie::N,сиз,রেখা
270,Strich::N,сиз,কষি
271,Abstand::N,юкъ,ফাঁক
