,Concept_ID,sq,cv
0,Auge::N,sy,куҫ
1,Ohr::N,vesh,хӑлха
2,Nase::N,hundë,сӑмса
3,Mund::N,gojë,ҫӑвар
4,Zahn::N,dhëmb,шӑл
5,Zunge::N,gjuhë,чӗлхе
6,Lippe::N,buzë,тута
7,Wange::N,faqe,пит ҫӑмарти
8,Wange::N,mollëz,пит ҫӑмарти
9,Gesicht::N,fytyrë,пит
10,Gesicht::N,fytyrë,пит-куҫ
11,Stirn::N,ballë,ҫамка
12,Haar::N,flokë,ҫӳҫ
13,Schnurrbart::N,mustaqe,усси
14,Bart::N,mjekër,сухал
15,Kinn::N,mjekër,янах
16,Kiefer[Anatomie]::N,nofull,янах
17,Kehle::N,fyt,пыр
18,Kehle::N,fyt,карланкӑ
19,Kehle::N,grykë,пыр
20,Kehle::N,grykë,карланкӑ
21,Hals::N,qafë,пыр
22,Genick::N,arrëz,ӗнсе
23,Kopf::N,kokë,пуҫ
24,Rücken::N,kurriz,ҫурӑм
25,Bauch::N,bark,
26,Nabel::N,kërthizë,кӑвапа
27,Busen::N,gji,кӑкӑр
28,Brust::N,gjoks,умӗ
29,Brust::N,kraharor,умӗ
30,Schulter::N,sup,хул пуҫҫи
31,Schulter::N,krah,хул пуҫҫи
32,Arm::N,krah,алӑ
33,Ellenbogen::N,bërryl,чавса
34,Hand::N,dorë,алӑ сыппи
35,Handfläche::N,pëllëmbë,ал лаппи
36,Finger::N,gisht,пӳрне
37,Fingernagel::N,thua,чӗрне
38,Nagel[Anatomie]::N,thua,чӗрне
39,Zeh::N,gisht i këmbës,пӳрне
40,Fuß::N,këmbë,ура лаппи
41,Ferse::N,thembër,кӗле
42,Knie::N,gju,чӗркуҫҫи
43,Oberschenkel::N,kofshë,пӗҫӗ
44,Bein::N,këmbë,ура
45,Körper::N,trup,ӳт
46,Körper::N,trup,ӳт-пӳ
47,Haut::N,lëkurë,тир
48,Blut::N,gjak,юн
49,Ader::N,venë,вена
50,Sehne::N,dell,шӑнӑр
51,Knochen::N,asht,шӑмӑ
52,Knochen::N,kockë,шӑмӑ
53,Gehirn::N,tru,миме
54,Herz::N,zemër,чӗре
55,Magen::N,stomak,хырӑмлӑх
56,Leber::N,mëlçi,пӗвер
57,Atem::N,frymë,сывлав
58,Hunger::N,uri,выҫлӑх
59,Träne::N,lot,куҫҫуль
60,Geschmack::N,shije,техӗм
61,Geruch::N,erë,шӑршӑ
62,Schlaf::N,gjumë,ыйхӑ
63,Traum::N,ëndërr,тӗлӗк
