,Concept_ID,hu,bg
0,Auge::N,szem,око
1,Ohr::N,fül,ухо
2,Nase::N,orr,нос
3,Mund::N,száj,уста
4,Zahn::N,fog,зъб
5,Zunge::N,nyelv,език
6,Lippe::N,ajak,устна
7,Wange::N,orca,буза
8,Gesicht::N,arc,лице
9,Gesicht::N,arc,образ
10,Stirn::N,homlok,чело
11,Haar::N,haj,коса
12,Haar::N,haj,косъм
13,Schnurrbart::N,bajusz,мустаци
14,Bart::N,szakáll,брада
15,Kinn::N,áll,брада
16,Kinn::N,áll,брадичка
17,Kiefer[Anatomie]::N,állkapocs,челюст
18,Kehle::N,gége,гърло
19,Kehle::N,torok,гърло
20,Hals::N,nyak,врат
21,Genick::N,tarkó,тил
22,Kopf::N,fő,глава
23,Kopf::N,fej,глава
24,Rücken::N,hát,гръб
25,Bauch::N,has,корем
26,Nabel::N,köldök,пъп
27,Busen::N,mell,бозка
28,Busen::N,kebel,бозка
29,Brust::N,mell,гръд
30,Schulter::N,váll,рамо
31,Schulter::N,váll,плещи
32,Arm::N,kar,ръка
33,Ellenbogen::N,könyök,лакът
34,Hand::N,kéz,ръка
35,Hand::N,kéz,китка
36,Handfläche::N,tenyér,длан
37,Finger::N,ujj,пръст
38,Fingernagel::N,köröm,нокът
39,Nagel[Anatomie]::N,köröm,нокът
40,Zeh::N,lábujj,пръст на крак
41,Fuß::N,láb,крак
42,Fuß::N,láb,нога
43,Ferse::N,sarok,пета
44,Knie::N,térd,коляно
45,Oberschenkel::N,comb,бедро
46,Bein::N,láb,крак
47,Bein::N,láb,нога
48,Bein::N,lábszár,крак
49,Bein::N,lábszár,нога
50,Körper::N,test,тяло
51,Haut::N,bőr,кожа
52,Blut::N,vér,кръв
53,Ader::N,ér,вена
54,Ader::N,ér,артерия
55,Sehne::N,ín,жила
56,Sehne::N,ín,сухожилие
57,Knochen::N,csont,кост
58,Gehirn::N,agy,мозък
59,Gehirn::N,agyvelő,мозък
60,Herz::N,szív,сърце
61,Magen::N,gyomor,стомах
62,Leber::N,máj,черен дроб
63,Atem::N,lehelet,дишане
64,Atem::N,lélegzet,дишане
65,Hunger::N,éhség,глад
66,Träne::N,könny,сълза
67,Geschmack::N,íz,вкус
68,Geruch::N,szag,миризма
69,Schlaf::N,álom,сън
70,Schlaf::N,alvás,сън
71,Traum::N,álom,сън
72,Himmel::N,ég,небе
73,Himmel::N,menny,небе
74,Sonne::N,nap,слънце
75,Mond::N,hold,луна
76,Mond::N,hold,месец
77,Stern::N,csillag,звезда
78,Luft::N,levegő,въздух
