,Concept_ID,he,vep
0,Auge::N,עין,sil'm
1,Ohr::N,אזן,korv
2,Nase::N,אף,nena
3,Nase::N,חטם,nena
4,Mund::N,פה,su
5,Zahn::N,שן,pi
6,Zahn::N,שן,hambaz
7,Zunge::N,לשון,kel'
8,Lippe::N,שפה,hul'
9,Wange::N,לחי,modpolišk
10,Gesicht::N,פנים,mod
11,Stirn::N,מצח,oc
12,Haar::N,שערה,tuk
13,Haar::N,שערה,hibuz
14,Schnurrbart::N,שפם,habinod
15,Bart::N,זקן,bard
16,Kinn::N,סנטר,löug
17,Kiefer[Anatomie]::N,לסת,hambazlu
18,Kehle::N,גרון,kurk
19,Hals::N,צואר,kagl
20,Genick::N,ערף,tagarai
21,Kopf::N,ראש,pä
22,Rücken::N,גב,sel'g
23,Bauch::N,בטן,vac
24,Bauch::N,בטן,koht
25,Nabel::N,טבור,naba
26,Busen::N,שד,niža
27,Brust::N,חזה,rind
28,Schulter::N,כתף,oug
29,Arm::N,זרוע,käzi
30,Ellenbogen::N,מרפק,künambruz
31,Hand::N,יד,käzi
32,Hand::N,יד,käzitera
33,Handfläche::N,כף יד,kämen
34,Finger::N,אצבע,sor'm
35,Fingernagel::N,צפרן,künz'
36,Nagel[Anatomie]::N,צפרן,künz'
37,Zeh::N,אצבע,barbaz
38,Fuß::N,רגל,jaug
39,Ferse::N,עקב,kand
40,Knie::N,ברך,komb
41,Knie::N,ברך,pol'v
42,Oberschenkel::N,ירך,riiže
43,Bein::N,רגל,jaug
44,Körper::N,גוף,hibj
45,Haut::N,עור,nahk
46,Blut::N,דם,čak
47,Blut::N,דם,veri
48,Ader::N,וריד,son'
49,Sehne::N,גיד,jände
50,Knochen::N,עצם,lu
51,Gehirn::N,מוח,aivod
52,Herz::N,לב,südäin
53,Magen::N,קבה,südäikoht
54,Leber::N,כבד,maks
55,Atem::N,נשימה,hengaiduz
56,Hunger::N,רעב,näl'g
57,Träne::N,דמעה,kündal'
58,Geschmack::N,טעם,magu
59,Geruch::N,ריח,haju
60,Schlaf::N,שנה,uni
61,Traum::N,חלום,unikuva
62,Himmel::N,שמים,taivaz
63,Sonne::N,שמש,päiväine
64,Mond::N,ירח,kudmaine
65,Stern::N,כוכב,tähtaz
66,Luft::N,אויר,il'm
67,Wind::N,רוח,döl
68,Wind::N,רוח,tullei
69,Welle::N,גל,ald
70,Welle::N,גל,laineh
71,Wasser::N,מים,vezi
72,Stein::N,אבן,kivi
73,Boden::N,קרקע,ma
74,Boden::N,קרקע,pohj
75,Erde::N,אדמה,ma
76,Staub::N,אבק,pölü
77,Rauch::N,עשן,savu
78,Funke::N,ניצוץ,kibin
79,Feuer::N,אש,lämoi
80,Licht::N,אור,vauktuz
81,Schatten::N,צל,pil'vez
82,Schatten::N,צל,kuvahaine
83,Wetter::N,מזג אויר,sä
84,Nebel::N,ערפל,sumeg
85,Wolke::N,ענן,pil'v
86,Regen::N,גשם,vihm
87,Schnee::N,שלג,lumi
88,Eis::N,קרח,jä
89,Frost::N,צנה,hala
90,Frost::N,צנה,pakaine
91,Kälte::N,קר,vilu
92,Hitze::N,חם,räk
93,Raureif::N,כפור,hüde
94,Regenbogen::N,קשת,jumalanbembel'
95,Donner::N,רעם,juru
96,Donner::N,רעם,jumalanjuru
97,Strömung::N,זרימה,joksmuz
