,Concept_ID,os,bn
0,Auge::N,цӕст,চক্ষু
1,Ohr::N,хъус,কর্ণ
2,Nase::N,фындз,নাক
3,Mund::N,дзых,মুখ
4,Zahn::N,дӕндаг,দাঁত
5,Zunge::N,ӕвзаг,জিহবা
6,Lippe::N,был,অধর
7,Wange::N,рус,গণ্ড
8,Wange::N,уадул,গণ্ড
9,Wange::N,ӕхсӕрфарс,গণ্ড
10,Gesicht::N,цӕсгом,মুখমণ্ডল
11,Stirn::N,ных,কপাল
12,Haar::N,хил,চুল
13,Schnurrbart::N,рихи,গোঁফ
14,Bart::N,зачъе,শ্মশ্রু
15,Kinn::N,роцъо,চিবুক
16,Kiefer[Anatomie]::N,ӕфсӕр,চোয়াল
17,Kehle::N,хъуыр,কণ্ঠ
18,Hals::N,къубал,গল
19,Genick::N,къӕбут,ঘাড়
20,Kopf::N,сӕр,মাথা
21,Rücken::N,фӕсонтӕ,পৃষ্ঠ
22,Bauch::N,гуыбын,উদর
23,Nabel::N,бикъ,নাভি
24,Busen::N,дзидзи,স্তন
25,Brust::N,риу,বুক
26,Schulter::N,уӕхск,স্কন্ধ
27,Arm::N,цонг,বাহু
28,Ellenbogen::N,рæмбын,কনুই
29,Hand::N,къух,হাত
30,Handfläche::N,армытъӕпӕн,করতল
31,Finger::N,ӕнруылдз,আঙ্গুল
32,Fingernagel::N,ных,হাতের নখ
33,Nagel[Anatomie]::N,ных,নখ
34,Zeh::N,къух,আঙ্গুল
35,Fuß::N,фад,পা
36,Ferse::N,зӕвӕт,গোড়ালি
37,Knie::N,уӕраг,হাঁটু
38,Oberschenkel::N,агъд,ঊরু
39,Bein::N,зӕнг,পা
40,Körper::N,буар,দেহ
41,Haut::N,царм,ত্বক
42,Blut::N,туг,রক্ত
43,Ader::N,дадзин,শিরা
44,Ader::N,тугдадзин,শিরা
45,Sehne::N,хъиутæ,কণ্ডরা
46,Sehne::N,нуар,কণ্ডরা
47,Knochen::N,стӕг,অস্থি
48,Gehirn::N,магъз,মস্তিষ্ক
49,Herz::N,зӕрдӕ,হৃৎপিণ্ড
50,Magen::N,ахсӕн,পাকস্থলী
51,Leber::N,игæр,যকৃৎ
52,Atem::N,улӕфт,শ্বাস
53,Hunger::N,стонг,ক্ষুধা
54,Träne::N,цæссыг,অশ্রু
55,Geschmack::N,ад,স্বাদ
56,Geruch::N,смаг,গন্ধ
57,Schlaf::N,хуыссӕг,ঘুম
58,Traum::N,фын,স্বপ্ন
59,Himmel::N,арв,আকাশ
60,Himmel::N,уӕларв,আকাশ
61,Sonne::N,хур,সূর্য
62,Mond::N,мӕй,চন্দ্র
63,Stern::N,стъалы,নক্ষত্র
64,Luft::N,уӕлдӕф,বায়ু
65,Wind::N,дымгӕ,বাতাস
66,Welle::N,уылӕн,ঢেউ
67,Welle::N,уылӕн,তরঙ্গ
68,Wasser::N,дон,জল
69,Stein::N,дур,ঢিল
70,Stein::N,дур,প্রস্তর
71,Boden::N,зӕхх,ভূতল
72,Erde::N,сыджыт,ভূমি
73,Staub::N,рыг,ধুলা
74,Rauch::N,фӕздӕг,ধোঁয়া
75,Funke::N,цӕхӕр,স্ফুলিঙ্গ
76,Feuer::N,зынг,অগ্নি
77,Licht::N,рухс,আলো
78,Schatten::N,аууон,ছায়া
79,Wetter::N,боныхъӕд,আবহাওয়া
80,Nebel::N,мигъ,কুহেলিকা
81,Wolke::N,ӕврагъ,মেঘ
82,Regen::N,уарын,বৃষ্টি
83,Schnee::N,мит,তুষার
84,Eis::N,их,বরফ
85,Frost::N,ихæн,তুষার
86,Kälte::N,уазал,শৈত্য
87,Hitze::N,ӕнтӕф,তাপ
88,Raureif::N,халас,তুহিন
89,Regenbogen::N,арвырон,রামধনু
90,Regenbogen::N,арвырдын,রামধনু
91,Donner::N,æрвнæрын,বজ্রধ্বনি
92,Strömung::N,цыд,স্রোত
93,Tropfen::N,æртах,ফোঁটা
94,Schaum::N,фынк,ফেনা
95,Schmutz::N,цъыф,ধুলা
96,See::N,цад,হ্রদ
97,Sumpf::N,цъыфдзаст,জলা
98,Moor::N,цъыфдзаст,মাঠ
99,Wiese::N,уыгӕрдӕн,তৃণভূমি
100,Wald::N,хъӕд,বন
101,Hügel::N,обау,পাহাড়
102,Hügel::N,къуыбыр,পাহাড়
103,Anhöhe::N,уæлвæз,টিলা
104,Anhöhe::N,уæлхох,টিলা
