,Concept_ID,hy,mdf
0,Auge::N,աչք,сельме
1,Ohr::N,ականջ,пиле
2,Nase::N,քիթ,шалхка
3,Mund::N,բերան,курга
4,Zahn::N,ատամ,пей
5,Zunge::N,լեզու,кяль
6,Lippe::N,շրթունք,търва́
7,Wange::N,այտ,щёка
8,Wange::N,թուշ,щёка
9,Gesicht::N,դեմք,шама
10,Stirn::N,ճակատ,коня
11,Haar::N,մազ,шя́ярь
12,Schnurrbart::N,բեղ,уса́
13,Bart::N,մորուք,сакал
14,Kinn::N,կզակ,ула
15,Kiefer[Anatomie]::N,ծնոտ,саласка
16,Kehle::N,կոկորդ,кълдома
17,Kehle::N,կոկորդ,кърга́парь
18,Hals::N,վիզ,сялдаз
19,Hals::N,պարանոց,сялдаз
20,Genick::N,ծոծրակ,шовонь
21,Kopf::N,գլուխ,пря
22,Rücken::N,մեջք,копорь
23,Bauch::N,փոր,пеке
24,Bauch::N,որովայն,пеке
25,Nabel::N,պորտ,по́кон
26,Busen::N,ծոց,потя
27,Brust::N,կուրծք,мяште
28,Schulter::N,ուս,лафту
29,Arm::N,թեւ,кядь
30,Arm::N,բազուկ,кядь
31,Ellenbogen::N,արմունկ,кенерьба́карь
32,Hand::N,ձեռք,кядь
33,Handfläche::N,ափ,кядьлапш
34,Finger::N,մատ,сур
35,Fingernagel::N,եղունգ,кенже
36,Nagel[Anatomie]::N,եղունգ,кенже
37,Zeh::N,ոտքի մատ,пильгосу́р
38,Fuß::N,ոտք,пильге
39,Fuß::N,ոտք,пильгелапа
40,Ferse::N,գարշապար,кочкяря
41,Knie::N,ծունկ,эль
42,Knie::N,ծունկ,пълма́нжа
43,Oberschenkel::N,ազդր,пильгепукша
44,Bein::N,ոտք,пильге
45,Körper::N,մարմին,ро́нга
46,Körper::N,մարմին,по́нда
47,Haut::N,մաշկ,киське
48,Blut::N,արյուն,вер
49,Ader::N,երակ,сан
50,Ader::N,երակ,верза́н
51,Sehne::N,ջիղ,коське сан
52,Sehne::N,ձգտան,коське сан
53,Knochen::N,ոսկոր,пакарь
54,Gehirn::N,խելք,уй
55,Herz::N,սիրտ,седи
56,Magen::N,ստամոքս,коткърдазь
57,Leber::N,լյարդ,макса
58,Atem::N,շունչ,лекома
59,Atem::N,շունչ,ваймонь тарксема
60,Hunger::N,քաղց,вачеши
61,Träne::N,արտասուք,сельмове́дь
62,Geschmack::N,համ,таньф
63,Geschmack::N,բուրմունք,таньф
64,Geruch::N,հոտ,шине
65,Geruch::N,բուրում,шине
66,Schlaf::N,քուն,удома́
67,Traum::N,երազ,он
68,Himmel::N,երկինք,менель
69,Sonne::N,արեւ,ши
70,Mond::N,լուսին,ков
71,Stern::N,աստղ,тяште
72,Luft::N,օդ,кожф
73,Wind::N,քամի,варма
74,Welle::N,ալիք,тавла
75,Wasser::N,ջուր,ведь
76,Stein::N,քար,кев
77,Boden::N,գետին,мода
78,Boden::N,գետին,потмакс
79,Erde::N,հող,мода
80,Erde::N,հող,мастор
81,Staub::N,փոշի,пуль
82,Rauch::N,ծուխ,качам
83,Funke::N,կայծ,ця́тка
84,Feuer::N,կրակ,тол
85,Feuer::N,հրդեհ,тол
86,Licht::N,լույս,ва́лда
87,Schatten::N,ստվեր,цильф
88,Wetter::N,եղանակ,уша
89,Nebel::N,մեգ,тума́н
90,Nebel::N,մառախուղ,тума́н
91,Wolke::N,ամպ,ковол
92,Regen::N,անձրև,пизем
93,Schnee::N,ձյուն,лов
94,Eis::N,սառույց,эй
95,Frost::N,սառնամանիք,ке́льме
96,Kälte::N,դող,якшама
97,Hitze::N,շոգ,пси
98,Raureif::N,ցօղեղեամ,леш
99,Regenbogen::N,ծիածան,а́тямъёнга
100,Donner::N,որոտ,атям
101,Strömung::N,հոսանք,шудема́
102,Tropfen::N,կաթիլ,путькс
103,Tropfen::N,կաթիլ,пътняфкс
104,Schaum::N,փրփուր,шов
105,Schmutz::N,կեղտ,ърда́з
106,See::N,լիճ,эрьхке
107,Sumpf::N,ճահիճ,шяй
108,Moor::N,ճահիճ,шяй
109,Wiese::N,մարգագետին,луга
110,Wald::N,անտառ,вирь
111,Hügel::N,բլուր,губо́р
112,Hügel::N,բլուր,пандоня
113,Anhöhe::N,բարձունք,губо́р
114,Berg::N,լեռ,панда
115,Gipfel::N,գագաթ,пря
116,Gipfel::N,կատար,пря
117,Höhle::N,քարայր,у́нда
118,Abhang::N,լանջ,па́нда ша́ма
119,Abhang::N,զառիվայր,па́нда ша́ма
120,Quelle::N,աղբյուր,эшиня
121,Bach::N,վտակ,шудерькс
122,Fluss::N,գետ,ляй
123,Ufer::N,ծովափ,търва́
124,Küste::N,ափ,ляйтърва́
125,Küste::N,ծովափ,ляйтърва́
126,Festland::N,ցամաք,мода
127,Meer::N,ծով,моря
128,Bucht::N,հաչիւն,ведьуське
129,Insel::N,վղզի,цёнга
130,Blume::N,ծաղիկ,панчф
131,Gras::N,խոտ,тише
132,Wurzel::N,արմատ,юр
133,Wurzel::N,արմատ,ункс
134,Baum::N,ծառ,шуфта
135,Stamm::N,իրան,ро́нга
136,Rinde::N,կեղեւ,кер
137,Rinde::N,հաչոց,кер
138,Ast::N,ճյուղ,морга
139,Zweig::N,ճյուղ,тарад
140,Blatt::N,տերեւ,лопа
141,Birke::N,ցարասի,ке́лу
142,Kiefer[Baum]::N,սոճի,пиче
143,Weide[Baum]::N,ուռենի,каль
144,Tanne::N,եղեւին,куз
145,Feder::N,փետուր,толга
146,Fell::N,մորթի,кедь
147,Flügel::N,թեւ,паця
148,Klaue::N,չանչ,кенже
149,Kralle::N,ճանկ,кенже
150,Schwanz::N,պոչ,пула
151,Ei::N,ձու,ал
152,Nest::N,բույն,пиза
153,Bau::N,որջ,пиза
154,Bau::N,բայոց,пиза
155,Tier::N,կենդանի,жува́та
156,Herde::N,հոտ,нал
157,Herde::N,հոտ,стада
158,Kuh::N,կով,скал
159,Kuh::N,կով,тракс
160,Bulle::N,ցուլ,бука
161,Pferd::N,ձի,лишме
162,Schaf::N,ոչխար,уча́
163,Schwein::N,խոզ,тува
164,Hund::N,շուն,пине
165,Katze::N,կատու,катоня
166,Katze::N,կատու,аваката
167,Bär::N,արջ,офта
168,Eichhörnchen::N,սկյուռ,ур
169,Elch::N,հիւսիսային եղջերու,ся́рда
170,Fuchs::N,աղվես,келазь
171,Hase::N,նապաստակ,ну́мол
172,Maus::N,մուկ,шеер
173,Wolf::N,գայլ,върьгаз
174,Vogel::N,թռչուն,нармонь
175,Schwarm::N,երամ,ко́вол
176,Schwarm::N,երամ,ме́швеле
177,Huhn::N,հավ,сараз
178,Hahn::N,աքաղաղ,а́тякш
179,Gans::N,սագ,маци
180,Adler::N,արծիվ,куцькан
181,Ente::N,բադ,яксярга
182,Eule::N,բու,ко́рож
183,Kranich::N,կռունկ,ка́рга
184,Krähe::N,ագռավ,ва́рси
185,Kuckuck::N,կուկու,ку́ку
186,Schwan::N,կարապ,ло́ксти
187,Fisch::N,ձուկ,кал
188,Barsch::N,պերկես,о́кунь
189,Hecht::N,գայլաձուկ,щу́ка
190,Schlange[Tier]::N,օձ,куй
191,Wurm::N,որդ,сукс
192,Wurm::N,ճիճու,сукс
193,Spinne::N,սարդ,унжа́
194,Ameise::N,միջյուն,панжам
195,Laus::N,ոջիլ,си
196,Mücke::N,մժղուկ,ся́ське
197,Fliege::N,ճանճ,кару
198,Schmetterling::N,թիթեռ,ме́лав
199,Beere::N,հատապտուղ,и́мож
200,Apfel::N,խնձոր,марь
201,Pilz::N,սունկ,панга
202,Zwiebel::N,սոխ,шурьхкя́
203,Saat::N,սերմ,видьмот
204,Korn::N,հատիկ,сёра
205,Heu::N,խոտ,тише
