,Concept_ID,udm,is
0,Auge::N,син,auga
1,Ohr::N,пель,eyra
2,Nase::N,ныр,nef
3,Mund::N,ым,munnur
4,Zahn::N,пинь,tönn
5,Zunge::N,кыл,tunga
6,Lippe::N,ымдур,vör
7,Wange::N,бам,kinn
8,Wange::N,бам,vangi
9,Gesicht::N,ымныр,andlit
10,Stirn::N,кымес,enni
11,Haar::N,йырси,hár
12,Schnurrbart::N,мыйык,yfirskegg
13,Bart::N,туш,skegg
14,Kinn::N,ангес,haka
15,Kiefer[Anatomie]::N,ан,kjálki
16,Kiefer[Anatomie]::N,ан,skoltur
17,Kiefer[Anatomie]::N,анлы,kjálki
18,Kiefer[Anatomie]::N,анлы,skoltur
19,Kehle::N,гульым,kverk
20,Hals::N,чырты,háls
21,Genick::N,йырбер,hnakki
22,Kopf::N,йыр,höfuð
23,Rücken::N,мыш,hryggur
24,Bauch::N,кӧт,kviður
25,Nabel::N,гогы,nafli
26,Busen::N,ноны,barmur
27,Brust::N,мӧля,brjóst
28,Schulter::N,пельпум,öxl
29,Arm::N,суй,armur
30,Ellenbogen::N,гырпум,olnbogi
31,Hand::N,ки,hönd
32,Handfläche::N,ки пыдэс,lófi
33,Handfläche::N,кырым пыдэс,lófi
34,Finger::N,чиньы,fingur
35,Fingernagel::N,гижы,fingurnögl
36,Fingernagel::N,гиждӥнь,fingurnögl
37,Nagel[Anatomie]::N,гижы,nögl
38,Zeh::N,пыдчиньы,tá
39,Fuß::N,пыд,fótur
40,Ferse::N,пыдбер,hæll
41,Knie::N,пыдес,kné
42,Oberschenkel::N,макес,læri
43,Bein::N,пыд,fótleggur
44,Körper::N,мугор,búkur
45,Körper::N,мугор,líkami
46,Körper::N,вылтыр,búkur
47,Körper::N,вылтыр,líkami
48,Haut::N,ку,húð
49,Haut::N,ку,skinn
50,Blut::N,вир,blóð
51,Ader::N,вирсэр,æð
52,Sehne::N,вуж,sin
53,Knochen::N,лы,bein
54,Gehirn::N,вим,heili
55,Herz::N,сюлэм,hjarta
56,Magen::N,ӝуш,magi
57,Leber::N,мус,lifur
58,Atem::N,лул,andi
59,Atem::N,лул,andardráttur
60,Atem::N,шокан,andi
61,Atem::N,шокан,andardráttur
62,Hunger::N,кӧтсюман,hungur
63,Träne::N,синкыли,tár
64,Geschmack::N,шӧм,smekkur
65,Geruch::N,зын,lykt
66,Schlaf::N,вӧт,svefn
67,Traum::N,уйвӧт,draumur
68,Himmel::N,ин,himinn
69,Sonne::N,шунды,sól
70,Mond::N,толэзь,tungl
71,Stern::N,кизили,stjarna
72,Luft::N,омыр,loft
73,Wind::N,тӧл,vindur
74,Welle::N,тулкым,alda
75,Welle::N,тулкым,bylgja
76,Wasser::N,ву,vatn
77,Stein::N,из,steinn
78,Boden::N,музъем,botn
79,Erde::N,му,jörð
80,Staub::N,пыль,ryk
81,Staub::N,пыль,duft
82,Rauch::N,ӵын,reykur
83,Funke::N,гизьы,neisti
84,Feuer::N,тыл,eldur
85,Licht::N,тыл,ljós
86,Schatten::N,вужер,skuggi
87,Wetter::N,куазь,veður
88,Nebel::N,бус,þoka
89,Wolke::N,пилем,ský
90,Regen::N,зор,regn
91,Schnee::N,лымы,snjór
92,Eis::N,йӧ,ís
93,Frost::N,кезьыт,frost
94,Kälte::N,кезьыт,kuldi
95,Hitze::N,пӧсь,hiti
96,Raureif::N,гӧр,hrím
97,Regenbogen::N,вуюись,regnbogi
98,Donner::N,гудыри,þruma
99,Strömung::N,бызён,straumur
100,Tropfen::N,шапык,dropi
101,Schaum::N,шукы,froða
102,Schmutz::N,нӧд,óhreinindi
103,Schmutz::N,дэри,óhreinindi
104,See::N,ты,stöðuvatn
105,Sumpf::N,нюр,fen
106,Moor::N,нюр,mýri
107,Wiese::N,возь,engi
108,Wiese::N,возьвыл,engi
109,Wald::N,сик,skógur
110,Wald::N,нюлэс,skógur
111,Hügel::N,выр,hæð
112,Hügel::N,выр,hóll
113,Hügel::N,вырйыл,hæð
114,Hügel::N,вырйыл,hóll
115,Anhöhe::N,выр,hæð
116,Anhöhe::N,выр,hóll
117,Anhöhe::N,вырйыл,hæð
118,Anhöhe::N,вырйыл,hóll
119,Berg::N,гурезь,fell
120,Berg::N,гурезь,fjall
121,Gipfel::N,йыл,tindur
122,Höhle::N,гу,hellir
123,Abhang::N,бам,hlíð
124,Abhang::N,бам,brekka
125,Quelle::N,ошмес,lind
126,Quelle::N,ошмес,uppspretta
127,Bach::N,пичи шур,lækur
128,Fluss::N,шур,á
129,Fluss::N,шур,fljót
130,Ufer::N,ярдур,árbakki
131,Ufer::N,ярдур,sjávarbakki
132,Küste::N,вудур,strönd
133,Festland::N,мувыр,meginland
134,Meer::N,зарезь,haf
135,Meer::N,зарезь,sjór
136,Bucht::N,вукож,vík
137,Insel::N,вумуӵ,eyja
138,Insel::N,шормуӵ,eyja
139,Blume::N,сяська,blóm
140,Gras::N,турын,gras
141,Wurzel::N,выжы,rót
142,Baum::N,пу,tré
143,Stamm::N,модос,stofn
144,Rinde::N,сул,börkur
145,Ast::N,ул,grein
146,Zweig::N,вай,angi
147,Zweig::N,вай,kvistur
148,Blatt::N,куар,blað
149,Birke::N,кызьпу,birki
150,Kiefer[Baum]::N,пужым,fura
151,Weide[Baum]::N,бадьпу,víðir
152,Tanne::N,кыз,greni
153,Horn::N,сюр,horn
154,Feder::N,тылы,fjöður
155,Fell::N,ку,skinn
156,Flügel::N,бурд,vængur
157,Klaue::N,гижы,kló
158,Kralle::N,пыд,kló
159,Schwanz::N,быж,rófa
160,Schwanz::N,быж,skott
161,Ei::N,пуз,egg
162,Ei::N,кукей,egg
163,Nest::N,кар,hreiður
164,Nest::N,пузкар,hreiður
165,Bau::N,кар,greni
166,Bau::N,кар,bæli
167,Bau::N,гу,greni
168,Bau::N,гу,bæli
169,Tier::N,пӧйшур,dýr
170,Herde::N,уллё,hjörð
171,Kuh::N,скал,kýr
172,Bulle::N,ош,boli
173,Bulle::N,пороз,boli
174,Pferd::N,вал,hestur
175,Schaf::N,ыж,kind
176,Schwein::N,парсь,svín
177,Hund::N,пуны,hundur
178,Katze::N,коӵыш,köttur
179,Bär::N,гондыр,björn
180,Eichhörnchen::N,коньы,íkorni
181,Elch::N,койык,elgur
182,Fuchs::N,ӟичы,refur
183,Hase::N,кеч,héri
184,Maus::N,шыр,mús
185,Wolf::N,кион,úlfur
186,Vogel::N,тылобурдо,fugl
187,Schwarm::N,уллё,sægur
188,Huhn::N,курег,hæna
189,Hahn::N,атас,hani
190,Gans::N,ӟазег,gæs
191,Adler::N,ӧрзи,örn
192,Ente::N,ӵӧж,önd
193,Eule::N,кучыран,uggla
194,Kranich::N,тури,trana
195,Krähe::N,куака,kráka
196,Kuckuck::N,кикы,gaukur
197,Schwan::N,юсь,svanur
198,Fisch::N,чорыг,fiskur
199,Barsch::N,юш,aborri
200,Hecht::N,чипей,gedda
201,Schlange[Tier]::N,кый,naðra
202,Wurm::N,нумыр,ormur
203,Spinne::N,чонари,kónguló
204,Ameise::N,кузьыли,maur
205,Laus::N,тэй,lús
206,Mücke::N,нымы,mý
207,Mücke::N,нымы,mýfluga
208,Mücke::N,чибинь,mý
209,Mücke::N,чибинь,mýfluga
210,Fliege::N,кут,fluga
211,Schmetterling::N,бубыли,fiðrildi
212,Beere::N,узы-боры,ber
213,Apfel::N,яблок,epli
214,Pilz::N,губи,sveppur
215,Zwiebel::N,сугон,laukur
216,Saat::N,кидыс,fræ
217,Saat::N,кидыс,útsæði
218,Korn::N,тысь,korn
219,Heu::N,турын,hey
220,Schale::N,кыд,hýði
221,Grube::N,гу,gryfja
222,Grube::N,гоп,gryfja
223,Falle::N,налик,gildra
224,Schlinge::N,гиӟ,snara
225,Schlinge::N,герд,snara
226,Spur::N,пытьы,spor
227,Spur::N,бервыл,spor
228,Asche::N,пень,aska
