,Concept_ID,lez,sv
0,Auge::N,вил,öga
1,Ohr::N,яб,öra
2,Nase::N,нер,näsa
3,Mund::N,сив,mun
4,Zahn::N,сас,tand
5,Zahn::N,свах,tand
6,Zunge::N,мез,tunga
7,Lippe::N,пӏуз,läpp
8,Wange::N,хъвехъ,kind
9,Gesicht::N,ччин,syn
10,Gesicht::N,ччин,ansikte
11,Stirn::N,пел,panna
12,Haar::N,чӏар,hår
13,Schnurrbart::N,спел,mustasch
14,Schnurrbart::N,спелар,mustasch
15,Bart::N,ччуру,skägg
16,Kinn::N,чене,haka
17,Kiefer[Anatomie]::N,чене,käke
18,Kehle::N,туьд,strupe
19,Hals::N,гардан,hals
20,Genick::N,кьам,nacke
21,Kopf::N,кьил,huvud
22,Rücken::N,далу,rygg
23,Bauch::N,руфун,buk
24,Bauch::N,руфун,mage
25,Nabel::N,пицӏ,navel
26,Busen::N,мам,barm
27,Brust::N,хур,bröst
28,Schulter::N,къуьн,skuldra
29,Arm::N,гъил,arm
30,Ellenbogen::N,кьуьнт,armbåge
31,Hand::N,капаш,hand
32,Handfläche::N,капан юкь,handflata
33,Finger::N,тӏуб,finger
34,Fingernagel::N,кек,fingernagel
35,Nagel[Anatomie]::N,кек,nagel
36,Zeh::N,кул,tå
37,Fuß::N,кӏвач,fot
38,Ferse::N,дабан,häl
39,Knie::N,мет,knä
40,Bein::N,кӏвач,ben
41,Körper::N,беден,kropp
42,Haut::N,хам,hud
43,Haut::N,хам,skinn
44,Blut::N,иви,blod
45,Ader::N,дамар,åder
46,Sehne::N,кьуру дамар,sena
47,Knochen::N,кӏараб,ben
48,Gehirn::N,мефт,hjärna
49,Herz::N,рикӏ,hjärta
50,Magen::N,хук,mage
51,Leber::N,лекь,lever
52,Atem::N,ял,anda
53,Atem::N,ял,andedräkt
54,Atem::N,нефес,anda
55,Atem::N,нефес,andedräkt
56,Hunger::N,каш,svält
57,Hunger::N,каш,hunger
58,Träne::N,вилин нагъв,tår
59,Geschmack::N,дад,smak
60,Geschmack::N,тӏям,smak
61,Geruch::N,ни,lukt
62,Schlaf::N,ахвар,sömn
63,Traum::N,ахвар,dröm
64,Himmel::N,цав,himmel
65,Sonne::N,рагъ,sol
66,Mond::N,варз,måne
67,Stern::N,гъед,stjärna
68,Luft::N,гьава,luft
69,Wind::N,гар,vind
70,Welle::N,лепе,våg
71,Welle::N,лепе,bölja
72,Wasser::N,яд,vatten
73,Stein::N,къван,sten
74,Boden::N,накьв,mark
75,Erde::N,ччил,jord
76,Staub::N,руг,damm
77,Rauch::N,гум,rök
78,Funke::N,цӏелхем,gnista
79,Feuer::N,цӏай,eld
80,Licht::N,экв,ljus
81,Schatten::N,серин,skugga
82,Wetter::N,гьава,väder
83,Nebel::N,ччилин циф,dimma
84,Nebel::N,ччилин циф,töcken
85,Wolke::N,циф,sky
86,Wolke::N,циф,moln
87,Regen::N,марф,regn
88,Schnee::N,жив,snö
89,Eis::N,мурк,is
90,Frost::N,аяз,frost
91,Kälte::N,мекь,köld
92,Kälte::N,мекьивал,köld
93,Hitze::N,зегьем,hetta
94,Raureif::N,къирав,rimfrost
95,Regenbogen::N,яргъируш,regnbåge
96,Donner::N,цавун ван,åska
97,Donner::N,цавун ван,dunder
98,Tropfen::N,стӏал,dropper
99,Schaum::N,каф,skum
100,Schmutz::N,чирк,lort
101,Schmutz::N,чирк,smuts
102,Schmutz::N,кьуруш,lort
103,Schmutz::N,кьуруш,smuts
104,See::N,вир,sjö
105,Sumpf::N,уьлен,träsk
106,Wiese::N,векь,äng
107,Wald::N,там,skog
108,Hügel::N,кӏунтӏ,höjd
109,Hügel::N,кӏунтӏ,kulle
110,Anhöhe::N,тепе,höjd
111,Anhöhe::N,тепе,backe
112,Anhöhe::N,гьуьндуьрвал,höjd
113,Anhöhe::N,гьуьндуьрвал,backe
114,Berg::N,дагъ,berg
115,Berg::N,дагъ,fjäll
116,Gipfel::N,кӏукӏ,topp
117,Höhle::N,кьветӏ,håla
118,Höhle::N,кьветӏ,grotta
119,Abhang::N,гуьне,slänt
120,Abhang::N,гуьне,sluttning
121,Quelle::N,чешме,källa
122,Bach::N,булах,bäck
123,Fluss::N,вацӏ,älv
124,Fluss::N,вацӏ,flod
125,Ufer::N,къерех,strand
126,Küste::N,къерех,kust
127,Festland::N,кьурамат,fastland
128,Meer::N,гьуьл,hav
129,Bucht::N,бухта,vik
130,Bucht::N,бухта,bukt
131,Insel::N,остров,ö
132,Blume::N,цуьк,blomma
133,Blume::N,цуьк,blomster
134,Gras::N,хъач,gräs
135,Wurzel::N,дувул,rot
136,Baum::N,ттар,träd
137,Stamm::N,тан,stam
138,Rinde::N,чкал,bark
139,Ast::N,тӏур,gren
140,Zweig::N,хел,kvist
141,Blatt::N,пеш,löv
142,Blatt::N,пеш,blad
143,Birke::N,верх,björk
144,Kiefer[Baum]::N,шамагъаж,tall
145,Weide[Baum]::N,цӏвелин ттар,pil
146,Weide[Baum]::N,цӏвелин ттар,vide
147,Tanne::N,ель,gran
148,Horn::N,карч,horn
149,Feder::N,цӏакул,fjäder
150,Fell::N,хам,fäll
151,Fell::N,хам,skinn
152,Flügel::N,лув,vinge
153,Klaue::N,къармах,klöv
154,Kralle::N,пац,klo
155,Kralle::N,тапас,klo
156,Schwanz::N,ттум,svans
157,Schwanz::N,ттум,stjärt
158,Ei::N,кака,ägg
159,Nest::N,муг,rede
160,Nest::N,муг,näste
161,Bau::N,тӏеквен,bo
162,Tier::N,гьайван,djur
163,Herde::N,суьруь,flock
164,Kuh::N,ккал,ko
165,Bulle::N,яц,tjur
166,Bulle::N,бугъа,tjur
167,Pferd::N,балкӏан,häst
168,Schaf::N,хеб,får
169,Schwein::N,вак,svin
170,Hund::N,кицӏ,hund
171,Katze::N,кац,katt
172,Bär::N,сев,björn
173,Eichhörnchen::N,белка,ekorre
174,Elch::N,лось,älg
175,Fuchs::N,сикӏ,räv
176,Hase::N,къуьр,hare
177,Maus::N,кьиф,mus
178,Wolf::N,жанавур,varg
179,Vogel::N,луван ничхир,fågel
180,Schwarm::N,луж,svärm
181,Huhn::N,верч,höns
182,Hahn::N,кӏек,tupp
183,Gans::N,къаз,gås
184,Adler::N,лекь,örn
185,Ente::N,пӏатӏ,anka
186,Eule::N,тӏиб,uggla
187,Kranich::N,дурна,trana
