,Concept_ID,sq,el
0,Auge::N,sy,μάτι
1,Auge::N,sy,οφθαλμός
2,Ohr::N,vesh,αυτί
3,Nase::N,hundë,μύτη
4,Mund::N,gojë,στόμα
5,Zahn::N,dhëmb,δόντι
6,Zunge::N,gjuhë,γλώσσα
7,Lippe::N,buzë,χείλος
8,Wange::N,faqe,παρειά
9,Wange::N,faqe,μάγουλο
10,Wange::N,mollëz,παρειά
11,Wange::N,mollëz,μάγουλο
12,Gesicht::N,fytyrë,πρόσωπο
13,Stirn::N,ballë,μέτωπο
14,Haar::N,flokë,μαλλιά
15,Schnurrbart::N,mustaqe,μουστάκι
16,Bart::N,mjekër,γένια
17,Kinn::N,mjekër,πιγούνι
18,Kiefer[Anatomie]::N,nofull,σαγόνι
19,Kehle::N,fyt,λαρύγγι
20,Kehle::N,grykë,λαρύγγι
21,Hals::N,qafë,λαιμός
22,Genick::N,arrëz,σβέρκος
23,Kopf::N,kokë,κεφάλι
24,Rücken::N,kurriz,ράχη
25,Bauch::N,bark,κοιλιά
26,Nabel::N,kërthizë,αφαλός
27,Busen::N,gji,στήθος
28,Brust::N,gjoks,στήθος
29,Brust::N,kraharor,στήθος
30,Schulter::N,sup,ώμος
31,Schulter::N,krah,ώμος
32,Arm::N,krah,χέρι
33,Arm::N,krah,μπράτςο
34,Ellenbogen::N,bërryl,αγκώνας
35,Hand::N,dorë,χέρι
36,Handfläche::N,pëllëmbë,παλάμη
37,Finger::N,gisht,δάχτυλο
38,Fingernagel::N,thua,νύχι
39,Nagel[Anatomie]::N,thua,νύχι
40,Zeh::N,gisht i këmbës,δάχτυλο του ποδιού
41,Fuß::N,këmbë,πόδι
42,Ferse::N,thembër,φτέρνα
43,Knie::N,gju,γόνατο
44,Oberschenkel::N,kofshë,μηρός
45,Bein::N,këmbë,πόδι
46,Körper::N,trup,σώμα
47,Körper::N,trup,κορμί
48,Haut::N,lëkurë,πετσί
49,Blut::N,gjak,αίμα
50,Ader::N,venë,φλέβα
51,Sehne::N,dell,νεύρο
52,Sehne::N,dell,τένοντας
53,Knochen::N,asht,οστό
54,Knochen::N,asht,κόκκαλο
55,Knochen::N,kockë,οστό
56,Knochen::N,kockë,κόκκαλο
57,Gehirn::N,tru,μυαλό
58,Gehirn::N,tru,εγκέφαλος
59,Herz::N,zemër,καρδιά
60,Magen::N,stomak,στομάχι
