,Concept_ID,sv,bn
0,Auge::N,öga,চক্ষু
1,Ohr::N,öra,কর্ণ
2,Nase::N,näsa,নাক
3,Mund::N,mun,মুখ
4,Zahn::N,tand,দাঁত
5,Zunge::N,tunga,জিহবা
6,Lippe::N,läpp,অধর
7,Wange::N,kind,গণ্ড
8,Gesicht::N,syn,মুখমণ্ডল
9,Gesicht::N,ansikte,মুখমণ্ডল
10,Stirn::N,panna,কপাল
11,Haar::N,hår,চুল
12,Schnurrbart::N,mustasch,গোঁফ
13,Bart::N,skägg,শ্মশ্রু
14,Kinn::N,haka,চিবুক
15,Kiefer[Anatomie]::N,käke,চোয়াল
16,Kehle::N,strupe,কণ্ঠ
17,Hals::N,hals,গল
18,Genick::N,nacke,ঘাড়
19,Kopf::N,huvud,মাথা
20,Rücken::N,rygg,পৃষ্ঠ
21,Bauch::N,buk,উদর
22,Bauch::N,mage,উদর
23,Nabel::N,navel,নাভি
24,Busen::N,barm,স্তন
25,Brust::N,bröst,বুক
26,Schulter::N,skuldra,স্কন্ধ
27,Arm::N,arm,বাহু
28,Ellenbogen::N,armbåge,কনুই
29,Hand::N,hand,হাত
30,Handfläche::N,handflata,করতল
31,Finger::N,finger,আঙ্গুল
32,Fingernagel::N,fingernagel,হাতের নখ
33,Nagel[Anatomie]::N,nagel,নখ
34,Zeh::N,tå,আঙ্গুল
35,Fuß::N,fot,পা
36,Ferse::N,häl,গোড়ালি
37,Knie::N,knä,হাঁটু
38,Oberschenkel::N,lår,ঊরু
39,Bein::N,ben,পা
40,Körper::N,kropp,দেহ
41,Haut::N,hud,ত্বক
42,Haut::N,skinn,ত্বক
43,Blut::N,blod,রক্ত
44,Ader::N,åder,শিরা
45,Sehne::N,sena,কণ্ডরা
46,Knochen::N,ben,অস্থি
47,Gehirn::N,hjärna,মস্তিষ্ক
48,Herz::N,hjärta,হৃৎপিণ্ড
49,Magen::N,mage,পাকস্থলী
50,Leber::N,lever,যকৃৎ
51,Atem::N,anda,শ্বাস
52,Atem::N,andedräkt,শ্বাস
53,Hunger::N,svält,ক্ষুধা
54,Hunger::N,hunger,ক্ষুধা
55,Träne::N,tår,অশ্রু
56,Geschmack::N,smak,স্বাদ
57,Geruch::N,lukt,গন্ধ
58,Schlaf::N,sömn,ঘুম
59,Traum::N,dröm,স্বপ্ন
60,Himmel::N,himmel,আকাশ
61,Sonne::N,sol,সূর্য
62,Mond::N,måne,চন্দ্র
63,Stern::N,stjärna,নক্ষত্র
64,Luft::N,luft,বায়ু
65,Wind::N,vind,বাতাস
66,Welle::N,våg,ঢেউ
67,Welle::N,våg,তরঙ্গ
68,Welle::N,bölja,ঢেউ
69,Welle::N,bölja,তরঙ্গ
70,Wasser::N,vatten,জল
71,Stein::N,sten,ঢিল
72,Stein::N,sten,প্রস্তর
73,Boden::N,mark,ভূতল
74,Erde::N,jord,ভূমি
75,Staub::N,damm,ধুলা
76,Rauch::N,rök,ধোঁয়া
77,Funke::N,gnista,স্ফুলিঙ্গ
78,Feuer::N,eld,অগ্নি
79,Licht::N,ljus,আলো
80,Schatten::N,skugga,ছায়া
81,Wetter::N,väder,আবহাওয়া
82,Nebel::N,dimma,কুহেলিকা
83,Nebel::N,töcken,কুহেলিকা
84,Wolke::N,sky,মেঘ
85,Wolke::N,moln,মেঘ
86,Regen::N,regn,বৃষ্টি
87,Schnee::N,snö,তুষার
88,Eis::N,is,বরফ
89,Frost::N,frost,তুষার
90,Kälte::N,köld,শৈত্য
91,Hitze::N,hetta,তাপ
92,Raureif::N,rimfrost,তুহিন
93,Regenbogen::N,regnbåge,রামধনু
94,Donner::N,åska,বজ্রধ্বনি
95,Donner::N,dunder,বজ্রধ্বনি
96,Strömung::N,strömning,স্রোত
97,Tropfen::N,dropper,ফোঁটা
98,Schaum::N,skum,ফেনা
99,Schmutz::N,lort,ধুলা
100,Schmutz::N,smuts,ধুলা
101,See::N,sjö,হ্রদ
102,Sumpf::N,träsk,জলা
103,Moor::N,myr,মাঠ
104,Moor::N,mosse,মাঠ
105,Wiese::N,äng,তৃণভূমি
106,Wald::N,skog,বন
107,Hügel::N,höjd,পাহাড়
108,Hügel::N,kulle,পাহাড়
109,Anhöhe::N,höjd,টিলা
