,Concept_ID,sk,el
0,Auge::N,oko,μάτι
1,Auge::N,oko,οφθαλμός
2,Ohr::N,ucho,αυτί
3,Nase::N,nos,μύτη
4,Mund::N,ústa,στόμα
5,Zahn::N,zub,δόντι
6,Zunge::N,jazyk,γλώσσα
7,Lippe::N,pera,χείλος
8,Wange::N,líce,παρειά
9,Wange::N,líce,μάγουλο
10,Gesicht::N,tvár,πρόσωπο
11,Gesicht::N,obličaj,πρόσωπο
12,Stirn::N,čelo,μέτωπο
13,Haar::N,vlas,μαλλιά
14,Schnurrbart::N,fúzy,μουστάκι
15,Bart::N,brada,γένια
16,Kinn::N,brada,πιγούνι
17,Kiefer[Anatomie]::N,čeľusť,σαγόνι
18,Kehle::N,hrdlo,λαρύγγι
19,Hals::N,krk,λαιμός
20,Genick::N,väzy,σβέρκος
21,Kopf::N,hlava,κεφάλι
22,Rücken::N,chrbát,ράχη
23,Bauch::N,brucho,κοιλιά
24,Nabel::N,pupok,αφαλός
25,Busen::N,prsia,στήθος
26,Brust::N,hruď,στήθος
27,Schulter::N,plece,ώμος
28,Arm::N,rameno,χέρι
29,Arm::N,rameno,μπράτςο
30,Ellenbogen::N,lakeť,αγκώνας
31,Hand::N,ruka,χέρι
32,Handfläche::N,dlaň,παλάμη
33,Finger::N,prst,δάχτυλο
34,Fingernagel::N,necht,νύχι
35,Nagel[Anatomie]::N,necht,νύχι
36,Zeh::N,prst na nohe,δάχτυλο του ποδιού
37,Fuß::N,noha,πόδι
38,Ferse::N,päta,φτέρνα
39,Knie::N,koleno,γόνατο
40,Oberschenkel::N,stehno,μηρός
41,Bein::N,noha,πόδι
42,Körper::N,telo,σώμα
43,Körper::N,telo,κορμί
44,Haut::N,koža,πετσί
45,Blut::N,krv,αίμα
46,Ader::N,žila,φλέβα
47,Sehne::N,šľacha,νεύρο
48,Sehne::N,šľacha,τένοντας
49,Knochen::N,kosť,οστό
50,Knochen::N,kosť,κόκκαλο
51,Gehirn::N,mozog,μυαλό
52,Gehirn::N,mozog,εγκέφαλος
53,Herz::N,srdce,καρδιά
54,Magen::N,žalúdok,στομάχι
55,Leber::N,pečeň,ήπαρ
56,Leber::N,pečeň,συκωτί
57,Atem::N,dych,αναπνοή
58,Hunger::N,hlad,πείνα
59,Träne::N,slza,δάκρυ
60,Geschmack::N,chuť,γεύση
61,Geruch::N,pach,οσμή
62,Geruch::N,pach,μυρωδία
63,Schlaf::N,spánok,ύπνος
64,Traum::N,sen,όνειρο
65,Himmel::N,nebo,ουρανός
66,Sonne::N,slnko,ήλιος
67,Mond::N,mesiac,σελήνη
68,Mond::N,mesiac,φεγγάρι
69,Stern::N,hviezda,άστρο
70,Stern::N,hviezda,αστέρι
71,Luft::N,vzduch,αέρας
72,Wind::N,vietor,αέρας
73,Wind::N,vietor,άνεμος
74,Welle::N,vlna,κύμα
75,Wasser::N,voda,νερό
76,Stein::N,kameň,πέτρα
77,Boden::N,zem,χώμα
78,Boden::N,pôda,χώμα
79,Erde::N,zem,γη
80,Staub::N,prach,σκόνη
81,Rauch::N,dym,καπνός
82,Funke::N,iskra,σπίθα
83,Funke::N,iskra,σπινθήρας
84,Feuer::N,oheň,φωτιά
85,Licht::N,svetlo,φως
86,Schatten::N,tieň,σκιά
87,Schatten::N,tieň,ίσκιος
88,Wetter::N,počasie,καιρός
89,Nebel::N,hmla,ομίχλη
90,Wolke::N,oblak,σύννεφο
91,Wolke::N,mračno,σύννεφο
92,Regen::N,dážď,βροχή
93,Schnee::N,sneh,χιόνι
94,Eis::N,ľad,πάγος
95,Frost::N,mráz,παγωνία
96,Kälte::N,zima,κρύο
97,Kälte::N,zima,ψύχος
98,Kälte::N,chlad,κρύο
99,Kälte::N,chlad,ψύχος
100,Hitze::N,horúčava,ζέστη
101,Raureif::N,srieň,πάχνη
102,Raureif::N,inovať,πάχνη
103,Regenbogen::N,dúha,ουράνιο τόξο
104,Donner::N,hrom,βροντή
105,Strömung::N,prúdenie,ρεύμα
106,Tropfen::N,kvapka,στάλα
107,Schaum::N,pena,αφρός
108,Schmutz::N,špina,βρωμιά
109,Schmutz::N,nečistota,βρωμιά
110,See::N,jazero,λίμνη
111,Sumpf::N,bahno,βάλτος
112,Moor::N,močiar,έλος
113,Wiese::N,lúka,λιβάδι
114,Wald::N,les,δάσος
115,Wald::N,hora,δάσος
116,Hügel::N,vŕšok,λόφος
117,Anhöhe::N,výšina,ύψωμα
118,Anhöhe::N,vyvýšenina,ύψωμα
119,Berg::N,hora,όρος
120,Berg::N,hora,βουνό
121,Gipfel::N,vrchol,κορυφή
122,Höhle::N,jaskyňa,σπηλιά
123,Abhang::N,úbočie,πλαγιά
124,Quelle::N,prameň,πηγή
125,Quelle::N,prameň,βρύση
126,Bach::N,potok,ρυάκι
127,Fluss::N,rieka,ποτάμι
128,Fluss::N,rieka,ποταμός
129,Ufer::N,breh,όχθη
130,Küste::N,pobrežie,ακτή
131,Küste::N,pobrežie,ακρογιαλιά
132,Festland::N,pevnina,στεριά
133,Meer::N,more,θάλασσα
134,Bucht::N,záliv,κόλπος
135,Bucht::N,zátoka,κόλπος
136,Insel::N,ostrov,νησί
137,Insel::N,ostrov,νήσος
138,Blume::N,kvet,άνθος
139,Blume::N,kvet,λουλούδι
140,Blume::N,kvetina,άνθος
141,Blume::N,kvetina,λουλούδι
142,Gras::N,tráva,χόρτο
143,Gras::N,tráva,χορτάρι
144,Wurzel::N,koreň,ρίζα
145,Baum::N,strom,δέντρο
146,Stamm::N,kmeň,κορμός
147,Rinde::N,kôra,φλούδα
148,Ast::N,konár,κλαδί
149,Zweig::N,vetva,κλαδί
150,Zweig::N,vetva,κλάδος
151,Blatt::N,list,φύλλο
152,Birke::N,breza,σημύδα
153,Kiefer[Baum]::N,sosna,πεύκο
154,Kiefer[Baum]::N,borovica,πεύκο
155,Weide[Baum]::N,vŕba,ιτιά
156,Tanne::N,jedľa,έλατο
157,Horn::N,roh,κέρας
158,Horn::N,roh,κέρατο
159,Feder::N,pero,φτερό
160,Fell::N,koža,δέρμα
161,Fell::N,koža,τομάρι
