,Concept_ID,ca,vep
0,Auge::N,ull,sil'm
1,Ohr::N,orella,korv
2,Nase::N,nas,nena
3,Mund::N,boca,su
4,Zahn::N,dent,pi
5,Zahn::N,dent,hambaz
6,Zunge::N,llēngua,kel'
7,Lippe::N,llavi,hul'
8,Wange::N,galta,modpolišk
9,Gesicht::N,cara,mod
10,Stirn::N,front,oc
11,Haar::N,cabēll,tuk
12,Haar::N,cabēll,hibuz
13,Schnurrbart::N,bigoti,habinod
14,Bart::N,barba,bard
15,Kinn::N,mentó,löug
16,Kinn::N,barbeta,löug
17,Kiefer[Anatomie]::N,queix,hambazlu
18,Kiefer[Anatomie]::N,mandíbula,hambazlu
19,Kehle::N,gola,kurk
20,Kehle::N,gorja,kurk
21,Hals::N,coll,kagl
22,Genick::N,nuca,tagarai
23,Kopf::N,cap,pä
24,Rücken::N,esquena,sel'g
25,Bauch::N,panxa,vac
26,Bauch::N,panxa,koht
27,Nabel::N,llombrígol,naba
28,Busen::N,pit,niža
29,Busen::N,mama,niža
30,Brust::N,pit,rind
31,Schulter::N,espatlla,oug
32,Arm::N,braç,käzi
33,Ellenbogen::N,colze,künambruz
34,Hand::N,mà,käzi
35,Hand::N,mà,käzitera
36,Handfläche::N,palma,kämen
37,Finger::N,dit,sor'm
38,Fingernagel::N,ungla,künz'
39,Nagel[Anatomie]::N,ungla,künz'
40,Zeh::N,dit del peu,barbaz
41,Fuß::N,peu,jaug
42,Ferse::N,taló,kand
43,Knie::N,genoll,komb
44,Knie::N,genoll,pol'v
45,Oberschenkel::N,cuixa,riiže
46,Bein::N,cama,jaug
47,Körper::N,cos,hibj
48,Haut::N,pell,nahk
49,Blut::N,sang,čak
50,Blut::N,sang,veri
51,Ader::N,vena,son'
52,Sehne::N,tendó,jände
53,Knochen::N,os,lu
54,Gehirn::N,cervell,aivod
55,Herz::N,cor,südäin
56,Magen::N,estómac,südäikoht
57,Leber::N,fetge,maks
58,Atem::N,alè,hengaiduz
59,Atem::N,hàlit,hengaiduz
60,Hunger::N,fam,näl'g
61,Hunger::N,gana,näl'g
62,Träne::N,llàgrima,kündal'
63,Geschmack::N,gust,magu
64,Geschmack::N,sabor,magu
65,Geruch::N,olor,haju
66,Schlaf::N,son,uni
67,Traum::N,somni,unikuva
68,Himmel::N,celm,taivaz
69,Sonne::N,sol,päiväine
70,Mond::N,lluna,kudmaine
71,Stern::N,estel,tähtaz
72,Stern::N,estrella,tähtaz
73,Luft::N,aire,il'm
74,Wind::N,vent,döl
75,Wind::N,vent,tullei
76,Welle::N,ona,ald
77,Welle::N,ona,laineh
78,Wasser::N,āigua,vezi
79,Stein::N,pedra,kivi
80,Boden::N,sòl,ma
81,Boden::N,sòl,pohj
82,Erde::N,terra,ma
83,Staub::N,pols,pölü
84,Rauch::N,fum,savu
85,Funke::N,guspira,kibin
86,Funke::N,centella,kibin
87,Feuer::N,foc,lämoi
88,Licht::N,llum,vauktuz
89,Schatten::N,ombra,pil'vez
90,Schatten::N,ombra,kuvahaine
91,Wetter::N,temps,sä
92,Nebel::N,boira,sumeg
93,Wolke::N,núvol,pil'v
94,Regen::N,pluja,vihm
95,Schnee::N,neu,lumi
96,Eis::N,gel,jä
97,Eis::N,glaç,jä
98,Frost::N,glaçada,hala
99,Frost::N,glaçada,pakaine
100,Kälte::N,fred,vilu
101,Hitze::N,calor,räk
102,Raureif::N,gebre,hüde
103,Regenbogen::N,arc iris,jumalanbembel'
104,Donner::N,tro,juru
105,Donner::N,tro,jumalanjuru
106,Strömung::N,corrent,joksmuz
107,Tropfen::N,gota,tilkuine
108,Schaum::N,escuma,vaht
109,Schmutz::N,brutícia,redu
110,Schmutz::N,brutícia,pačak
111,See::N,llac,järv
112,Sumpf::N,pantà,so
113,Moor::N,pantà,so
114,Wiese::N,prat,nit
115,Wiese::N,prada,nit
116,Wald::N,bosc,mec
117,Hügel::N,puig,kukaz
118,Hügel::N,pujol,kukaz
119,Anhöhe::N,turó,kukaz
120,Berg::N,muntanya,mägi
121,Gipfel::N,cim,ladv
122,Höhle::N,cova,mägionduz
123,Abhang::N,coster,paute
124,Quelle::N,font,lähte
125,Bach::N,riera,oja
126,Fluss::N,riu,jogi
127,Ufer::N,riba,rand
128,Küste::N,costa,randišt
129,Festland::N,terra ferma,kuivma
130,Meer::N,mar,meri
131,Bucht::N,cala,laht
132,Bucht::N,badia,laht
133,Insel::N,illa,sar'
134,Blume::N,flor,änik
135,Gras::N,herba,hein
136,Wurzel::N,rel,jur'
137,Wurzel::N,arrel,jur'
138,Baum::N,arbre,pu
139,Stamm::N,tronc,tüvi
140,Rinde::N,escorça,kor'
141,Ast::N,branca,oks
142,Zweig::N,ram,oks
143,Zweig::N,ram,barb
144,Blatt::N,fulla,lehtez
145,Birke::N,bedoll,koiv
146,Kiefer[Baum]::N,pi,pedai
147,Weide[Baum]::N,salze,raid
148,Tanne::N,avet,kuz'
149,Horn::N,corn,sar'v
150,Horn::N,banya,sar'v
151,Feder::N,ploma,höuneh
152,Fell::N,pell,nahk
153,Flügel::N,ala,suug
154,Klaue::N,urpa,künz'
155,Kralle::N,grapa,künz'
156,Schwanz::N,cua,händ
157,Ei::N,ou,muna
