,Concept_ID,sk,lbe
0,Auge::N,oko,я
1,Ohr::N,ucho,вичӏи
2,Nase::N,nos,май
3,Mund::N,ústa,кьацӏ
4,Zahn::N,zub,ккарччи
5,Zunge::N,jazyk,маз
6,Lippe::N,pera,мурччи
7,Wange::N,líce,чӏав
8,Gesicht::N,tvár,лажин
9,Gesicht::N,obličaj,лажин
10,Stirn::N,čelo,ненттабакӏ
11,Haar::N,vlas,чӏара
12,Schnurrbart::N,fúzy,ссирссилтту
13,Bart::N,brada,чӏири
14,Kinn::N,brada,лунттубакӏ
15,Kiefer[Anatomie]::N,čeľusť,ххинчулул
16,Kehle::N,hrdlo,кьакьари
17,Hals::N,krk,ссурссу
18,Genick::N,väzy,махъабакӏ
19,Kopf::N,hlava,бакӏ
20,Rücken::N,chrbát,ттиликӏ
21,Bauch::N,brucho,лякьа
22,Nabel::N,pupok,цӏумуккутӏ
23,Busen::N,prsia,ккукку
24,Brust::N,hruď,хъазам
25,Schulter::N,plece,хъачӏ
26,Arm::N,rameno,ка
27,Ellenbogen::N,lakeť,ссюрхъ
28,Hand::N,ruka,бартка
29,Handfläche::N,dlaň,хъат
30,Handfläche::N,dlaň,битӏянхъ
31,Finger::N,prst,кӏисса
32,Fingernagel::N,necht,михь
33,Nagel[Anatomie]::N,necht,михь
34,Zeh::N,prst na nohe,кӏисса
35,Fuß::N,noha,чӏанччан
36,Ferse::N,päta,никъа
37,Knie::N,koleno,ник
38,Oberschenkel::N,stehno,жира
39,Bein::N,noha,ччан
40,Körper::N,telo,чурх
41,Haut::N,koža,бурчу
42,Blut::N,krv,оь
43,Ader::N,žila,тунну
44,Sehne::N,šľacha,хьхьа
45,Knochen::N,kosť,ттаркӏ
46,Gehirn::N,mozog,ня
47,Herz::N,srdce,дакӏ
48,Herz::N,srdce,къюкӏ
49,Magen::N,žalúdok,лякьа
50,Leber::N,pečeň,
51,Atem::N,dych,ссихӏ ласаву
52,Atem::N,dych,ссихӏ бигьаву
53,Hunger::N,hlad,ккаши
54,Träne::N,slza,макь
55,Geschmack::N,chuť,тӏин
56,Geschmack::N,chuť,тӏааьн
57,Geruch::N,pach,кьанкь
58,Schlaf::N,spánok,шану
59,Traum::N,sen,макӏру
60,Himmel::N,nebo,ссав
61,Sonne::N,slnko,баргъ
62,Mond::N,mesiac,барз
63,Stern::N,hviezda,цӏуку
64,Luft::N,vzduch,гьава
65,Wind::N,vietor,марч
66,Welle::N,vlna,щатӏи
67,Wasser::N,voda,щин
68,Stein::N,kameň,чару
69,Boden::N,zem,аьрщи
70,Boden::N,pôda,аьрщи
71,Erde::N,zem,аьрщи
72,Staub::N,prach,ххит
73,Rauch::N,dym,пуркӏу
74,Funke::N,iskra,пиягь
75,Feuer::N,oheň,цӏу
76,Licht::N,svetlo,чани
77,Schatten::N,tieň,ххют
78,Wetter::N,počasie,гьава
79,Nebel::N,hmla,шархь ттурлу
80,Wolke::N,oblak,ттурлу
81,Wolke::N,mračno,ттурлу
82,Regen::N,dážď,гъарал
83,Schnee::N,sneh,марххала
84,Eis::N,ľad,микӏ
85,Frost::N,mráz,дяркъу
86,Frost::N,mráz,замгьар
87,Kälte::N,zima,дяркъу
88,Kälte::N,chlad,дяркъу
89,Hitze::N,horúčava,кӏиришиву
90,Raureif::N,srieň,сил
91,Raureif::N,srieň,бурса
92,Raureif::N,inovať,сил
93,Raureif::N,inovať,бурса
94,Regenbogen::N,dúha,ссурул ккуртта
95,Donner::N,hrom,къув
96,Strömung::N,prúdenie,экьинанаву
97,Tropfen::N,kvapka,кӏунтӏ
98,Schaum::N,pena,хьама
99,Schmutz::N,špina,кьяркьи
100,Schmutz::N,nečistota,кьяркьи
101,See::N,jazero,бяр
102,Sumpf::N,bahno,кунцӏа
103,Moor::N,močiar,
104,Wiese::N,lúka,кьан
105,Wald::N,les,вацӏа
106,Wald::N,hora,вацӏа
107,Hügel::N,vŕšok,бакӏу
108,Anhöhe::N,výšina,
109,Anhöhe::N,vyvýšenina,
110,Berg::N,hora,зунтту
111,Gipfel::N,vrchol,мицӏ
112,Höhle::N,jaskyňa,нух
113,Abhang::N,úbočie,сун
114,Quelle::N,prameň,дайдихьу
115,Quelle::N,prameň,бакӏ
116,Bach::N,potok,чӏрир нех
117,Fluss::N,rieka,нех
118,Ufer::N,breh,зума
119,Küste::N,pobrežie,зумаинхалу
120,Küste::N,pobrežie,зуманицӏалу
121,Festland::N,pevnina,кьири
122,Meer::N,more,хьхьири
123,Bucht::N,záliv,
124,Bucht::N,zátoka,
125,Insel::N,ostrov,жазира
126,Blume::N,kvet,тӏутӏи
127,Blume::N,kvetina,тӏутӏи
128,Gras::N,tráva,уртту
129,Wurzel::N,koreň,мархха
130,Baum::N,strom,мурхь
131,Stamm::N,kmeň,ттарцӏ
132,Rinde::N,kôra,ккамара
133,Ast::N,konár,матӏи
134,Zweig::N,vetva,къяртта
135,Blatt::N,list,чӏапӏи
136,Birke::N,breza,кӏялахӏи
137,Birke::N,breza,кӏялахӏилул мурхь
138,Kiefer[Baum]::N,sosna,ттар
139,Kiefer[Baum]::N,sosna,ттарлил мурхь
140,Kiefer[Baum]::N,borovica,ттар
141,Kiefer[Baum]::N,borovica,ттарлил мурхь
142,Weide[Baum]::N,vŕba,щавщи
143,Tanne::N,jedľa,ттарлил мурхь
144,Horn::N,roh,хъи
145,Feder::N,pero,лелуххул тӏиму
146,Fell::N,koža,бурчу
147,Fell::N,kožušina,бурчу
148,Flügel::N,krídlo,хъа
149,Flügel::N,krídlo,ххурупӏайрал тӏиму
150,Klaue::N,paznecht,михь
151,Kralle::N,pazúr,ххяппа
152,Schwanz::N,chvost,магъ
153,Ei::N,vajce,ккунук
154,Ei::N,vajíčko,ккунук
155,Nest::N,hniezdo,кюру
156,Bau::N,nora,цукъуккутӏ
157,Tier::N,zviera,хӏайван
158,Herde::N,stádo,газу
159,Kuh::N,krava,оьл
160,Bulle::N,býk,ниц
161,Pferd::N,kôň,чу
162,Schaf::N,ovca,тта
163,Schwein::N,sviňa,дунгъуз
164,Hund::N,pes,ккаччи
165,Katze::N,mačka,ччиту
166,Bär::N,medveď,цуша
167,Eichhörnchen::N,veverička,бюрхттукку
168,Elch::N,los,ниц-бюрин
169,Fuchs::N,líška,цулчӏа
