,Concept_ID,ml,da
0,Auge::N,കണ്ണ്,øje
1,Ohr::N,ചെവി,øre
2,Nase::N,മൂക്ക്,næse
3,Mund::N,വായ,mund
4,Zahn::N,പല്ല്,tand
5,Zunge::N,നാക്ക്,tunge
6,Lippe::N,ചുണ്ട്,læbe
7,Wange::N,കവിൾത്തടം,kind
8,Gesicht::N,മുഖം,ansigt
9,Stirn::N,നെറ്റി,pande
10,Haar::N,തലമുടി,hår
11,Schnurrbart::N,മീശ,overskæg
12,Bart::N,താടിരോമം,skæg
13,Kinn::N,താടി,hage
14,Kiefer[Anatomie]::N,താടിയെല്ല്,kæbe
15,Kehle::N,കണ്ഠനാളം,strube
16,Hals::N,കഴുത്ത്,hals
17,Genick::N,പിടലി,nakke
18,Kopf::N,തല,hoved
19,Rücken::N,മുതുക്,ryg
20,Bauch::N,നയറ്,mave
21,Nabel::N,നാഭി,navle
22,Busen::N,സ്തനം,barm
23,Brust::N,സ്തനം,bryst
24,Schulter::N,തോൾ,skulder
25,Arm::N,കൈ,arm
26,Ellenbogen::N,കൈമുട്ട്,albue
27,Hand::N,കൈ,hånd
28,Handfläche::N,ഉള്ളം കൈ,håndflade
29,Finger::N,വിരൽ,finger
30,Fingernagel::N,നഖം,fingernegl
31,Nagel[Anatomie]::N,നഖം,negl
32,Zeh::N,കാൽവിരൽ,tå
33,Fuß::N,കാൽപ്പാദം,fod
34,Ferse::N,ഉപ്പൂറ്റി,hæl
35,Knie::N,കാൽമുട്ട്,knæ
36,Oberschenkel::N,തുട,lår
37,Bein::N,കാൽ,ben
38,Körper::N,ശരീരം,krop
39,Körper::N,ശരീരം,legeme
40,Haut::N,ചർമ്മം,hud
41,Blut::N,രക്തം,blod
42,Ader::N,ഞരമ്പ്,åre
43,Sehne::N,സ്നായു,sene
44,Knochen::N,അസ്ഥി,ben
45,Gehirn::N,തലച്ചോറ്,hjerne
46,Herz::N,ഹൃദയം,hjerte
47,Magen::N,വയർ,mave
48,Leber::N,കരൾ,lever
49,Atem::N,ശ്വാസം,ånde
50,Hunger::N,വിശപ്പ്,sult
51,Träne::N,കണ്ണീർ,tåre
52,Geschmack::N,രുചി,smag
53,Geruch::N,ഗന്ധം,lugt
54,Schlaf::N,ഉറകും,søvn
55,Traum::N,സ്വപ്നം,drøm
56,Himmel::N,ആകാശം,himmel
57,Sonne::N,സൂര്യൻ,sol
58,Mond::N,ചന്ദ്രൻ,måne
59,Stern::N,നക്ഷത്രം,stjerne
60,Luft::N,കാറ്റ്,luft
61,Wind::N,കാറ്റ്,vind
62,Welle::N,തിരമാല,bølge
63,Wasser::N,വെള്ളം,vand
64,Stein::N,ശില,sten
65,Stein::N,കല്ല്,sten
66,Boden::N,തറ,jord
67,Boden::N,നിലം,jord
68,Erde::N,മണ്ണ്,jord
69,Staub::N,പൊടി,støv
70,Rauch::N,പുക,røg
71,Funke::N,തീപ്പൊരി,gnist
72,Feuer::N,തീ,ild
73,Licht::N,വിളക്ക്,lys
74,Licht::N,സൂര്യപ്രകാശം,lys
75,Schatten::N,തണൽ,skygge
76,Wetter::N,കാലാവസ്ഥ,vejr
77,Nebel::N,മൂടൽമഞ്ഞ്,tåge
78,Wolke::N,മേഘം,sky
79,Regen::N,മഴ,regn
80,Schnee::N,മഞ്ഞ്,sne
81,Eis::N,ഐസ്,is
82,Frost::N,മൂടൽമഞ്ഞ്,frost
83,Kälte::N,തണുപ്പ്,kulde
84,Hitze::N,ചൂട്,hede
85,Raureif::N,കോടമഞ്ഞ്,rimfrost
86,Regenbogen::N,മഴവില്ല്,regnbue
87,Donner::N,ഇടി,torden
88,Strömung::N,പ്രവാഹം,strømning
89,Tropfen::N,തുള്ളി,dråbe
90,Schaum::N,നുര,skum
91,Schmutz::N,അഴുക്ക്,snavs
92,See::N,തടാകം,sø
93,Sumpf::N,ചതുപ്പുനിലം,sump
94,Moor::N,പാഴ്നിലം,mose
95,Wiese::N,പുൽത്തകിടി,eng
96,Wald::N,വനം,skov
97,Wald::N,കാട്,skov
98,Hügel::N,കുന്ന്,høj
99,Hügel::N,കുന്ന്,bakke
100,Anhöhe::N,ഉയർന്ന ഭൂമി,høj
101,Anhöhe::N,ഉയർന്ന ഭൂമി,bakke
102,Berg::N,പർവ്വതം,bjerg
103,Gipfel::N,ഉച്ചകോടി,top
104,Höhle::N,ഗുഹ,hule
105,Abhang::N,ചരിവ്,skrænt
106,Abhang::N,ചരിവ്,skråning
107,Quelle::N,ഉറവിടം,kilde
108,Bach::N,അരുവി,bæk
109,Fluss::N,നദി,flod
110,Ufer::N,തീരം,bred
111,Küste::N,കടൽത്തീരം,kyst
112,Festland::N,കര,fastland
113,Meer::N,കടൽ,hav
114,Bucht::N,ഉൾക്കടല്,bugt
115,Insel::N,ദ്വീപ്,ø
116,Blume::N,പൂവ്,blomst
117,Gras::N,പുല്ല്,græs
118,Wurzel::N,വേര്,rod
119,Baum::N,മരം,træ
120,Stamm::N,തായ്ത്തടി,stamme
121,Rinde::N,പട്ട,bark
122,Ast::N,ശാഖ,gren
123,Zweig::N,ശാഖ,kvist
124,Blatt::N,ഇല,blad
125,Birke::N,പൂവരശ്,birk
126,Kiefer[Baum]::N,പൈൻമരം,fyrretræ
127,Weide[Baum]::N,വില്ലോ,piletræ
128,Tanne::N,ദേവദാരു,gran
129,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,horn
130,Feder::N,തൂവൽ,fjer
131,Fell::N,മൃദുരോമം,skind
132,Flügel::N,ചിറക്,vinge
133,Klaue::N,നഖം,klov
134,Kralle::N,നഖം,klo
135,Schwanz::N,വാൽ,hale
136,Ei::N,മുട്ട,æg
137,Nest::N,കൂട്,rede
138,Bau::N,മാളം,bo
139,Tier::N,മൃഗം,dyr
140,Herde::N,കൂട്ടം,flok
141,Kuh::N,പശു,ko
142,Bulle::N,കാള,tyr
143,Pferd::N,കുതിര,hest
144,Schaf::N,ആട്,får
145,Schwein::N,പന്നി,gris
146,Hund::N,നായ്,hund
147,Katze::N,പൂച്ച,kat
148,Bär::N,കരടി,bjørn
149,Eichhörnchen::N,അണ്ണാൻ,egern
150,Elch::N,കടമാന്,elg
151,Fuchs::N,കുറുക്കൻ,ræv
152,Hase::N,മുയൽ,hare
153,Maus::N,ചുണ്ടലി,mus
154,Wolf::N,ചെന്നായ,ulv
155,Vogel::N,പക്ഷി,fugl
156,Schwarm::N,കൂട്ടം,sværm
157,Huhn::N,കോഴി,høne
158,Hahn::N,പൂവൻകോഴി,hane
159,Gans::N,അരയന്നം,gås
160,Adler::N,കഴുകൻ,ørn
161,Ente::N,താറാവ്,and
162,Eule::N,മൂങ്ങ,ugle
163,Kranich::N,കൊക്ക്,trane
164,Krähe::N,കാക്ക,krage
165,Kuckuck::N,കുയിൽ,gøg
166,Schwan::N,അരയന്നം,svane
167,Fisch::N,മത്സ്യം,fisk
168,Barsch::N,ഒരിനം മത്സ്യം,aborre
169,Hecht::N,ഒരു മത്സ്യം,gedde
170,Schlange[Tier]::N,പാമ്പ്,slange
171,Wurm::N,വിര,orm
172,Spinne::N,ചിലന്തി,edderkop
173,Ameise::N,ഉറുമ്പ്,myre
174,Laus::N,പേന്,lus
175,Mücke::N,മശകം,myg
176,Fliege::N,ഈച്ച,flue
177,Schmetterling::N,ചിത്രശലഭം,sommerfugl
178,Beere::N,ബെറി,bær
179,Apfel::N,ആപ്പിൾ,æble
180,Pilz::N,കൂൺ,svamp
181,Zwiebel::N,സവാള,løg
182,Saat::N,വിത്ത്,sæd
183,Korn::N,ധാന്യം,korn
184,Heu::N,വയ്ക്കോൽ,hø
185,Schale::N,തൊലി,skræl
186,Grube::N,കുഴി,grav
187,Falle::N,കെണി,fælde
188,Schlinge::N,കുടുക്ക്,snare
189,Spur::N,ചുവട്,spor
190,Asche::N,ചാരം,aske
191,Dreck::N,അഴുക്ക്,snavs
192,Eisen::N,ഇരുമ്പ്,jern
193,Gold::N,സ്വർണ്ണം,guld
194,Silber::N,വെള്ളി,sølv
195,Kohle::N,കൽക്കരി,kul
196,Glas::N,ഗ്ലാസ്,glas
197,Lehm::N,കളിമണ്ണ്,ler
198,Sand::N,മണൽ,sand
199,Mensch::N,മനുഷ്യർ,mennesge
200,Mann::N,പുരുഷൻ,mand
201,Frau::N,സ്ത്രീ,kvinde
202,Kind::N,കുഞ്ഞ്,barn
203,Junge::N,ആൺകുട്ടി,dreng
204,Mädchen::N,പെൺകുട്ടി,pige
205,Familie::N,കുടുംബം,familie
206,Großvater::N,അപ്പൂപ്പൻ,bedstefar
207,Großmutter::N,അമ്മുമ്മ,bedstemor
208,Eltern::N,മാതാപിതാക്കള്,forældre
209,Vater::N,അച്ഛൻ,far
210,Mutter::N,അമ്മ,mor
211,Sohn::N,മകൻ,søn
212,Tochter::N,മകൾ,datter
213,Bruder::N,ചേട്ടൻ,bror
214,Bruder::N,അനിയൻ,bror
215,Schwester::N,ചേച്ചി,søster
216,Schwester::N,അനിയത്തി,søster
217,Onkel::N,അമ്മാവൻ,onkel
218,Tante::N,മാമി,tante
219,Ehemann::N,ഭർത്താവ്,ægtemand
