,Concept_ID,udm,pt
0,Auge::N,син,olho
1,Ohr::N,пель,orelha
2,Nase::N,ныр,nariz
3,Mund::N,ым,boca
4,Zahn::N,пинь,dente
5,Zunge::N,кыл,língua
6,Lippe::N,ымдур,lábio
7,Wange::N,бам,face
8,Gesicht::N,ымныр,cara
9,Gesicht::N,ымныр,rosto
10,Stirn::N,кымес,testa
11,Haar::N,йырси,cabelo
12,Schnurrbart::N,мыйык,bigode
13,Bart::N,туш,barba
14,Kinn::N,ангес,queixo
15,Kiefer[Anatomie]::N,ан,maxila
16,Kiefer[Anatomie]::N,ан,mandíbula
17,Kiefer[Anatomie]::N,анлы,maxila
18,Kiefer[Anatomie]::N,анлы,mandíbula
19,Kehle::N,гульым,garganta
20,Hals::N,чырты,colo
21,Hals::N,чырты,pescoço
22,Genick::N,йырбер,nuca
23,Kopf::N,йыр,cabeça
24,Rücken::N,мыш,dorso
25,Rücken::N,мыш,costas
26,Bauch::N,кӧт,ventre
27,Bauch::N,кӧт,barriga
28,Nabel::N,гогы,umbigo
29,Busen::N,ноны,seio
30,Brust::N,мӧля,peito
31,Schulter::N,пельпум,ombro
32,Arm::N,суй,braço
33,Ellenbogen::N,гырпум,cotovelo
34,Hand::N,ки,mão
35,Handfläche::N,ки пыдэс,palma
36,Handfläche::N,ки пыдэс,palma da mão
37,Handfläche::N,кырым пыдэс,palma
38,Handfläche::N,кырым пыдэс,palma da mão
39,Finger::N,чиньы,dedo
40,Fingernagel::N,гижы,unha
41,Fingernagel::N,гиждӥнь,unha
42,Nagel[Anatomie]::N,гижы,unha
43,Zeh::N,пыдчиньы,dedo do pé
44,Fuß::N,пыд,pé
45,Ferse::N,пыдбер,calcanhar
46,Knie::N,пыдес,joelho
47,Oberschenkel::N,макес,coxa
48,Bein::N,пыд,perna
49,Körper::N,мугор,corpo
50,Körper::N,вылтыр,corpo
51,Haut::N,ку,pele
52,Blut::N,вир,sangue
53,Ader::N,вирсэр,veia
54,Sehne::N,вуж,tendão
55,Knochen::N,лы,osso
56,Gehirn::N,вим,cérebro
57,Herz::N,сюлэм,coração
58,Magen::N,ӝуш,estômago
59,Leber::N,мус,fígado
60,Atem::N,лул,fôlego
61,Atem::N,шокан,fôlego
62,Hunger::N,кӧтсюман,fome
63,Träne::N,синкыли,lágrima
64,Geschmack::N,шӧм,gosto
65,Geruch::N,зын,odor
66,Geruch::N,зын,cheiro
67,Schlaf::N,вӧт,sono
68,Traum::N,уйвӧт,sonho
69,Himmel::N,ин,céu
70,Sonne::N,шунды,sol
71,Mond::N,толэзь,lua
72,Stern::N,кизили,estrela
73,Luft::N,омыр,ar
74,Wind::N,тӧл,vento
75,Welle::N,тулкым,onda
76,Wasser::N,ву,água
77,Stein::N,из,pedra
78,Boden::N,музъем,solo
79,Erde::N,му,terra
80,Staub::N,пыль,pó
81,Rauch::N,ӵын,fumo
82,Funke::N,гизьы,faísca
83,Funke::N,гизьы,centelha
84,Feuer::N,тыл,fogo
85,Licht::N,тыл,luz
86,Schatten::N,вужер,sombra
87,Wetter::N,куазь,tempo
88,Nebel::N,бус,nevoeiro
89,Wolke::N,пилем,nuvem
90,Regen::N,зор,chuva
91,Schnee::N,лымы,neve
92,Eis::N,йӧ,gelo
93,Frost::N,кезьыт,gelo
94,Frost::N,кезьыт,geada
95,Kälte::N,кезьыт,frio
96,Hitze::N,пӧсь,ardor
97,Raureif::N,гӧр,geada
98,Regenbogen::N,вуюись,arco-iris
99,Donner::N,гудыри,trovão
100,Strömung::N,бызён,corrente
101,Tropfen::N,шапык,gota
102,Schaum::N,шукы,espuma
103,Schmutz::N,нӧд,sujidade
104,Schmutz::N,нӧд,imundície
105,Schmutz::N,дэри,sujidade
106,Schmutz::N,дэри,imundície
107,See::N,ты,lago
108,Sumpf::N,нюр,charco
109,Sumpf::N,нюр,pântano
110,Moor::N,нюр,pântano
111,Wiese::N,возь,prado
112,Wiese::N,возьвыл,prado
113,Wald::N,сик,bosque
114,Wald::N,сик,floresta
115,Wald::N,нюлэс,bosque
116,Wald::N,нюлэс,floresta
117,Hügel::N,выр,colina
118,Hügel::N,вырйыл,colina
119,Anhöhe::N,выр,alto
120,Anhöhe::N,выр,outeiro
121,Anhöhe::N,вырйыл,alto
122,Anhöhe::N,вырйыл,outeiro
123,Berg::N,гурезь,monte
124,Berg::N,гурезь,montanha
125,Gipfel::N,йыл,pico
126,Höhle::N,гу,caverna
127,Abhang::N,бам,encosta
128,Quelle::N,ошмес,fonte
129,Bach::N,пичи шур,regato
130,Bach::N,пичи шур,ribeiro
131,Fluss::N,шур,rio
132,Ufer::N,ярдур,beira
133,Küste::N,вудур,costa
134,Festland::N,мувыр,terra firme
135,Meer::N,зарезь,mar
136,Bucht::N,вукож,baía
137,Insel::N,вумуӵ,ilha
138,Insel::N,шормуӵ,ilha
139,Blume::N,сяська,flor
140,Gras::N,турын,erva
141,Wurzel::N,выжы,raiz
142,Baum::N,пу,árvore
143,Stamm::N,модос,tronco
144,Rinde::N,сул,casca
145,Ast::N,ул,ramo
146,Zweig::N,вай,galho
147,Blatt::N,куар,folha
148,Birke::N,кызьпу,bétula
149,Kiefer[Baum]::N,пужым,pinheiro
150,Weide[Baum]::N,бадьпу,salgueiro
151,Tanne::N,кыз,abeto
152,Horn::N,сюр,corno
153,Horn::N,сюр,chifre
154,Feder::N,тылы,pena
155,Fell::N,ку,pele
156,Flügel::N,бурд,asa
157,Klaue::N,гижы,pata
158,Kralle::N,пыд,unha
159,Kralle::N,пыд,garra
160,Schwanz::N,быж,rabo
161,Schwanz::N,быж,cauda
162,Ei::N,пуз,ovo
163,Ei::N,кукей,ovo
164,Nest::N,кар,ninho
165,Nest::N,пузкар,ninho
166,Bau::N,кар,toca
167,Bau::N,кар,covil
168,Bau::N,гу,toca
169,Bau::N,гу,covil
170,Tier::N,пӧйшур,animal
171,Herde::N,уллё,rebanho
172,Kuh::N,скал,vaca
173,Bulle::N,ош,touro
174,Bulle::N,пороз,touro
175,Pferd::N,вал,cavalo
176,Schaf::N,ыж,ovelha
177,Schwein::N,парсь,porco
178,Hund::N,пуны,cão
179,Katze::N,коӵыш,gata
180,Bär::N,гондыр,urso
181,Eichhörnchen::N,коньы,esquilo
