,Concept_ID,kk,te
0,Auge::N,көз,కన్ను
1,Ohr::N,құлақ,చెవి
2,Nase::N,мұрын,ముక్కు
3,Mund::N,ауыз,నోరు
4,Zahn::N,тіс,పల్లు
5,Zunge::N,тіл,నాలుక
6,Lippe::N,ерін,పెదవి
7,Wange::N,ұрт,చెంప
8,Gesicht::N,бет-аузы,ముఖము
9,Stirn::N,маңдай,నుదురు
10,Haar::N,қыл,వెండ్రుక
11,Schnurrbart::N,мұрт,మీసము
12,Bart::N,сақал,గడ్డము
13,Kinn::N,иек,గడ్డము
14,Kiefer[Anatomie]::N,жақ,దౌడ
15,Kehle::N,алқым,గొంతు
16,Hals::N,мойын,మెడ
17,Genick::N,желке,మూపు
18,Kopf::N,кәллә,తల
19,Rücken::N,арқа,వెన్ను
20,Bauch::N,қарын,కడుపు
21,Nabel::N,кіндік,బొడ్డు
22,Busen::N,омырау,స్తనము
23,Brust::N,кеуде,ఱొమ్ము
24,Schulter::N,иық,భుజము
25,Arm::N,қол,చేయి
26,Ellenbogen::N,шынтақ,మోచేయి
27,Hand::N,қол,చేయి
28,Handfläche::N,алақан,అరచేయు
29,Finger::N,саусақ,చేతిప్రేలు
30,Fingernagel::N,тырнақ,గోరు
31,Nagel[Anatomie]::N,тырнақ,గోరు
32,Zeh::N,тырнақ,కాలిప్రేలు
33,Zeh::N,тұяқ,కాలిప్రేలు
34,Fuß::N,аяқ-басы,అడుగు
35,Ferse::N,өкше,మడమ
36,Ferse::N,өкшелік,మడమ
37,Knie::N,тізе,మోకాలు
38,Oberschenkel::N,жамбас,తొడ
39,Bein::N,аяқ,కాలు
40,Körper::N,дене,కాయము
41,Haut::N,тері,చర్మము
42,Blut::N,қан,రక్తము
43,Ader::N,көктамыр,సిర
44,Ader::N,күретамыр,సిర
45,Sehne::N,сіңір,స్నాయువు
46,Knochen::N,жілік,ఎముక
47,Gehirn::N,ми,మెదడు
48,Herz::N,жүрек,హృదయము
49,Magen::N,асқазан,కడుపు
50,Leber::N,бауыр,కాలేయము
51,Atem::N,леп,ఉపిరి
52,Hunger::N,ашаршылық,ఆకలి
53,Träne::N,жас,కన్నీటిచుక్క
54,Geschmack::N,дәм,రుచి
55,Geschmack::N,татым,రుచి
56,Geschmack::N,талғам,రుచి
57,Geruch::N,иіс,వాసన
58,Schlaf::N,ұйқы,నిద్ర
59,Schlaf::N,ұйықтау,నిద్ర
60,Traum::N,түс,కల
61,Himmel::N,аспан,ఆకాశము
62,Himmel::N,көқ,ఆకాశము
63,Himmel::N,таңдай,ఆకాశము
64,Sonne::N,күн,సూర్యుడు
65,Mond::N,ай,చంద్రుడు
66,Stern::N,жұлдыз,నక్షత్రము
67,Luft::N,әуе,గాలి
68,Wind::N,жел,వీచుచున్నగాలి
69,Welle::N,толқын,అల
70,Wasser::N,су,నీరు
71,Stein::N,тас,ఱాయి
72,Boden::N,қыртыс,నేల
73,Erde::N,топырақ,మన్ను
74,Staub::N,шаң,దుమ్ము
75,Rauch::N,түтін,పొగ
76,Funke::N,ұшқын,అగ్నికణము
77,Feuer::N,алау,అగ్ని
78,Licht::N,шұғыла,కాంతి
79,Schatten::N,көлеңке,నీడ
80,Wetter::N,ауа райы,వాతావరణ స్థితి
81,Nebel::N,тұман,పొగమంచు
82,Wolke::N,бұлт,మేఘము
83,Regen::N,жаңбыр,వాన
84,Schnee::N,қар,హిమము
85,Eis::N,мұз,మంచుగడ్డ
86,Frost::N,суық,పేరిన మంచు
87,Kälte::N,ызғар,చలి
88,Kälte::N,суықтық,చలి
89,Hitze::N,аптап,వేడిమి
90,Raureif::N,қырау,మంచు
91,Regenbogen::N,кемпірқосақ,ఇంద్రధనుస్సు
92,Donner::N,күн күркіреу,ఉరుము
93,Strömung::N,ағын,ప్రవాహము
94,Tropfen::N,тамшы,చుక్క
95,Schaum::N,көбік,నురుగు
96,Schmutz::N,кір,మైల
97,See::N,көл,సరస్సు
98,Sumpf::N,саз,చిత్తడినేల
99,Moor::N,саз,చిత్తడినేల
100,Wiese::N,шалғын,పచ్చిక బయలు
101,Wald::N,орман,అడవి
102,Hügel::N,төбе,చివ్నకొండ
103,Hügel::N,белес,చివ్నకొండ
104,Hügel::N,белес-белес,చివ్నకొండ
105,Anhöhe::N,дөң,కొండ
106,Anhöhe::N,адыр,కొండ
107,Anhöhe::N,қырат,కొండ
108,Berg::N,тау,పర్వతము
109,Gipfel::N,төбе,శిఖరము
110,Höhle::N,үңгір,గుహ
111,Abhang::N,бауыр,ఏటవాలు
112,Quelle::N,қайнар,మూలము
113,Bach::N,жылға,కాలువ
114,Fluss::N,өзен,నది
115,Ufer::N,жиек,తీరము
116,Küste::N,жиегі,తీరము
117,Küste::N,жағалау,తీరము
118,Festland::N,құрылық,భూమి
119,Meer::N,теңіз,సముద్రము
120,Bucht::N,шығанақ,మరుగు
121,Insel::N,арал,దీవి
122,Blume::N,гүл,పుష్పము
123,Gras::N,от,పచ్చగడ్డి
124,Wurzel::N,түбір,వేరు
125,Baum::N,ағаш,చెట్టు
126,Baum::N,дарақ,చెట్టు
127,Stamm::N,сояу,చెట్టుబోదె
128,Stamm::N,оқпан,చెట్టుబోదె
129,Rinde::N,қабық,చెట్టుపట్ట
130,Ast::N,бұтақ,కొమ్మ
131,Zweig::N,шыбық,చివుకు
132,Blatt::N,жапырақ,ఆకు
133,Birke::N,қайың,తరహా చెట్టు
134,Kiefer[Baum]::N,қарағай,దేవదారు చెట్టు
135,Weide[Baum]::N,тал,జాతిచెట్టు
136,Tanne::N,шырша,దేవదారుచెట్టు
137,Horn::N,мүйіз,కొమ్ము
138,Feder::N,қаламұш,ఈక
139,Fell::N,тері,తోలు
140,Flügel::N,қанат,ఱెక్క
141,Klaue::N,тырнақ,వంకరగోరు
142,Kralle::N,аяқ,వంకరగోరు
143,Schwanz::N,құйрық,తోక
144,Ei::N,жұмыртқа,గ్రుడ్డు
145,Nest::N,ұя,పక్షిగూడు
146,Bau::N,жатақ,గుహ
147,Tier::N,айуан,జంతువు
148,Tier::N,жануар,జంతువు
149,Herde::N,пада,మంద
150,Kuh::N,сиыр,ఆవు
151,Bulle::N,өгіз,గిత్త
152,Pferd::N,жылқы,గుఱ్ఱము
153,Schaf::N,қой,గొఱ్ఱె
154,Schwein::N,шошқа,పంది
155,Hund::N,ит,కుక్క
156,Katze::N,мысық,పిల్లి
157,Bär::N,аю,ఎలుగుబంటి
158,Eichhörnchen::N,тиін,ఉడుత
159,Elch::N,бұғы,కణంజు
160,Fuchs::N,түлкі,గుంటనక్క
161,Hase::N,қоян,కుందేలు
162,Maus::N,қаптесер,చిట్టెలుక
163,Wolf::N,бөрі,తోడేలు
164,Wolf::N,қасқыр,తోడేలు
165,Vogel::N,құс,పక్షి
166,Schwarm::N,топ,గుంపు
167,Schwarm::N,үйір,గుంపు
168,Huhn::N,тауық,కోడిపిల్ల
169,Huhn::N,мекиен,కోడిపిల్ల
170,Hahn::N,әтеш,కోడివుంజు
171,Hahn::N,қораз,కోడివుంజు
172,Gans::N,қаз,ఆడుబాతు
173,Adler::N,бүркіт,గ్రద్ద
174,Ente::N,үйрек,పాట్టిబాతు
175,Eule::N,жапалақ,గ్రుడ్లగూబ
176,Kranich::N,тырна,కొంగ
177,Krähe::N,қарға,కాకి
178,Kuckuck::N,көкек,కోయల
179,Schwan::N,аққу,హంస
180,Fisch::N,балық,చేప
181,Barsch::N,алабұға,ఒకచేఁప
182,Hecht::N,шортан,గండుమీను
183,Schlange[Tier]::N,жылан,పాము
184,Wurm::N,шұбалшаң,పురుగు
185,Spinne::N,өрмекші,సాలె పురుగు
186,Ameise::N,қүмырска,చీమ
187,Laus::N,бит,పేను
188,Mücke::N,маса,చీకటీగ
189,Fliege::N,шыбын,ఈగ
190,Schmetterling::N,көбелек,సీతాకోకచిలుక
191,Beere::N,жидек,కాయ
192,Apfel::N,алма,ఆపిల్ పండు
193,Pilz::N,қозықұйрық,కుక్కగొడుగు
194,Pilz::N,саңыраукулақ,కుక్కగొడుగు
195,Zwiebel::N,жуа,నీరుల్లి
196,Saat::N,тұқым,విత్తనము
197,Korn::N,дән,గింజ
198,Heu::N,шөп,ఎండుగడ్డి
199,Schale::N,қабық,పొట్టు
200,Schale::N,қабығы,పొట్టు
201,Grube::N,ор,గొయ్యి
202,Falle::N,дұзақ,బోను
203,Falle::N,қақпан,బోను
204,Schlinge::N,ілмек,ఉరి
205,Spur::N,із,జాడ
206,Asche::N,күл,బూడిద
207,Dreck::N,былғаныш,ముఱికి
208,Eisen::N,темір,ఇనుము
209,Gold::N,алтын,బంగారము
210,Silber::N,күміс,వెండి
211,Kohle::N,көмір,నేలబొగ్గు
212,Glas::N,шыны,గాజు
213,Lehm::N,балшық,బంకమన్ను
214,Sand::N,құм,ఇసుక
215,Mensch::N,адам,నరుడు
216,Mann::N,еркек,పురుమడు
217,Mann::N,ер адам,పురుమడు
218,Frau::N,бике,ఆడుది
