,Concept_ID,ce,pt
0,Auge::N,бӏаьрг,olho
1,Ohr::N,лерг,orelha
2,Nase::N,мара,nariz
3,Mund::N,бага,boca
4,Zahn::N,церг,dente
5,Zunge::N,мотт,língua
6,Lippe::N,балда,lábio
7,Wange::N,бесни,face
8,Gesicht::N,юьхь,cara
9,Gesicht::N,юьхь,rosto
10,Stirn::N,хьаж,testa
11,Haar::N,мас,cabelo
12,Schnurrbart::N,мекх,bigode
13,Bart::N,маж,barba
14,Kinn::N,чӏениг,queixo
15,Kiefer[Anatomie]::N,мочхал,maxila
16,Kiefer[Anatomie]::N,мочхал,mandíbula
17,Kehle::N,къамкъарг,garganta
18,Hals::N,ворта,colo
19,Hals::N,ворта,pescoço
20,Genick::N,кӏесаркӏаг,nuca
21,Kopf::N,корта,cabeça
22,Rücken::N,букъ,dorso
23,Rücken::N,букъ,costas
24,Bauch::N,кийра,ventre
25,Bauch::N,кийра,barriga
26,Nabel::N,цӏонга,umbigo
27,Busen::N,зударийн накха,seio
28,Brust::N,накха,peito
29,Schulter::N,белш,ombro
30,Arm::N,пхьарс,braço
31,Ellenbogen::N,пхьаьрсан гола,cotovelo
32,Hand::N,куьг,mão
33,Handfläche::N,кераюкъ,palma
34,Handfläche::N,кераюкъ,palma da mão
35,Finger::N,пӏелг,dedo
36,Fingernagel::N,мӏара,unha
37,Nagel[Anatomie]::N,мӏара,unha
38,Zeh::N,кога пӏелг,dedo do pé
39,Fuß::N,ког,pé
40,Ferse::N,кӏажа,calcanhar
41,Knie::N,гола,joelho
42,Oberschenkel::N,варе,coxa
43,Bein::N,ког,perna
44,Körper::N,хӏума,corpo
45,Haut::N,чкъор,pele
46,Blut::N,цӏий,sangue
47,Ader::N,пха,veia
48,Sehne::N,хьорзам,tendão
49,Knochen::N,даьӏахк,osso
50,Gehirn::N,хье,cérebro
51,Herz::N,дог,coração
52,Magen::N,зорх,estômago
53,Leber::N,доӏах,fígado
54,Atem::N,садеӏар,fôlego
55,Hunger::N,мацалла,fome
56,Träne::N,бӏаьрхи,lágrima
57,Geschmack::N,чам,gosto
58,Geruch::N,хьожа,odor
59,Geruch::N,хьожа,cheiro
60,Schlaf::N,наб,sono
61,Traum::N,гӏан,sonho
62,Himmel::N,стигал,céu
63,Sonne::N,малх,sol
64,Mond::N,бутт,lua
