,Concept_ID,sl,ml
0,Auge::N,okó,കണ്ണ്
1,Ohr::N,uhó,ചെവി
2,Nase::N,nós,മൂക്ക്
3,Mund::N,ústa,വായ
4,Zahn::N,zób,പല്ല്
5,Zunge::N,jêzik,നാക്ക്
6,Lippe::N,ústnica,ചുണ്ട്
7,Wange::N,líce,കവിൾത്തടം
8,Gesicht::N,oblíčje,മുഖം
9,Stirn::N,čêlo,നെറ്റി
10,Haar::N,lás,തലമുടി
11,Schnurrbart::N,bŕki,മീശ
12,Bart::N,bráda,താടിരോമം
13,Kinn::N,bráda,താടി
14,Kiefer[Anatomie]::N,čeljúst,താടിയെല്ല്
15,Kehle::N,gŕlo,കണ്ഠനാളം
16,Hals::N,vrát,കഴുത്ത്
17,Genick::N,zatílnik,പിടലി
18,Kopf::N,gláva,തല
19,Rücken::N,hrbèt,മുതുക്
20,Bauch::N,trébuh,നയറ്
21,Nabel::N,pópek,നാഭി
22,Busen::N,nédrja,സ്തനം
23,Brust::N,pŕsi,സ്തനം
24,Schulter::N,ráma,തോൾ
25,Schulter::N,plêče,തോൾ
26,Arm::N,rôka,കൈ
27,Ellenbogen::N,komólec,കൈമുട്ട്
28,Hand::N,rôka,കൈ
29,Handfläche::N,dlán,ഉള്ളം കൈ
30,Finger::N,pŕst,വിരൽ
31,Fingernagel::N,nóht na rôki,നഖം
32,Nagel[Anatomie]::N,nóht,നഖം
33,Zeh::N,pŕst na nôgi,കാൽവിരൽ
34,Fuß::N,nôga,കാൽപ്പാദം
35,Ferse::N,pêta,ഉപ്പൂറ്റി
36,Knie::N,koléno,കാൽമുട്ട്
37,Oberschenkel::N,stêgno,തുട
38,Bein::N,nôga,കാൽ
39,Körper::N,teló,ശരീരം
40,Haut::N,kóža,ചർമ്മം
41,Blut::N,krí,രക്തം
42,Ader::N,žíla,ഞരമ്പ്
43,Sehne::N,kíta,സ്നായു
44,Knochen::N,kóst,അസ്ഥി
45,Gehirn::N,možgáni,തലച്ചോറ്
46,Herz::N,srcé,ഹൃദയം
47,Magen::N,želódec,വയർ
48,Leber::N,jétra,കരൾ
49,Atem::N,díh,ശ്വാസം
50,Hunger::N,glád,വിശപ്പ്
51,Träne::N,sólza,കണ്ണീർ
52,Geschmack::N,okús,രുചി
53,Geruch::N,vónj,ഗന്ധം
54,Schlaf::N,sèn,ഉറകും
55,Schlaf::N,spánec,ഉറകും
56,Traum::N,sánje,സ്വപ്നം
57,Himmel::N,nebó,ആകാശം
58,Sonne::N,sónce,സൂര്യൻ
59,Mond::N,lúna,ചന്ദ്രൻ
60,Mond::N,mésec,ചന്ദ്രൻ
61,Stern::N,zvézda,നക്ഷത്രം
62,Luft::N,zràk,കാറ്റ്
63,Wind::N,véter,കാറ്റ്
64,Welle::N,vál,തിരമാല
65,Wasser::N,vôda,വെള്ളം
66,Stein::N,kámen,ശില
67,Stein::N,kámen,കല്ല്
68,Boden::N,tlà,തറ
69,Boden::N,tlà,നിലം
70,Erde::N,pŕst,മണ്ണ്
71,Erde::N,zêmlja,മണ്ണ്
72,Staub::N,práh,പൊടി
73,Rauch::N,dìm,പുക
74,Funke::N,ískra,തീപ്പൊരി
75,Feuer::N,ôgenj,തീ
76,Licht::N,lúč,വിളക്ക്
77,Licht::N,lúč,സൂര്യപ്രകാശം
78,Schatten::N,sénca,തണൽ
79,Wetter::N,vrême,കാലാവസ്ഥ
80,Nebel::N,meglà,മൂടൽമഞ്ഞ്
81,Wolke::N,oblák,മേഘം
82,Regen::N,dèž,മഴ
83,Schnee::N,snég,മഞ്ഞ്
84,Eis::N,léd,ഐസ്
85,Frost::N,zmrzál,മൂടൽമഞ്ഞ്
86,Kälte::N,mràz,തണുപ്പ്
87,Hitze::N,pripéka,ചൂട്
88,Raureif::N,ívje,കോടമഞ്ഞ്
89,Raureif::N,slána,കോടമഞ്ഞ്
90,Regenbogen::N,mávrica,മഴവില്ല്
91,Donner::N,gròm,ഇടി
92,Strömung::N,strúja,പ്രവാഹം
93,Tropfen::N,káplja,തുള്ളി
94,Schaum::N,péna,നുര
95,Schmutz::N,nesnága,അഴുക്ക്
96,See::N,jézero,തടാകം
97,Sumpf::N,močvírje,ചതുപ്പുനിലം
