,Concept_ID,lt,no
0,Auge::N,akis,øye
1,Ohr::N,ausis,øre
2,Nase::N,nosis,nese
3,Mund::N,burna,munn
4,Zahn::N,dantis,tann
5,Zunge::N,liežuvis,tunge
6,Lippe::N,lūpa,leppe
7,Wange::N,žandas,kinn
8,Wange::N,skruostas,kinn
9,Gesicht::N,veidas,fjes
10,Gesicht::N,veidas,ansikt
11,Stirn::N,kakta,panne
12,Haar::N,plaukai,hår
13,Schnurrbart::N,ūsai,bart
14,Bart::N,barzda,skjegg
15,Kinn::N,smakras,hake
16,Kiefer[Anatomie]::N,žandikaulis,kjeve
17,Kehle::N,gerklė,strupe
18,Hals::N,kaklas,hals
19,Genick::N,sprandas,nakke
20,Kopf::N,galva,hode
21,Rücken::N,nugara,rygg
22,Bauch::N,pilvas,buk
23,Bauch::N,pilvas,mage
24,Nabel::N,bamba,navle
25,Busen::N,krūtinė,barm
26,Brust::N,krūtis,bryst
27,Schulter::N,petys,skulder
28,Arm::N,ranka,arm
29,Ellenbogen::N,alkūnė,albue
30,Hand::N,ranka,hånd
31,Hand::N,plaštaka,hånd
32,Handfläche::N,delnas,håndflate
33,Handfläche::N,plaštaka,håndflate
34,Finger::N,pirštas,finger
35,Fingernagel::N,nagas,fingernegl
36,Nagel[Anatomie]::N,nagas,negl
37,Zeh::N,pirštas,tå
38,Fuß::N,pėda,fot
39,Ferse::N,kulnas,hæl
40,Knie::N,kelis,kne
41,Oberschenkel::N,kulšis,lår
42,Oberschenkel::N,šlaunis,lår
43,Bein::N,koja,bein
44,Körper::N,kūnas,kropp
45,Körper::N,kūnas,legeme
46,Haut::N,oda,hud
47,Haut::N,oda,skinn
48,Blut::N,kraujas,blod
49,Ader::N,kraujagyslė,åre
50,Sehne::N,sausgyslė,sene
51,Knochen::N,kaulas,bein
52,Knochen::N,kaulas,knokkel
53,Gehirn::N,smegenys,hjerne
54,Herz::N,širdis,hjerte
55,Magen::N,skrandis,mage
56,Leber::N,kepenys,lever
57,Atem::N,kvapas,pust
58,Hunger::N,badas,sult
59,Hunger::N,alkis,sult
60,Träne::N,ašara,tåre
61,Geschmack::N,skonis,smak
62,Geruch::N,kvapas,lukt
63,Schlaf::N,miegas,søvn
64,Traum::N,sapnas,drøm
65,Himmel::N,dangus,himmel
66,Sonne::N,saulė,sol
67,Mond::N,mėnulis,måne
68,Stern::N,žvaigždė,stjerne
69,Luft::N,oras,luft
70,Wind::N,vėjas,vind
71,Welle::N,banga,bølge
72,Welle::N,vilnis,bølge
73,Wasser::N,vanduo,vann
74,Stein::N,akmuo,stein
75,Boden::N,žemė,bakke
76,Boden::N,dugnas,bakke
77,Erde::N,žemė,jord
78,Staub::N,dulkės,støv
