,Concept_ID,av,es
0,Ohr::N,гӏин,oreja
1,Nase::N,мегӏер,nariz
2,Mund::N,кӏал,boca
3,Zahn::N,гӏус,diente
4,Zunge::N,мацӏ,lengua
5,Lippe::N,кӏветӏ,labio
6,Wange::N,гӏоно,mejilla
7,Gesicht::N,гьумер,cara
8,Stirn::N,нодо,frente
9,Haar::N,рас,cabello
10,Schnurrbart::N,михъ,bigote
11,Bart::N,мегеж,barba
12,Kinn::N,нилъу,barbilla
13,Kiefer[Anatomie]::N,чанагъ,mandíbula
14,Kehle::N,щекъер,garganta
15,Hals::N,габур,cuello
16,Genick::N,гъванща,nuca
17,Genick::N,гъванща,cerviz
18,Kopf::N,бетӏер,cabeza
19,Rücken::N,мугъ,espalda
20,Bauch::N,чехь,vientre
21,Nabel::N,цӏину,ombligo
22,Busen::N,керен,pecho
23,Brust::N,керен,pecho
24,Schulter::N,гъажазубетӏер,hombro
25,Arm::N,гъеж,brazo
26,Ellenbogen::N,гӏункӏрукь,codo
27,Hand::N,квер,mano
28,Handfläche::N,огъохъат,palma
29,Handfläche::N,жанисахъат,palma
30,Finger::N,килищ,dedo
31,Fingernagel::N,малъ,uña
32,Nagel[Anatomie]::N,малъ,uña
33,Zeh::N,килищ,dedo del pie
34,Fuß::N,хӏетӏ,pie
35,Fuß::N,хӏетӏе,pie
36,Ferse::N,эгъе,talón
37,Knie::N,наку,rodilla
38,Oberschenkel::N,мачӏ,muslo
39,Bein::N,бох,pierna
40,Körper::N,къаркъала,cuerpo
41,Haut::N,тӏом,piel
42,Blut::N,би,sangre
43,Ader::N,бидурихь,vena
44,Knochen::N,ракьа,hueso
45,Gehirn::N,гӏадалнах,cerebro
46,Gehirn::N,гӏадалнах,encéfalo
47,Herz::N,ракӏ,corazón
48,Magen::N,кванирукъ,estómago
49,Leber::N,тӏул,hígado
50,Atem::N,хӏухь,aliento
51,Hunger::N,ракъи,hambre
52,Träne::N,магӏу,lágrima
53,Geschmack::N,тату,gusto
54,Geruch::N,махӏ,olor
55,Schlaf::N,макьу,sueño
56,Traum::N,макьу,sueño
57,Traum::N,макьу,ensueño
58,Himmel::N,зоб,cielo
59,Sonne::N,бакъ,sol
60,Mond::N,моцӏ,luna
61,Stern::N,цӏва,estrella
62,Luft::N,гьава,aire
63,Wind::N,гьури,viento
64,Welle::N,карачел,ola
65,Welle::N,карачел,onda
66,Wasser::N,лъим,agua
67,Stein::N,гьецӏо,piedra
68,Boden::N,ракь,suelo
69,Erde::N,ракь,tierra
70,Erde::N,дуниял,tierra
71,Staub::N,хӏур,polvo
72,Rauch::N,кӏкӏуй,humo
73,Feuer::N,цӏа,fuego
74,Licht::N,канлъи,luz
75,Schatten::N,рагӏад,sombra
76,Wetter::N,гьава-бакъ,tiempo
77,Nebel::N,гӏодобнакӏкӏ,niebla
78,Wolke::N,накӏкӏ,nube
79,Regen::N,цӏад,lluvia
80,Schnee::N,гӏазу,nieve
81,Eis::N,цӏер,hielo
82,Frost::N,замгьари,helada
83,Kälte::N,квач,frío
84,Hitze::N,багӏари,calor
85,Raureif::N,мартӏ,escarcha
86,Regenbogen::N,нур,arco iris
87,Regenbogen::N,чамбара,arco iris
88,Donner::N,гъугъай,trueno
89,Donner::N,гъугъади,trueno
90,Strömung::N,чвахи,corriente
91,Tropfen::N,резел,gota
92,Tropfen::N,тӏинкӏ,gota
93,Tropfen::N,къатӏра,gota
94,Tropfen::N,тӏенкӏел,gota
95,Schaum::N,полоп,espuma
96,Schmutz::N,чороклъи,suciedad
97,See::N,хӏор,lago
98,Sumpf::N,хьуцӏ,pantano
99,Wiese::N,мегъ,prado
100,Wiese::N,мегъ,pradera
101,Wiese::N,гӏурдаллъи,prado
102,Wiese::N,гӏурдаллъи,pradera
103,Wald::N,рохь,bosque
104,Hügel::N,гохӏ,colina
105,Anhöhe::N,сийитма,cerro
106,Berg::N,мегӏер,monte
107,Berg::N,мегӏер,montaña
108,Gipfel::N,тӏогь,cima
109,Gipfel::N,тӏогь,cumbre
110,Höhle::N,нохъо,cueva
111,Höhle::N,нохъо,caverna
112,Abhang::N,лабаллъи,cuesta
113,Abhang::N,лабаллъи,declive
114,Quelle::N,ицц,fuente
115,Quelle::N,ицц,manantial
116,Bach::N,лъар,arroyo
117,Fluss::N,гӏор,río
118,Ufer::N,рагӏал,orilla
119,Küste::N,рагӏал,costa
120,Festland::N,ракь,tierra firme
121,Festland::N,ракъдаллъи,tierra firme
122,Meer::N,ралъад,mar
123,Bucht::N,кӏветӏ,cala
124,Bucht::N,кӏветӏ,bahía
125,Insel::N,чӏинкӏиллъи,isla
126,Blume::N,тӏегь,flor
127,Gras::N,хер,hierba
128,Wurzel::N,кьибил,raíz
129,Baum::N,гъветӏ,árbol
130,Stamm::N,рохти,tronco
131,Rinde::N,макъар,corteza
132,Ast::N,ноцӏ,rama
133,Zweig::N,гӏаркьел,ramo
134,Blatt::N,тӏамах,hoja
135,Birke::N,мах,abedul
136,Birke::N,махигъветӏ,abedul
137,Kiefer[Baum]::N,накӏкӏигъветӏ,pino
138,Weide[Baum]::N,рицӏцӏ,sauce
139,Weide[Baum]::N,рицӏцӏигъветӏ,sauce
140,Tanne::N,ёлка,abeto
141,Horn::N,лълъар,asta
142,Horn::N,лълъар,cuerno
