,Concept_ID,lv,mn
0,Auge::N,син,нүд
1,Auge::N,acs,нүд
2,Ohr::N,пель,чих
3,Ohr::N,auss,чих
4,Nase::N,ныр,хамар
5,Nase::N,deguns,хамар
6,Mund::N,вом,ам
7,Mund::N,mute,ам
8,Zahn::N,пинь,шүд
9,Zahn::N,zobs,шүд
10,Zunge::N,кыв,хэл
11,Zunge::N,mēle,хэл
12,Lippe::N,вом дор,уруул
13,Lippe::N,lūpa,уруул
14,Wange::N,бан,хацар
15,Wange::N,vaigs,хацар
16,Gesicht::N,чужӧм,царай
17,Gesicht::N,чужӧм,нүүр
18,Gesicht::N,seja,царай
19,Gesicht::N,seja,нүүр
20,Gesicht::N,ģīmis,царай
21,Gesicht::N,ģīmis,нүүр
22,Stirn::N,плеш,дух
23,Stirn::N,кымӧс,дух
24,Stirn::N,piere,дух
25,Haar::N,си,үс
26,Haar::N,юрси,үс
27,Haar::N,mats,үс
28,Schnurrbart::N,ус,дээд сахал
29,Schnurrbart::N,ус,живэр сахал
30,Schnurrbart::N,пыртсим,дээд сахал
31,Schnurrbart::N,пыртсим,живэр сахал
32,Schnurrbart::N,ūsas,дээд сахал
33,Schnurrbart::N,ūsas,живэр сахал
34,Bart::N,тош,сахал
35,Bart::N,bārda,сахал
36,Kinn::N,тшӧка,эрүү
37,Kinn::N,zods,эрүү
38,Kinn::N,smakrs,эрүү
39,Kiefer[Anatomie]::N,черлы,эрүү
40,Kiefer[Anatomie]::N,алака лы,эрүү
41,Kiefer[Anatomie]::N,вомкӧтш лы,эрүү
42,Kiefer[Anatomie]::N,žoklis,эрүү
43,Kehle::N,голя,хоолой
44,Kehle::N,rīkle,хоолой
45,Hals::N,сьылі,хүзүү
46,Hals::N,kakls,хүзүү
47,Genick::N,юрбӧр,шил
48,Genick::N,юрбӧр,хүзүү
49,Genick::N,балябӧж,шил
50,Genick::N,балябӧж,хүзүү
51,Genick::N,sprands,шил
52,Genick::N,sprands,хүзүү
53,Kopf::N,юр,толгой
54,Kopf::N,galva,толгой
55,Rücken::N,мыш,ар
56,Rücken::N,мыш,нуруу
57,Rücken::N,mugura,ар
58,Rücken::N,mugura,нуруу
59,Bauch::N,рушку,хэвлий
60,Bauch::N,рушку,гэдэс
