,Concept_ID,myv,av
0,Auge::N,сельме,
1,Ohr::N,пиле,гӏин
2,Nase::N,судо,мегӏер
3,Mund::N,курго,кӏал
4,Zahn::N,пей,гӏус
5,Zunge::N,кель,мацӏ
6,Lippe::N,турва,кӏветӏ
7,Wange::N,чамабока,гӏоно
8,Wange::N,чамаумарь,гӏоно
9,Gesicht::N,чама,гьумер
10,Stirn::N,коня,нодо
11,Haar::N,черь,рас
12,Schnurrbart::N,ус,михъ
13,Schnurrbart::N,муюк,михъ
14,Bart::N,сакал,мегеж
15,Kinn::N,уло,нилъу
16,Kiefer[Anatomie]::N,пейпакар,чанагъ
17,Kiefer[Anatomie]::N,пейловажа,чанагъ
18,Kehle::N,кирьгапарь,щекъер
19,Hals::N,кирьга,габур
20,Genick::N,човонь,гъванща
21,Kopf::N,пря,бетӏер
22,Rücken::N,копорь,мугъ
23,Bauch::N,пеке,чехь
24,Nabel::N,почо,цӏину
25,Busen::N,поте,керен
26,Brust::N,меште,керен
27,Schulter::N,лавтов,гъажазубетӏер
28,Arm::N,кедь,гъеж
29,Ellenbogen::N,кенерепакарь,гӏункӏрукь
30,Hand::N,кедь,квер
31,Handfläche::N,кедькуншка,огъохъат
32,Handfläche::N,кедькуншка,жанисахъат
33,Handfläche::N,кедьлапушка,огъохъат
34,Handfläche::N,кедьлапушка,жанисахъат
35,Finger::N,сур,килищ
36,Fingernagel::N,кенже,малъ
37,Nagel[Anatomie]::N,кенже,малъ
38,Zeh::N,пильге сур,килищ
39,Fuß::N,пильге,хӏетӏ
40,Fuß::N,пильге,хӏетӏе
41,Ferse::N,кочкаря,эгъе
42,Knie::N,эле,наку
43,Knie::N,эзне,наку
44,Knie::N,кумажа,наку
45,Oberschenkel::N,качо,мачӏ
46,Bein::N,пильге,бох
47,Körper::N,рунго,къаркъала
48,Haut::N,киське,тӏом
49,Blut::N,верь,би
50,Ader::N,сан,бидурихь
51,Sehne::N,коське сан,
52,Knochen::N,пакарь,ракьа
53,Gehirn::N,удем,гӏадалнах
54,Herz::N,седей,ракӏ
55,Magen::N,пеке,кванирукъ
56,Leber::N,максо,тӏул
57,Atem::N,лексема,хӏухь
58,Atem::N,оймень таргсема,хӏухь
59,Hunger::N,вачочи,ракъи
60,Träne::N,селведь,магӏу
61,Geschmack::N,тансть,тату
62,Geruch::N,чине,махӏ
63,Schlaf::N,удома,макьу
64,Traum::N,он,макьу
65,Himmel::N,менель,зоб
66,Sonne::N,чи,бакъ
67,Mond::N,ков,моцӏ
68,Stern::N,теште,цӏва
