,Concept_ID,ja,pt
0,Auge::N,目,olho
1,Ohr::N,耳,orelha
2,Nase::N,鼻,nariz
3,Mund::N,口,boca
4,Zahn::N,歯,dente
5,Zunge::N,舌,língua
6,Lippe::N,唇,lábio
7,Wange::N,頬,face
8,Gesicht::N,顔,cara
9,Gesicht::N,顔,rosto
10,Stirn::N,額,testa
11,Haar::N,髪,cabelo
12,Schnurrbart::N,口髭,bigode
13,Bart::N,髭,barba
14,Kinn::N,顎,queixo
15,Kiefer[Anatomie]::N,顎,maxila
16,Kiefer[Anatomie]::N,顎,mandíbula
17,Kehle::N,喉,garganta
18,Hals::N,首,colo
19,Hals::N,首,pescoço
20,Genick::N,首,nuca
21,Kopf::N,頭,cabeça
22,Rücken::N,背中,dorso
23,Rücken::N,背中,costas
24,Bauch::N,腹,ventre
25,Bauch::N,腹,barriga
26,Bauch::N,お腹,ventre
27,Bauch::N,お腹,barriga
28,Nabel::N,へそ,umbigo
29,Busen::N,乳房,seio
30,Brust::N,胸,peito
31,Schulter::N,肩,ombro
32,Arm::N,腕,braço
33,Ellenbogen::N,肘,cotovelo
34,Hand::N,手,mão
35,Handfläche::N,手のひら,palma
36,Handfläche::N,手のひら,palma da mão
37,Finger::N,指,dedo
38,Fingernagel::N,爪,unha
39,Nagel[Anatomie]::N,爪,unha
40,Zeh::N,足の指,dedo do pé
41,Fuß::N,足,pé
42,Ferse::N,かかと,calcanhar
43,Knie::N,膝,joelho
44,Oberschenkel::N,上腿,coxa
45,Bein::N,足,perna
46,Körper::N,体,corpo
47,Haut::N,皮膚,pele
48,Blut::N,血,sangue
49,Ader::N,血管,veia
50,Sehne::N,腱,tendão
51,Knochen::N,骨,osso
52,Gehirn::N,脳,cérebro
53,Herz::N,心,coração
54,Herz::N,心臓,coração
55,Magen::N,胃,estômago
56,Leber::N,肝臓,fígado
57,Atem::N,息,fôlego
58,Atem::N,呼吸,fôlego
59,Hunger::N,空腹,fome
60,Träne::N,涙,lágrima
61,Geschmack::N,味,gosto
62,Geruch::N,匂い,odor
63,Geruch::N,匂い,cheiro
64,Schlaf::N,睡眠,sono
65,Traum::N,夢,sonho
66,Himmel::N,空,céu
67,Sonne::N,太陽,sol
68,Mond::N,月,lua
69,Stern::N,星,estrela
70,Luft::N,空気,ar
71,Wind::N,風,vento
72,Welle::N,波,onda
73,Wasser::N,水,água
74,Stein::N,石,pedra
75,Boden::N,土地,solo
76,Erde::N,土,terra
77,Staub::N,埃,pó
78,Rauch::N,煙,fumo
79,Funke::N,火花,faísca
80,Funke::N,火花,centelha
81,Feuer::N,火,fogo
82,Licht::N,光,luz
83,Schatten::N,陰,sombra
84,Wetter::N,天気,tempo
85,Nebel::N,霧,nevoeiro
86,Wolke::N,雲,nuvem
87,Regen::N,雨,chuva
88,Schnee::N,雪,neve
89,Eis::N,氷,gelo
90,Frost::N,霜,gelo
91,Frost::N,霜,geada
92,Kälte::N,寒さ,frio
93,Hitze::N,暑さ,ardor
94,Raureif::N,霧氷,geada
95,Regenbogen::N,虹,arco-iris
96,Donner::N,雷,trovão
97,Strömung::N,流れ,corrente
98,Tropfen::N,滴,gota
99,Schaum::N,泡,espuma
100,Schmutz::N,汚れ,sujidade
101,Schmutz::N,汚れ,imundície
102,See::N,湖,lago
103,Sumpf::N,沼,charco
104,Sumpf::N,沼,pântano
105,Moor::N,湿原,pântano
106,Wiese::N,草原,prado
