,Concept_ID,ka,ml
0,Auge::N,თვალი,കണ്ണ്
1,Ohr::N,ყური,ചെവി
2,Nase::N,ცხვირი,മൂക്ക്
3,Mund::N,პირი,വായ
4,Zahn::N,კბილი,പല്ല്
5,Zunge::N,ენა,നാക്ക്
6,Lippe::N,ბაგე,ചുണ്ട്
7,Wange::N,ლოყა,കവിൾത്തടം
8,Gesicht::N,სახე,മുഖം
9,Stirn::N,შუბლი,നെറ്റി
10,Haar::N,თმა,തലമുടി
11,Schnurrbart::N,ულვაში,മീശ
12,Bart::N,წვერი,താടിരോമം
13,Kinn::N,ნიკაპი,താടി
14,Kiefer[Anatomie]::N,ყბა,താടിയെല്ല്
15,Kehle::N,ყელი,കണ്ഠനാളം
16,Hals::N,ყელი,കഴുത്ത്
17,Hals::N,კისერი,കഴുത്ത്
18,Genick::N,კეფა,പിടലി
19,Kopf::N,თავი,തല
20,Rücken::N,ზურგი,മുതുക്
21,Bauch::N,მუცელი,നയറ്
22,Nabel::N,ჭიპი,നാഭി
23,Busen::N,ძუძუ,സ്തനം
24,Brust::N,მკერდი,സ്തനം
25,Schulter::N,მხარი,തോൾ
26,Schulter::N,მკლავი,തോൾ
27,Arm::N,ხელი,കൈ
28,Ellenbogen::N,იდაყვი,കൈമുട്ട്
29,Hand::N,ხელი,കൈ
30,Handfläche::N,ნები,ഉള്ളം കൈ
31,Handfläche::N,ხელისგული,ഉള്ളം കൈ
32,Finger::N,თითი,വിരൽ
33,Fingernagel::N,ფრჩხილი,നഖം
34,Nagel[Anatomie]::N,ფრჩხილი,നഖം
35,Zeh::N,ფეხის თითი,കാൽവിരൽ
36,Fuß::N,ტერფი,കാൽപ്പാദം
37,Fuß::N,ფეხისგული,കാൽപ്പാദം
38,Ferse::N,ქუსლი,ഉപ്പൂറ്റി
39,Knie::N,მუხლი,കാൽമുട്ട്
40,Oberschenkel::N,ბარძაყი,തുട
41,Bein::N,ფეხი,കാൽ
42,Körper::N,ტანი,ശരീരം
43,Körper::N,სხეული,ശരീരം
44,Haut::N,კანი,ചർമ്മം
45,Blut::N,სისხლი,രക്തം
46,Ader::N,ძარღვი,ഞരമ്പ്
47,Sehne::N,მყესი,സ്നായു
48,Knochen::N,ძვალი,അസ്ഥി
49,Gehirn::N,ტვინი,തലച്ചോറ്
50,Herz::N,გული,ഹൃദയം
51,Magen::N,კუჭი,വയർ
52,Leber::N,ღვიძლი,കരൾ
53,Atem::N,სუნთქვა,ശ്വാസം
54,Hunger::N,შიმშილი,വിശപ്പ്
55,Träne::N,ცრემლი,കണ്ണീർ
56,Geschmack::N,გემო,രുചി
57,Geruch::N,სუნი,ഗന്ധം
58,Schlaf::N,ძილი,ഉറകും
59,Traum::N,სიზმარი,സ്വപ്നം
60,Himmel::N,ცა,ആകാശം
61,Sonne::N,მზე,സൂര്യൻ
62,Mond::N,მთვარე,ചന്ദ്രൻ
63,Stern::N,ვარსკვლავი,നക്ഷത്രം
64,Luft::N,ჰაერი,കാറ്റ്
65,Wind::N,ქარი,കാറ്റ്
66,Welle::N,ტალღა,തിരമാല
67,Wasser::N,წყალი,വെള്ളം
68,Stein::N,ქვა,ശില
69,Stein::N,ქვა,കല്ല്
70,Boden::N,მიწა,തറ
71,Boden::N,მიწა,നിലം
72,Erde::N,ნიადაგი,മണ്ണ്
73,Staub::N,მტვერი,പൊടി
74,Rauch::N,ბოლი,പുക
75,Rauch::N,კვამლი,പുക
76,Funke::N,ნაკვესი,തീപ്പൊരി
77,Feuer::N,ცეცხლი,തീ
78,Licht::N,შუქი,വിളക്ക്
79,Licht::N,შუქი,സൂര്യപ്രകാശം
80,Licht::N,სინათლე,വിളക്ക്
81,Licht::N,სინათლე,സൂര്യപ്രകാശം
82,Schatten::N,ლანდი,തണൽ
83,Schatten::N,ჩრდილი,തണൽ
84,Wetter::N,ამინდი,കാലാവസ്ഥ
85,Nebel::N,ნისლი,മൂടൽമഞ്ഞ്
