,Concept_ID,sk,fr
0,Auge::N,oko,œil
1,Ohr::N,ucho,oreille
2,Nase::N,nos,nez
3,Mund::N,ústa,bouche
4,Zahn::N,zub,dent
5,Zunge::N,jazyk,langue
6,Lippe::N,pera,lèvre
7,Wange::N,líce,joue
8,Gesicht::N,tvár,face
9,Gesicht::N,tvár,visage
10,Gesicht::N,obličaj,face
11,Gesicht::N,obličaj,visage
12,Stirn::N,čelo,front
13,Haar::N,vlas,cheveu
14,Schnurrbart::N,fúzy,moustache
15,Bart::N,brada,barbe
16,Kinn::N,brada,menton
17,Kiefer[Anatomie]::N,čeľusť,mâchoire
18,Kehle::N,hrdlo,gorge
19,Hals::N,krk,cou
20,Genick::N,väzy,nuque
21,Kopf::N,hlava,tête
22,Rücken::N,chrbát,dos
23,Bauch::N,brucho,ventre
24,Nabel::N,pupok,nombril
25,Busen::N,prsia,sein
26,Brust::N,hruď,poitrine
27,Schulter::N,plece,épaule
28,Arm::N,rameno,bras
29,Ellenbogen::N,lakeť,coude
30,Hand::N,ruka,main
31,Handfläche::N,dlaň,paume
32,Finger::N,prst,doigt
33,Fingernagel::N,necht,ongle
34,Nagel[Anatomie]::N,necht,ongle
35,Zeh::N,prst na nohe,orteil
36,Zeh::N,prst na nohe,doigt de pied
37,Fuß::N,noha,pied
38,Ferse::N,päta,talon
39,Knie::N,koleno,genou
40,Oberschenkel::N,stehno,cuisse
41,Bein::N,noha,jambe
42,Körper::N,telo,corps
43,Haut::N,koža,peau
44,Blut::N,krv,sang
45,Ader::N,žila,veine
46,Sehne::N,šľacha,tendon
47,Knochen::N,kosť,os
48,Gehirn::N,mozog,cerveau
49,Herz::N,srdce,cœur
50,Magen::N,žalúdok,estomac
51,Leber::N,pečeň,foie
52,Atem::N,dych,haleine
53,Hunger::N,hlad,faim
54,Träne::N,slza,larme
55,Geschmack::N,chuť,goût
56,Geschmack::N,chuť,saveur
57,Geruch::N,pach,odeur
58,Schlaf::N,spánok,sommeil
59,Traum::N,sen,songe
60,Himmel::N,nebo,ciel
61,Sonne::N,slnko,soleil
62,Mond::N,mesiac,lune
63,Stern::N,hviezda,étoile
64,Luft::N,vzduch,air
65,Wind::N,vietor,vent
66,Welle::N,vlna,vague
67,Wasser::N,voda,eau
68,Stein::N,kameň,pierre
69,Boden::N,zem,sol
70,Boden::N,zem,terrain
71,Boden::N,pôda,sol
72,Boden::N,pôda,terrain
73,Erde::N,zem,terre
74,Staub::N,prach,poussière
75,Rauch::N,dym,fumée
76,Funke::N,iskra,étincelle
77,Feuer::N,oheň,feu
78,Licht::N,svetlo,lumière
79,Schatten::N,tieň,ombre
80,Wetter::N,počasie,temps
81,Nebel::N,hmla,brume
82,Nebel::N,hmla,brouillard
83,Wolke::N,oblak,nuage
84,Wolke::N,mračno,nuage
85,Regen::N,dážď,pluie
86,Schnee::N,sneh,neige
87,Eis::N,ľad,glace
88,Frost::N,mráz,gel
89,Frost::N,mráz,gelée
90,Kälte::N,zima,froid
91,Kälte::N,chlad,froid
92,Hitze::N,horúčava,chaleur
93,Raureif::N,srieň,givre
94,Raureif::N,inovať,givre
95,Regenbogen::N,dúha,arc-en-ciel
96,Donner::N,hrom,tonnerre
97,Strömung::N,prúdenie,courant
98,Tropfen::N,kvapka,goutte
99,Schaum::N,pena,écume
100,Schaum::N,pena,mousse
101,Schmutz::N,špina,boue
102,Schmutz::N,špina,saleté
103,Schmutz::N,nečistota,boue
104,Schmutz::N,nečistota,saleté
105,See::N,jazero,lac
106,Sumpf::N,bahno,marais
107,Sumpf::N,bahno,marécage
108,Moor::N,močiar,tourbière
109,Wiese::N,lúka,pré
110,Wald::N,les,bois
111,Wald::N,les,forêt
112,Wald::N,hora,bois
113,Wald::N,hora,forêt
114,Hügel::N,vŕšok,coteau
115,Hügel::N,vŕšok,colline
116,Anhöhe::N,výšina,éminence
117,Anhöhe::N,výšina,élévation
118,Anhöhe::N,vyvýšenina,éminence
119,Anhöhe::N,vyvýšenina,élévation
120,Berg::N,hora,mont
121,Berg::N,hora,montagne
122,Gipfel::N,vrchol,cime
123,Gipfel::N,vrchol,sommet
124,Höhle::N,jaskyňa,caverne
125,Abhang::N,úbočie,pente
126,Abhang::N,úbočie,versant
127,Quelle::N,prameň,source
128,Quelle::N,prameň,fontaine
129,Bach::N,potok,ruisseau
130,Fluss::N,rieka,fleuve
131,Fluss::N,rieka,rivière
132,Ufer::N,breh,bord
133,Ufer::N,breh,rivage
134,Küste::N,pobrežie,côte
135,Festland::N,pevnina,terre ferme
136,Meer::N,more,mer
137,Bucht::N,záliv,baie
138,Bucht::N,zátoka,baie
139,Insel::N,ostrov,île
140,Blume::N,kvet,fleur
141,Blume::N,kvetina,fleur
142,Gras::N,tráva,herbe
143,Wurzel::N,koreň,racine
144,Baum::N,strom,arbre
145,Stamm::N,kmeň,tronc
146,Rinde::N,kôra,écorce
147,Ast::N,konár,branche
148,Zweig::N,vetva,rameau
149,Blatt::N,list,feuille
150,Birke::N,breza,bouleau
151,Kiefer[Baum]::N,sosna,pin
152,Kiefer[Baum]::N,borovica,pin
153,Weide[Baum]::N,vŕba,saule
154,Tanne::N,jedľa,sapin
155,Horn::N,roh,corne
156,Feder::N,pero,plume
157,Fell::N,koža,peau
158,Fell::N,kožušina,peau
159,Flügel::N,krídlo,aile
160,Klaue::N,paznecht,serre
161,Kralle::N,pazúr,ongle
162,Kralle::N,pazúr,griffe
163,Schwanz::N,chvost,queue
164,Ei::N,vajce,œuf
165,Ei::N,vajíčko,œuf
166,Nest::N,hniezdo,nid
167,Bau::N,nora,terrier
168,Tier::N,zviera,animal
169,Herde::N,stádo,troupeau
170,Kuh::N,krava,vache
171,Bulle::N,býk,taureau
172,Pferd::N,kôň,cheval
173,Schaf::N,ovca,mouton
174,Schwein::N,sviňa,porc
175,Schwein::N,sviňa,cochon
176,Hund::N,pes,chien
177,Katze::N,mačka,chat
178,Bär::N,medveď,ours
179,Eichhörnchen::N,veverička,écureuil
180,Elch::N,los,élan
181,Fuchs::N,líška,renard
182,Hase::N,zajac,lièvre
183,Maus::N,myš,souris
184,Wolf::N,vlk,loup
185,Vogel::N,vták,oiseau
186,Schwarm::N,roj,nuée
187,Schwarm::N,roj,volée
188,Huhn::N,kurča,poule
189,Huhn::N,sliepka,poule
190,Hahn::N,kohút,coq
191,Gans::N,hus,oie
192,Adler::N,orol,aigle
193,Ente::N,kačka,canard
194,Ente::N,kačica,canard
195,Eule::N,sova,hibou
196,Kranich::N,žeriav,grue
197,Krähe::N,vrana,corneille
198,Kuckuck::N,kukučka,coucou
199,Schwan::N,labuť,cygne
200,Fisch::N,ryba,poisson
201,Barsch::N,ostriež,perche
202,Hecht::N,šťuka,brochet
203,Schlange[Tier]::N,had,serpent
204,Wurm::N,červ,ver
205,Spinne::N,pavúk,araignée
206,Ameise::N,mravec,fourmi
207,Laus::N,voš,pou
208,Mücke::N,komár,moucheron
209,Fliege::N,mucha,mouche
210,Schmetterling::N,motýľ,papillon
211,Beere::N,bobuľa,baie
212,Apfel::N,jablko,pomme
213,Pilz::N,hríb,champignon
214,Zwiebel::N,cibuľa,oignon
215,Saat::N,osivo,semence
216,Korn::N,zrno,grain
217,Heu::N,seno,foin
218,Schale::N,šupa,pelure
219,Schale::N,škrupina,pelure
220,Grube::N,jama,fosse
221,Falle::N,pasca,piège
222,Falle::N,klepec,piège
223,Schlinge::N,slučka,lacs
224,Spur::N,stopa,trace
225,Asche::N,popol,cendre
226,Dreck::N,kal,crotte
227,Dreck::N,blato,crotte
228,Eisen::N,železo,fer
229,Gold::N,zlato,or
230,Silber::N,striebro,argent
231,Kohle::N,uhlie,charbon
232,Glas::N,sklo,verre
233,Lehm::N,íl,glaise
234,Lehm::N,hlina,glaise
235,Sand::N,piesok,sable
236,Mensch::N,človek,homme
237,Mann::N,muž,homme
238,Mann::N,chlap,homme
239,Frau::N,žena,femme
240,Kind::N,dieťa,enfant
241,Junge::N,chlapec,garçon
242,Mädchen::N,dievka,fille
243,Mädchen::N,dievka,jeune fille
244,Familie::N,rodina,famille
245,Großvater::N,dedo,grand-père
246,Großvater::N,starý otec,grand-père
247,Großmutter::N,babička,grand-mère
248,Großmutter::N,stará mať,grand-mère
249,Eltern::N,rodičia,parents
250,Vater::N,otec,père
251,Mutter::N,mať,mère
252,Mutter::N,matka,mère
253,Sohn::N,syn,fils
254,Tochter::N,dcéra,fille
255,Bruder::N,brat,frère
256,Schwester::N,sestra,sœur
257,Onkel::N,ujo,oncle
258,Onkel::N,strýko,oncle
259,Tante::N,teta,tante
260,Tante::N,tetka,tante
261,Ehemann::N,muž,mari
262,Ehemann::N,muž,époux
263,Ehemann::N,manžel,mari
264,Ehemann::N,manžel,époux
265,Ehefrau::N,žena,femme
266,Ehefrau::N,žena,épouse
267,Ehefrau::N,manželka,femme
268,Ehefrau::N,manželka,épouse
269,Freude::N,radosť,joie
270,Freude::N,radosť,plaisir
271,Gelächter::N,smiech,rires
272,Glück::N,šťastie,bonheur
273,Kummer::N,žiaľ,peine
274,Kummer::N,žiaľ,chagrin
275,Kummer::N,zármutok,peine
276,Kummer::N,zármutok,chagrin
277,Wunsch::N,prianie,désir
278,Lust::N,chuť,envie
279,Geist::N,duch,esprit
280,Gedanke::N,myšlienka,idée
281,Gedanke::N,myšlienka,pensée
282,Gedächtnis::N,pamäť,mémoire
283,Verstand::N,rozum,raison
284,Sinn::N,zmysel,sens
285,Grund::N,dôvod,cause
286,Grund::N,dôvod,raison
287,Grund::N,príčina,cause
288,Grund::N,príčina,raison
289,Wahrheit::N,pravda,vérité
290,Gespräch::N,reč,conversation
291,Gespräch::N,rozhovor,conversation
292,Märchen::N,rozprávka,conte
293,Märchen::N,rozprávka,conte de fées
294,Erzählung::N,poviedka,conte
295,Erzählung::N,poviedka,narration
296,Nachricht::N,správa,message
297,Neuigkeit::N,novinka,nouvelle
298,Name::N,meno,nom
299,Rätsel::N,záhada,énigme
300,Rätsel::N,záhada,devinette
301,Rätsel::N,hádanka,énigme
302,Rätsel::N,hádanka,devinette
303,Rede::N,reč,parole
304,Rede::N,reč,discours
305,Sprache::N,reč,langue
306,Sprache::N,reč,langage
307,Sprache::N,jazyk,langue
308,Sprache::N,jazyk,langage
309,Stimme::N,hlas,voix
310,Wort::N,slovo,mot
311,Zeichen::N,znak,signe
312,Ruf::N,volanie,cri
313,Ruf::N,volanie,appel
314,Ruf::N,zavolanie,cri
315,Ruf::N,zavolanie,appel
316,Lärm::N,hluk,bruit
317,Lärm::N,hurhaj,bruit
318,Laut::N,zvuk,son
319,Ton::N,tón,ton
320,Ton::N,zvuk,ton
321,Lied::N,pieseň,chant
322,Lied::N,pieseň,chanson
323,Ruhe::N,pokoj,calme
324,Ruhe::N,pokoj,tranquillité
325,Leute::N,ľudia,gens
326,Volk::N,ľud,peuple
327,Volk::N,národ,peuple
328,Arbeit::N,práca,travail
329,Arbeit::N,robota,travail
330,Gast::N,hosť,hôte
331,Gast::N,hosť,invité
332,Geschenk::N,dar,cadeau
333,Geschenk::N,dar,présent
334,Spiel::N,hra,jeu
335,Gesellschaft::N,spoločnosť,compagnie
336,Hilfe::N,pomoc,aide
337,Hilfe::N,pomoc,secours
338,Freund::N,priateľ,ami
339,Kamerad::N,kamarát,copain
340,Kamerad::N,kamarát,camarade
341,Angelegenheit::N,vec,affaire
342,Angelegenheit::N,záležitosť,affaire
343,Anzahl::N,počet,nombre
344,Anzahl::N,množstvo,nombre
345,Art::N,druh,sorte
346,Art::N,druh,espèce
347,Stück::N,kus,morceau
348,Stück::N,kúsok,morceau
349,Teil::N,časť,part
350,Teil::N,časť,partie
351,Hälfte::N,polka,moitié
352,Hälfte::N,polovica,moitié
353,Kreis::N,kruh,cercle
354,Kreuz::N,kríž,croix
355,Linie::N,línia,ligne
356,Strich::N,čiara,trait
357,Abstand::N,vzdialenosť,écart
358,Entfernung::N,vzdialenosť,distance
359,Gegend::N,kraj,région
360,Gegend::N,kraj,contrée
361,Gegend::N,krajina,région
362,Gegend::N,krajina,contrée
363,Platz::N,miesto,place
364,Ort::N,miesto,lieu
365,Ort::N,miesto,endroit
366,Seite::N,bok,côté
367,Seite::N,strana,côté
368,Mitte::N,stred,milieu
369,Gegenstand::N,predmet,objet
370,Sache::N,vec,chose
371,Rand::N,kraj,bord
372,Rand::N,okraj,bord
373,Kante::N,hrana,arête
374,Ecke::N,roh,coin
375,Ecke::N,roh,tournant
376,Spitze::N,hrot,cime
377,Spitze::N,hrot,pointe
378,Spitze::N,špička,cime
379,Spitze::N,špička,pointe
380,Ende::N,koniec,bout
381,Loch::N,diera,trou
382,Winkel::N,kút,coin
383,Winkel::N,kút,réduit
384,Muster::N,vzor,dessin
385,Muster::N,vzorka,dessin
386,Größe::N,veľkosť,grandeur
387,Länge::N,dĺžka,longueur
388,Höhe::N,výška,hauteur
389,Höhe::N,výška,altitude
390,Gewicht::N,váha,poids
391,Menge::N,množstvo,quantité
392,Haufen::N,hŕba,tas
393,Reihe::N,rad,file
394,Reihe::N,rad,rangée
395,Boot::N,čln,canot
396,Boot::N,čln,bateau
397,Ruder::N,veslo,rame
398,Ruder::N,veslo,aviron
399,Schlitten::N,sane,traîneau
400,Ski::N,lyža,ski
401,Lagerfeuer::N,táborák,feu de camp
402,Last::N,ťarcha,charge
403,Last::N,ťarcha,fardeau
404,Last::N,bremeno,charge
405,Last::N,bremeno,fardeau
406,Gang::N,chôdza,tour
407,Gang::N,chôdza,marche
408,Schritt::N,krok,pas
409,Norden::N,sever,nord
410,Süden::N,juh,sud
411,Westen::N,západ,ouest
412,Westen::N,západ,occident
413,Osten::N,východ,est
414,Osten::N,východ,orient
415,Holz::N,drevo,bois
416,Brett::N,doska,planche
417,Platte::N,doska,plaque
418,Platte::N,platňa,plaque
419,Stütze::N,opora,appui
420,Stütze::N,opora,soutien
