,Concept_ID,fi,be
0,Auge::N,silmä,вока
1,Ohr::N,korva,вуха
2,Nase::N,nenä,нос
3,Mund::N,suu,рот
4,Zahn::N,hammas,зуб
5,Zunge::N,kieli,язык
6,Lippe::N,huuli,губа
7,Wange::N,poski,шчака
8,Gesicht::N,naama,твар
9,Gesicht::N,kasvot,твар
10,Stirn::N,otsa,лоб
11,Haar::N,hius,волас
12,Haar::N,hius,валасы
13,Haar::N,tukka,волас
14,Haar::N,tukka,валасы
15,Schnurrbart::N,viikset,вус
16,Schnurrbart::N,viikset,вусы
17,Bart::N,parta,барада
18,Kinn::N,leuka,падбародак
19,Kiefer[Anatomie]::N,leukaluu,сківіца
20,Kehle::N,kurkku,горла
21,Hals::N,kaula,шыя
22,Genick::N,niska,патыліца
23,Kopf::N,pää,галава
24,Rücken::N,selkä,спіна
25,Bauch::N,maha,жывот
26,Bauch::N,vatsa,жывот
27,Nabel::N,napa,пупок
28,Busen::N,rinta,грудзі
29,Brust::N,rinta,грудзі
30,Schulter::N,olka,плячо
31,Schulter::N,hartia,плячо
32,Schulter::N,olkapää,плячо
33,Arm::N,käsivarsi,рука
34,Ellenbogen::N,kyynärpää,локаць
35,Hand::N,käsi,кісць
36,Handfläche::N,kämmen,далонь
37,Finger::N,sormi,палец
38,Fingernagel::N,kynsi,ногаць
39,Nagel[Anatomie]::N,kynsi,ногаць
40,Zeh::N,varvas,палец
41,Fuß::N,jalka,нага
42,Ferse::N,kantapää,пята
43,Ferse::N,kantapää,пятка
44,Knie::N,polvi,калена
45,Oberschenkel::N,reisi,бядро
46,Oberschenkel::N,reisi,сцягно
47,Bein::N,jalka,нага
48,Körper::N,keho,цела
49,Körper::N,ruumis,цела
50,Haut::N,iho,скура
51,Blut::N,veri,кроў
52,Ader::N,suoni,вена
53,Ader::N,suoni,сасуд
54,Sehne::N,jänne,жыла
55,Sehne::N,jänne,цеціва
56,Sehne::N,jänne,сухажылле
57,Knochen::N,luu,косць
58,Gehirn::N,aivot,мозг
59,Herz::N,sydän,сэрца
60,Magen::N,maha,страўнік
61,Magen::N,vatsa,страўнік
62,Leber::N,maksa,печань
63,Atem::N,henki,дыханне
64,Atem::N,hengitys,дыханне
65,Hunger::N,nälkä,голад
66,Träne::N,kyynel,сляза
67,Geschmack::N,maku,смак
68,Geruch::N,haju,пах
69,Schlaf::N,uni,сон
70,Traum::N,uni,сон
71,Himmel::N,taivas,неба
72,Sonne::N,aurinko,сонца
73,Mond::N,kuu,месяц
74,Stern::N,tähti,зорка
75,Luft::N,ilma,паветра
76,Wind::N,tuuli,вецер
77,Welle::N,aalto,хваля
78,Wasser::N,vesi,вада
79,Stein::N,kivi,камень
80,Boden::N,maa,глеба
81,Boden::N,maaperä,глеба
82,Erde::N,maa,зямля
83,Staub::N,pöly,пыл
84,Rauch::N,savu,дым
85,Funke::N,kipinä,іскра
86,Feuer::N,tuli,агонь
87,Licht::N,valo,святло
88,Schatten::N,varjo,цень
89,Wetter::N,sää,пагода
90,Wetter::N,sää,надворʼе
91,Nebel::N,sumu,туман
92,Wolke::N,pilvi,воблака
93,Regen::N,sade,дождж
94,Schnee::N,lumi,снег
95,Eis::N,jää,лёд
96,Frost::N,halla,мароз
97,Frost::N,pakkanen,мароз
98,Kälte::N,vilu,холад
99,Kälte::N,kylmyys,холад
100,Hitze::N,helle,спёка
101,Hitze::N,kuumuus,спёка
102,Raureif::N,huurre,іней
103,Regenbogen::N,sateenkaari,вясёлка
104,Donner::N,jyrinä,гром
105,Strömung::N,virtaus,цячэнне
106,Tropfen::N,tippa,кропля
107,Tropfen::N,pisara,кропля
108,Schaum::N,vaahto,пена
109,Schmutz::N,loka,гразь
110,See::N,järvi,возера
111,Sumpf::N,suo,багна
112,Moor::N,räme,балота
113,Wiese::N,niitty,луг
114,Wald::N,metsä,лес
115,Hügel::N,mäki,узгорак
116,Hügel::N,kumpu,узгорак
117,Hügel::N,kukkula,узгорак
118,Anhöhe::N,mäki,узвышша
119,Anhöhe::N,kumpare,узвышша
120,Berg::N,mäki,гара
121,Berg::N,vuori,гара
122,Gipfel::N,laki,вяршыня
123,Gipfel::N,huippu,вяршыня
124,Höhle::N,luola,пячора
125,Abhang::N,rinne,схіл
126,Quelle::N,lähde,крыніца
127,Bach::N,puro,ручай
128,Fluss::N,joki,рака
129,Ufer::N,ranta,бераг
130,Küste::N,rannikko,узбярэжжа
131,Festland::N,manner,суша
132,Meer::N,meri,мора
133,Bucht::N,lahti,бухта
134,Insel::N,saari,востраў
135,Blume::N,kukka,кветка
136,Gras::N,ruoho,трава
137,Wurzel::N,juuri,корань
138,Baum::N,puu,дрэва
139,Stamm::N,runko,ствол
140,Rinde::N,kuori,кара
141,Rinde::N,parkki,кара
142,Ast::N,oksa,сук
143,Zweig::N,haara,галіна
144,Blatt::N,lehti,ліст
145,Birke::N,koivu,бяроза
146,Kiefer[Baum]::N,mänty,хвоя
147,Kiefer[Baum]::N,mänty,сасна
148,Kiefer[Baum]::N,petäjä,хвоя
149,Kiefer[Baum]::N,petäjä,сасна
150,Weide[Baum]::N,paju,вярба
151,Tanne::N,kuusi,яліна
152,Horn::N,sarvi,рог
153,Feder::N,sulka,пяро
154,Feder::N,höyhen,пяро
155,Fell::N,talja,шкура
156,Flügel::N,siipi,крыло
157,Klaue::N,kynsi,кіпцюр
158,Kralle::N,kynsi,лапа
159,Schwanz::N,häntä,хвост
160,Schwanz::N,pyrstö,хвост
161,Ei::N,muna,яйка
162,Nest::N,pesä,гняздо
163,Bau::N,pesä,нара
164,Tier::N,eläin,жывёла
165,Herde::N,lauma,статак
166,Kuh::N,lehmä,карова
167,Bulle::N,sonni,бык
168,Pferd::N,hevonen,конь
169,Schaf::N,lammas,авечка
170,Schwein::N,sika,свіння
171,Hund::N,koira,сабака
172,Katze::N,kissa,кошка
173,Bär::N,karhu,мядзведзь
174,Eichhörnchen::N,orava,вавёрка
175,Elch::N,hirvi,лось
176,Fuchs::N,kettu,ліса
177,Hase::N,jänis,заяц
178,Maus::N,hiiri,мыш
179,Wolf::N,susi,воўк
180,Vogel::N,lintu,птах
181,Vogel::N,lintu,птушка
182,Schwarm::N,parvi,чарада
183,Huhn::N,kana,курыца
184,Hahn::N,kukko,певень
185,Gans::N,hanhi,гусь
186,Adler::N,kotka,арол
187,Ente::N,ankka,качка
188,Eule::N,pöllö,сава
189,Kranich::N,kurki,жораў
190,Kranich::N,kurki,журавель
191,Krähe::N,varis,варона
192,Kuckuck::N,käki,зязюля
193,Schwan::N,joutsen,лебедзь
194,Fisch::N,kala,рыба
195,Barsch::N,ahven,акунь
196,Hecht::N,hauki,шчупак
197,Schlange[Tier]::N,käärme,змяя
198,Wurm::N,mato,чарвяк
199,Spinne::N,hämähäkki,павук
200,Ameise::N,muurahainen,мурашка
201,Laus::N,täi,вош
202,Mücke::N,sääski,камар
203,Mücke::N,hyttynen,камар
204,Fliege::N,kärpänen,муха
205,Schmetterling::N,perhonen,матыль
206,Beere::N,marja,ягада
207,Apfel::N,omena,яблык
208,Pilz::N,sieni,грыб
209,Zwiebel::N,sipuli,цыбуля
210,Saat::N,siemenet,семя
211,Korn::N,jyvä,зерне
212,Korn::N,vilja,зерне
213,Heu::N,heinä,сена
214,Schale::N,kuori,шалупінне
215,Grube::N,kuoppa,яма
216,Falle::N,loukku,пастка
217,Schlinge::N,ansa,сіло
218,Spur::N,jälki,след
219,Asche::N,tuhka,попел
220,Dreck::N,lika,бруд
221,Eisen::N,rauta,жалеза
