,Concept_ID,en,ko
0,Auge::N,eye,눈
1,Ohr::N,ear,귀
2,Nase::N,nose,코
3,Mund::N,mouth,입
4,Zahn::N,tooth,이
5,Zunge::N,tongue,혀
6,Lippe::N,lip,입술
7,Wange::N,cheek,뺨
8,Gesicht::N,face,얼굴
9,Stirn::N,forehead,이마
10,Haar::N,hair,털
11,Schnurrbart::N,moustache,윗수몀
12,Schnurrbart::N,moustache,코밑수염
13,Bart::N,beard,수엄
14,Kinn::N,chin,아래턱
15,Kiefer[Anatomie]::N,jaw,턱
16,Kehle::N,throat,인후
17,Hals::N,neck,목
18,Genick::N,nape,먹덜이
19,Kopf::N,head,머리
20,Rücken::N,back,든
21,Rücken::N,spine,든
22,Bauch::N,belly,배
23,Nabel::N,navel,배꼽
24,Busen::N,bosom,가슴속
25,Brust::N,chest,가슴
26,Brust::N,breast,가슴
27,Schulter::N,shoulder,어깨
28,Arm::N,arm,팔
29,Ellenbogen::N,elbow,팔쿰치
30,Hand::N,hand,손
31,Handfläche::N,palm,손바닥
32,Finger::N,finger,속가락
33,Fingernagel::N,fingernail,손톱
34,Nagel[Anatomie]::N,nail,손톱
35,Zeh::N,toe,발가락
36,Fuß::N,foot,발
37,Ferse::N,heel,발꿈치
38,Knie::N,knee,무릎
39,Oberschenkel::N,thigh,허벅다리
40,Bein::N,leg,다리
41,Körper::N,body,구간
42,Haut::N,skin,살갗
43,Blut::N,blood,피
44,Ader::N,vein,정맥
45,Sehne::N,sinew,현
46,Knochen::N,bone,뼈
47,Gehirn::N,brain,뇌
48,Gehirn::N,brain,뇌수
49,Herz::N,heart,염통
50,Magen::N,stomach,위
51,Leber::N,liver,간
52,Atem::N,breath,기식
53,Hunger::N,hunger,공복
54,Träne::N,tear,눈물
55,Geschmack::N,flavour,기호
56,Geschmack::N,flavor,기호
57,Geruch::N,odour,냄새
58,Geruch::N,odor,냄새
59,Schlaf::N,sleep,수면
60,Traum::N,dream,쿰
61,Himmel::N,sky,하늘
62,Sonne::N,sun,해
63,Mond::N,moon,달
64,Stern::N,star,별
65,Luft::N,air,동준
66,Luft::N,air,가스채
67,Wind::N,wind,바람
68,Welle::N,wave,물결
69,Wasser::N,water,물
70,Stein::N,stone,돌
71,Boden::N,soil,바닥
72,Boden::N,ground,바닥
73,Erde::N,earth,흙
74,Staub::N,dust,먼지
75,Rauch::N,smoke,연기
76,Funke::N,spark,불티
77,Feuer::N,fire,불
78,Licht::N,light,불
79,Schatten::N,shadow,어스레함
80,Wetter::N,weather,기상
81,Nebel::N,fog,안개
82,Wolke::N,cloud,구름
83,Regen::N,rain,비
84,Schnee::N,snow,눈
85,Eis::N,ice,얼음
86,Frost::N,frost,혹한
87,Kälte::N,chill,추위
88,Kälte::N,chill,차가움
89,Hitze::N,heat,고온
90,Hitze::N,heat,더위
91,Raureif::N,hoarfrost,
92,Regenbogen::N,rainbow,무지개
93,Donner::N,thunder,뇌명
94,Strömung::N,current,유동
95,Tropfen::N,drop,물방울
96,Schaum::N,foam,포말
97,Schmutz::N,dirt,때
98,See::N,lake,호수
