,Concept_ID,uz,tr
0,Auge::N,ko'z,göz
1,Ohr::N,quloq,kulak
2,Nase::N,burun,burun
3,Mund::N,og'iz,ağız
4,Zahn::N,tish,diş
5,Zunge::N,til,dil
6,Lippe::N,dudoq,dudak
7,Wange::N,bet,yanak
8,Gesicht::N,yuz,yüz
9,Stirn::N,manglay,alın
10,Haar::N,soch,saç
11,Schnurrbart::N,mo'ylov,bıyık
12,Bart::N,soqol,sakal
13,Kinn::N,ängak,çene
14,Kiefer[Anatomie]::N,iyak,çene
15,Kehle::N,bo'g'iz,boğaz
16,Hals::N,bo'yin,boyun
17,Hals::N,bo'yin,gerdan
18,Genick::N,gardan,ense
19,Kopf::N,bosh,baş
20,Kopf::N,bosh,kafa
21,Rücken::N,orqa,arka
22,Bauch::N,qorin,karın
23,Nabel::N,kindik,göbek
24,Busen::N,ämchak,koyun
25,Brust::N,ko'krak,göğüs
26,Schulter::N,elka,omuz
27,Arm::N,bilak,kol
28,Ellenbogen::N,tirsak,dirsek
29,Hand::N,qo'l,el
30,Handfläche::N,kaft,avuç
31,Handfläche::N,kaft,el ayası
32,Finger::N,barmoq,parmak
33,Fingernagel::N,tirnoq,el tırnağı
34,Nagel[Anatomie]::N,tirnoq,tırnak
35,Zeh::N,oyoq barmog'i,ayak parmağı
36,Fuß::N,oyoq,ayak
37,Ferse::N,tovon,topuk
38,Knie::N,tiz,diz
39,Oberschenkel::N,son,uyluk
40,Bein::N,oyoq,bacak
41,Körper::N,badna,vücut
42,Haut::N,teri,cilt
43,Blut::N,qon,kan
44,Ader::N,qon tomir,damar
45,Sehne::N,tomir,kiriş
46,Knochen::N,suyak,kemik
47,Gehirn::N,miya,beyin
48,Herz::N,qalb,kalp
49,Herz::N,qalb,yürek
50,Magen::N,oshqozon,mide
51,Leber::N,bag'ir,karaciğer
52,Atem::N,dam,nefes
53,Hunger::N,ochlik,açlık
54,Träne::N,yosh,gözyaşı
55,Geschmack::N,tam,tat
56,Geschmack::N,tam,lezzet
57,Geruch::N,jid,koku
58,Schlaf::N,uyqu,uyku
59,Traum::N,tush,düş
60,Traum::N,tush,rüya
61,Himmel::N,osmon,gök
62,Sonne::N,quyosh,güneş
63,Mond::N,oy,ay
64,Stern::N,yulduz,yıldız
65,Luft::N,havo,hava
66,Wind::N,el,yel
67,Wind::N,el,rüzgâr
68,Welle::N,to'lqin,dalga
69,Wasser::N,suv,su
70,Stein::N,tosh,taş
71,Boden::N,tuproq,yer
72,Boden::N,tuproq,zemin
73,Erde::N,er,toprak
74,Staub::N,chang,toz
75,Rauch::N,tutun,duman
76,Funke::N,yalt,kıvılcım
77,Feuer::N,o't,ateş
78,Licht::N,yorug',ışık
79,Schatten::N,soya,gölge
80,Wetter::N,havo,hava
81,Nebel::N,tuman,pus
82,Wolke::N,bulut,bulut
83,Regen::N,yomg'ir,yağmur
84,Schnee::N,qor,kar
85,Eis::N,muz,buz
86,Frost::N,ajoz,don
87,Kälte::N,ajoz,soğukluk
88,Hitze::N,issiq,sıcaklık
89,Raureif::N,qirov,kırç
90,Regenbogen::N,kamalak,gökkuşağı
91,Donner::N,guldur,gök gürlemesi
92,Strömung::N,oqim,akıntı
93,Strömung::N,oqim,cereyan
94,Tropfen::N,tomchi,damla
95,Schaum::N,ko'pik,köpük
96,Schmutz::N,gard,çamur
97,Schmutz::N,gard,pislik
98,See::N,ko'l,göl
99,Sumpf::N,botqoq,batak
100,Moor::N,qir-adir,cılgıt
101,Wiese::N,o'tzor,çimen
102,Wald::N,o'rmon,koru
103,Wald::N,o'rmon,orman
104,Hügel::N,tepa,tepe
105,Anhöhe::N,adir,tümsek
106,Anhöhe::N,adir,yükseklik
107,Berg::N,tog',dağ
108,Gipfel::N,cho'qqi,zirve
109,Höhle::N,kavak,in
110,Höhle::N,kavak,mağara
111,Abhang::N,to'sh,bayır
112,Quelle::N,buloq,pınar
113,Quelle::N,buloq,kaynak
114,Bach::N,o'zan,çay
115,Bach::N,o'zan,dere
116,Fluss::N,daryo,nehir
117,Ufer::N,sohil,kıyı
118,Ufer::N,sohil,sahil
119,Küste::N,qirg'oq,kıyı
120,Küste::N,qirg'oq,sahil
121,Festland::N,materik,kara
122,Meer::N,dengiz,deniz
123,Bucht::N,qo'ltiq,koy
124,Bucht::N,qo'ltiq,körfez
125,Insel::N,orol,ada
126,Blume::N,gul,çiçek
127,Gras::N,sabza,ot
128,Gras::N,sabza,çim
129,Wurzel::N,tub,kök
130,Wurzel::N,tomir,kök
131,Baum::N,daraxt,ağaç
132,Stamm::N,o'simta,gövde
133,Rinde::N,qobiq,kabuk
134,Ast::N,shox,dal
135,Ast::N,shox,budak
136,Zweig::N,butoq,dal
137,Blatt::N,barg,yaprak
138,Birke::N,qayin,huş
139,Kiefer[Baum]::N,qarag'ay,çam
140,Weide[Baum]::N,shum,söğüt
141,Tanne::N,archa,çam
142,Tanne::N,archa,köknar
143,Horn::N,mugiz,boynuz
144,Feder::N,par,tüy
145,Fell::N,mo'yna,post
146,Flügel::N,qanot,kanat
