,Concept_ID,kv,tt
0,Auge::N,син,күз
1,Ohr::N,пель,колак
2,Nase::N,ныр,борын
3,Mund::N,ӧм,авыз
4,Mund::N,ӧм,тамак
5,Zahn::N,пинь,теш
6,Zunge::N,кыв,тел
7,Lippe::N,тырп,ирен
8,Wange::N,рожабан,яңак
9,Gesicht::N,бан,йөз
10,Stirn::N,кымӧс,маңгай
11,Haar::N,юрси,чәч
12,Schnurrbart::N,уссэз,мыек
13,Bart::N,тош,сакал
14,Kinn::N,тшӧка,ияк
15,Kiefer[Anatomie]::N,ан,казналык
16,Kehle::N,юан,тамак
17,Hals::N,юан,бугаз
18,Genick::N,юр бӧр,җилкә
19,Kopf::N,юр,баш
20,Rücken::N,мышк,сырт
21,Bauch::N,кынӧм,корсак
22,Nabel::N,гӧг,кендек
23,Busen::N,морос,түш
24,Brust::N,морос,имчәк
25,Brust::N,морос,күкрәк
26,Schulter::N,пельпон,иңбаш
27,Schulter::N,пельпон,кулбаш
28,Arm::N,ки,кул
29,Ellenbogen::N,гырдзза,терсәк
30,Hand::N,кикар,кул
31,Handfläche::N,ки пыдӧс,уч
32,Finger::N,чунь,бармак
33,Fingernagel::N,гыж,тырнак
34,Nagel[Anatomie]::N,гыж,тырнак
35,Zeh::N,чунь,бармак
36,Fuß::N,кокпыдӧс,табан
37,Ferse::N,кокдзир,үкчә
38,Knie::N,пидзӧс,тез
39,Oberschenkel::N,лядьбей,бот
40,Bein::N,кок,аяк
41,Körper::N,вывтыр,тән
42,Körper::N,вывтыр,җисем
43,Haut::N,кучик,тире
44,Blut::N,вир,кан
45,Ader::N,сӧн,тамыр
46,Sehne::N,жила,сеңер
47,Knochen::N,коска,сөяк
48,Gehirn::N,вем,ми
49,Herz::N,сьӧлӧм,йөрәк
50,Magen::N,жӧвдӧк,ашказаны
51,Leber::N,мус,бавыр
52,Atem::N,лолалӧм,сулыш
53,Hunger::N,тшыг,ачлык
54,Träne::N,синва,яшь
55,Geschmack::N,кӧр,тәм
56,Geschmack::N,кӧр,зәвык
57,Geruch::N,дук,ис
58,Schlaf::N,он,йокы
59,Traum::N,вӧт,төш
60,Himmel::N,небо,күк
61,Sonne::N,шондi,кояш
62,Mond::N,тӧлiсь,ай
63,Stern::N,кӧдзыв,йолдыз
64,Luft::N,ру,һава
65,Wind::N,тӧв,җил
66,Welle::N,гы,дулкын
67,Wasser::N,ва,су
68,Stein::N,из,таш
69,Boden::N,му,туфрак
70,Erde::N,му,җир
71,Staub::N,бус,тузан
72,Rauch::N,тшын,төтен
73,Funke::N,бичир,очкын
74,Feuer::N,би,ут
75,Licht::N,би,якты
76,Schatten::N,вуджӧр,күләгә
77,Wetter::N,погоддя,һава
78,Nebel::N,туман,томан
79,Wolke::N,кымӧр,болыт
80,Regen::N,зэр,яңгыр
81,Schnee::N,лым,кар
82,Eis::N,йы,боз
83,Frost::N,мороз,суык
84,Frost::N,мороз,салкын
85,Kälte::N,кӧдзыт,суык
86,Kälte::N,кӧдзыт,салкын
87,Hitze::N,ӧд,эсселек
88,Raureif::N,кижа,бәс
89,Raureif::N,кижа,сыкы
90,Regenbogen::N,енӧшка,салават күпере
91,Donner::N,гым,күкрәү
92,Strömung::N,визывтӧм,агыш'агым
93,Tropfen::N,тёп,тамчы
94,Schaum::N,быг,күбек
95,Schmutz::N,нять,пычрак
96,See::N,ты,күл
97,Sumpf::N,арай,саз
98,Moor::N,нюр,торфлык
99,Wiese::N,видз,болын
100,Wald::N,вӧр,урман
101,Hügel::N,мыльк,калку
102,Anhöhe::N,вывтас,үр
103,Anhöhe::N,вылынін,үр
104,Berg::N,керӧс,тау
105,Gipfel::N,йыв,оч
106,Höhle::N,нора,мәгарә
107,Abhang::N,покат,кабырга
108,Quelle::N,больган,чишмә
109,Bach::N,шор,елга
110,Fluss::N,ю,дәрья
111,Ufer::N,берег,су кырые
112,Küste::N,берег,яр буе
113,Festland::N,му,коры җир
114,Meer::N,море,диңгез
115,Bucht::N,курья,бухта
116,Bucht::N,курья,култык
117,Blume::N,цветок,чәчкә
118,Gras::N,турун,үлән
119,Wurzel::N,вуж,тамыр
120,Baum::N,пу,агач
121,Stamm::N,мыр,кәүсә
122,Stamm::N,кер,кәүсә
123,Rinde::N,кач,кабык
124,Ast::N,ув,ботак
125,Zweig::N,ув,ботак
126,Zweig::N,ув,тармак
127,Blatt::N,лист,яфрак
128,Birke::N,кыдз,каен
129,Kiefer[Baum]::N,пожум,нарат
130,Weide[Baum]::N,бадь,тал
131,Tanne::N,кӧз,чыршы
132,Horn::N,сюр,мөгез
133,Feder::N,гӧн,йон
134,Fell::N,кучик,тире
135,Flügel::N,борд,канат
136,Klaue::N,гыж,тырнак
137,Kralle::N,кабыр,тырнак
138,Schwanz::N,бӧж,койрык
139,Ei::N,кольть,күкәй
140,Ei::N,кольть,йомырка
141,Nest::N,поз,оя
142,Bau::N,осьта,өн
143,Bau::N,нора,өн
144,Tier::N,зверь,хайван
145,Herde::N,гурт,көтү
146,Kuh::N,мӧс,сыер
147,Bulle::N,ӧшка,үгез
148,Pferd::N,вӧв,ат
149,Schaf::N,баля,сарык
150,Schwein::N,порсь,дуңгыз
151,Hund::N,пон,эт
152,Katze::N,кань,песи
153,Bär::N,ош,аю
154,Eichhörnchen::N,ур,тиен
155,Elch::N,вӧр мӧс,поши
156,Fuchs::N,руч,төлке
157,Hase::N,кӧч,куян
158,Maus::N,шыр,тычкан
159,Wolf::N,кӧин,бүре
160,Vogel::N,кай,кош
161,Schwarm::N,стая,көтү
162,Schwarm::N,чукӧр,көтү
163,Huhn::N,курӧг,тавык
164,Hahn::N,петух,әтәч
165,Hahn::N,ай курӧг,әтәч
166,Gans::N,дзодзог,каз
167,Adler::N,куч,каракош
168,Adler::N,кутш,каракош
169,Ente::N,утка,үрдәк
170,Eule::N,тупка,ябалак
171,Kranich::N,тури,торна
172,Krähe::N,рака,карга
173,Kuckuck::N,кӧк,күке
174,Kuckuck::N,кӧк,кәккүк
175,Schwan::N,юсь,аккош
176,Fisch::N,чери,балык
177,Barsch::N,ёкыш,алабуга
178,Hecht::N,сирпинь,чуртан
179,Schlange[Tier]::N,змей,елан
180,Wurm::N,номыр,корт
181,Spinne::N,черань,үрмәкүч
182,Ameise::N,кӧдзывкар,кырмыска
183,Laus::N,ляпа той,бет
184,Mücke::N,ном,черки
185,Mücke::N,ном,озынборын
186,Fliege::N,гут,чебен
187,Schmetterling::N,бабыв,күбәләк
188,Beere::N,ягӧд,җиләк
189,Apfel::N,яблоко,алма
