,Concept_ID,uk,el
0,Auge::N,око,μάτι
1,Auge::N,око,οφθαλμός
2,Ohr::N,вухо,αυτί
3,Nase::N,ніс,μύτη
4,Mund::N,рот,στόμα
5,Zahn::N,зуб,δόντι
6,Zunge::N,язик,γλώσσα
7,Lippe::N,губа,χείλος
8,Wange::N,щока,παρειά
9,Wange::N,щока,μάγουλο
10,Gesicht::N,обличчя,πρόσωπο
11,Stirn::N,лоб,μέτωπο
12,Haar::N,волосся,μαλλιά
13,Schnurrbart::N,вуса,μουστάκι
14,Bart::N,борода,γένια
15,Kinn::N,підборіддя,πιγούνι
16,Kiefer[Anatomie]::N,щелепа,σαγόνι
17,Kehle::N,горло,λαρύγγι
18,Hals::N,шия,λαιμός
19,Genick::N,потилиця,σβέρκος
20,Kopf::N,голова,κεφάλι
21,Rücken::N,спина,ράχη
22,Bauch::N,живіт,κοιλιά
23,Nabel::N,пупок,αφαλός
24,Busen::N,груди,στήθος
25,Brust::N,груди,στήθος
26,Schulter::N,плече,ώμος
27,Arm::N,рука,χέρι
28,Arm::N,рука,μπράτςο
29,Ellenbogen::N,лікоть,αγκώνας
30,Hand::N,рука,χέρι
31,Handfläche::N,долоня,παλάμη
32,Finger::N,палець,δάχτυλο
33,Fingernagel::N,ніготь,νύχι
34,Nagel[Anatomie]::N,ніготь,νύχι
35,Zeh::N,палець на нозі,δάχτυλο του ποδιού
36,Fuß::N,нога,πόδι
37,Ferse::N,п’ятка,φτέρνα
38,Knie::N,коліно,γόνατο
39,Oberschenkel::N,стегно,μηρός
40,Bein::N,нога,πόδι
41,Körper::N,тіло,σώμα
42,Körper::N,тіло,κορμί
43,Haut::N,шкіра,πετσί
44,Blut::N,кров,αίμα
45,Ader::N,вена,φλέβα
46,Sehne::N,сухожилля,νεύρο
47,Sehne::N,сухожилля,τένοντας
48,Knochen::N,кістка,οστό
49,Knochen::N,кістка,κόκκαλο
50,Gehirn::N,мозок,μυαλό
51,Gehirn::N,мозок,εγκέφαλος
52,Herz::N,серце,καρδιά
53,Magen::N,шлунок,στομάχι
54,Leber::N,печінка,ήπαρ
55,Leber::N,печінка,συκωτί
56,Atem::N,дихання,αναπνοή
57,Hunger::N,голод,πείνα
58,Träne::N,сльоза,δάκρυ
59,Geschmack::N,смак,γεύση
60,Geruch::N,запах,οσμή
61,Geruch::N,запах,μυρωδία
