,Concept_ID,sq,uk
0,Auge::N,sy,око
1,Ohr::N,vesh,вухо
2,Nase::N,hundë,ніс
3,Mund::N,gojë,рот
4,Zahn::N,dhëmb,зуб
5,Zunge::N,gjuhë,язик
6,Lippe::N,buzë,губа
7,Wange::N,faqe,щока
8,Wange::N,mollëz,щока
9,Gesicht::N,fytyrë,обличчя
10,Stirn::N,ballë,лоб
11,Haar::N,flokë,волосся
12,Schnurrbart::N,mustaqe,вуса
13,Bart::N,mjekër,борода
14,Kinn::N,mjekër,підборіддя
15,Kiefer[Anatomie]::N,nofull,щелепа
16,Kehle::N,fyt,горло
17,Kehle::N,grykë,горло
18,Hals::N,qafë,шия
19,Genick::N,arrëz,потилиця
20,Kopf::N,kokë,голова
21,Rücken::N,kurriz,спина
22,Bauch::N,bark,живіт
23,Nabel::N,kërthizë,пупок
24,Busen::N,gji,груди
25,Brust::N,gjoks,груди
26,Brust::N,kraharor,груди
27,Schulter::N,sup,плече
28,Schulter::N,krah,плече
29,Arm::N,krah,рука
30,Ellenbogen::N,bërryl,лікоть
31,Hand::N,dorë,рука
32,Handfläche::N,pëllëmbë,долоня
33,Finger::N,gisht,палець
34,Fingernagel::N,thua,ніготь
35,Nagel[Anatomie]::N,thua,ніготь
36,Zeh::N,gisht i këmbës,палець на нозі
37,Fuß::N,këmbë,нога
38,Ferse::N,thembër,п’ятка
39,Knie::N,gju,коліно
40,Oberschenkel::N,kofshë,стегно
41,Bein::N,këmbë,нога
42,Körper::N,trup,тіло
43,Haut::N,lëkurë,шкіра
44,Blut::N,gjak,кров
45,Ader::N,venë,вена
46,Sehne::N,dell,сухожилля
47,Knochen::N,asht,кістка
48,Knochen::N,kockë,кістка
49,Gehirn::N,tru,мозок
50,Herz::N,zemër,серце
51,Magen::N,stomak,шлунок
52,Leber::N,mëlçi,печінка
53,Atem::N,frymë,дихання
54,Hunger::N,uri,голод
55,Träne::N,lot,сльоза
56,Geschmack::N,shije,смак
57,Geruch::N,erë,запах
58,Schlaf::N,gjumë,сон
59,Schlaf::N,gjumë,сплячка
60,Traum::N,ëndërr,сон
61,Himmel::N,qiell,небо
62,Sonne::N,diell,сонце
63,Mond::N,hënë,місяць
64,Stern::N,yll,зірка
65,Luft::N,ajër,повітря
66,Wind::N,erë,вітер
67,Welle::N,valë,хвиля
68,Welle::N,dallgë,хвиля
69,Wasser::N,ujë,вода
70,Stein::N,gur,камінь
71,Boden::N,tokë,ґрунт
72,Boden::N,truall,ґрунт
73,Erde::N,dhe,земля
74,Erde::N,baltë,земля
75,Staub::N,pluhur,пил
76,Rauch::N,tym,дим
77,Funke::N,xixë,іскра
78,Funke::N,shkëndijë,іскра
79,Feuer::N,zjarr,вогонь
80,Licht::N,dritë,світло
81,Schatten::N,hije,тінь
82,Wetter::N,mot,погода
83,Nebel::N,mjegull,туман
84,Wolke::N,re,хмара
85,Regen::N,shi,дощ
86,Schnee::N,borë,сніг
87,Eis::N,akull,лід
88,Frost::N,ngricë,мороз
89,Kälte::N,të ftohtë,холод
90,Hitze::N,vapë,жар
91,Hitze::N,nxehtësi,жар
92,Raureif::N,cikmë,іній
93,Regenbogen::N,ylber,райдуга
94,Donner::N,gjëmim,грім
95,Donner::N,bubullimë,грім
96,Strömung::N,rrymë,струмина
97,Tropfen::N,pikë,крапля
98,Schaum::N,shkumë,піна
99,Schmutz::N,baltë,бруд
100,See::N,liqen,озеро
101,Sumpf::N,batak,драговина
102,Moor::N,kënetë,болото
103,Wiese::N,livadh,луг
104,Wiese::N,livadh,лука
105,Wald::N,pyll,ліс
106,Hügel::N,kodër,горб
107,Anhöhe::N,bregore,височина
108,Berg::N,mal,гора
109,Gipfel::N,kulm,вершина
110,Höhle::N,shpellë,печера
111,Höhle::N,zgafelle,печера
112,Abhang::N,shpat,схил
113,Abhang::N,tatëpjetë,схил
114,Quelle::N,krua,джерело
115,Quelle::N,burim,джерело
116,Bach::N,virua,струмок
117,Fluss::N,lumë,річка
118,Ufer::N,breg,берег
119,Küste::N,anëdet,узбережжя
120,Küste::N,bregdet,узбережжя
121,Festland::N,kontinent,суша
122,Meer::N,det,море
123,Bucht::N,gji deti,бухта
124,Bucht::N,gji deti,затока
125,Insel::N,ishull,острів
126,Insel::N,ujdhesë,острів
127,Blume::N,lule,квітка
128,Gras::N,bar,трава
129,Wurzel::N,rrënjë,корінь
130,Baum::N,pemë,дерево
131,Stamm::N,trung,стовбур
132,Rinde::N,lëvore,кора
133,Ast::N,degë,гілка
134,Zweig::N,bisk,галузь
135,Blatt::N,fletë,лист
136,Blatt::N,gjethe,лист
137,Birke::N,mështekën,береза
138,Kiefer[Baum]::N,pishë,сосна
139,Weide[Baum]::N,shelg,верба
140,Tanne::N,bredh,ялиця
141,Horn::N,bri,ріг
142,Feder::N,pupël,перо
143,Fell::N,lëkurë,хутро
144,Flügel::N,krah,крило
145,Flügel::N,fletë,крило
146,Klaue::N,kthetër,кіготь
147,Kralle::N,thua,лапа
148,Kralle::N,kthetër,лапа
149,Schwanz::N,bisht,хвіст
150,Ei::N,vezë,яйце
151,Nest::N,fole,гніздо
152,Bau::N,strofkë,лігво
153,Tier::N,kafshë,тварина
154,Herde::N,kope,стадо
155,Herde::N,grigjë,стадо
156,Kuh::N,lopë,корова
157,Bulle::N,dem,бик
158,Bulle::N,dem,бугай
159,Pferd::N,kalë,кінь
160,Schaf::N,dele,вівця
161,Schwein::N,derr,свиня
162,Hund::N,qen,собака
163,Katze::N,mace,кішка
164,Bär::N,ari,ведмідь
