,Concept_ID,he,ro
0,Auge::N,עין,ochi
1,Ohr::N,אזן,ureche
2,Nase::N,אף,nas
3,Nase::N,חטם,nas
4,Mund::N,פה,gură
5,Zahn::N,שן,dinte
6,Zunge::N,לשון,limbă
7,Lippe::N,שפה,buză
8,Wange::N,לחי,bucă
9,Wange::N,לחי,obraz
10,Gesicht::N,פנים,față
11,Gesicht::N,פנים,figură
12,Stirn::N,מצח,frunte
13,Haar::N,שערה,păr
14,Schnurrbart::N,שפם,mustață
15,Bart::N,זקן,barbă
16,Kinn::N,סנטר,bărbie
17,Kiefer[Anatomie]::N,לסת,falcă
18,Kehle::N,גרון,beregată
19,Hals::N,צואר,gât
20,Genick::N,ערף,ceafă
21,Kopf::N,ראש,cap
22,Rücken::N,גב,dos
23,Rücken::N,גב,spate
24,Rücken::N,גב,spinare
25,Bauch::N,בטן,burtă
26,Bauch::N,בטן,pântece
27,Nabel::N,טבור,buric
28,Busen::N,שד,sân
29,Brust::N,חזה,piept
30,Schulter::N,כתף,umăr
31,Schulter::N,כתף,spate
32,Arm::N,זרוע,braț
33,Ellenbogen::N,מרפק,cot
34,Hand::N,יד,mână
35,Handfläche::N,כף יד,palmă
36,Finger::N,אצבע,deget
37,Fingernagel::N,צפרן,unghie
38,Nagel[Anatomie]::N,צפרן,unghie
39,Zeh::N,אצבע,deget de la picior
40,Fuß::N,רגל,picior
41,Ferse::N,עקב,călcâi
42,Knie::N,ברך,genunchi
43,Oberschenkel::N,ירך,coapsă
44,Bein::N,רגל,picior
45,Körper::N,גוף,corp
46,Haut::N,עור,piele
47,Blut::N,דם,sânge
48,Ader::N,וריד,vână
49,Ader::N,וריד,arteră
50,Sehne::N,גיד,tendon
51,Knochen::N,עצם,os
52,Gehirn::N,מוח,creier
53,Herz::N,לב,inimă
54,Magen::N,קבה,stomac
55,Leber::N,כבד,ficat
56,Atem::N,נשימה,răsuflare
57,Atem::N,נשימה,respirație
58,Hunger::N,רעב,foame
59,Träne::N,דמעה,lacrimă
60,Geschmack::N,טעם,gust
61,Geruch::N,ריח,miros
62,Schlaf::N,שנה,somn
63,Traum::N,חלום,vis
64,Himmel::N,שמים,cer
65,Sonne::N,שמש,soare
66,Mond::N,ירח,lună
67,Stern::N,כוכב,stea
68,Luft::N,אויר,aer
69,Wind::N,רוח,vânt
70,Welle::N,גל,val
71,Welle::N,גל,undă
72,Wasser::N,מים,apă
73,Stein::N,אבן,piatră
74,Boden::N,קרקע,sol
75,Boden::N,קרקע,pământ
76,Erde::N,אדמה,pământ
77,Staub::N,אבק,praf
