,Concept_ID,ka,kn
0,Auge::N,თვალი,ಕಣ್ಣು
1,Ohr::N,ყური,ಕಿವಿ
2,Nase::N,ცხვირი,ಮೂಗು
3,Mund::N,პირი,ಬಾಯಿ
4,Zahn::N,კბილი,ಹಲ್ಲು
5,Zunge::N,ენა,ನಾಲಿಗೆ
6,Lippe::N,ბაგე,ತುಟಿ
7,Wange::N,ლოყა,ಗಲ್ಲ
8,Gesicht::N,სახე,ಮುಖ
9,Stirn::N,შუბლი,ಹಣೆ
10,Haar::N,თმა,ಕೂದಲು
11,Schnurrbart::N,ულვაში,ಮೀಸೆ
12,Bart::N,წვერი,ಗಡ್ಡ
13,Kinn::N,ნიკაპი,ಗದ್ದ
14,Kiefer[Anatomie]::N,ყბა,ದವಡೆ
15,Kehle::N,ყელი,ಗಂಟಲು
16,Hals::N,ყელი,ಕೊರಳು
17,Hals::N,კისერი,ಕೊರಳು
18,Genick::N,კეფა,ಹಿಂಗತ್ತು
19,Kopf::N,თავი,ತಲೆ
20,Rücken::N,ზურგი,ಬೆನ್ನು
21,Bauch::N,მუცელი,ಹೊಟ್ಟೆ
22,Nabel::N,ჭიპი,ಹೊಕ್ಕುಳು
23,Busen::N,ძუძუ,ಸ್ತನ
24,Brust::N,მკერდი,ಎದೆ
25,Schulter::N,მხარი,ಭುಜ
26,Schulter::N,მკლავი,ಭುಜ
27,Arm::N,ხელი,ತೋಳು
28,Ellenbogen::N,იდაყვი,ಮೊಣಕೈ
29,Hand::N,ხელი,ಕೈ
30,Handfläche::N,ნები,ಅಂಗೈ
31,Handfläche::N,ხელისგული,ಅಂಗೈ
32,Finger::N,თითი,ಕೈಬೆರಳು
33,Fingernagel::N,ფრჩხილი,ಉಗುರು
34,Nagel[Anatomie]::N,ფრჩხილი,ಉಗುರು
35,Zeh::N,ფეხის თითი,ಕಾಲ್ಬೆರಳು
36,Fuß::N,ტერფი,ಪಾದ
37,Fuß::N,ფეხისგული,ಪಾದ
38,Ferse::N,ქუსლი,ಹಿಮ್ಮಡಿ
39,Knie::N,მუხლი,ಮಂಡಿ
40,Oberschenkel::N,ბარძაყი,ತೊಡೆ
41,Bein::N,ფეხი,ಕಾಲು
42,Körper::N,ტანი,ದೇಹ
43,Körper::N,სხეული,ದೇಹ
44,Haut::N,კანი,ಚರ್ಮ
45,Blut::N,სისხლი,ರಕ್ತ
46,Ader::N,ძარღვი,ನರ
47,Sehne::N,მყესი,ನರ
48,Knochen::N,ძვალი,ಮೂಳೆ
49,Gehirn::N,ტვინი,ಮಿದುಳು
50,Herz::N,გული,ಹೃದಯ
51,Magen::N,კუჭი,ಉದರ
52,Leber::N,ღვიძლი,ಯಕೃತ್ತು
53,Atem::N,სუნთქვა,ಉಸಿರು
54,Hunger::N,შიმშილი,ಹಸಿವು
55,Träne::N,ცრემლი,ಕಣ್ಣೀರು
56,Geschmack::N,გემო,ರುಚಿ
57,Geruch::N,სუნი,ವಾಸನೆ
58,Schlaf::N,ძილი,ನಿದ್ರೆ
59,Traum::N,სიზმარი,ಕನಸು
60,Himmel::N,ცა,ಬಾನು
61,Sonne::N,მზე,ಸೂರ್ಯ
62,Mond::N,მთვარე,ಚಂದ್ರ
63,Stern::N,ვარსკვლავი,ಚುಕ್ಕಿ
64,Luft::N,ჰაერი,ವಾಯು
65,Wind::N,ქარი,ಗಾಳಿ
66,Welle::N,ტალღა,ಅಲೆ
67,Wasser::N,წყალი,ನೀರು
68,Stein::N,ქვა,ಕಲ್ಲು
69,Boden::N,მიწა,ನೆಲ
70,Erde::N,ნიადაგი,ಭೂಮಿ
71,Staub::N,მტვერი,ದೂಳು
72,Rauch::N,ბოლი,ಹೊಗೆ
73,Rauch::N,კვამლი,ಹೊಗೆ
74,Funke::N,ნაკვესი,ಕಿಡಿ
75,Feuer::N,ცეცხლი,ಬೆಂಕಿ
76,Licht::N,შუქი,ಬೆಳಕು
77,Licht::N,სინათლე,ಬೆಳಕು
78,Schatten::N,ლანდი,ನೆರಳು
79,Schatten::N,ჩრდილი,ನೆರಳು
80,Wetter::N,ამინდი,ಹವ
81,Nebel::N,ნისლი,ಮಂಜು
82,Wolke::N,ღრუბელი,ಮೋಡ
83,Regen::N,წვიმა,ಮಳೆ
84,Schnee::N,თოვლი,ಹಿಮ
85,Eis::N,თოში,ಮಂಜುಗಡ್ಡೆ
86,Eis::N,ყინული,ಮಂಜುಗಡ್ಡೆ
87,Frost::N,ყინვა,ಮಂಜು
88,Kälte::N,სიცივე,ಹಿಮ
89,Hitze::N,სიცხე,ಉಷ್ಣ
90,Raureif::N,ჭირხლი,ಇಬ್ಬನಿ
91,Raureif::N,თრთვილი,ಇಬ್ಬನಿ
92,Regenbogen::N,ცისარტყელა,ಇಂದ್ರಚಾಪ
93,Donner::N,ქუხილი,ಗುಡುಗು
94,Strömung::N,დინება,ಪ್ರವಾಹ
95,Tropfen::N,წვეთი,ತೊಟ್ಟು
96,Schaum::N,ქაფი,ನೊರೆ
97,Schaum::N,დორბლი,ನೊರೆ
98,Schmutz::N,ჭუჭყი,ಕಸ
99,Schmutz::N,ტალახი,ಕಸ
100,See::N,ტბა,ಸರೋವರ
101,Sumpf::N,ჭაობი,ಜೌಗುಸ್ಥಳ
102,Moor::N,ტორფნარი,ಬಂಜರು ಭೂಮಿ
103,Wiese::N,ველი,ಹುಲ್ಲುಗಾವಲು
104,Wiese::N,მდელო,ಹುಲ್ಲುಗಾವಲು
105,Wald::N,ტყე,ಕಾಡು
106,Hügel::N,ბორცვი,ಗುಡ್ಡೆ
107,Anhöhe::N,მაღლობი,ದಿಬ್ಬ
108,Berg::N,მთა,ಮಲೆ
109,Berg::N,მთა,ಪರ್ವತ
110,Gipfel::N,მწვერვალი,ಶೃಂಗ
111,Höhle::N,მღვიმე,ಗುಹೆ
112,Höhle::N,გამოქვებული,ಗುಹೆ
113,Abhang::N,ფერდობი,ಇಳಿಜಾರು
114,Quelle::N,წყარო,ಮೂಲ
115,Quelle::N,სათავე,ಮೂಲ
116,Bach::N,რუ,ತೊರೆ
117,Bach::N,ნაკადული,ತೊರೆ
118,Fluss::N,მდინარე,ನದಿ
119,Ufer::N,კიდე,ತೀರ
120,Ufer::N,ნაპირი,ತೀರ
121,Küste::N,ნაპირი,ದಂಡೆ
122,Festland::N,ხმელეთი,ಭೂಮಿ
123,Meer::N,ზღვა,ಕಡಲು
124,Bucht::N,ყურე,ಖಾರಿ
125,Insel::N,კუნძული,ದ್ವೀಪ
126,Blume::N,ყვავილი,ಸುಮ
127,Gras::N,ბალახი,ಹುಲ್ಲು
128,Wurzel::N,ძირი,ಬೇರು
129,Wurzel::N,ფესვი,ಬೇರು
130,Baum::N,ხე,ಮರ
131,Stamm::N,ტანი,ಕಾಂಡ
132,Rinde::N,ქერქი,ತೂಗಟಿ
133,Ast::N,ტოტი,ಶಾಖೆ
134,Zweig::N,შტო,ರೆಂಬೆ
135,Blatt::N,ფოთოლი,ಎಲೆ
136,Birke::N,არყი,ಬರ್ಚ್ ಮರ
137,Kiefer[Baum]::N,ფიჭვი,ದೇವದಾರು ಮರ
138,Weide[Baum]::N,ტირიფი,ವಿಲೋಮರ
139,Tanne::N,ნაძვი,ಭದ್ರದಾರು
140,Horn::N,რქა,ಕೊಂಬು
141,Feder::N,ფრთა,ಪುಕ್ಕ
142,Fell::N,ტყავი,ರೋಮ
143,Flügel::N,ფრთა,ರೆಕ್ಕೆ
144,Klaue::N,კლანჭი,ಪಂಜ
145,Kralle::N,ტორი,ಉಗುರು
146,Schwanz::N,კუდი,ಬಾಲ
147,Ei::N,კვერცხი,ಮೊಟ್ಟೆ
148,Nest::N,ბუდე,ಗೂಡು
149,Bau::N,სორო,ಅಡಗುದಾಣ
150,Tier::N,ნადირი,ಪ್ರಾಣಿ
151,Tier::N,ცხოველი,ಪ್ರಾಣಿ
152,Herde::N,ფარა,ಗುಂಪು
153,Kuh::N,ფური,ಹಸು
154,Kuh::N,ძროხა,ಹಸು
155,Bulle::N,ხარი,ಗೂಳಿ
156,Pferd::N,რაში,ಕುದುರೆ
157,Pferd::N,ცხენი,ಕುದುರೆ
158,Schaf::N,ცხვარი,ಕುರಿ
159,Schwein::N,ღორი,ಹಂದಿ
160,Hund::N,ძაღლი,ನಾಯಿ
161,Katze::N,კატა,ಬೆಕ್ಕು
162,Bär::N,დათვი,ಕರಡಿ
163,Eichhörnchen::N,ციყვი,ಉಡುತೆ
164,Elch::N,ცხენ-ირემი,ಕಡವೆ
165,Fuchs::N,მელა,ನರಿ
166,Hase::N,კურდღელი,ಮೊಲ
167,Maus::N,თაგვი,ಇಲಿ
168,Wolf::N,მგელი,ತೋಳ
169,Vogel::N,ჩიტი,ಪಕ್ಷಿ
170,Vogel::N,ფრინველი,ಪಕ್ಷಿ
171,Schwarm::N,გუნდი,ಗುಂಪು
172,Huhn::N,დედალი,ಚಿಕ್
173,Hahn::N,მამალი,ಹುಂಜ
174,Gans::N,ბატი,ವರಟೆ
175,Adler::N,არწივი,ಗರುಡ
176,Ente::N,იხვი,ಬಾತು
177,Eule::N,ბუ,ಗೂಬೆ
178,Kranich::N,წერო,ಕೊಕ್ಕರ
