,Concept_ID,fa,pt
0,Auge::N,چشم,olho
1,Ohr::N,گوش,orelha
2,Nase::N,بینی,nariz
3,Mund::N,دهان,boca
4,Zahn::N,دندان,dente
5,Zunge::N,زبان,língua
6,Lippe::N,لب,lábio
7,Wange::N,لپ,face
8,Gesicht::N,رو,cara
9,Gesicht::N,رو,rosto
10,Gesicht::N,چهره,cara
11,Gesicht::N,چهره,rosto
12,Stirn::N,پیشانی,testa
13,Haar::N,مو,cabelo
14,Schnurrbart::N,سبیل,bigode
15,Bart::N,ریش,barba
16,Kinn::N,چانه,queixo
17,Kiefer[Anatomie]::N,فک,maxila
18,Kiefer[Anatomie]::N,فک,mandíbula
19,Kiefer[Anatomie]::N,آرواره,maxila
20,Kiefer[Anatomie]::N,آرواره,mandíbula
21,Kehle::N,حلق,garganta
22,Hals::N,گردن,colo
23,Hals::N,گردن,pescoço
24,Genick::N,پشت گردن,nuca
25,Kopf::N,سر,cabeça
26,Kopf::N,کله,cabeça
27,Rücken::N,پشت,dorso
28,Rücken::N,پشت,costas
29,Bauch::N,شکم,ventre
30,Bauch::N,شکم,barriga
31,Nabel::N,ناف,umbigo
32,Busen::N,پستان,seio
33,Brust::N,سینه,peito
34,Schulter::N,دوش,ombro
35,Schulter::N,شانه,ombro
36,Arm::N,بازو,braço
37,Ellenbogen::N,آرنج,cotovelo
38,Hand::N,دست,mão
39,Handfläche::N,کف دست,palma
40,Handfläche::N,کف دست,palma da mão
41,Finger::N,انگشت,dedo
42,Fingernagel::N,ناخن دست,unha
43,Nagel[Anatomie]::N,ناخن,unha
44,Zeh::N,انگشت پا,dedo do pé
45,Fuß::N,پا,pé
46,Ferse::N,پاشنه,calcanhar
47,Knie::N,زانو,joelho
48,Oberschenkel::N,ران,coxa
49,Bein::N,پا,perna
50,Bein::N,لنگ,perna
51,Körper::N,تن,corpo
52,Körper::N,بدن,corpo
53,Haut::N,پوست,pele
54,Blut::N,خون,sangue
55,Ader::N,رگ,veia
56,Sehne::N,زردپی,tendão
57,Knochen::N,استخوان,osso
58,Gehirn::N,مخ,cérebro
59,Gehirn::N,مغز,cérebro
60,Herz::N,دل,coração
61,Herz::N,قلب,coração
62,Magen::N,معده,estômago
63,Leber::N,کبد,fígado
64,Atem::N,نفس,fôlego
65,Hunger::N,گرسنگی,fome
66,Träne::N,اشک,lágrima
67,Geschmack::N,مزه,gosto
68,Geruch::N,بو,odor
69,Geruch::N,بو,cheiro
70,Schlaf::N,خواب,sono
71,Traum::N,رؤیا,sonho
72,Himmel::N,فلک,céu
73,Himmel::N,آسمان,céu
74,Sonne::N,آفتاب,sol
75,Sonne::N,خورشید,sol
76,Mond::N,ماه,lua
77,Stern::N,ستاره,estrela
78,Luft::N,هوا,ar
79,Wind::N,باد,vento
80,Welle::N,موج,onda
81,Wasser::N,آب,água
82,Stein::N,سنگ,pedra
83,Boden::N,زمین,solo
84,Erde::N,خاک,terra
85,Erde::N,زمین,terra
86,Staub::N,گرد,pó
87,Staub::N,غبار,pó
88,Rauch::N,دود,fumo
89,Funke::N,جرقه,faísca
90,Funke::N,جرقه,centelha
91,Feuer::N,آتش,fogo
92,Licht::N,نور,luz
93,Licht::N,روشنی,luz
94,Schatten::N,سایه,sombra
95,Wetter::N,هوا,tempo
96,Nebel::N,مه,nevoeiro
97,Wolke::N,ابر,nuvem
98,Regen::N,باران,chuva
99,Schnee::N,برف,neve
100,Eis::N,یخ,gelo
101,Frost::N,یخبندان,gelo
102,Frost::N,یخبندان,geada
103,Kälte::N,سرما,frio
104,Hitze::N,گرما,ardor
105,Hitze::N,حرارت,ardor
106,Raureif::N,برف ریزه,geada
107,Regenbogen::N,رنگین‌کمان,arco-iris
108,Donner::N,رعد,trovão
109,Strömung::N,جریان,corrente
110,Tropfen::N,قطره,gota
111,Schaum::N,کف,espuma
112,Schmutz::N,گل,sujidade
113,Schmutz::N,گل,imundície
114,Schmutz::N,کثافت,sujidade
115,Schmutz::N,کثافت,imundície
116,See::N,دریاچه,lago
117,Sumpf::N,مرداب,charco
118,Sumpf::N,مرداب,pântano
119,Sumpf::N,باتلاق,charco
120,Sumpf::N,باتلاق,pântano
121,Moor::N,باتلاق,pântano
122,Wiese::N,چمن,prado
123,Wald::N,جنگل,bosque
124,Wald::N,جنگل,floresta
125,Hügel::N,تل,colina
126,Hügel::N,تپه,colina
