,Concept_ID,mhr,ba
0,Auge::N,шинча́,күҙ
1,Ohr::N,пы́лыш,ҡолаҡ
2,Nase::N,нер,танау
3,Mund::N,умша́,ауыҙ
4,Zahn::N,пӱй,теш
5,Zunge::N,йы́лме,тел
6,Lippe::N,тӱ́рвӧ,ирен
7,Wange::N,шӱ́ргӧ,яцаҡтар
8,Gesicht::N,чури́й,бит
9,Stirn::N,саҥга́,маңлай
10,Haar::N,ӱп,сәс
11,Schnurrbart::N,ӧ́рыш,мылтыҡ
12,Bart::N,понда́ш,һаҡал
13,Kinn::N,оҥыла́ш,эйэк
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,яңаҡ һөйәге
15,Kiefer[Anatomie]::N,пӱйората́,яңаҡ һөйәге
16,Kehle::N,лога́р,тамаҡ
17,Hals::N,шӱй,муйын
18,Genick::N,шӱйло́дыш,соңҡа
19,Kopf::N,вуй,баш
20,Rücken::N,туп,арҡа
21,Bauch::N,мӱ́шкыр,ҡорһаҡ
22,Nabel::N,кы́лымде,кендек
23,Busen::N,чы́зе,күкрәк
24,Brust::N,оҥ,түш
25,Schulter::N,ва́че,яурын
26,Arm::N,кид,ҡул
27,Ellenbogen::N,кынерву́й,терһәк
28,Hand::N,кид,ҡул
29,Hand::N,кид,ҡул суғы
30,Hand::N,копа́,ҡул
31,Hand::N,копа́,ҡул суғы
32,Handfläche::N,со́во,ус төбө
33,Finger::N,парня́,бармаҡ
34,Fingernagel::N,кидкӱ́ч,тырнаҡ
35,Fingernagel::N,парнягӱ́ч,тырнаҡ
36,Nagel[Anatomie]::N,кӱч,тырнаҡ
37,Zeh::N,йолварня́,бармаҡ
38,Fuß::N,йол,табан
39,Fuß::N,йолкопа́,табан
40,Ferse::N,тага́н,үксә
41,Knie::N,пулву́й,тубыҡ
42,Oberschenkel::N,э́рде,сандыр
43,Bein::N,йол,аяҡ
44,Körper::N,кап,тән
45,Haut::N,кова́ште,тире
46,Blut::N,вӱр,ҡан
47,Ader::N,шӧн,тамыр
48,Sehne::N,шӧн,һеңер
49,Sehne::N,шӧн,тарамыш
50,Sehne::N,кӱсе́н,һеңер
51,Sehne::N,кӱсе́н,тарамыш
52,Knochen::N,лу,һойәк
53,Gehirn::N,вем,мейе
54,Gehirn::N,вуйве́м,мейе
55,Herz::N,шӱм,йорәк
56,Magen::N,пага́р,ашҡаҙан
57,Leber::N,мокш,бауыр
58,Atem::N,шӱ́лыш,һулыш
59,Hunger::N,шужыма́ш,аслыҡ
60,Träne::N,шинчавӱ́д,күҙ иәше
61,Geschmack::N,там,тәм
62,Geruch::N,пуш,еҫ
63,Schlaf::N,о́мо,йоҡлау
64,Traum::N,йӱдо́мо,төш
65,Himmel::N,кава́,күк
66,Sonne::N,ке́че,ҡояш
67,Mond::N,ты́лзе,ай
68,Stern::N,шӱ́дыр,йондоҙ
69,Luft::N,юж,һауа
70,Wind::N,марде́ж,ел
71,Welle::N,то́лкын,тулҡын
72,Wasser::N,вӱд,һыу
73,Stein::N,кӱ,таш
74,Boden::N,рок,тупраҡ
75,Erde::N,мла́нде,балсҡ
76,Staub::N,пура́к,туҙан
77,Rauch::N,шикш,төтөн
78,Funke::N,сеске́м,осҡон
79,Funke::N,тулйы́п,осҡон
80,Feuer::N,тул,ут
81,Licht::N,со́то,яҡтылыҡ
82,Schatten::N,ӱ́мыл,күләгә
83,Wetter::N,иге́че,һауа торошо
84,Nebel::N,тӱтыра́,төман
85,Wolke::N,пыл,болот
86,Regen::N,йӱр,ямғыр
87,Schnee::N,лум,ҡар
88,Eis::N,ий,боҙ
89,Frost::N,чатлама́,һалҡын
90,Kälte::N,йӱ́штӧ,һыуыҡ
91,Hitze::N,шо́кшо,томра
92,Hitze::N,шо́кшо,эҫелек
93,Raureif::N,пӧрш,ҡырау
94,Raureif::N,по́кшым,ҡырау
95,Regenbogen::N,шонанпы́л,йәйғор
96,Donner::N,кӱ́дырчӧ,күк күкрәү
97,Strömung::N,йо́гын,ағым
98,Tropfen::N,чӱча́лтыш,тамсы
99,Schaum::N,шоҥ,күбек
100,Schmutz::N,лавыра́,батҡаҡ
101,See::N,ер,күл
102,Sumpf::N,лӱ́кӧ,һаҙлык
103,Moor::N,куп,һаҙ
104,Wiese::N,о́лык,болон
105,Wald::N,чодыра́,урман
106,Hügel::N,арка́,түбә
107,Anhöhe::N,тӧва́,түбә
108,Anhöhe::N,тӧва́,ҡалҡыулыҡ
109,Anhöhe::N,кӱкшака́,түбә
110,Anhöhe::N,кӱкшака́,ҡалҡыулыҡ
111,Berg::N,ку́рык,тау
112,Gipfel::N,чаҥга́,түбә
113,Gipfel::N,курыкву́й,түбә
114,Höhle::N,пеще́р,мәмерйә
115,Höhle::N,курыкпо́мыш,мәмерйә
116,Abhang::N,та́йыл,ипкен
117,Quelle::N,важ,шишмә
118,Quelle::N,вӱдшинча́,шишмә
119,Bach::N,изэҥе́р,шишмә
120,Fluss::N,эҥе́р,йылға
121,Ufer::N,сер,яр
122,Küste::N,вӱдтӱ́р,яр буйы
123,Festland::N,мла́нде,ҡоро ер
124,Meer::N,те́ҥыз,диңгез
125,Bucht::N,икса́,бухта
126,Insel::N,отро́,үтрау
127,Blume::N,пеле́дыш,сәскә
128,Gras::N,шу́до,үлән
129,Wurzel::N,вож,тамыр
130,Baum::N,пуше́ҥге,ағас
131,Stamm::N,йы́тыр,олон
132,Stamm::N,йы́тыр,көбәк
133,Rinde::N,шӱм,ҡабыҡ
134,Ast::N,укш,ботаҡ
135,Zweig::N,торма́к,ботаҡ
136,Zweig::N,торма́к,тармаҡ
137,Blatt::N,лышта́ш,япраҡ
138,Birke::N,куэ́,ҡайын
139,Kiefer[Baum]::N,пӱ́нчӧ,ҡарғай
140,Weide[Baum]::N,уа́,тал
141,Tanne::N,кож,шыршы
142,Horn::N,шур,мөғөҙ
143,Feder::N,пы́стыл,ҡауырһын
144,Fell::N,кова́ште,тире
145,Flügel::N,шу́лдыр,ҡанат
146,Klaue::N,кӱч,тырнаҡ
147,Kralle::N,ла́па,аяҡ
148,Kralle::N,копа́,аяҡ
149,Schwanz::N,поч,ҡойроҡ
150,Ei::N,му́но,йомортҡа
151,Nest::N,пыжа́ш,оя
152,Bau::N,пыжа́ш,оң
153,Tier::N,я́нлык,жайуан
154,Tier::N,я́нлык,йыртҡыс
155,Tier::N,живо́тный,жайуан
156,Tier::N,живо́тный,йыртҡыс
157,Herde::N,кӱ́тӱ,көтөү
158,Herde::N,тӱшка́,көтөү
159,Kuh::N,ушка́л,һыйыр
160,Bulle::N,ӱ́шкыж,үгеҙ
161,Pferd::N,и́мне,ат
162,Schaf::N,шо́рык,һарыҡ
163,Schwein::N,сӧсна́,сусҡа
164,Hund::N,пий,эт
165,Katze::N,пы́рыс,бесәй
166,Bär::N,маска́,айыу
167,Eichhörnchen::N,ур,тейен
168,Elch::N,шо́рдо,мышы
169,Fuchs::N,ры́выж,төлкө
170,Hase::N,мера́ҥ,ҡуян
171,Maus::N,коля́,сысҡан
172,Wolf::N,пи́ре,бүре
173,Vogel::N,ка́йык,ҡош
174,Schwarm::N,каша́к,көтөү
175,Huhn::N,чы́ве,тауыҡ
176,Hahn::N,агыта́н,әтәс
177,Gans::N,ко́мбо,ҡаҙ
178,Adler::N,карагу́ш,бөркөт
179,Ente::N,лу́до,өйрәк
180,Eule::N,тумна́,өкө
181,Eule::N,тумна́,ябалаҡ
182,Kranich::N,турня́,торна
183,Krähe::N,кора́к,ҡарға
184,Kuckuck::N,куку́,кәкүк
185,Schwan::N,йӱ́ксӧ,аҡҡош
186,Fisch::N,кол,балыҡ
187,Barsch::N,ола́ҥге,алабуға
188,Hecht::N,нуж,суртан
189,Hecht::N,чорта́н,суртан
190,Schlange[Tier]::N,ки́шке,йылан
191,Wurm::N,шукш,селяүсен
192,Spinne::N,эҥыре́мыш,үрмәксе
193,Ameise::N,ку́тко,ҡырмыҫҡа
194,Laus::N,тий,бет
195,Mücke::N,шыҥа́,серәкәй
196,Fliege::N,ка́рме,себен
197,Schmetterling::N,лы́ве,күбәләк
198,Beere::N,мӧр,еләк
199,Apfel::N,олма́,алма
200,Pilz::N,по́ҥго,бәшмәк
201,Zwiebel::N,шога́н,һуган
202,Saat::N,нӧ́шмӧ,орлоҡ
203,Saat::N,туш,орлоҡ
204,Korn::N,шу́рно,иген
205,Heu::N,шу́до,бесән
206,Schale::N,шӱм,ҡабыҡ
207,Grube::N,выне́м,соҡор
208,Falle::N,лӧ́дӧ,тоҙак
209,Falle::N,лӧ́дӧ,ҡапҡан
210,Schlinge::N,о́птыш,тоҙак
211,Schlinge::N,шӧрга́лтыш,тоҙак
212,Spur::N,кыша́,әҫер
213,Asche::N,ло́мыж,көл
