,Concept_ID,ku,ps
0,Auge::N,çav,سترګه
1,Ohr::N,guh,غوږ
2,Nase::N,bêvil,پوزه
3,Mund::N,dev,خوله
4,Zahn::N,didan,غاښ
5,Zunge::N,ziman,جبه
6,Lippe::N,lêv,شونډه
7,Wange::N,dêm,باړخو
8,Wange::N,hinarik,باړخو
9,Gesicht::N,rû,مخ
10,Stirn::N,enî,تندی
11,Stirn::N,enî,وچولی
12,Haar::N,por,وېښته
13,Schnurrbart::N,simbêl,برېت
14,Bart::N,rih,ږیره
15,Kinn::N,zenî,زنه
16,Kiefer[Anatomie]::N,arguşk,جامه
17,Kehle::N,qirik,غاړه
18,Hals::N,stû,غاړه
19,Hals::N,qirik,غاړه
20,Genick::N,stû,ورمېږ
21,Kopf::N,serî,سر
22,Rücken::N,pişt,شا
23,Bauch::N,ûr,نس
24,Bauch::N,ûr,ګېډه
25,Bauch::N,zik,نس
26,Bauch::N,zik,ګېډه
27,Nabel::N,navik,نوم
28,Busen::N,sîng,تی
29,Brust::N,sîng,سینه
30,Schulter::N,mil,اوږه
31,Arm::N,çepil,لاس
32,Ellenbogen::N,enîşk,څنګل
33,Hand::N,dest,لاس
34,Handfläche::N,kefadest,ورغوی
35,Finger::N,tilî,ګوته
36,Fingernagel::N,neynuk,نوک
37,Nagel[Anatomie]::N,bizmar,نوک
38,Zeh::N,tilî linga,ګوته
39,Fuß::N,ling,پښه
40,Ferse::N,pahnî,پونده
41,Knie::N,kabok,زنګون
42,Oberschenkel::N,rahn,پتون
43,Bein::N,çip,پښه
44,Körper::N,laş,ځان
45,Körper::N,gowde,ځان
46,Haut::N,çerm,پوټکی
47,Blut::N,xwîn,وینه
48,Ader::N,reh,رګ
49,Sehne::N,reh,پله
50,Knochen::N,hestî,هډوکی
51,Gehirn::N,mêjî,ماغزه
52,Herz::N,dil,زړه
53,Magen::N,navêş,معده
54,Leber::N,kezeb,ينه
55,Leber::N,kezeb,ځیګر
56,Atem::N,hilm,نفس
57,Hunger::N,birçîtî,ولږه
58,Träne::N,hêstir,اوښکه
59,Geschmack::N,tam,مزه
60,Geschmack::N,tam,خوند
61,Geruch::N,bêhn,بوی
62,Schlaf::N,xew,خوب
63,Traum::N,xewn,خوب
64,Himmel::N,ezman,اسمان
65,Sonne::N,roj,لمر
