,Concept_ID,zh,it
0,Auge::N,眼睛,occhio
1,Ohr::N,耳朵,orecchio
2,Nase::N,鼻子,naso
3,Mund::N,嘴,bocca
4,Zahn::N,牙齿,dente
5,Zunge::N,舌头,lingua
6,Lippe::N,嘴唇,labbro
7,Wange::N,面颊,guancia
8,Gesicht::N,脸,viso
9,Gesicht::N,脸,faccia
10,Stirn::N,额,fronte
11,Haar::N,头发,capello
12,Schnurrbart::N,髭须,baffi
13,Schnurrbart::N,髭须,mustacchi
14,Bart::N,胡子,barba
15,Kinn::N,下巴,mento
16,Kiefer[Anatomie]::N,颌,mascella
17,Kehle::N,嗓子,gola
18,Hals::N,颈,collo
19,Genick::N,后颈,nuca
20,Kopf::N,头,capo
21,Kopf::N,头,testa
22,Rücken::N,背,dorso
23,Rücken::N,背,schiena
24,Bauch::N,肚子,ventre
25,Nabel::N,肚脐,ombelico
26,Busen::N,胸脯,seno
27,Brust::N,胸,petto
28,Schulter::N,肩膀,spalla
29,Arm::N,臂膀,braccio
30,Ellenbogen::N,肘,gomito
31,Hand::N,手,mano
32,Handfläche::N,手掌,palma
33,Finger::N,手指,dito
34,Fingernagel::N,指甲,unghia
35,Nagel[Anatomie]::N,指甲,unghia
36,Zeh::N,脚趾,dito del piede
37,Fuß::N,脚,piede
38,Ferse::N,后跟,tallone
39,Ferse::N,后跟,calcagno
40,Knie::N,膝,ginocchio
41,Oberschenkel::N,大腿,fèmore
42,Bein::N,腿,gamba
43,Körper::N,身体,corpo
44,Haut::N,皮肤,pelle
45,Blut::N,血,sangue
46,Ader::N,血管,vena
47,Sehne::N,腱,tèndine
48,Knochen::N,骨,osso
49,Gehirn::N,脑,cervello
50,Herz::N,心,cuore
51,Magen::N,胃,stòmaco
52,Leber::N,肝,fegato
53,Atem::N,呼吸,fiato
54,Atem::N,呼吸,respiro
55,Hunger::N,饿,fame
56,Träne::N,眼泪,làcrima
57,Geschmack::N,味道,gusto
58,Geschmack::N,味道,sapore
59,Geruch::N,气味,odore
60,Schlaf::N,睡眠,sonno
61,Traum::N,梦,sogno
62,Himmel::N,天空,cielo
63,Sonne::N,太阳,sole
64,Mond::N,月亮,luna
65,Stern::N,星,stella
66,Luft::N,空气,aria
67,Wind::N,风,vento
68,Welle::N,波,onda
69,Wasser::N,水,acqua
70,Stein::N,石头,sasso
71,Stein::N,石头,pietra
72,Boden::N,地面,suolo
73,Boden::N,地面,terreno
74,Erde::N,地,terra
75,Staub::N,灰尘,polvere
76,Rauch::N,烟,fumo
77,Funke::N,火花,scintilla
78,Feuer::N,火,fuoco
79,Licht::N,光,luce
80,Schatten::N,影子,ombra
81,Wetter::N,天气,tempo
82,Nebel::N,雾,nebbia
83,Wolke::N,云,nube
84,Wolke::N,云,nùvola
85,Regen::N,雨,pioggia
86,Schnee::N,雪,neve
87,Eis::N,冰,ghiaccio
88,Frost::N,霜冻,gelo
89,Kälte::N,寒冷,freddo
90,Hitze::N,炎热,caldo
91,Hitze::N,炎热,calura
92,Raureif::N,霜,brina
93,Regenbogen::N,虹,arcobaleno
94,Donner::N,雷,tuono
95,Strömung::N,水流,corrente
96,Tropfen::N,滴,goccia
97,Schaum::N,泡沫,spuma
98,Schaum::N,泡沫,schiuma
99,Schmutz::N,赃物,sudiciume
100,See::N,湖,lago
101,Sumpf::N,沼泽,palude
102,Moor::N,沼泽,torbiera
103,Wiese::N,草地,prato
104,Wald::N,森林,bosco
105,Wald::N,森林,foresta
106,Hügel::N,丘陵,colle
107,Hügel::N,丘陵,collina
108,Anhöhe::N,山丘,altura
109,Berg::N,山,monte
110,Berg::N,山,montagna
111,Gipfel::N,峰,cima
112,Höhle::N,洞穴,grotta
113,Höhle::N,洞穴,caverna
114,Abhang::N,斜坡,pendìo
115,Quelle::N,泉,sorgente
116,Bach::N,溪,ruscello
117,Fluss::N,河流,fiume
118,Ufer::N,岸,riva
119,Küste::N,海岸,costa
120,Festland::N,大陆,terraferma
121,Meer::N,海,mare
122,Bucht::N,海湾,cala
123,Insel::N,岛,ìsola
124,Blume::N,花,fiore
125,Gras::N,草,erba
126,Wurzel::N,根,radice
127,Baum::N,树,àlbero
128,Stamm::N,树干,tronco
129,Rinde::N,树皮,corteccia
130,Ast::N,树枝,ramo
131,Zweig::N,树枝,ramo
132,Blatt::N,叶子,foglia
133,Birke::N,桦木,betulla
134,Kiefer[Baum]::N,松树,pino
135,Weide[Baum]::N,柳树,sàlice
136,Tanne::N,冷杉,abete
137,Horn::N,角,corno
138,Feder::N,羽毛,penna
139,Fell::N,皮毛,manto
140,Fell::N,皮毛,pelame
141,Flügel::N,翅膀,ala
142,Klaue::N,爪子,grinfia
143,Kralle::N,爪子,unghia
144,Kralle::N,爪子,artiglio
145,Schwanz::N,尾巴,coda
146,Ei::N,蛋,uovo
147,Nest::N,巢,nido
148,Bau::N,穴,covo
149,Tier::N,动物,bestia
150,Tier::N,动物,animale
151,Herde::N,群,gregge
152,Kuh::N,母牛,vacca
