,Concept_ID,sl,lv
0,Auge::N,okó,син
1,Auge::N,okó,acs
2,Ohr::N,uhó,пель
3,Ohr::N,uhó,auss
4,Nase::N,nós,ныр
5,Nase::N,nós,deguns
6,Mund::N,ústa,вом
7,Mund::N,ústa,mute
8,Zahn::N,zób,пинь
9,Zahn::N,zób,zobs
10,Zunge::N,jêzik,кыв
11,Zunge::N,jêzik,mēle
12,Lippe::N,ústnica,вом дор
13,Lippe::N,ústnica,lūpa
14,Wange::N,líce,бан
15,Wange::N,líce,vaigs
16,Gesicht::N,oblíčje,чужӧм
17,Gesicht::N,oblíčje,seja
18,Gesicht::N,oblíčje,ģīmis
19,Stirn::N,čêlo,плеш
20,Stirn::N,čêlo,кымӧс
21,Stirn::N,čêlo,piere
22,Haar::N,lás,си
23,Haar::N,lás,юрси
24,Haar::N,lás,mats
25,Schnurrbart::N,bŕki,ус
26,Schnurrbart::N,bŕki,пыртсим
27,Schnurrbart::N,bŕki,ūsas
28,Bart::N,bráda,тош
29,Bart::N,bráda,bārda
30,Kinn::N,bráda,тшӧка
31,Kinn::N,bráda,zods
32,Kinn::N,bráda,smakrs
33,Kiefer[Anatomie]::N,čeljúst,черлы
34,Kiefer[Anatomie]::N,čeljúst,алака лы
35,Kiefer[Anatomie]::N,čeljúst,вомкӧтш лы
36,Kiefer[Anatomie]::N,čeljúst,žoklis
37,Kehle::N,gŕlo,голя
38,Kehle::N,gŕlo,rīkle
39,Hals::N,vrát,сьылі
40,Hals::N,vrát,kakls
41,Genick::N,zatílnik,юрбӧр
42,Genick::N,zatílnik,балябӧж
43,Genick::N,zatílnik,sprands
44,Kopf::N,gláva,юр
45,Kopf::N,gláva,galva
46,Rücken::N,hrbèt,мыш
47,Rücken::N,hrbèt,mugura
48,Bauch::N,trébuh,рушку
49,Bauch::N,trébuh,vēders
50,Nabel::N,pópek,гӧг
51,Nabel::N,pópek,naba
52,Busen::N,nédrja,морӧс
53,Busen::N,nédrja,krūts
54,Brust::N,pŕsi,морӧс
55,Brust::N,pŕsi,krūts
56,Schulter::N,ráma,пельпом
57,Schulter::N,ráma,plecs
58,Schulter::N,plêče,пельпом
59,Schulter::N,plêče,plecs
60,Arm::N,rôka,ки
61,Arm::N,rôka,roka
62,Arm::N,rôka,delms
63,Ellenbogen::N,komólec,гырддза
64,Ellenbogen::N,komólec,elkonis
65,Hand::N,rôka,ки
66,Hand::N,rôka,roka
67,Hand::N,rôka,plauksta
68,Handfläche::N,dlán,ки пыдӧс
69,Handfläche::N,dlán,delna
70,Handfläche::N,dlán,plauksta
71,Finger::N,pŕst,чунь
72,Finger::N,pŕst,pirksts
73,Fingernagel::N,nóht na rôki,гыж
74,Fingernagel::N,nóht na rôki,nags
75,Nagel[Anatomie]::N,nóht,гыж
76,Nagel[Anatomie]::N,nóht,nags
77,Zeh::N,pŕst na nôgi,кок чунь
78,Zeh::N,pŕst na nôgi,pirksts
79,Fuß::N,nôga,кок
80,Fuß::N,nôga,kāja
81,Ferse::N,pêta,кокбӧр
82,Ferse::N,pêta,papēdis
83,Knie::N,koléno,пидзӧс
84,Knie::N,koléno,celis
85,Oberschenkel::N,stêgno,лядьвей
86,Oberschenkel::N,stêgno,бек
87,Oberschenkel::N,stêgno,ciska
88,Oberschenkel::N,stêgno,augšstilbs
89,Bein::N,nôga,кок
90,Bein::N,nôga,kāja
91,Körper::N,teló,туша
92,Körper::N,teló,вывтыр
93,Körper::N,teló,miesa
94,Körper::N,teló,ķermenis
95,Haut::N,kóža,ку
96,Haut::N,kóža,āda
97,Blut::N,krí,вир
98,Blut::N,krí,asins
99,Ader::N,žíla,сӧн
100,Ader::N,žíla,asinsvads
101,Sehne::N,kíta,вез
102,Sehne::N,kíta,dzīsla
103,Knochen::N,kóst,лы
104,Knochen::N,kóst,kauls
105,Gehirn::N,možgáni,вем
106,Gehirn::N,možgáni,smadzenes
107,Herz::N,srcé,сьӧлӧм
108,Herz::N,srcé,sirds
109,Magen::N,želódec,кынӧм
110,Magen::N,želódec,kuņģis
111,Leber::N,jétra,мус
112,Leber::N,jétra,aknas
113,Atem::N,díh,лов
114,Atem::N,díh,elpa
115,Hunger::N,glád,тшыг
116,Hunger::N,glád,bads
117,Hunger::N,glád,izsalkums
118,Träne::N,sólza,синва
119,Träne::N,sólza,asara
120,Geschmack::N,okús,кӧр
121,Geschmack::N,okús,чӧсмӧс
122,Geschmack::N,okús,garša
123,Geruch::N,vónj,зын
124,Geruch::N,vónj,дук
125,Geruch::N,vónj,smaka
126,Schlaf::N,sèn,узьӧм
127,Schlaf::N,sèn,miegs
128,Schlaf::N,spánec,узьӧм
129,Schlaf::N,spánec,miegs
130,Traum::N,sánje,вӧт
131,Traum::N,sánje,вӧтасьӧм
132,Traum::N,sánje,sapnis
133,Himmel::N,nebó,енэж
134,Himmel::N,nebó,debess
135,Sonne::N,sónce,шонді
136,Sonne::N,sónce,saule
137,Mond::N,lúna,тӧлысь
138,Mond::N,lúna,mēness
139,Mond::N,mésec,тӧлысь
140,Mond::N,mésec,mēness
141,Stern::N,zvézda,кодзув
142,Stern::N,zvézda,zvaigzne
143,Luft::N,zràk,сынӧд
144,Luft::N,zràk,gaiss
145,Wind::N,véter,тӧв
146,Wind::N,véter,vējš
147,Welle::N,vál,гы
148,Welle::N,vál,vilnis
149,Wasser::N,vôda,ва
150,Wasser::N,vôda,ūdens
151,Stein::N,kámen,из
152,Stein::N,kámen,akmens
153,Boden::N,tlà,му
154,Boden::N,tlà,augsne
155,Erde::N,pŕst,му
156,Erde::N,pŕst,му-ва
157,Erde::N,pŕst,zeme
158,Erde::N,zêmlja,му
159,Erde::N,zêmlja,му-ва
160,Erde::N,zêmlja,zeme
161,Staub::N,práh,бус
162,Staub::N,práh,putekļi
163,Rauch::N,dìm,тшын
164,Rauch::N,dìm,dūmi
165,Funke::N,ískra,кинь
166,Funke::N,ískra,би кинь
167,Funke::N,ískra,dzirkstele
168,Feuer::N,ôgenj,би
169,Feuer::N,ôgenj,uguns
170,Licht::N,lúč,югӧр
171,Licht::N,lúč,gaisma
172,Schatten::N,sénca,вуджӧр
173,Schatten::N,sénca,ēna
174,Wetter::N,vrême,поводдя
175,Wetter::N,vrême,laiks
176,Nebel::N,meglà,ру
177,Nebel::N,meglà,онь
178,Nebel::N,meglà,migla
179,Wolke::N,oblák,кымӧр
180,Wolke::N,oblák,mākonis
181,Regen::N,dèž,зэр
182,Regen::N,dèž,lietus
183,Schnee::N,snég,лым
184,Schnee::N,snég,sniegs
185,Eis::N,léd,йи
186,Eis::N,léd,ledus
187,Frost::N,zmrzál,кӧдзыд
188,Frost::N,zmrzál,sals
189,Kälte::N,mràz,кӧдзыд
190,Kälte::N,mràz,saltums
191,Kälte::N,mràz,aukstums
192,Hitze::N,pripéka,пӧсь
