,Concept_ID,ml,ps
0,Auge::N,കണ്ണ്,سترګه
1,Ohr::N,ചെവി,غوږ
2,Nase::N,മൂക്ക്,پوزه
3,Mund::N,വായ,خوله
4,Zahn::N,പല്ല്,غاښ
5,Zunge::N,നാക്ക്,جبه
6,Lippe::N,ചുണ്ട്,شونډه
7,Wange::N,കവിൾത്തടം,باړخو
8,Gesicht::N,മുഖം,مخ
9,Stirn::N,നെറ്റി,تندی
10,Stirn::N,നെറ്റി,وچولی
11,Haar::N,തലമുടി,وېښته
12,Schnurrbart::N,മീശ,برېت
13,Bart::N,താടിരോമം,ږیره
14,Kinn::N,താടി,زنه
15,Kiefer[Anatomie]::N,താടിയെല്ല്,جامه
16,Kehle::N,കണ്ഠനാളം,غاړه
17,Hals::N,കഴുത്ത്,غاړه
18,Genick::N,പിടലി,ورمېږ
19,Kopf::N,തല,سر
20,Rücken::N,മുതുക്,شا
21,Bauch::N,നയറ്,نس
22,Bauch::N,നയറ്,ګېډه
23,Nabel::N,നാഭി,نوم
24,Busen::N,സ്തനം,تی
25,Brust::N,സ്തനം,سینه
26,Schulter::N,തോൾ,اوږه
27,Arm::N,കൈ,لاس
28,Ellenbogen::N,കൈമുട്ട്,څنګل
29,Hand::N,കൈ,لاس
30,Handfläche::N,ഉള്ളം കൈ,ورغوی
31,Finger::N,വിരൽ,ګوته
32,Fingernagel::N,നഖം,نوک
33,Nagel[Anatomie]::N,നഖം,نوک
34,Zeh::N,കാൽവിരൽ,ګوته
35,Fuß::N,കാൽപ്പാദം,پښه
36,Ferse::N,ഉപ്പൂറ്റി,پونده
37,Knie::N,കാൽമുട്ട്,زنګون
38,Oberschenkel::N,തുട,پتون
39,Bein::N,കാൽ,پښه
40,Körper::N,ശരീരം,ځان
41,Haut::N,ചർമ്മം,پوټکی
42,Blut::N,രക്തം,وینه
43,Ader::N,ഞരമ്പ്,رګ
44,Sehne::N,സ്നായു,پله
45,Knochen::N,അസ്ഥി,هډوکی
46,Gehirn::N,തലച്ചോറ്,ماغزه
47,Herz::N,ഹൃദയം,زړه
48,Magen::N,വയർ,معده
49,Leber::N,കരൾ,ينه
50,Leber::N,കരൾ,ځیګر
51,Atem::N,ശ്വാസം,نفس
52,Hunger::N,വിശപ്പ്,ولږه
53,Träne::N,കണ്ണീർ,اوښکه
54,Geschmack::N,രുചി,مزه
55,Geschmack::N,രുചി,خوند
56,Geruch::N,ഗന്ധം,بوی
57,Schlaf::N,ഉറകും,خوب
58,Traum::N,സ്വപ്നം,خوب
59,Himmel::N,ആകാശം,اسمان
60,Sonne::N,സൂര്യൻ,لمر
61,Mond::N,ചന്ദ്രൻ,سپوږمۍ
62,Stern::N,നക്ഷത്രം,ستوری
63,Luft::N,കാറ്റ്,هوا
64,Wind::N,കാറ്റ്,ورښ
65,Welle::N,തിരമാല,موج
66,Wasser::N,വെള്ളം,اوبه
67,Stein::N,ശില,ډبره
68,Stein::N,കല്ല്,ډبره
69,Boden::N,തറ,مځکه
70,Boden::N,നിലം,مځکه
71,Erde::N,മണ്ണ്,خاوره
72,Staub::N,പൊടി,ګرد
73,Staub::N,പൊടി,خاوره
74,Rauch::N,പുക,دود
75,Rauch::N,പുക,لوګی
76,Funke::N,തീപ്പൊരി,سپرغۍ
77,Feuer::N,തീ,اور
78,Licht::N,വിളക്ക്,رڼا
79,Licht::N,സൂര്യപ്രകാശം,رڼا
80,Schatten::N,തണൽ,سیوری
81,Wetter::N,കാലാവസ്ഥ,هوا
82,Nebel::N,മൂടൽമഞ്ഞ്,لړه
83,Wolke::N,മേഘം,ورېځ
84,Regen::N,മഴ,وریا
85,Regen::N,മഴ,باران
86,Schnee::N,മഞ്ഞ്,واوره
87,Eis::N,ഐസ്,یخ
88,Eis::N,ഐസ്,کنګل
89,Frost::N,മൂടൽമഞ്ഞ്,یخ
90,Kälte::N,തണുപ്പ്,ساړه
91,Hitze::N,ചൂട്,تودوخي
92,Raureif::N,കോടമഞ്ഞ്,سپینه پرخه
93,Regenbogen::N,മഴവില്ല്,بوډۍ ټال
94,Regenbogen::N,മഴവില്ല്,سره زرغونه
95,Donner::N,ഇടി,تالنده
96,Strömung::N,പ്രവാഹം,بهېدنه
97,Tropfen::N,തുള്ളി,قطره
98,Tropfen::N,തുള്ളി,څاڅکی
99,Schaum::N,നുര,ځګ
100,Schmutz::N,അഴുക്ക്,ناپاکي
101,See::N,തടാകം,جهیل
102,Sumpf::N,ചതുപ്പുനിലം,جبه
103,Moor::N,പാഴ്നിലം,جبه
104,Wiese::N,പുൽത്തകിടി,چمن
105,Wiese::N,പുൽത്തകിടി,شنېلی
106,Wald::N,വനം,ځنګل
107,Wald::N,കാട്,ځنګل
108,Hügel::N,കുന്ന്,تپه
109,Anhöhe::N,ഉയർന്ന ഭൂമി,غونډۍ
110,Berg::N,പർവ്വതം,غ‍‍‍‍‍ر
111,Gipfel::N,ഉച്ചകോടി,څوکه
112,Höhle::N,ഗുഹ,کاز
113,Abhang::N,ചരിവ്,لمن
114,Quelle::N,ഉറവിടം,چینه
115,Bach::N,അരുവി,واله
116,Fluss::N,നദി,سیند
117,Ufer::N,തീരം,غاړه
118,Küste::N,കടൽത്തീരം,ساحل
119,Festland::N,കര,وچه
120,Meer::N,കടൽ,بحر
121,Meer::N,കടൽ,سمندر
122,Bucht::N,ഉൾക്കടല്,کارۍ
123,Insel::N,ദ്വീപ്,ټاپو
124,Insel::N,ദ്വീപ്,جزيره
125,Blume::N,പൂവ്,ګل
126,Gras::N,പുല്ല്,واښه
127,Wurzel::N,വേര്,ریښه
128,Baum::N,മരം,ونه
129,Stamm::N,തായ്ത്തടി,ډډ
130,Rinde::N,പട്ട,پوستکی
131,Ast::N,ശാഖ,ښاخ
132,Zweig::N,ശാഖ,څانګه
133,Blatt::N,ഇല,پاڼه
134,Birke::N,പൂവരശ്,توس
135,Kiefer[Baum]::N,പൈൻമരം,نښتر
136,Weide[Baum]::N,വില്ലോ,وله
137,Tanne::N,ദേവദാരു,ناجو
138,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,ښکر
