,Concept_ID,is,sv
0,Auge::N,auga,öga
1,Ohr::N,eyra,öra
2,Nase::N,nef,näsa
3,Mund::N,munnur,mun
4,Zahn::N,tönn,tand
5,Zunge::N,tunga,tunga
6,Lippe::N,vör,läpp
7,Wange::N,kinn,kind
8,Wange::N,vangi,kind
9,Gesicht::N,andlit,syn
10,Gesicht::N,andlit,ansikte
11,Stirn::N,enni,panna
12,Haar::N,hár,hår
13,Schnurrbart::N,yfirskegg,mustasch
14,Bart::N,skegg,skägg
15,Kinn::N,haka,haka
16,Kiefer[Anatomie]::N,kjálki,käke
17,Kiefer[Anatomie]::N,skoltur,käke
18,Kehle::N,kverk,strupe
19,Hals::N,háls,hals
20,Genick::N,hnakki,nacke
21,Kopf::N,höfuð,huvud
22,Rücken::N,hryggur,rygg
23,Bauch::N,kviður,buk
24,Bauch::N,kviður,mage
25,Nabel::N,nafli,navel
26,Busen::N,barmur,barm
27,Brust::N,brjóst,bröst
28,Schulter::N,öxl,skuldra
29,Arm::N,armur,arm
30,Ellenbogen::N,olnbogi,armbåge
31,Hand::N,hönd,hand
32,Handfläche::N,lófi,handflata
33,Finger::N,fingur,finger
34,Fingernagel::N,fingurnögl,fingernagel
35,Nagel[Anatomie]::N,nögl,nagel
36,Zeh::N,tá,tå
37,Fuß::N,fótur,fot
38,Ferse::N,hæll,häl
39,Knie::N,kné,knä
40,Oberschenkel::N,læri,lår
41,Bein::N,fótleggur,ben
42,Körper::N,búkur,kropp
43,Körper::N,líkami,kropp
44,Haut::N,húð,hud
45,Haut::N,húð,skinn
46,Haut::N,skinn,hud
47,Haut::N,skinn,skinn
48,Blut::N,blóð,blod
49,Ader::N,æð,åder
50,Sehne::N,sin,sena
51,Knochen::N,bein,ben
52,Gehirn::N,heili,hjärna
53,Herz::N,hjarta,hjärta
54,Magen::N,magi,mage
55,Leber::N,lifur,lever
56,Atem::N,andi,anda
57,Atem::N,andi,andedräkt
58,Atem::N,andardráttur,anda
59,Atem::N,andardráttur,andedräkt
60,Hunger::N,hungur,svält
