,Concept_ID,de,fa
0,Auge::N,Auge,چشم
1,Ohr::N,Ohr,گوش
2,Nase::N,Nase,بینی
3,Mund::N,Mund,دهان
4,Zahn::N,Zahn,دندان
5,Zunge::N,Zunge,زبان
6,Lippe::N,Lippe,لب
7,Wange::N,Wange,لپ
8,Gesicht::N,Gesicht,رو
9,Gesicht::N,Gesicht,چهره
10,Stirn::N,Stirn,پیشانی
11,Haar::N,Haar,مو
12,Schnurrbart::N,Schnurrbart,سبیل
13,Bart::N,Bart,ریش
14,Kinn::N,Kinn,چانه
15,Kiefer[Anatomie]::N,Kiefer,فک
16,Kiefer[Anatomie]::N,Kiefer,آرواره
17,Kehle::N,Kehle,حلق
18,Hals::N,Hals,گردن
19,Genick::N,Genick,پشت گردن
20,Kopf::N,Kopf,سر
21,Kopf::N,Kopf,کله
22,Rücken::N,Rücken,پشت
23,Bauch::N,Bauch,شکم
24,Nabel::N,Nabel,ناف
25,Busen::N,Busen,پستان
26,Brust::N,Brust,سینه
27,Schulter::N,Schulter,دوش
28,Schulter::N,Schulter,شانه
29,Arm::N,Arm,بازو
30,Ellenbogen::N,Ellenbogen,آرنج
31,Hand::N,Hand,دست
32,Handfläche::N,Handfläche,کف دست
33,Finger::N,Finger,انگشت
34,Fingernagel::N,Fingernagel,ناخن دست
35,Nagel[Anatomie]::N,Nagel,ناخن
36,Zeh::N,Zeh,انگشت پا
37,Fuß::N,Fuß,پا
38,Ferse::N,Ferse,پاشنه
39,Knie::N,Knie,زانو
40,Oberschenkel::N,Oberschenkel,ران
41,Bein::N,Bein,پا
42,Bein::N,Bein,لنگ
43,Körper::N,Körper,تن
44,Körper::N,Körper,بدن
45,Haut::N,Haut,پوست
46,Blut::N,Blut,خون
47,Ader::N,Ader,رگ
48,Sehne::N,Sehne,زردپی
49,Knochen::N,Knochen,استخوان
50,Gehirn::N,Gehirn,مخ
51,Gehirn::N,Gehirn,مغز
52,Herz::N,Herz,دل
53,Herz::N,Herz,قلب
54,Magen::N,Magen,معده
55,Leber::N,Leber,کبد
56,Atem::N,Atem,نفس
57,Hunger::N,Hunger,گرسنگی
58,Träne::N,Träne,اشک
59,Geschmack::N,Geschmack,مزه
60,Geruch::N,Geruch,بو
61,Schlaf::N,Schlaf,خواب
62,Traum::N,Traum,رؤیا
63,Himmel::N,Himmel,فلک
64,Himmel::N,Himmel,آسمان
65,Sonne::N,Sonne,آفتاب
66,Sonne::N,Sonne,خورشید
67,Mond::N,Mond,ماه
68,Stern::N,Stern,ستاره
69,Luft::N,Luft,هوا
70,Wind::N,Wind,باد
71,Welle::N,Welle,موج
72,Wasser::N,Wasser,آب
