,Concept_ID,pt,vep
0,Auge::N,olho,sil'm
1,Ohr::N,orelha,korv
2,Nase::N,nariz,nena
3,Mund::N,boca,su
4,Zahn::N,dente,pi
5,Zahn::N,dente,hambaz
6,Zunge::N,língua,kel'
7,Lippe::N,lábio,hul'
8,Wange::N,face,modpolišk
9,Gesicht::N,cara,mod
10,Gesicht::N,rosto,mod
11,Stirn::N,testa,oc
12,Haar::N,cabelo,tuk
13,Haar::N,cabelo,hibuz
14,Schnurrbart::N,bigode,habinod
15,Bart::N,barba,bard
16,Kinn::N,queixo,löug
17,Kiefer[Anatomie]::N,maxila,hambazlu
18,Kiefer[Anatomie]::N,mandíbula,hambazlu
19,Kehle::N,garganta,kurk
20,Hals::N,colo,kagl
21,Hals::N,pescoço,kagl
22,Genick::N,nuca,tagarai
23,Kopf::N,cabeça,pä
24,Rücken::N,dorso,sel'g
25,Rücken::N,costas,sel'g
26,Bauch::N,ventre,vac
27,Bauch::N,ventre,koht
28,Bauch::N,barriga,vac
29,Bauch::N,barriga,koht
30,Nabel::N,umbigo,naba
31,Busen::N,seio,niža
32,Brust::N,peito,rind
33,Schulter::N,ombro,oug
34,Arm::N,braço,käzi
35,Ellenbogen::N,cotovelo,künambruz
36,Hand::N,mão,käzi
37,Hand::N,mão,käzitera
38,Handfläche::N,palma,kämen
39,Handfläche::N,palma da mão,kämen
40,Finger::N,dedo,sor'm
41,Fingernagel::N,unha,künz'
42,Nagel[Anatomie]::N,unha,künz'
43,Zeh::N,dedo do pé,barbaz
44,Fuß::N,pé,jaug
45,Ferse::N,calcanhar,kand
46,Knie::N,joelho,komb
47,Knie::N,joelho,pol'v
48,Oberschenkel::N,coxa,riiže
49,Bein::N,perna,jaug
50,Körper::N,corpo,hibj
51,Haut::N,pele,nahk
52,Blut::N,sangue,čak
53,Blut::N,sangue,veri
54,Ader::N,veia,son'
55,Sehne::N,tendão,jände
56,Knochen::N,osso,lu
57,Gehirn::N,cérebro,aivod
58,Herz::N,coração,südäin
59,Magen::N,estômago,südäikoht
60,Leber::N,fígado,maks
61,Atem::N,fôlego,hengaiduz
62,Hunger::N,fome,näl'g
63,Träne::N,lágrima,kündal'
64,Geschmack::N,gosto,magu
65,Geruch::N,odor,haju
66,Geruch::N,cheiro,haju
67,Schlaf::N,sono,uni
68,Traum::N,sonho,unikuva
69,Himmel::N,céu,taivaz
70,Sonne::N,sol,päiväine
71,Mond::N,lua,kudmaine
72,Stern::N,estrela,tähtaz
73,Luft::N,ar,il'm
74,Wind::N,vento,döl
75,Wind::N,vento,tullei
76,Welle::N,onda,ald
77,Welle::N,onda,laineh
78,Wasser::N,água,vezi
79,Stein::N,pedra,kivi
80,Boden::N,solo,ma
81,Boden::N,solo,pohj
82,Erde::N,terra,ma
83,Staub::N,pó,pölü
84,Rauch::N,fumo,savu
85,Funke::N,faísca,kibin
86,Funke::N,centelha,kibin
87,Feuer::N,fogo,lämoi
88,Licht::N,luz,vauktuz
89,Schatten::N,sombra,pil'vez
90,Schatten::N,sombra,kuvahaine
91,Wetter::N,tempo,sä
92,Nebel::N,nevoeiro,sumeg
93,Wolke::N,nuvem,pil'v
94,Regen::N,chuva,vihm
95,Schnee::N,neve,lumi
96,Eis::N,gelo,jä
97,Frost::N,gelo,hala
98,Frost::N,gelo,pakaine
99,Frost::N,geada,hala
100,Frost::N,geada,pakaine
101,Kälte::N,frio,vilu
102,Hitze::N,ardor,räk
103,Raureif::N,geada,hüde
104,Regenbogen::N,arco-iris,jumalanbembel'
105,Donner::N,trovão,juru
106,Donner::N,trovão,jumalanjuru
107,Strömung::N,corrente,joksmuz
108,Tropfen::N,gota,tilkuine
109,Schaum::N,espuma,vaht
110,Schmutz::N,sujidade,redu
111,Schmutz::N,sujidade,pačak
112,Schmutz::N,imundície,redu
113,Schmutz::N,imundície,pačak
114,See::N,lago,järv
115,Sumpf::N,charco,so
116,Sumpf::N,pântano,so
117,Moor::N,pântano,so
118,Wiese::N,prado,nit
119,Wald::N,bosque,mec
120,Wald::N,floresta,mec
121,Hügel::N,colina,kukaz
122,Anhöhe::N,alto,kukaz
123,Anhöhe::N,outeiro,kukaz
124,Berg::N,monte,mägi
125,Berg::N,montanha,mägi
126,Gipfel::N,pico,ladv
127,Höhle::N,caverna,mägionduz
128,Abhang::N,encosta,paute
129,Quelle::N,fonte,lähte
130,Bach::N,regato,oja
131,Bach::N,ribeiro,oja
132,Fluss::N,rio,jogi
133,Ufer::N,beira,rand
134,Küste::N,costa,randišt
135,Festland::N,terra firme,kuivma
136,Meer::N,mar,meri
137,Bucht::N,baía,laht
138,Insel::N,ilha,sar'
139,Blume::N,flor,änik
140,Gras::N,erva,hein
141,Wurzel::N,raiz,jur'
142,Baum::N,árvore,pu
143,Stamm::N,tronco,tüvi
144,Rinde::N,casca,kor'
145,Ast::N,ramo,oks
146,Zweig::N,galho,oks
147,Zweig::N,galho,barb
148,Blatt::N,folha,lehtez
149,Birke::N,bétula,koiv
150,Kiefer[Baum]::N,pinheiro,pedai
151,Weide[Baum]::N,salgueiro,raid
152,Tanne::N,abeto,kuz'
153,Horn::N,corno,sar'v
154,Horn::N,chifre,sar'v
155,Feder::N,pena,höuneh
156,Fell::N,pele,nahk
157,Flügel::N,asa,suug
158,Klaue::N,pata,künz'
159,Kralle::N,unha,künz'
160,Kralle::N,garra,künz'
161,Schwanz::N,rabo,händ
162,Schwanz::N,cauda,händ
163,Ei::N,ovo,muna
164,Nest::N,ninho,peza
165,Bau::N,toca,uru
166,Bau::N,covil,uru
167,Tier::N,animal,živat
168,Herde::N,rebanho,kogo
169,Kuh::N,vaca,lehm
170,Bulle::N,touro,härg
171,Pferd::N,cavalo,hebo
172,Schaf::N,ovelha,lambaz
173,Schwein::N,porco,siga
174,Hund::N,cão,koir
175,Katze::N,gata,kaži
176,Bär::N,urso,kondi
177,Eichhörnchen::N,esquilo,orav
178,Elch::N,alce,hirb'
179,Fuchs::N,raposa,reboi
180,Hase::N,lebre,jäniš
181,Maus::N,rato,hir'
182,Wolf::N,lobo,händikaz
183,Vogel::N,ave,lind
184,Vogel::N,pássaro,lind
185,Schwarm::N,bando,parveh
186,Schwarm::N,enxame,parveh
187,Huhn::N,galinha,kana
188,Hahn::N,galo,kukoi
189,Gans::N,ganso,hanh'
190,Adler::N,águia,orl
191,Ente::N,pata,sorz
192,Eule::N,mocho,hir'pulo
193,Eule::N,coruja,hir'pulo
194,Kranich::N,grou,kurg
195,Krähe::N,gralha,variš
196,Kuckuck::N,cuco,kägi
197,Schwan::N,cisne,joucen
198,Fisch::N,peixe,kala
199,Barsch::N,perca,ahven
200,Hecht::N,lúcio,haug'
201,Schlange[Tier]::N,serpente,kü
202,Schlange[Tier]::N,serpente,mado
203,Wurm::N,verme,mado
204,Spinne::N,aranha,hämähouk
205,Ameise::N,formiga,murahaine
206,Laus::N,piolho,täi
207,Mücke::N,mosquito,säs'k
208,Fliege::N,mosca,kärbhaine
209,Schmetterling::N,borboleta,lipkaine
210,Beere::N,bago,marj
211,Apfel::N,maçã,jablok
212,Pilz::N,fungo,sen'
213,Pilz::N,fungo,babuk
214,Pilz::N,cogumelo,sen'
215,Pilz::N,cogumelo,babuk
216,Zwiebel::N,cebola,lauk
217,Saat::N,sementeira,semned
218,Korn::N,grão,jüvä
219,Korn::N,grão,vill'
220,Heu::N,feno,hein
221,Schale::N,casca,kor'
222,Grube::N,cova,kop
223,Grube::N,fossa,kop
224,Falle::N,armadilha,rida
225,Schlinge::N,laço,rihm
226,Spur::N,pista,jäl'g
227,Spur::N,vestígio,jäl'g
228,Asche::N,cinza,tuhk
229,Dreck::N,sujidade,redu
230,Dreck::N,sujidade,pačak
231,Eisen::N,ferro,raud
232,Gold::N,ouro,kuld
233,Silber::N,prata,hobed
234,Kohle::N,carvão,hil'
235,Glas::N,vidro,stökol
236,Lehm::N,barro,savi
237,Lehm::N,argila,savi
238,Sand::N,areia,lete
239,Mensch::N,homem,mez'
240,Mensch::N,homem,ristit
241,Mensch::N,pessoa,mez'
242,Mensch::N,pessoa,ristit
243,Mann::N,homem,mez'
244,Frau::N,mulher,naine
245,Kind::N,filho,laps'
246,Kind::N,criança,laps'
247,Junge::N,rapaz,poig
248,Junge::N,rapaz,prihaine
249,Junge::N,menino,poig
250,Junge::N,menino,prihaine
251,Mädchen::N,menina,neičukaine
252,Mädchen::N,rapariga,neičukaine
253,Familie::N,família,kanz
254,Familie::N,família,pereh
255,Großvater::N,avô,ded
256,Großmutter::N,avó,bab
257,Eltern::N,pais,vanhembad
258,Eltern::N,pais,kazvatajad
259,Vater::N,pai,tat
260,Mutter::N,mãe,mam
261,Sohn::N,filho,poig
262,Tochter::N,filha,tütär
263,Bruder::N,irmão,veik
264,Bruder::N,irmão,vell'
265,Schwester::N,irmã,čiža
266,Schwester::N,irmã,sizar
267,Onkel::N,tio,däd'
268,Tante::N,tia,tädi
269,Ehemann::N,esposo,mužik
270,Ehefrau::N,esposa,ak
271,Freude::N,prazer,ilo
272,Freude::N,prazer,ihastuz
273,Freude::N,alegria,ilo
274,Freude::N,alegria,ihastuz
275,Gelächter::N,risada,nagr
276,Gelächter::N,gargalhada,nagr
277,Glück::N,felicidade,oza
278,Kummer::N,aflição,gor'a
279,Kummer::N,desgosto,gor'a
280,Wunsch::N,desejo,taht
281,Lust::N,vontade,himo
282,Geist::N,mente,heng
283,Geist::N,espírito,heng
284,Gedanke::N,ideia,meletuz
285,Gedanke::N,pensamento,meletuz
286,Gedächtnis::N,memória,mušt
287,Verstand::N,razão,mel'
288,Verstand::N,inteligência,mel'
289,Sinn::N,sentido,jüvä
290,Sinn::N,significado,jüvä
291,Grund::N,causa,sü
292,Grund::N,motivo,sü
293,Wahrheit::N,verdade,tozi
294,Gespräch::N,conversa,lodu
295,Gespräch::N,conversa,pagin
296,Gespräch::N,conversação,lodu
297,Gespräch::N,conversação,pagin
298,Märchen::N,conto,sarn
299,Erzählung::N,conto,sanutez
300,Erzählung::N,narrativa,sanutez
301,Nachricht::N,mensagem,tedotuz
302,Neuigkeit::N,notícia,uzištuz
303,Neuigkeit::N,novidade,uzištuz
304,Name::N,nome,nimi
305,Rätsel::N,adivinha,ozoitez
306,Rede::N,oração,pagin
307,Rede::N,oração,sanad
308,Rede::N,discurso,pagin
309,Rede::N,discurso,sanad
310,Sprache::N,língua,kel'
311,Stimme::N,voz,än'
312,Wort::N,palavra,sana
313,Zeichen::N,marca,znam
314,Ruf::N,grito,kida
315,Ruf::N,grito,kucund
316,Ruf::N,chamada,kida
317,Ruf::N,chamada,kucund
318,Lärm::N,ruído,judu
319,Lärm::N,barulho,judu
320,Laut::N,som,kulund
321,Ton::N,tom,kulund
322,Lied::N,canção,pajo
323,Ruhe::N,calma,lebu
324,Ruhe::N,silêncio,lebu
325,Leute::N,gente,rahvaz
326,Leute::N,pessoas,rahvaz
327,Volk::N,povo,rahvaz
328,Volk::N,nação,rahvaz
329,Arbeit::N,trabalho,tö
330,Arbeit::N,trabalho,rad
331,Gast::N,hóspede,adiv
332,Gast::N,convidado,adiv
333,Geschenk::N,prenda,lahj
334,Geschenk::N,presente,lahj
335,Spiel::N,jogo,vänd
336,Gesellschaft::N,companhia,sebr
337,Hilfe::N,ajuda,abu
338,Hilfe::N,socorro,abu
339,Freund::N,amigo,sebranik
340,Kamerad::N,camarada,sebranik
341,Angelegenheit::N,assunto,azj
342,Anzahl::N,número,lugu
343,Anzahl::N,quantidade,lugu
344,Art::N,tipo,rod
345,Art::N,tipo,rodsugu
346,Art::N,espécie,rod
347,Art::N,espécie,rodsugu
348,Stück::N,pedaço,pala
349,Stück::N,pedaço,supal
350,Teil::N,peça,pala
351,Teil::N,parte,pala
352,Hälfte::N,metade,pol'
353,Kreis::N,círculo,ümbruz
354,Kreis::N,círculo,kehkruz
355,Kreuz::N,cruz,rist
356,Linie::N,linha,pird
357,Strich::N,traço,pird
358,Abstand::N,distância,keskust
359,Entfernung::N,distância,matk
360,Gegend::N,área,taho
361,Gegend::N,região,taho
362,Platz::N,lugar,avaruz'
363,Ort::N,sítio,koht
364,Seite::N,lado,pol'
365,Seite::N,lado,kül'g
366,Mitte::N,meio,kesk
367,Gegenstand::N,objecto,kalu
368,Sache::N,coisa,azj
369,Rand::N,bordo,röun
370,Rand::N,margem,röun
371,Kante::N,borda,röun
372,Kante::N,aresta,röun
373,Ecke::N,esquina,saum
374,Spitze::N,ponta,agjaine
375,Ende::N,cabo,agj
376,Ende::N,extremo,agj
377,Loch::N,furo,reig
378,Loch::N,buraco,reig
379,Winkel::N,canto,čoga
380,Winkel::N,canto,saum
381,Winkel::N,ângulo,čoga
382,Winkel::N,ângulo,saum
383,Muster::N,padrão,kirjam
384,Muster::N,desenho,kirjam
385,Größe::N,tamanho,suruz'
386,Länge::N,comprimento,piduz
387,Höhe::N,altura,korktuz'
388,Höhe::N,altitude,korktuz'
389,Gewicht::N,peso,jügu
390,Gewicht::N,peso,vedäduz
391,Menge::N,quantidade,äjüz'
392,Haufen::N,pilha,kogo
393,Reihe::N,fila,rivi
394,Boot::N,barco,veneh
395,Ruder::N,remo,air
396,Schlitten::N,trenó,regi
397,Schlitten::N,trenó,regut
398,Ski::N,esqui,suks'
399,Lagerfeuer::N,fogueira,nodj
400,Lagerfeuer::N,fogueira,pažag
401,Last::N,carga,jüguz
402,Gang::N,curso,astund
403,Gang::N,caminhada,astund
404,Schritt::N,passo,hašk
405,Norden::N,norte,pohjoine
406,Süden::N,sul,suvi
407,Westen::N,oeste,päivlaskm
408,Westen::N,ocidente,päivlaskm
409,Osten::N,este,päivnouzm
410,Osten::N,leste,päivnouzm
411,Osten::N,oriente,päivnouzm
412,Holz::N,madeira,pu
413,Brett::N,tábua,laud
414,Brett::N,prancha,laud
415,Platte::N,laje,keitim
416,Platte::N,chapa,keitim
