,Concept_ID,no,se
0,Auge::N,øye,tjelmie
1,Auge::N,øye,tjalmme
2,Auge::N,øye,čalbmi
3,Auge::N,øye,čalme
4,Auge::N,øye,čâ´lmm
5,Auge::N,øye,ча̄лльм
6,Ohr::N,øre,bieljie
7,Ohr::N,øre,biellje
8,Ohr::N,øre,beallji
9,Ohr::N,øre,pelji
10,Ohr::N,øre,pe´llj
11,Ohr::N,øre,пе̄лльй
12,Nase::N,nese,njuenie
13,Nase::N,nese,njunnje
14,Nase::N,nese,njunni
15,Nase::N,nese,njuṇe
16,Nase::N,nese,njuu´nn
17,Nase::N,nese,нюннҍ
18,Mund::N,munn,njaelmie
19,Mund::N,munn,njálmme
20,Mund::N,munn,njálbmi
21,Mund::N,munn,njälmi
22,Mund::N,munn,njä´lmm
23,Mund::N,munn,ня̄лльм
24,Zahn::N,tann,baenie
25,Zahn::N,tann,bádne
26,Zahn::N,tann,bátni
27,Zahn::N,tann,pääṇi
28,Zahn::N,tann,pää´nn
29,Zahn::N,tann,па̄ннҍ
30,Zunge::N,tunge,njoektjeme
31,Zunge::N,tunge,njuovtjav
32,Zunge::N,tunge,njuovčča
33,Zunge::N,tunge,njuovčâ
34,Zunge::N,tunge,njuhččâm
35,Zunge::N,tunge,нюхчем
36,Lippe::N,leppe,bangseme
37,Lippe::N,leppe,njálmmerabdda
38,Lippe::N,leppe,bavssa
39,Lippe::N,leppe,poovsâ
40,Lippe::N,leppe,põõus
41,Lippe::N,leppe,пэ̄кс
42,Wange::N,kinn,skiehrie
43,Wange::N,kinn,nierra
44,Wange::N,kinn,muohtu
45,Wange::N,kinn,nieṛâ
46,Wange::N,kinn,njiõrr
47,Wange::N,kinn,нӣрр
48,Gesicht::N,fjes,ååredæjja
49,Gesicht::N,fjes,muohto
50,Gesicht::N,fjes,muođut
51,Gesicht::N,fjes,ámadadju
52,Gesicht::N,fjes,muáđuh
53,Gesicht::N,fjes,muâđ
54,Gesicht::N,fjes,ка̄ссв
55,Gesicht::N,ansikt,ååredæjja
56,Gesicht::N,ansikt,muohto
57,Gesicht::N,ansikt,muođut
58,Gesicht::N,ansikt,ámadadju
59,Gesicht::N,ansikt,muáđuh
60,Gesicht::N,ansikt,muâđ
61,Gesicht::N,ansikt,ка̄ссв
62,Stirn::N,panne,gaalloe
63,Stirn::N,panne,gállo
64,Stirn::N,panne,gállu
65,Stirn::N,panne,kállu
66,Stirn::N,panne,käll
67,Stirn::N,panne,вуэххьц
68,Haar::N,hår,voepte
69,Haar::N,hår,vuoppta
70,Haar::N,hår,vuokta
71,Haar::N,hår,vuop'tâ
72,Haar::N,hår,vuõpt
73,Haar::N,hår,вӯппт
74,Schnurrbart::N,bart,bijjie-skaavtjoe
75,Schnurrbart::N,bart,njunjevuolskávttjá
76,Schnurrbart::N,bart,seamu
77,Schnurrbart::N,bart,siämu
78,Schnurrbart::N,bart,ää´bben
79,Schnurrbart::N,bart,о̄а̄бпан
80,Bart::N,skjegg,skaavtja
81,Bart::N,skjegg,skaavtjoe
82,Bart::N,skjegg,skávttjá
83,Bart::N,skjegg,seamu
84,Bart::N,skjegg,siämu
85,Bart::N,skjegg,seäm
86,Bart::N,skjegg,ся̄м
87,Kinn::N,hake,gaejpie
88,Kinn::N,hake,gájbbe
89,Kinn::N,hake,gáibi
90,Kinn::N,hake,käibi
91,Kinn::N,hake,käi´bb
92,Kinn::N,hake,ка̄ййп
93,Kiefer[Anatomie]::N,kjeve,gaejpie
94,Kiefer[Anatomie]::N,kjeve,oalol
95,Kiefer[Anatomie]::N,kjeve,oaloldákte
96,Kiefer[Anatomie]::N,kjeve,gáibi
97,Kiefer[Anatomie]::N,kjeve,uá'lultähti
98,Kiefer[Anatomie]::N,kjeve,vuâl'lõš
