,Concept_ID,mn,eu
0,Auge::N,нүд,begi
1,Ohr::N,чих,belarri
2,Nase::N,хамар,sudur
3,Mund::N,ам,aho
4,Zahn::N,шүд,hortz
5,Zunge::N,хэл,mihi
6,Lippe::N,уруул,ezpain
7,Wange::N,хацар,masail
8,Gesicht::N,царай,aurpegi
9,Gesicht::N,нүүр,aurpegi
10,Stirn::N,дух,bekoki
11,Haar::N,үс,ile
12,Haar::N,үс,bilo
13,Schnurrbart::N,дээд сахал,bibote
14,Schnurrbart::N,дээд сахал,sudurpeko
15,Schnurrbart::N,живэр сахал,bibote
16,Schnurrbart::N,живэр сахал,sudurpeko
17,Bart::N,сахал,bizar
18,Kinn::N,эрүү,kokots
19,Kiefer[Anatomie]::N,эрүү,masailezur
20,Kehle::N,хоолой,eztarri
21,Hals::N,хүзүү,sama
22,Genick::N,шил,garondo
23,Genick::N,хүзүү,garondo
24,Kopf::N,толгой,buru
25,Rücken::N,ар,bizkar
26,Rücken::N,нуруу,bizkar
27,Bauch::N,хэвлий,sabel
28,Bauch::N,гэдэс,sabel
29,Nabel::N,хүйс,zilbor
30,Busen::N,хөх,titi
31,Busen::N,хөх,ugatz
32,Brust::N,цээж,bular
33,Schulter::N,мөр,besaburu
34,Schulter::N,бугалга,besaburu
35,Arm::N,гар,beso
36,Ellenbogen::N,тохой,ukondo
37,Hand::N,гар,esku
38,Hand::N,алга,esku
39,Handfläche::N,алга,ahur
40,Finger::N,хуруу,hatz
41,Fingernagel::N,хурууны хумс,azazkal
42,Nagel[Anatomie]::N,хумс,azazkal
43,Zeh::N,хуруу,behatz
44,Fuß::N,хөл,oin
45,Ferse::N,өсгий,orpo
46,Ferse::N,өсгий,oinburu
47,Knie::N,өвдөг,belaun
48,Oberschenkel::N,гуя,izter
49,Bein::N,хөл,zango
50,Körper::N,бие,soin
51,Haut::N,арьс,azal
52,Blut::N,цус,odol
53,Ader::N,судас,zain
54,Sehne::N,бүлх,gihar-zain
55,Sehne::N,шандас,gihar-zain
56,Knochen::N,яс,hezur
57,Gehirn::N,тархи,garun
58,Gehirn::N,тархи,burmuin
59,Herz::N,зүрх,bihotz
60,Magen::N,ходоод,urdail
61,Leber::N,элэг,gibel
62,Atem::N,амьсгаа,hats
63,Atem::N,амьсгаа,arnasa
64,Hunger::N,өлсгөлөн,gose
65,Träne::N,нулимс,malko
66,Geschmack::N,амт,dasta
67,Geruch::N,үнэр,usain
68,Schlaf::N,нойр,lo
69,Traum::N,зүүд,amets
70,Himmel::N,тэнгэр,zeru
71,Himmel::N,огторгуй,zeru
72,Sonne::N,нар,eguzki
73,Mond::N,сар,ilargi
74,Stern::N,од,izar
75,Luft::N,агаар,aire
