,Concept_ID,zh,ro
193,Laus::N,虱子,păduche
194,Mücke::N,蚊子,țânțar
195,Fliege::N,苍蝇,muscă
196,Schmetterling::N,蝴蝶,fluture
197,Beere::N,将果,boabă
198,Apfel::N,苹果,măr
199,Pilz::N,蘑菇,burete
200,Pilz::N,蘑菇,ciupercă
201,Zwiebel::N,洋葱,ceapă
202,Saat::N,种子,semănătură
203,Korn::N,谷粒,grâu
204,Heu::N,干草,fân
205,Schale::N,壳,coajă
206,Grube::N,坑,groapă
207,Falle::N,圈套,cursă
208,Falle::N,圈套,capcană
209,Schlinge::N,活扣,laț
210,Spur::N,踪迹,dâră
211,Asche::N,灰烬,cenușă
212,Dreck::N,污垢,noroi
213,Dreck::N,污垢,murdărie
214,Eisen::N,铁,fier
215,Gold::N,金子,aur
216,Silber::N,银,argint
217,Kohle::N,煤,cărbune
218,Glas::N,玻璃,sticlă
219,Lehm::N,粘土,lut
220,Lehm::N,粘土,humă
221,Sand::N,沙,nisip
222,Mensch::N,人,om
223,Mensch::N,人,persoană
224,Mann::N,男子,om
225,Mann::N,男子,bărbat
226,Frau::N,妇女,femeie
227,Kind::N,小孩,copil
228,Junge::N,男孩,băiat
229,Junge::N,男孩,flăcău
230,Mädchen::N,女孩,fată
231,Familie::N,家庭,familie
232,Großvater::N,祖父,bunic
233,Großvater::N,祖父,tată mare
234,Großmutter::N,祖母,bunică
235,Großmutter::N,祖母,mamă mare
236,Eltern::N,父母,părinți
237,Vater::N,父亲,tată
238,Vater::N,父亲,părinte
239,Mutter::N,母亲,mamă
240,Sohn::N,儿子,fiu
241,Sohn::N,儿子,fecior
242,Tochter::N,女儿,fiică
243,Bruder::N,兄弟,frate
244,Schwester::N,姐妹,soră
245,Onkel::N,伯父,unchi
246,Tante::N,阿姨,mătușă
247,Ehemann::N,丈夫,soț
248,Ehemann::N,丈夫,bărbat
249,Ehefrau::N,妻子,soție
250,Freude::N,愉快,bucurie
251,Gelächter::N,大笑,râset
252,Glück::N,运气,fericire
253,Kummer::N,苦恼,mâhnire
254,Wunsch::N,愿望,dorință
255,Wunsch::N,愿望,deziderat
256,Lust::N,乐趣,poftă
257,Lust::N,乐趣,înclinare
258,Geist::N,精神,duh
259,Geist::N,精神,minte
260,Geist::N,精神,suflet
261,Gedanke::N,思想,gând
262,Gedanke::N,思想,cuget
263,Gedächtnis::N,记性,memorie
264,Verstand::N,理智,minte
265,Verstand::N,理智,intelect
266,Sinn::N,感觉,sens
267,Sinn::N,感觉,înțeles
268,Grund::N,理由,cauză
269,Grund::N,理由,pricină
270,Wahrheit::N,真理,adevăr
271,Gespräch::N,谈话,convorbire
272,Gespräch::N,谈话,conversație
273,Märchen::N,童话,basm
274,Märchen::N,童话,poveste
275,Erzählung::N,故事,poveste
276,Nachricht::N,消息,veste
277,Neuigkeit::N,新闻,noutate
278,Neuigkeit::N,新闻,actualitate
279,Name::N,名字,nume
280,Rätsel::N,谜语,ghicitoare
