,Concept_ID,es,cv
0,Auge::N,ojo,куҫ
1,Ohr::N,oreja,хӑлха
2,Nase::N,nariz,сӑмса
3,Mund::N,boca,ҫӑвар
4,Zahn::N,diente,шӑл
5,Zunge::N,lengua,чӗлхе
6,Lippe::N,labio,тута
7,Wange::N,mejilla,пит ҫӑмарти
8,Gesicht::N,cara,пит
9,Gesicht::N,cara,пит-куҫ
10,Stirn::N,frente,ҫамка
11,Haar::N,cabello,ҫӳҫ
12,Schnurrbart::N,bigote,усси
13,Bart::N,barba,сухал
14,Kinn::N,barbilla,янах
15,Kiefer[Anatomie]::N,mandíbula,янах
16,Kehle::N,garganta,пыр
17,Kehle::N,garganta,карланкӑ
18,Hals::N,cuello,пыр
19,Genick::N,nuca,ӗнсе
20,Genick::N,cerviz,ӗнсе
21,Kopf::N,cabeza,пуҫ
22,Rücken::N,espalda,ҫурӑм
23,Bauch::N,vientre,
24,Nabel::N,ombligo,кӑвапа
25,Busen::N,pecho,кӑкӑр
26,Brust::N,pecho,умӗ
27,Schulter::N,hombro,хул пуҫҫи
28,Arm::N,brazo,алӑ
29,Ellenbogen::N,codo,чавса
30,Hand::N,mano,алӑ сыппи
31,Handfläche::N,palma,ал лаппи
32,Finger::N,dedo,пӳрне
33,Fingernagel::N,uña,чӗрне
34,Nagel[Anatomie]::N,uña,чӗрне
35,Zeh::N,dedo del pie,пӳрне
36,Fuß::N,pie,ура лаппи
37,Ferse::N,talón,кӗле
38,Knie::N,rodilla,чӗркуҫҫи
39,Oberschenkel::N,muslo,пӗҫӗ
40,Bein::N,pierna,ура
41,Körper::N,cuerpo,ӳт
42,Körper::N,cuerpo,ӳт-пӳ
43,Haut::N,piel,тир
44,Blut::N,sangre,юн
45,Ader::N,vena,вена
46,Sehne::N,tendón,шӑнӑр
47,Knochen::N,hueso,шӑмӑ
48,Gehirn::N,cerebro,миме
49,Gehirn::N,encéfalo,миме
50,Herz::N,corazón,чӗре
51,Magen::N,estómago,хырӑмлӑх
52,Leber::N,hígado,пӗвер
53,Atem::N,aliento,сывлав
54,Hunger::N,hambre,выҫлӑх
55,Träne::N,lágrima,куҫҫуль
56,Geschmack::N,gusto,техӗм
57,Geruch::N,olor,шӑршӑ
58,Schlaf::N,sueño,ыйхӑ
59,Traum::N,sueño,тӗлӗк
60,Traum::N,ensueño,тӗлӗк
61,Himmel::N,cielo,пӗлӗт
62,Sonne::N,sol,хӗвел
63,Mond::N,luna,уйӑх
64,Stern::N,estrella,ҫӑлтӑр
65,Luft::N,aire,сывлӑш
66,Wind::N,viento,ҫил
67,Welle::N,ola,хум
68,Welle::N,onda,хум
69,Wasser::N,agua,шыв
70,Wasser::N,agua,шыв-шур
71,Stein::N,piedra,чул
72,Boden::N,suelo,тӑпра
73,Erde::N,tierra,ҫӗр
74,Staub::N,polvo,тусан
75,Rauch::N,humo,тӗтӗм
76,Funke::N,chispa,хӗм
77,Feuer::N,fuego,вут
78,Feuer::N,fuego,ҫулӑм
79,Licht::N,luz,ҫутӑ
80,Schatten::N,sombra,сулхӑн
81,Wetter::N,tiempo,ҫанталӑк
82,Nebel::N,niebla,тӗтре
83,Wolke::N,nube,пӗлӗт
84,Regen::N,lluvia,ҫумӑр
85,Schnee::N,nieve,юр
86,Eis::N,hielo,пӑр
87,Frost::N,helada,сивӗ
88,Kälte::N,frío,сивӗ
89,Hitze::N,calor,вӗри
90,Hitze::N,calor,шӑрӑх
91,Raureif::N,escarcha,пас
92,Regenbogen::N,arco iris,асамат кӗперӗ
93,Donner::N,trueno,аслати
94,Strömung::N,corriente,юхӑ
95,Tropfen::N,gota,тумлам
96,Schaum::N,espuma,кӑпӑк
97,Schmutz::N,suciedad,пылчӑк
98,See::N,lago,кӳлӗ
99,Sumpf::N,pantano,шур
100,Sumpf::N,pantano,шурлӑх
101,Moor::N,turbera,торфлӑ шурлӑх
102,Wiese::N,prado,улӑх
103,Wiese::N,prado,ҫаран
