,Concept_ID,mdf,xal
0,Auge::N,сельме,нүдн
1,Ohr::N,пиле,чикн
2,Nase::N,шалхка,хамр
3,Mund::N,курга,амн
4,Zahn::N,пей,шүдн
5,Zunge::N,кяль,келн
6,Lippe::N,търва́,урл
7,Wange::N,щёка,халх
8,Gesicht::N,шама,нүр
9,Stirn::N,коня,маңна
10,Haar::N,шя́ярь,үсн
11,Schnurrbart::N,уса́,сахл
12,Bart::N,сакал,сахл
13,Bart::N,сакал,өргнә сахл
14,Kinn::N,ула,өргн
15,Kiefer[Anatomie]::N,саласка,өргн
16,Kehle::N,кълдома,хол
17,Kehle::N,кърга́парь,хол
18,Hals::N,сялдаз,күзүн
19,Genick::N,шовонь,гиҗг
20,Kopf::N,пря,толһа
21,Rücken::N,копорь,нурһн
22,Bauch::N,пеке,гесн
23,Nabel::N,по́кон,киисн
24,Busen::N,потя,көкн
25,Brust::N,мяште,чееҗ
26,Schulter::N,лафту,ээм
27,Arm::N,кядь,һар
28,Ellenbogen::N,кенерьба́карь,тоха
29,Hand::N,кядь,баһлцг
30,Handfläche::N,кядьлапш,альхн
31,Finger::N,сур,хурһн
32,Finger::N,сур,һарин хурһн
33,Fingernagel::N,кенже,хумсн
34,Nagel[Anatomie]::N,кенже,хумсн
35,Zeh::N,пильгосу́р,хурһн
36,Zeh::N,пильгосу́р,көлин хурһн
37,Fuß::N,пильге,тавг
38,Fuß::N,пильгелапа,тавг
39,Ferse::N,кочкяря,өскә
40,Knie::N,эль,өвдг
41,Knie::N,пълма́нжа,өвдг
42,Oberschenkel::N,пильгепукша,һуй
43,Bein::N,пильге,көл
44,Körper::N,ро́нга,махмуд
45,Körper::N,по́нда,махмуд
46,Haut::N,киське,арсн
47,Blut::N,вер,цусн
48,Ader::N,сан,судцн
49,Ader::N,верза́н,судцн
50,Sehne::N,коське сан,шүрүсн
51,Knochen::N,пакарь,ясн
52,Gehirn::N,уй,экн
53,Herz::N,седи,зүркн
54,Magen::N,коткърдазь,гесн
55,Leber::N,макса,элкн
56,Atem::N,лекома,әмсхл
57,Atem::N,ваймонь тарксема,әмсхл
