,Concept_ID,cs,sah
0,Auge::N,oko,харах
1,Ohr::N,ucho,кулгаах
2,Nase::N,nos,мурун
3,Mund::N,pusa,айах
4,Zahn::N,zub,тиис
5,Zunge::N,jazyk,тыл
6,Lippe::N,ret,уос
7,Wange::N,tvář,иэдэс
8,Gesicht::N,obličej,сирэй
9,Stirn::N,čelo,сүүс
10,Haar::N,vlas,баттах
11,Haar::N,vlasy,баттах
12,Schnurrbart::N,kníry,уос бытыга
13,Bart::N,vousy,сэҥийэ бытыга
14,Kinn::N,brada,сэҥийэ
15,Kiefer[Anatomie]::N,čelist,сыҥаах
16,Kehle::N,hrdlo,тамах
17,Kehle::N,hrdlo,күөмэй
18,Hals::N,krk,моой
19,Genick::N,týl,кэтэх
20,Kopf::N,hlava,бас
21,Rücken::N,záda,көҕүс
22,Rücken::N,hřbet,көҕүс
23,Bauch::N,břicho,ис
24,Nabel::N,pupek,киин
25,Busen::N,ňadra,эмиий
26,Brust::N,prsa,түөс
27,Schulter::N,plece,сарын
28,Schulter::N,rameno,сарын
29,Arm::N,ruka,илии
30,Ellenbogen::N,loket,тоҕонох
31,Hand::N,ruka,илии
32,Handfläche::N,dlaň,ытыс
33,Finger::N,prst,тарбах
34,Fingernagel::N,nehet,тыҥырах
35,Nagel[Anatomie]::N,nehet,тыҥырах
36,Zeh::N,prst u nohy,тарбах
37,Fuß::N,noha,уллуҥах
38,Ferse::N,pata,тилэх
39,Knie::N,koleno,тобук
40,Knie::N,koleno,дьилбэк
41,Oberschenkel::N,stehno,уллук
42,Oberschenkel::N,stehno,өттүк
43,Bein::N,noha,атах
44,Körper::N,tělo,бэйэ
45,Haut::N,kůže,тирии
46,Blut::N,krev,хаан
47,Ader::N,céva,вена
48,Ader::N,céva,күөх_тымыр
49,Sehne::N,šlacha,иҥиир
50,Knochen::N,kost,уҥуох
51,Knochen::N,kost,уҥгуох
52,Gehirn::N,mozek,мэйии
53,Herz::N,srdce,сүрэх
54,Magen::N,žaludek,куртах
55,Leber::N,játra,быар
56,Atem::N,dech,тыын
57,Hunger::N,hlad,аас
58,Träne::N,slza,харах уута
59,Geschmack::N,vkus,амтан
60,Geruch::N,vůně,сыт
61,Geruch::N,zápach,сыт
62,Schlaf::N,spánek,утуйуу
63,Traum::N,sen,түүл
64,Himmel::N,nebe,халлаан
65,Sonne::N,slunce,күн
66,Mond::N,měsíc,ый
67,Stern::N,hvězda,сулус
68,Luft::N,vzduch,салгын
69,Wind::N,vítr,тыал
70,Welle::N,vlna,долгун
71,Welle::N,vlna,балхаан
72,Wasser::N,voda,уу
73,Stein::N,kámen,таас
74,Boden::N,půda,сир
75,Erde::N,země,буор
76,Staub::N,prach,быыл
77,Rauch::N,dým,буруо
78,Rauch::N,kouř,буруо
79,Funke::N,jiskra,кыым
80,Feuer::N,oheň,уот
81,Licht::N,světlo,уот
82,Schatten::N,stín,күлүк
83,Wetter::N,počasí,күн-дьыл
84,Nebel::N,mlha,туман
85,Wolke::N,mrak,былыт
86,Wolke::N,oblak,былыт
87,Regen::N,déšť,самыыр
88,Schnee::N,sníh,хаар
89,Eis::N,led,муус
90,Frost::N,mráz,тымныы
91,Kälte::N,chlad,тымныы
92,Hitze::N,horko,куйаас
93,Raureif::N,jinovatka,кырыа
