,Concept_ID,tr,fi
927,vergebens::ADV,boşuna,turhaan
928,vor::PRP,önünde,edessä
929,hinter::PRP,arkasında,takana
930,unter::PRP,altında,alla
931,durch::PRP,sayesinde,läpi
932,durch::PRP,sayesinde,kautta
933,durch::PRP,ortasından,läpi
934,durch::PRP,ortasından,kautta
935,neben::PRP,yanında,vieressä
936,zwischen::PRP,arasında,välillä
937,wegen::PRP,dolayı,takia
938,wegen::PRP,dolayı,vuoksi
939,dies::PRN,bu,tämä
940,das::PRN,o,se
941,das::PRN,şu,se
942,alles::PRN,hepsi,kaikki
943,alles::PRN,her şey,kaikki
944,ich::PRN,ben,minä
945,du::PRN,sen,sinä
946,er::PRN,o,hän
947,wir::PRN,biz,me
948,ihr::PRN,siz,te
949,sie::PRN,onlar,he
950,was::FPRN,ne,mikä
951,wer::FPRN,kim,ken
952,wer::FPRN,kim,kuka
953,wo::FADV,nerede,missä
954,wohin::FADV,nereye,mihin
955,wie::FADV,nasıl,miten
956,wie::FADV,nasıl,kuinka
957,warum::FADV,neden,miksi
958,wieviel::FNUM,kaç,paljonko
959,wieviel::FNUM,kaç,kuinka paljon
960,wieviel::FNUM,ne kadar,paljonko
961,wieviel::FNUM,ne kadar,kuinka paljon
962,eins::NUM,bir,yksi
963,zwei::NUM,iki,kaksi
964,drei::NUM,üç,kolme
965,vier::NUM,dört,neljä
966,fünf::NUM,beş,viisi
967,sechs::NUM,altı,kuusi
968,sieben::NUM,yedi,seitsemän
969,acht::NUM,sekiz,kahdeksan
970,neun::NUM,dokuz,yhdeksän
971,zehn::NUM,on,kymmenen
972,elf::NUM,on bir,yksitoista
973,zwölf::NUM,on iki,kaksitoista
974,zwanzig::NUM,yirmi,kaksikymmentä
975,dreißig::NUM,otuz,kolmekymmentä
976,vierzig::NUM,kırk,neljäkymmentä
977,fünfzig::NUM,elli,viisikymmentä
978,sechzig::NUM,altmış,kuusikymmentä
979,siebzig::NUM,yetmiş,seitsemänkymmentä
980,achtzig::NUM,seksen,kahdeksankymmentä
981,neunzig::NUM,doksan,yhdeksänkymmentä
982,hundert::NUM,yüz,sata
983,tausend::NUM,bin,tuhat
984,und::CNJ,ve,ja
985,und::CNJ,ile,ja
986,oder::CNJ,ya,tai
987,oder::CNJ,yahut,tai
988,stehen::V,durmak,seisoa
989,sitzen::V,oturmak,istua
990,liegen::V,yatmak,maata
991,hängen::V,asılı olmak,riippua
992,werden::V,olmak,tulla
993,werden::V,olmak,joutua
994,werden::V,olunmak,tulla
995,werden::V,olunmak,joutua
996,passieren::V,olmak,sattua
997,passieren::V,olmak,tapahtua
998,beginnen::V,başlamak,alkaa
999,enden::V,bitmek,loppua
1000,enden::V,bitmek,päättyä
1001,enden::V,sona ermek,loppua
1002,enden::V,sona ermek,päättyä
1003,wechseln::V,değişmek,vaihtua
1004,wechseln::V,değişmek,vaihdella
1005,aufgehen[Sonne]::V,doğmak,nousta
1006,untergehen[Sonne]::V,batmak,laskea
1007,scheinen[Sonne]::V,parlamak,paistaa
1008,donnern::V,gök gürlemek,jyristä
1009,wehen::V,esmek,tuulla
1010,wehen::V,esmek,puhaltaa
1011,strömen::V,akmak,virrata
1012,fließen::V,akmak,valua
1013,fließen::V,akmak,juosta
1014,sich drehen::V,dönmek,pyöriä
1015,schwanken::V,sallanmak,horjua
1016,schwingen::V,titremek,heilua
1017,schwingen::V,titremek,värähdellä
1018,fallen::V,düşmek,pudota
1019,fallen::V,düşmek,langeta
1020,brennen::V,yanmak,palaa
1021,rauchen::V,tütmek,savuta
1022,regnen::V,yağmak,sataa
1023,gefrieren::V,donmak,jäätyä
1024,tauen::V,erimek,sulaa
1025,schmelzen::V,erimek,sulaa
1026,trocknen::V,kurumak,kuivua
1027,sieden::V,kaynamak,kiehua
1028,faulen::V,çürümek,mädätä
1029,verfaulen::V,çürümek,mädätä
1030,verfaulen::V,çürümek,mädäntyä
1031,reißen::V,yırtılmak,revetä
1032,versinken::V,batmak,upota
1033,versinken::V,batmak,vajota
1034,vergehen::V,geçmek,kulua
1035,erscheinen::V,görünmek,ilmestyä
1036,verschwinden::V,kaybolmak,kadota
1037,sinken::V,inmek,vajota
1038,abnehmen::V,azalmak,vähetä
1039,zunehmen::V,artmak,kasvaa
1040,zunehmen::V,artmak,lisääntyä
1041,zunehmen::V,çoğalmak,kasvaa
1042,zunehmen::V,çoğalmak,lisääntyä
1043,steigen::V,artmak,nousta
1044,steigen::V,yükselmek,nousta
1045,wachsen::V,büyümek,kasvaa
1046,wachsen::V,gelişmek,kasvaa
1047,glänzen::V,parlamak,kiiltää
1048,funkeln::V,parıldamak,kipinöidä
1049,lärmen::V,gürültü yapmak,meluta
1050,läuten::V,çalmak,soida
1051,klingeln::V,zil çalmak,soida
1052,klirren::V,şakırdamak,kalista
1053,klirren::V,zangırdamak,kalista
1054,brausen::V,köpürmek,kohista
1055,brausen::V,kükremek,kohista
1056,rauschen::V,fışırdamak,kohista
1057,klingen::V,tınlamak,soida
1058,bellen::V,havlamak,haukkua
1059,heulen::V,ulumak,ulvoa
1060,blasen::V,üflemek,puhaltaa
1061,pfeifen::V,düdük çalmak,viheltää
1062,schreien::V,bağırmak,kirkua
1063,schreien::V,haykırmak,kirkua
1064,stöhnen::V,inlemek,voihkia
1065,zittern::V,titremek,vapista
1066,leben::V,yaşamak,elää
1067,leben::V,hayatta olmak,elää
1068,geboren werden::V,doğmak,syntyä
1069,atmen::V,solunmak,hengittää
1070,atmen::V,nefes almak,hengittää
1071,trinken::V,içmek,juoda
1072,essen::V,yemek,syödä
1073,schlucken::V,yutmak,niellä
1074,müde werden::V,yorulmak,uupua
1075,einschlafen::V,uykuya dalmak,uinahtaa
1076,schlafen::V,uyumak,maata
1077,schlafen::V,uyumak,nukkua
1078,aufwachen::V,uyanmak,herätä
1079,aufstehen::V,kalkmak,nousta
1080,aufstehen::V,kalkmak,nousta ylös
1081,aufstehen::V,yataktan kalkmak,nousta
1082,aufstehen::V,yataktan kalkmak,nousta ylös
1083,sich erholen::V,dinlenmek,levätä
1084,krank werden::V,hastalanmak,sairastua
1085,krank sein::V,hasta olmak,potea
1086,krank sein::V,hasta olmak,sairastaa
1087,schmerzen::V,ağrımak,särkeä
1088,schmerzen::V,ağrımak,kivistää
1089,husten::V,öksürmek,yskiä
1090,genesen::V,şifa bulmak,toipua
1091,sterben::V,ölmek,kuolla
1092,sterben::V,vefat etmek,kuolla
1093,umkommen::V,ölmek,saada surmansa
1094,umkommen::V,ölmek,kuolla
1095,sich bewegen::V,hareket etmek,liikkua
1096,sich rühren::V,kımıldanmak,liikahtaa
1097,sich erheben::V,kalkmak,nousta
1098,sich erheben::V,ayağa kalkmak,nousta
1099,sich setzen::V,oturmak,istuutua
1100,hinfallen::V,yere düşmek,kaatua
1101,laufen::V,yürümek,kävellä
1102,schreiten::V,yürümek,astua
1103,schreiten::V,yürümek,astella
1104,schreiten::V,adım atmak,astua
1105,schreiten::V,adım atmak,astella
1106,spazierengehen::V,gezmek,kävellä
1107,spazierengehen::V,dolaşmak,kävellä
1108,eilen::V,seğirtmek,kiirehtiä
1109,sich beeilen::V,acele etmek,kiirehtiä
1110,sich beeilen::V,acele etmek,olla kiireissään
1111,sausen::V,hızla gitmek,rynnätä
1112,sausen::V,hızla gitmek,viilettää
1113,rennen::V,koşmak,juosta
1114,springen::V,atlamak,hypätä
1115,springen::V,sıçramak,hypätä
1116,klettern::V,tırmanmak,kiivetä
1117,schaukeln::V,sallanmak,kiikkua
1118,kriechen::V,sürünmek,ryömiä
1119,schwimmen::V,yüzmek,uida
1120,tauchen::V,dalmak,sukeltaa
1121,rudern::V,kürek çekmek,soutaa
1122,fahren::V,gitmek,ajaa
1123,fahren::V,gitmek,kulkea
1124,fliegen::V,uçmak,lentää
1125,gehen::V,gitmek,käydä
1126,weggehen::V,gitmek,lähteä
1127,weggehen::V,gitmek,poistua
1128,abfahren::V,kalkmak,lähteä
1129,anhalten::V,durmak,pysähtyä
1130,anhalten::V,durmak,seisahtua
1131,hineingehen::V,içeri girmek,mennä sisään
1132,eintreten::V,girmek,astua sisään
1133,kommen::V,gelmek,tulla
1134,ankommen::V,varmak,saapua
1135,zurückkommen::V,dönmek,palata
1136,bleiben::V,kalmak,jäädä
1137,bleiben::V,kalmak,viipyä
1138,warten::V,beklemek,odottaa
1139,erwarten::V,beklemek,odottaa
1140,suchen::V,aramak,etsiä
1141,finden::V,bulmak,löytää
1142,versuchen::V,denemek,yrittää
1143,vorbereiten::V,hazırlamak,valmistaa
1144,lieben::V,sevmek,pitää
1145,lieben::V,sevmek,rakastaa
1146,mögen::V,beğenmek,pitää
1147,mögen::V,beğenmek,tykätä
1148,lachen::V,gülmek,nauraa
1149,rühren::V,dokunmak,liikuttaa
1150,rühren::V,duygulandırmak,liikuttaa
1151,weinen::V,ağlamak,itkeä
1152,schimpfen::V,küfretmek,haukkua
1153,sich ärgern::V,kızmak,suuttua
1154,sich fürchten::V,korkmak,pelätä
1155,fürchten::V,korkmak,pelätä
1156,fliehen::V,kaçmak,paeta
1157,flüchten::V,kaçmak,paeta
1158,sehen::V,görmek,nähdä
1159,anschauen::V,seyretmek,katsoa
1160,ansehen::V,bakmak,katsoa
1161,hören::V,duymak,kuulla
1162,hören::V,işitmek,kuulla
1163,zuhören::V,dinlemek,kuunnella
1164,probieren::V,denemek,maistaa
