,Concept_ID,xal,uz
0,Auge::N,нүдн,ko'z
1,Ohr::N,чикн,quloq
2,Nase::N,хамр,burun
3,Mund::N,амн,og'iz
4,Zahn::N,шүдн,tish
5,Zunge::N,келн,til
6,Lippe::N,урл,dudoq
7,Wange::N,халх,bet
8,Gesicht::N,нүр,yuz
9,Stirn::N,маңна,manglay
10,Haar::N,үсн,soch
11,Schnurrbart::N,сахл,mo'ylov
12,Bart::N,сахл,soqol
13,Bart::N,өргнә сахл,soqol
14,Kinn::N,өргн,ängak
15,Kiefer[Anatomie]::N,өргн,iyak
16,Kehle::N,хол,bo'g'iz
17,Hals::N,күзүн,bo'yin
18,Genick::N,гиҗг,gardan
19,Kopf::N,толһа,bosh
20,Rücken::N,нурһн,orqa
21,Bauch::N,гесн,qorin
22,Nabel::N,киисн,kindik
23,Busen::N,көкн,ämchak
24,Brust::N,чееҗ,ko'krak
25,Schulter::N,ээм,elka
26,Arm::N,һар,bilak
27,Ellenbogen::N,тоха,tirsak
28,Hand::N,баһлцг,qo'l
29,Handfläche::N,альхн,kaft
30,Finger::N,хурһн,barmoq
31,Finger::N,һарин хурһн,barmoq
32,Fingernagel::N,хумсн,tirnoq
33,Nagel[Anatomie]::N,хумсн,tirnoq
34,Zeh::N,хурһн,oyoq barmog'i
35,Zeh::N,көлин хурһн,oyoq barmog'i
36,Fuß::N,тавг,oyoq
37,Ferse::N,өскә,tovon
38,Knie::N,өвдг,tiz
39,Oberschenkel::N,һуй,son
40,Bein::N,көл,oyoq
41,Körper::N,махмуд,badna
42,Haut::N,арсн,teri
43,Blut::N,цусн,qon
44,Ader::N,судцн,qon tomir
45,Sehne::N,шүрүсн,tomir
46,Knochen::N,ясн,suyak
47,Gehirn::N,экн,miya
48,Herz::N,зүркн,qalb
49,Magen::N,гесн,oshqozon
50,Leber::N,элкн,bag'ir
51,Atem::N,әмсхл,dam
52,Hunger::N,харһнлһн,ochlik
53,Träne::N,нульмсн,yosh
54,Geschmack::N,амтн,tam
55,Geruch::N,үнр,jid
56,Schlaf::N,нөр,uyqu
57,Traum::N,зүүдн,tush
58,Himmel::N,теңгр,osmon
59,Sonne::N,нарн,quyosh
60,Mond::N,сар,oy
61,Stern::N,одн,yulduz
62,Luft::N,аһар,havo
63,Wind::N,салькн,el
64,Welle::N,дольган,to'lqin
65,Wasser::N,усн,suv
66,Stein::N,чолун,tosh
67,Boden::N,Һазр,tuproq
68,Erde::N,Һазр,er
69,Staub::N,тоосн,chang
70,Rauch::N,утан,tutun
71,Funke::N,очн,yalt
72,Feuer::N,һал,o't
73,Licht::N,герл,yorug'
74,Schatten::N,сүүдр,soya
75,Wetter::N,теңгр,havo
76,Nebel::N,будн,tuman
77,Wolke::N,үүлн,bulut
78,Regen::N,хур,yomg'ir
79,Schnee::N,цасн,qor
80,Eis::N,мөсн,muz
81,Frost::N,киитн,ajoz
82,Kälte::N,киитн,ajoz
83,Hitze::N,халун,issiq
84,Raureif::N,цаң,qirov
85,Raureif::N,кирү,qirov
86,Regenbogen::N,солңһ,kamalak
87,Donner::N,оһтрһун дун,guldur
88,Strömung::N,урсхл,oqim
89,Tropfen::N,дусал,tomchi
90,Schaum::N,көөсн,ko'pik
91,Schmutz::N,кир,gard
92,See::N,нур,ko'l
